TVT,GR,Geology
10343.59,108.41,
10344.09,106.25,
10344.59,109.08,
10345.09,113.66,
10345.59,112.14,
10346.09,105.01,
10346.59,91.4,
10347.09,81.81,
10347.59,84.73,
10348.09,85.65,
10348.59,82.88000000000001,
10349.09,87.39,
10349.59,95.17,
10350.09,95.31,
10350.59,88.57000000000001,
10351.09,84.64,
10351.59,86.43,
10352.09,86.65,
10352.59,84.10000000000001,
10353.09,78.3,
10353.59,79.02,
10354.09,83.77,
10354.59,81.51,
10355.09,76.97,
10355.59,76.23,
10356.09,76.53,
10356.59,77.60000000000001,
10357.09,78.26,
10357.59,79.43,
10358.09,80.48,
10358.59,78.34,
10359.09,76.8,
10359.59,80.07000000000001,
10360.09,79.74000000000001,
10360.59,78.24000000000001,
10361.09,83.51,
10361.59,85.12,
10362.09,82.38000000000001,
10362.59,82.86,
10363.09,84.3,
10363.59,80.61,
10364.09,76.27,
10364.59,76.43,
10365.09,77.28,
10365.59,78.0,
10366.09,77.19,
10366.59,78.39,
10367.09,85.52,
10367.59,97.05,
10368.09,110.96000000000001,
10368.59,127.09,
10369.09,135.01,
10369.59,127.46000000000001,
10370.09,114.71000000000001,
10370.59,96.59,ANCC
10371.09,82.86,ANCC
10371.59,78.0,ANCC
10372.09,73.4,ANCC
10372.59,66.0,ANCC
10373.09,63.849999999999994,ANCC
10373.59,66.59,ANCC
10374.09,67.9,ANCC
10374.59,69.8,ANCC
10375.09,71.91,ANCC
10375.59,73.0,ANCC
10376.09,71.15,ANCC
10376.59,66.77,ANCC
10377.09,63.760000000000005,ANCC
10377.59,61.709999999999994,ANCC
10378.09,60.58,ANCC
10378.59,59.269999999999996,ANCC
10379.09,58.790000000000006,ANCC
10379.59,58.480000000000004,ANCC
10380.09,57.11,ANCC
10380.59,57.629999999999995,ANCC
10381.09,63.39,ANCC
10381.59,70.84,ANCC
10382.09,70.32,ANCC
10382.59,64.63,ANCC
10383.09,64.7,ANCC
10383.59,70.02,ANCC
10384.09,72.09,ANCC
10384.59,66.57,ANCC
10385.09,57.0,ANCC
10385.59,51.94,ANCC
10386.09,52.95,ANCC
10386.59,54.78,ANCC
10387.09,57.980000000000004,ANCC
10387.59,60.730000000000004,ANCC
10388.09,62.58,ANCC
10388.59,61.3,ANCC
10389.09,60.17999999999999,ANCC
10389.59,60.25,ANCC
10390.09,58.55,ANCC
10390.59,58.56999999999999,ANCC
10391.09,59.36,ANCC
10391.59,60.900000000000006,ANCC
10392.09,63.89,ANCC
10392.59,61.730000000000004,ANCC
10393.09,57.739999999999995,ANCC
10393.59,59.269999999999996,ANCC
10394.09,57.56999999999999,ANCC
10394.59,53.53,ANCC
10395.09,53.010000000000005,ANCC
10395.59,56.0,ANCC
10396.09,60.510000000000005,ANCC
10396.59,61.91,ANCC
10397.09,63.31999999999999,ANCC
10397.59,61.75,ANCC
10398.09,60.209999999999994,ANCC
10398.59,60.269999999999996,ANCC
