MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10481.0,2986891.51,1108148.94,-8213.48,-8617.52,-8749.04,-8833.18,-8950.72,-8995.24,-9105.42,10319.75,,10319.75
10482.0,2986891.47,1108148.98,-8214.48,-8617.53,-8749.05,-8833.2,-8950.73,-8995.25,-9105.43,10320.740000000002,,10320.740000000002
10483.0,2986891.42,1108149.02,-8215.47,-8617.54,-8749.06,-8833.21,-8950.74,-8995.27,-9105.45,10321.72,,10321.72
10484.0,2986891.38,1108149.06,-8216.47,-8617.56,-8749.08,-8833.22,-8950.76,-8995.28,-9105.46,10322.71,,10322.71
10485.0,2986891.33,1108149.1,-8217.47,-8617.57,-8749.09,-8833.24,-8950.77,-8995.29,-9105.47,10323.69,178.99969619472873,10323.69
10486.0,2986891.29,1108149.14,-8218.47,-8617.58,-8749.11,-8833.25,-8950.79,-8995.31,-9105.49,10324.68,,10324.68
10487.0,2986891.24,1108149.18,-8219.47,-8617.6,-8749.12,-8833.27,-8950.8,-8995.32,-9105.5,10325.66,,10325.66
10488.0,2986891.19,1108149.22,-8220.46,-8617.61,-8749.13,-8833.28,-8950.81,-8995.34,-9105.52,10326.64,,10326.64
10489.0,2986891.15,1108149.25,-8221.46,-8617.63,-8749.15,-8833.29,-8950.83,-8995.35,-9105.53,10327.63,157.5460561360958,10327.63
10490.0,2986891.1,1108149.29,-8222.46,-8617.64,-8749.16,-8833.31,-8950.84,-8995.36,-9105.54,10328.61,,10328.61
10491.0,2986891.06,1108149.33,-8223.46,-8617.65,-8749.18,-8833.32,-8950.86,-8995.38,-9105.56,10329.6,,10329.6
10492.0,2986891.01,1108149.37,-8224.46,-8617.67,-8749.19,-8833.33,-8950.87,-8995.39,-9105.57,10330.58,,10330.58
10493.0,2986890.96,1108149.41,-8225.45,-8617.68,-8749.2,-8833.35,-8950.88,-8995.4,-9105.58,10331.570000000002,,10331.570000000002
10494.0,2986890.92,1108149.45,-8226.45,-8617.7,-8749.22,-8833.36,-8950.9,-8995.42,-9105.6,10332.55,,10332.55
10495.0,2986890.87,1108149.49,-8227.45,-8617.71,-8749.23,-8833.38,-8950.91,-8995.43,-9105.61,10333.53,182.2901317865436,10333.53
10496.0,2986890.83,1108149.53,-8228.45,-8617.72,-8749.24,-8833.39,-8950.92,-8995.45,-9105.63,10334.52,,10334.52
