MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10113.0,2997231.78,1127555.4,-7923.959999999999,-8283.69,-8398.47,-8490.93,-8662.99,-8715.0,-8810.4,10010.61,,10010.61
10114.0,2997231.77,1127555.39,-7924.959999999999,-8283.69,-8398.47,-8490.93,-8662.99,-8715.0,-8810.4,10011.61,,10011.61
10115.0,2997231.76,1127555.39,-7925.959999999999,-8283.69,-8398.47,-8490.93,-8662.99,-8715.0,-8810.4,10012.61,92.99603699509916,10012.61
10116.0,2997231.76,1127555.38,-7926.959999999999,-8283.69,-8398.47,-8490.93,-8662.99,-8715.0,-8810.4,10013.61,100.55752491854172,10013.61
10117.0,2997231.75,1127555.37,-7927.959999999999,-8283.69,-8398.47,-8490.93,-8662.99,-8715.0,-8810.4,10014.61,95.52793792874054,10014.61
10118.0,2997231.75,1127555.36,-7928.959999999999,-8283.69,-8398.47,-8490.93,-8662.99,-8715.0,-8810.4,10015.61,98.88099592194132,10015.61
10119.0,2997231.74,1127555.36,-7929.959999999999,-8283.69,-8398.47,-8490.93,-8662.98,-8715.0,-8810.4,10016.62,,10016.62
10120.0,2997231.74,1127555.35,-7930.959999999999,-8283.69,-8398.47,-8490.93,-8662.98,-8715.0,-8810.4,10017.62,92.99603699509916,10017.62
10121.0,2997231.73,1127555.34,-7931.959999999999,-8283.69,-8398.47,-8490.93,-8662.98,-8715.0,-8810.39,10018.62,95.52793792874054,10018.62
10122.0,2997231.73,1127555.33,-7932.959999999999,-8283.69,-8398.47,-8490.92,-8662.98,-8715.0,-8810.39,10019.62,95.3226486638507,10019.62
10123.0,2997231.72,1127555.32,-7933.959999999999,-8283.69,-8398.47,-8490.92,-8662.98,-8714.99,-8810.39,10020.62,94.67256599169951,10020.62
10124.0,2997231.72,1127555.32,-7934.959999999999,-8283.68,-8398.46,-8490.92,-8662.98,-8714.99,-8810.39,10021.62,94.09091307451165,10021.62
10125.0,2997231.71,1127555.31,-7935.959999999999,-8283.68,-8398.46,-8490.92,-8662.98,-8714.99,-8810.39,10022.62,93.61190478976869,10022.62
10126.0,2997231.71,1127555.3,-7936.959999999999,-8283.68,-8398.46,-8490.92,-8662.98,-8714.99,-8810.39,10023.62,93.26975601495226,10023.62
10127.0,2997231.71,1127555.29,-7937.959999999999,-8283.68,-8398.46,-8490.92,-8662.98,-8714.99,-8810.39,10024.62,92.92760724013586,10024.62
10128.0,2997231.7,1127555.28,-7938.959999999999,-8283.68,-8398.46,-8490.92,-8662.97,-8714.99,-8810.39,10025.62,92.27752456798468,10025.62
10129.0,2997231.7,1127555.27,-7939.959999999999,-8283.68,-8398.46,-8490.92,-8662.97,-8714.99,-8810.38,10026.63,102.2340539151421,10026.63
10130.0,2997231.69,1127555.26,-7940.959999999999,-8283.68,-8398.46,-8490.91,-8662.97,-8714.98,-8810.38,10027.63,99.73636785898236,10027.63
10131.0,2997231.69,1127555.25,-7941.959999999999,-8283.67,-8398.46,-8490.91,-8662.97,-8714.98,-8810.38,10028.63,92.17487993553976,10028.63
10132.0,2997231.68,1127555.23,-7942.959999999999,-8283.67,-8398.45,-8490.91,-8662.97,-8714.98,-8810.38,10029.63,100.55752491854172,10029.63
10133.0,2997231.68,1127555.22,-7943.959999999999,-8283.67,-8398.45,-8490.91,-8662.97,-8714.98,-8810.38,10030.63,95.52793792874054,10030.63
10134.0,2997231.67,1127555.21,-7944.959999999999,-8283.67,-8398.45,-8490.91,-8662.97,-8714.98,-8810.38,10031.63,98.88099592194132,10031.63
10135.0,2997231.67,1127555.2,-7945.959999999999,-8283.67,-8398.45,-8490.91,-8662.96,-8714.98,-8810.38,10032.63,,10032.63
10136.0,2997231.67,1127555.19,-7946.959999999999,-8283.67,-8398.45,-8490.9,-8662.96,-8714.98,-8810.37,10033.64,94.3988469718464,10033.64
10137.0,2997231.66,1127555.17,-7947.959999999999,-8283.66,-8398.45,-8490.9,-8662.96,-8714.97,-8810.37,10034.64,93.81719405465851,10034.64
10138.0,2997231.66,1127555.16,-7948.959999999999,-8283.66,-8398.44,-8490.9,-8662.96,-8714.97,-8810.37,10035.64,98.88099592194132,10035.64
10139.0,2997231.65,1127555.15,-7949.959999999999,-8283.66,-8398.44,-8490.9,-8662.96,-8714.97,-8810.37,10036.64,,10036.64
10140.0,2997231.65,1127555.14,-7950.959999999999,-8283.66,-8398.44,-8490.9,-8662.96,-8714.97,-8810.37,10037.64,95.52793792874054,10037.64
10141.0,2997231.65,1127555.12,-7951.950000000001,-8283.66,-8398.44,-8490.9,-8662.95,-8714.97,-8810.36,10038.64,,10038.64
10142.0,2997231.64,1127555.11,-7952.950000000001,-8283.66,-8398.44,-8490.89,-8662.95,-8714.96,-8810.36,10039.65,,10039.65
10143.0,2997231.64,1127555.09,-7953.950000000001,-8283.65,-8398.43,-8490.89,-8662.95,-8714.96,-8810.36,10040.65,92.99603699509916,10040.65
10144.0,2997231.64,1127555.08,-7954.950000000001,-8283.65,-8398.43,-8490.89,-8662.95,-8714.96,-8810.36,10041.65,100.55752491854172,10041.65
10145.0,2997231.63,1127555.06,-7955.950000000001,-8283.65,-8398.43,-8490.89,-8662.95,-8714.96,-8810.36,10042.65,102.2340539151421,10042.65
