MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
12463.0,2949817.63,1014924.58,-10329.94,-10405.59,-10611.07,-10623.86,-10645.86,-10690.63,-10863.01,12348.87,100.66276182435894,12348.87
12464.0,2949817.35,1014924.91,-10330.84,-10405.59,-10611.07,-10623.86,-10645.86,-10690.64,-10863.01,12349.76,,12349.76
12465.0,2949817.06,1014925.25,-10331.73,-10405.59,-10611.07,-10623.86,-10645.86,-10690.64,-10863.01,12350.65,86.16231628002033,12350.65
12466.0,2949816.78,1014925.59,-10332.63,-10405.59,-10611.07,-10623.86,-10645.86,-10690.64,-10863.01,12351.55,88.05740703418876,12351.55
12467.0,2949816.49,1014925.93,-10333.52,-10405.59,-10611.07,-10623.86,-10645.86,-10690.64,-10863.01,12352.44,89.96107285964304,12352.44
12468.0,2949816.21,1014926.28,-10334.42,-10405.6,-10611.08,-10623.87,-10645.87,-10690.64,-10863.02,12353.33,,12353.33
12469.0,2949815.92,1014926.62,-10335.31,-10405.6,-10611.08,-10623.87,-10645.87,-10690.64,-10863.02,12354.22,99.40222634534192,12354.22
12470.0,2949815.63,1014926.97,-10336.2,-10405.6,-10611.08,-10623.87,-10645.87,-10690.64,-10863.02,12355.11,100.66276182435894,12355.11
12471.0,2949815.34,1014927.32,-10337.09,-10405.6,-10611.08,-10623.87,-10645.87,-10690.65,-10863.02,12356.01,105.72205388299868,12356.01
12472.0,2949815.05,1014927.67,-10337.98,-10405.6,-10611.08,-10623.87,-10645.87,-10690.65,-10863.02,12356.9,104.77879604155736,12356.9
12473.0,2949814.75,1014928.02,-10338.87,-10405.6,-10611.08,-10623.87,-10645.87,-10690.65,-10863.02,12357.79,95.95504768843824,12357.79
12474.0,2949814.46,1014928.37,-10339.76,-10405.6,-10611.08,-10623.87,-10645.87,-10690.65,-10863.02,12358.67,91.53888597623576,12358.67
12475.0,2949814.16,1014928.73,-10340.65,-10405.6,-10611.08,-10623.87,-10645.87,-10690.65,-10863.02,12359.56,82.68941240925916,12359.56
12476.0,2949813.86,1014929.08,-10341.53,-10405.61,-10611.09,-10623.88,-10645.88,-10690.65,-10863.03,12360.44,79.85106381364942,12360.44
12477.0,2949813.57,1014929.44,-10342.42,-10405.61,-10611.09,-10623.88,-10645.88,-10690.65,-10863.03,12361.320000000002,82.0720072766794,12361.320000000002
12478.0,2949813.27,1014929.8,-10343.3,-10405.61,-10611.09,-10623.88,-10645.88,-10690.65,-10863.03,12362.2,99.10209885033788,12362.2
12479.0,2949812.97,1014930.16,-10344.19,-10405.61,-10611.09,-10623.88,-10645.88,-10690.66,-10863.03,12363.08,98.7676710701905,12363.08
12480.0,2949812.66,1014930.52,-10345.07,-10405.61,-10611.09,-10623.88,-10645.88,-10690.66,-10863.03,12363.96,95.6291949795767,12363.96
12481.0,2949812.36,1014930.89,-10345.95,-10405.61,-10611.09,-10623.88,-10645.88,-10690.66,-10863.03,12364.85,93.75125436797993,12364.85
12482.0,2949812.05,1014931.25,-10346.83,-10405.61,-10611.09,-10623.88,-10645.88,-10690.66,-10863.03,12365.73,92.1734412513872,12365.73
12483.0,2949811.75,1014931.62,-10347.71,-10405.62,-10611.1,-10623.89,-10645.89,-10690.66,-10863.04,12366.61,85.8450386424446,12366.61
12484.0,2949811.44,1014931.99,-10348.58,-10405.62,-10611.1,-10623.89,-10645.89,-10690.66,-10863.04,12367.48,84.26722552585188,12367.48
12485.0,2949811.13,1014932.36,-10349.46,-10405.62,-10611.1,-10623.89,-10645.89,-10690.66,-10863.04,12368.35,91.53031090494994,12368.35
12486.0,2949810.82,1014932.73,-10350.34,-10405.62,-10611.1,-10623.89,-10645.89,-10690.67,-10863.04,12369.23,109.20353282504568,12369.23
12487.0,2949810.51,1014933.1,-10351.21,-10405.62,-10611.1,-10623.89,-10645.89,-10690.67,-10863.04,12370.1,94.69451220942123,12370.1
12488.0,2949810.2,1014933.47,-10352.08,-10405.62,-10611.1,-10623.89,-10645.89,-10690.67,-10863.04,12370.97,76.72116279432144,12370.97
12489.0,2949809.89,1014933.85,-10352.96,-10405.62,-10611.1,-10623.89,-10645.89,-10690.67,-10863.04,12371.84,84.28437566842355,12371.84
12490.0,2949809.57,1014934.23,-10353.83,-10405.63,-10611.11,-10623.9,-10645.9,-10690.67,-10863.05,12372.71,89.96107285964304,12372.71
12491.0,2949809.26,1014934.6,-10354.7,-10405.63,-10611.11,-10623.9,-10645.9,-10690.67,-10863.05,12373.59,83.00669004683486,12373.59
12492.0,2949808.94,1014934.98,-10355.57,-10405.63,-10611.11,-10623.9,-10645.9,-10690.67,-10863.05,12374.46,83.94994788827617,12374.46
12493.0,2949808.63,1014935.36,-10356.44,-10405.63,-10611.11,-10623.9,-10645.9,-10690.68,-10863.05,12375.33,84.5845031634276,12375.33
12494.0,2949808.31,1014935.74,-10357.31,-10405.63,-10611.11,-10623.9,-10645.9,-10690.68,-10863.05,12376.19,79.84248874236359,12376.19
12495.0,2949807.99,1014936.12,-10358.18,-10405.63,-10611.11,-10623.9,-10645.9,-10690.68,-10863.05,12377.06,88.99208980434425,12377.06
12496.0,2949807.68,1014936.5,-10359.05,-10405.63,-10611.11,-10623.9,-10645.9,-10690.68,-10863.05,12377.92,99.40222634534192,12377.92
12497.0,2949807.36,1014936.88,-10359.91,-10405.64,-10611.12,-10623.91,-10645.91,-10690.68,-10863.06,12378.79,94.67736206684955,12378.79
