MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10037.0,2952594.62,1082006.45,-7887.280000000001,-8200.75,-8334.1,-8418.49,-8526.8,-8573.92,-8671.61,10089.5,128.4755567686611,10089.5
10038.0,2952594.63,1082006.44,-7888.280000000001,-8200.75,-8334.1,-8418.49,-8526.8,-8573.92,-8671.62,10090.5,125.3027842232916,10090.5
10039.0,2952594.64,1082006.44,-7889.280000000001,-8200.76,-8334.1,-8418.49,-8526.8,-8573.92,-8671.62,10091.5,120.85872952789389,10091.5
10040.0,2952594.65,1082006.44,-7890.280000000001,-8200.76,-8334.1,-8418.49,-8526.8,-8573.92,-8671.62,10092.5,124.32487487711606,10092.5
10041.0,2952594.66,1082006.44,-7891.280000000001,-8200.76,-8334.1,-8418.49,-8526.8,-8573.92,-8671.62,10093.5,119.739566609493,10093.5
10042.0,2952594.67,1082006.44,-7892.280000000001,-8200.76,-8334.11,-8418.49,-8526.8,-8573.92,-8671.62,10094.5,120.69574463686465,10094.5
10043.0,2952594.68,1082006.43,-7893.280000000001,-8200.76,-8334.11,-8418.49,-8526.8,-8573.92,-8671.62,10095.5,122.99926443007811,10095.5
10044.0,2952594.69,1082006.43,-7894.280000000001,-8200.76,-8334.11,-8418.49,-8526.8,-8573.92,-8671.62,10096.490000000002,117.77288225773998,10096.490000000002
10045.0,2952594.7,1082006.43,-7895.280000000001,-8200.76,-8334.11,-8418.49,-8526.8,-8573.92,-8671.62,10097.490000000002,114.30673690851782,10097.490000000002
10046.0,2952594.71,1082006.43,-7896.280000000001,-8200.76,-8334.11,-8418.49,-8526.8,-8573.92,-8671.62,10098.490000000002,122.99926443007811,10098.490000000002
10047.0,2952594.72,1082006.43,-7897.280000000001,-8200.76,-8334.11,-8418.49,-8526.8,-8573.93,-8671.62,10099.490000000002,,10099.490000000002
10048.0,2952594.73,1082006.43,-7898.280000000001,-8200.76,-8334.11,-8418.49,-8526.8,-8573.93,-8671.62,10100.490000000002,123.97717377625364,10100.490000000002
10049.0,2952594.74,1082006.42,-7899.280000000001,-8200.76,-8334.11,-8418.49,-8526.8,-8573.93,-8671.62,10101.490000000002,128.4320941310533,10101.490000000002
10050.0,2952594.75,1082006.42,-7900.280000000001,-8200.76,-8334.11,-8418.5,-8526.81,-8573.93,-8671.63,10102.490000000002,126.91090181478025,10102.490000000002
10051.0,2952594.76,1082006.42,-7901.280000000001,-8200.77,-8334.11,-8418.5,-8526.81,-8573.93,-8671.63,10103.490000000002,118.3161652278375,10103.490000000002
10052.0,2952594.78,1082006.41,-7902.280000000001,-8200.77,-8334.11,-8418.5,-8526.81,-8573.93,-8671.63,10104.490000000002,123.44475646555809,10104.490000000002
10053.0,2952594.79,1082006.41,-7903.280000000001,-8200.77,-8334.12,-8418.5,-8526.81,-8573.93,-8671.63,10105.48,,10105.48
10054.0,2952594.8,1082006.4,-7904.280000000001,-8200.77,-8334.12,-8418.5,-8526.81,-8573.93,-8671.63,10106.48,128.8667205071313,10106.48
10055.0,2952594.82,1082006.4,-7905.280000000001,-8200.77,-8334.12,-8418.5,-8526.81,-8573.93,-8671.63,10107.48,125.433172136115,10107.48
10056.0,2952594.83,1082006.39,-7906.280000000001,-8200.77,-8334.12,-8418.5,-8526.81,-8573.94,-8671.63,10108.48,126.82397653956464,10108.48
10057.0,2952594.85,1082006.39,-7907.280000000001,-8200.77,-8334.12,-8418.5,-8526.81,-8573.94,-8671.63,10109.48,122.11914601852013,10109.48
10058.0,2952594.86,1082006.38,-7908.280000000001,-8200.77,-8334.12,-8418.51,-8526.82,-8573.94,-8671.64,10110.48,128.4320941310533,10110.48
10059.0,2952594.88,1082006.37,-7909.280000000001,-8200.78,-8334.12,-8418.51,-8526.82,-8573.94,-8671.64,10111.48,122.39078750356887,10111.48
10060.0,2952594.9,1082006.36,-7910.280000000001,-8200.78,-8334.13,-8418.51,-8526.82,-8573.94,-8671.64,10112.47,126.73705126434903,10112.47
10061.0,2952594.91,1082006.35,-7911.280000000001,-8200.78,-8334.13,-8418.51,-8526.82,-8573.94,-8671.64,10113.47,127.0086927493978,10113.47
10062.0,2952594.93,1082006.34,-7912.280000000001,-8200.78,-8334.13,-8418.51,-8526.82,-8573.95,-8671.64,10114.47,126.6609916485354,10114.47
10063.0,2952594.95,1082006.33,-7913.280000000001,-8200.78,-8334.13,-8418.52,-8526.83,-8573.95,-8671.64,10115.47,125.1723963104682,10115.47
10064.0,2952594.97,1082006.32,-7914.280000000001,-8200.79,-8334.13,-8418.52,-8526.83,-8573.95,-8671.65,10116.47,122.99926443007811,10116.47
10065.0,2952594.99,1082006.31,-7915.280000000001,-8200.79,-8334.14,-8418.52,-8526.83,-8573.95,-8671.65,10117.46,128.4320941310533,10117.46
10066.0,2952595.01,1082006.3,-7916.280000000001,-8200.79,-8334.14,-8418.52,-8526.83,-8573.95,-8671.65,10118.46,,10118.46
10067.0,2952595.03,1082006.29,-7917.280000000001,-8200.79,-8334.14,-8418.52,-8526.83,-8573.96,-8671.65,10119.46,130.60522601144336,10119.46
10068.0,2952595.06,1082006.27,-7918.280000000001,-8200.79,-8334.14,-8418.53,-8526.84,-8573.96,-8671.66,10120.46,127.54111006009336,10120.46
10069.0,2952595.08,1082006.26,-7919.280000000001,-8200.8,-8334.14,-8418.53,-8526.84,-8573.96,-8671.66,10121.45,130.60522601144336,10121.45
10070.0,2952595.1,1082006.25,-7920.280000000001,-8200.8,-8334.15,-8418.53,-8526.84,-8573.96,-8671.66,10122.45,128.8667205071313,10122.45
10071.0,2952595.12,1082006.23,-7921.280000000001,-8200.8,-8334.15,-8418.53,-8526.84,-8573.97,-8671.66,10123.45,125.44403779551692,10123.45
10072.0,2952595.15,1082006.22,-7922.280000000001,-8200.81,-8334.15,-8418.54,-8526.85,-8573.97,-8671.67,10124.44,122.99926443007811,10124.44
10073.0,2952595.17,1082006.2,-7923.280000000001,-8200.81,-8334.16,-8418.54,-8526.85,-8573.97,-8671.67,10125.44,,10125.44
10074.0,2952595.2,1082006.18,-7924.280000000001,-8200.81,-8334.16,-8418.54,-8526.85,-8573.97,-8671.67,10126.44,,10126.44
10075.0,2952595.23,1082006.17,-7925.280000000001,-8200.81,-8334.16,-8418.54,-8526.85,-8573.98,-8671.67,10127.43,129.8337641939049,10127.43
10076.0,2952595.25,1082006.15,-7926.280000000001,-8200.82,-8334.16,-8418.55,-8526.86,-8573.98,-8671.68,10128.43,129.1057650139742,10128.43
10077.0,2952595.28,1082006.13,-7927.280000000001,-8200.82,-8334.17,-8418.55,-8526.86,-8573.98,-8671.68,10129.43,124.52045674635116,10129.43
10078.0,2952595.31,1082006.11,-7928.280000000001,-8200.82,-8334.17,-8418.55,-8526.86,-8573.99,-8671.68,10130.42,125.1723963104682,10130.42
