MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10990.0,2983626.77,1085793.37,-8639.34,-8926.01,-9074.21,-9141.09,-9239.3,-9289.87,-9405.33,10725.68,110.71084271782858,10725.68
10991.0,2983626.77,1085793.37,-8640.34,-8926.01,-9074.21,-9141.09,-9239.31,-9289.87,-9405.33,10726.67,105.95054849777452,10726.67
10992.0,2983626.78,1085793.37,-8641.34,-8926.02,-9074.22,-9141.1,-9239.31,-9289.88,-9405.34,10727.67,102.65771339818826,10727.67
10993.0,2983626.79,1085793.37,-8642.34,-8926.02,-9074.22,-9141.1,-9239.31,-9289.88,-9405.34,10728.67,99.5796284137924,10728.67
10994.0,2983626.79,1085793.37,-8643.34,-8926.02,-9074.22,-9141.1,-9239.32,-9289.88,-9405.34,10729.66,109.85184225706692,10729.66
10995.0,2983626.8,1085793.37,-8644.34,-8926.03,-9074.23,-9141.11,-9239.32,-9289.89,-9405.35,10730.66,97.86162749226916,10730.66
10996.0,2983626.81,1085793.36,-8645.34,-8926.03,-9074.23,-9141.11,-9239.32,-9289.89,-9405.35,10731.66,108.6206082633086,10731.66
10997.0,2983626.81,1085793.36,-8646.34,-8926.03,-9074.23,-9141.11,-9239.33,-9289.89,-9405.35,10732.65,103.55250554481496,10732.65
10998.0,2983626.82,1085793.36,-8647.34,-8926.04,-9074.24,-9141.12,-9239.33,-9289.9,-9405.36,10733.65,102.16378813325032,10733.65
10999.0,2983626.83,1085793.36,-8648.34,-8926.04,-9074.24,-9141.12,-9239.33,-9289.9,-9405.36,10734.65,114.08241952631798,10734.65
11000.0,2983626.83,1085793.36,-8649.34,-8926.04,-9074.24,-9141.12,-9239.34,-9289.9,-9405.36,10735.64,101.7342879028695,10735.64
11001.0,2983626.84,1085793.36,-8650.34,-8926.05,-9074.25,-9141.13,-9239.34,-9289.91,-9405.37,10736.64,104.06074748409893,10736.64
11002.0,2983626.85,1085793.36,-8651.34,-8926.05,-9074.25,-9141.13,-9239.34,-9289.91,-9405.37,10737.64,104.36855598253852,10737.64
11003.0,2983626.85,1085793.36,-8652.34,-8926.05,-9074.25,-9141.13,-9239.35,-9289.91,-9405.37,10738.63,111.7774349566076,10738.63
11004.0,2983626.86,1085793.36,-8653.34,-8926.05,-9074.25,-9141.13,-9239.35,-9289.91,-9405.37,10739.63,100.7893873960317,10739.63
11005.0,2983626.87,1085793.36,-8654.34,-8926.06,-9074.26,-9141.14,-9239.35,-9289.92,-9405.38,10740.63,103.7386223113133,10740.63
11006.0,2983626.87,1085793.36,-8655.34,-8926.06,-9074.26,-9141.14,-9239.36,-9289.92,-9405.38,10741.63,103.73146397414033,10741.63
11007.0,2983626.88,1085793.36,-8656.34,-8926.06,-9074.26,-9141.14,-9239.36,-9289.92,-9405.38,10742.62,110.78242608955873,10742.62
11008.0,2983626.88,1085793.36,-8657.34,-8926.07,-9074.27,-9141.15,-9239.36,-9289.93,-9405.39,10743.62,113.5025942153039,10743.62
11009.0,2983626.89,1085793.36,-8658.34,-8926.07,-9074.27,-9141.15,-9239.37,-9289.93,-9405.39,10744.62,,10744.62
11010.0,2983626.9,1085793.36,-8659.34,-8926.07,-9074.27,-9141.15,-9239.37,-9289.93,-9405.39,10745.61,,10745.61
11011.0,2983626.9,1085793.36,-8660.34,-8926.08,-9074.28,-9141.16,-9239.37,-9289.94,-9405.4,10746.61,,10746.61
11012.0,2983626.91,1085793.36,-8661.34,-8926.08,-9074.28,-9141.16,-9239.38,-9289.94,-9405.4,10747.61,106.92408235330436,10747.61
11013.0,2983626.92,1085793.36,-8662.34,-8926.08,-9074.28,-9141.16,-9239.38,-9289.94,-9405.4,10748.6,103.83168069456248,10748.6
11014.0,2983626.92,1085793.36,-8663.34,-8926.08,-9074.28,-9141.16,-9239.38,-9289.94,-9405.4,10749.6,99.13581150906558,10749.6
11015.0,2983626.93,1085793.36,-8664.34,-8926.09,-9074.29,-9141.17,-9239.38,-9289.95,-9405.41,10750.6,109.0930585167275,10750.6
11016.0,2983626.93,1085793.36,-8665.34,-8926.09,-9074.29,-9141.17,-9239.39,-9289.95,-9405.41,10751.6,107.59696604756766,10751.6
11017.0,2983626.94,1085793.36,-8666.34,-8926.09,-9074.29,-9141.17,-9239.39,-9289.95,-9405.41,10752.59,117.3466212772122,10752.59
11018.0,2983626.95,1085793.36,-8667.34,-8926.1,-9074.3,-9141.18,-9239.39,-9289.96,-9405.42,10753.59,109.63709214187654,10753.59
11019.0,2983626.95,1085793.36,-8668.34,-8926.1,-9074.3,-9141.18,-9239.4,-9289.96,-9405.42,10754.59,116.5162541651426,10754.59
11020.0,2983626.96,1085793.36,-8669.34,-8926.1,-9074.3,-9141.18,-9239.4,-9289.96,-9405.42,10755.58,113.88914442264662,10755.58
11021.0,2983626.96,1085793.36,-8670.34,-8926.1,-9074.3,-9141.18,-9239.4,-9289.96,-9405.42,10756.58,113.3594274718436,10756.58
11022.0,2983626.97,1085793.36,-8671.34,-8926.11,-9074.31,-9141.19,-9239.4,-9289.97,-9405.43,10757.58,109.29349195757187,10757.58
11023.0,2983626.98,1085793.36,-8672.34,-8926.11,-9074.31,-9141.19,-9239.41,-9289.97,-9405.43,10758.58,112.28567689589156,10758.58
11024.0,2983626.98,1085793.36,-8673.34,-8926.11,-9074.31,-9141.19,-9239.41,-9289.97,-9405.43,10759.570000000002,111.999343408971,10759.570000000002
11025.0,2983626.99,1085793.36,-8674.34,-8926.11,-9074.31,-9141.19,-9239.41,-9289.97,-9405.43,10760.570000000002,118.22709674949289,10760.570000000002
11026.0,2983626.99,1085793.36,-8675.34,-8926.12,-9074.32,-9141.2,-9239.41,-9289.98,-9405.44,10761.570000000002,107.38937426955025,10761.570000000002
11027.0,2983627.0,1085793.36,-8676.34,-8926.12,-9074.32,-9141.2,-9239.42,-9289.98,-9405.44,10762.570000000002,112.64359375454224,10762.570000000002
11028.0,2983627.01,1085793.36,-8677.34,-8926.12,-9074.32,-9141.2,-9239.42,-9289.98,-9405.44,10763.56,108.8854667387101,10763.56
11029.0,2983627.01,1085793.36,-8678.34,-8926.13,-9074.33,-9141.21,-9239.42,-9289.99,-9405.45,10764.56,111.16897629690143,10764.56
11030.0,2983627.02,1085793.36,-8679.34,-8926.13,-9074.33,-9141.21,-9239.42,-9289.99,-9405.45,10765.56,109.4652920497242,10765.56
11031.0,2983627.02,1085793.36,-8680.34,-8926.13,-9074.33,-9141.21,-9239.43,-9289.99,-9405.45,10766.55,114.4618113964877,10766.55
11032.0,2983627.03,1085793.36,-8681.34,-8926.13,-9074.33,-9141.21,-9239.43,-9289.99,-9405.45,10767.55,125.19215881883513,10767.55
11033.0,2983627.04,1085793.37,-8682.34,-8926.14,-9074.34,-9141.22,-9239.43,-9290.0,-9405.46,10768.55,131.04767862636027,10768.55
11034.0,2983627.04,1085793.37,-8683.34,-8926.14,-9074.34,-9141.22,-9239.43,-9290.0,-9405.46,10769.55,97.84731081792312,10769.55
11035.0,2983627.05,1085793.37,-8684.34,-8926.14,-9074.34,-9141.22,-9239.44,-9290.0,-9405.46,10770.55,99.1572865205846,10770.55
11036.0,2983627.05,1085793.37,-8685.34,-8926.14,-9074.34,-9141.22,-9239.44,-9290.0,-9405.46,10771.54,99.6798451342146,10771.54
11037.0,2983627.06,1085793.37,-8686.34,-8926.14,-9074.34,-9141.22,-9239.44,-9290.0,-9405.46,10772.54,117.51126303219152,10772.54
11038.0,2983627.06,1085793.37,-8687.34,-8926.15,-9074.35,-9141.23,-9239.44,-9290.01,-9405.47,10773.54,101.7843962630806,10773.54
11039.0,2983627.07,1085793.37,-8688.34,-8926.15,-9074.35,-9141.23,-9239.45,-9290.01,-9405.47,10774.54,106.43731542553944,10774.54
11040.0,2983627.08,1085793.37,-8689.34,-8926.15,-9074.35,-9141.23,-9239.45,-9290.01,-9405.47,10775.53,106.23688198469507,10775.53
11041.0,2983627.08,1085793.37,-8690.34,-8926.15,-9074.35,-9141.23,-9239.45,-9290.01,-9405.47,10776.53,105.34924817524136,10776.53
11042.0,2983627.09,1085793.37,-8691.34,-8926.16,-9074.36,-9141.24,-9239.45,-9290.02,-9405.48,10777.53,94.46857567226068,10777.53
11043.0,2983627.09,1085793.37,-8692.34,-8926.16,-9074.36,-9141.24,-9239.45,-9290.02,-9405.48,10778.53,96.74492689327904,10778.53
