MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
12573.0,2949990.2,1015029.5,-10419.25,-10399.69,-10605.17,-10617.96,-10639.96,-10684.73,-10857.11,12444.08,74.8647586038131,12444.08
12574.0,2949990.17,1015029.12,-10420.17,-10399.7,-10605.18,-10617.97,-10639.97,-10684.75,-10857.12,12444.990000000002,68.5947090280805,12444.990000000002
12575.0,2949990.14,1015028.73,-10421.09,-10399.72,-10605.2,-10617.99,-10639.99,-10684.77,-10857.14,12445.89,70.33638946578401,12445.89
12576.0,2949990.11,1015028.34,-10422.02,-10399.74,-10605.22,-10618.01,-10640.01,-10684.78,-10857.16,12446.79,75.56143077889452,12446.79
12577.0,2949990.08,1015027.95,-10422.94,-10399.75,-10605.23,-10618.02,-10640.02,-10684.8,-10857.17,12447.69,,12447.69
12578.0,2949990.05,1015027.56,-10423.86,-10399.77,-10605.25,-10618.04,-10640.04,-10684.82,-10857.19,12448.6,,12448.6
12579.0,2949990.02,1015027.17,-10424.77,-10399.79,-10605.27,-10618.06,-10640.06,-10684.83,-10857.21,12449.5,81.48314426708642,12449.5
12580.0,2949989.99,1015026.77,-10425.69,-10399.8,-10605.28,-10618.07,-10640.07,-10684.85,-10857.22,12450.4,79.3931277418422,12450.4
12581.0,2949989.96,1015026.38,-10426.61,-10399.82,-10605.3,-10618.09,-10640.09,-10684.87,-10857.24,12451.3,76.26726969312172,12451.3
12582.0,2949989.93,1015025.98,-10427.53,-10399.84,-10605.32,-10618.11,-10640.11,-10684.88,-10857.26,12452.21,75.2130946913538,12452.21
12583.0,2949989.89,1015025.58,-10428.44,-10399.85,-10605.33,-10618.12,-10640.12,-10684.9,-10857.27,12453.11,79.0356249151557,12453.11
12584.0,2949989.86,1015025.18,-10429.36,-10399.87,-10605.35,-10618.14,-10640.14,-10684.92,-10857.29,12454.0,81.8314803546271,12454.0
12585.0,2949989.83,1015024.77,-10430.27,-10399.89,-10605.37,-10618.16,-10640.16,-10684.94,-10857.31,12454.9,81.49231100623223,12454.9
12586.0,2949989.8,1015024.37,-10431.19,-10399.91,-10605.39,-10618.18,-10640.18,-10684.95,-10857.33,12455.79,79.75063056852872,12455.79
12587.0,2949989.77,1015023.96,-10432.1,-10399.92,-10605.4,-10618.19,-10640.19,-10684.97,-10857.34,12456.69,77.31227795574382,12456.69
12588.0,2949989.73,1015023.56,-10433.01,-10399.94,-10605.42,-10618.21,-10640.21,-10684.99,-10857.36,12457.58,,12457.58
12589.0,2949989.7,1015023.15,-10433.92,-10399.96,-10605.44,-10618.23,-10640.23,-10685.01,-10857.38,12458.48,83.5639940531848,12458.48
12590.0,2949989.67,1015022.74,-10434.84,-10399.98,-10605.46,-10618.25,-10640.25,-10685.02,-10857.4,12459.37,89.14653819298181,12459.37
12591.0,2949989.64,1015022.33,-10435.75,-10399.99,-10605.47,-10618.26,-10640.26,-10685.04,-10857.41,12460.27,81.84064709377292,12460.27
12592.0,2949989.61,1015021.92,-10436.66,-10400.01,-10605.49,-10618.28,-10640.28,-10685.06,-10857.43,12461.16,79.0447916543015,12461.16
12593.0,2949989.58,1015021.5,-10437.57,-10400.03,-10605.51,-10618.3,-10640.3,-10685.08,-10857.45,12462.06,84.5998355766611,12462.06
12594.0,2949989.55,1015021.09,-10438.48,-10400.05,-10605.53,-10618.32,-10640.32,-10685.09,-10857.47,12462.95,90.8698851523937,12462.95
12595.0,2949989.51,1015020.68,-10439.39,-10400.07,-10605.55,-10618.34,-10640.34,-10685.11,-10857.49,12463.84,82.17981644216782,12463.84
12596.0,2949989.48,1015020.26,-10440.3,-10400.08,-10605.56,-10618.35,-10640.35,-10685.13,-10857.5,12464.73,80.43813600446431,12464.73
12597.0,2949989.45,1015019.84,-10441.21,-10400.1,-10605.58,-10618.37,-10640.37,-10685.15,-10857.52,12465.62,77.13810991197347,12465.62
12598.0,2949989.42,1015019.42,-10442.11,-10400.12,-10605.6,-10618.39,-10640.39,-10685.17,-10857.54,12466.51,,12466.51
12599.0,2949989.39,1015019.0,-10443.02,-10400.14,-10605.62,-10618.41,-10640.41,-10685.18,-10857.56,12467.4,89.8340436289174,12467.4
12600.0,2949989.36,1015018.58,-10443.93,-10400.16,-10605.64,-10618.43,-10640.43,-10685.2,-10857.58,12468.28,86.6990188410511,12468.28
12601.0,2949989.33,1015018.16,-10444.83,-10400.17,-10605.65,-10618.44,-10640.44,-10685.22,-10857.59,12469.17,,12469.17
12602.0,2949989.3,1015017.74,-10445.74,-10400.19,-10605.67,-10618.46,-10640.46,-10685.24,-10857.61,12470.06,,12470.06
12603.0,2949989.27,1015017.31,-10446.64,-10400.21,-10605.69,-10618.48,-10640.48,-10685.26,-10857.63,12470.95,66.51385924198212,12470.95
12604.0,2949989.24,1015016.88,-10447.55,-10400.23,-10605.71,-10618.5,-10640.5,-10685.27,-10857.65,12471.84,64.43300945588372,12471.84
