MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10148.0,2962043.56,1084233.31,-7974.459999999999,-8458.71,-8602.51,-8681.91,-8780.25,-8819.0,-8928.91,10082.0,138.3703657960913,10082.0
10149.0,2962043.56,1084233.33,-7975.450000000001,-8458.72,-8602.52,-8681.92,-8780.27,-8819.02,-8928.92,10082.98,130.20291180124204,10082.98
10150.0,2962043.57,1084233.34,-7976.450000000001,-8458.74,-8602.54,-8681.94,-8780.28,-8819.03,-8928.94,10083.97,,10083.97
10151.0,2962043.57,1084233.36,-7977.450000000001,-8458.75,-8602.55,-8681.95,-8780.29,-8819.05,-8928.95,10084.96,,10084.96
10152.0,2962043.57,1084233.37,-7978.450000000001,-8458.76,-8602.56,-8681.96,-8780.31,-8819.06,-8928.96,10085.94,140.8414423996362,10085.94
10153.0,2962043.57,1084233.39,-7979.450000000001,-8458.78,-8602.58,-8681.98,-8780.32,-8819.07,-8928.98,10086.93,,10086.93
10154.0,2962043.58,1084233.4,-7980.450000000001,-8458.79,-8602.59,-8681.99,-8780.33,-8819.08,-8928.99,10087.92,142.11171470989223,10087.92
10155.0,2962043.58,1084233.42,-7981.450000000001,-8458.8,-8602.6,-8682.0,-8780.35,-8819.1,-8929.0,10088.9,135.54202510528688,10088.9
10156.0,2962043.58,1084233.43,-7982.450000000001,-8458.82,-8602.62,-8682.02,-8780.36,-8819.11,-8929.02,10089.89,127.65244317830614,10089.89
10157.0,2962043.59,1084233.45,-7983.450000000001,-8458.83,-8602.63,-8682.03,-8780.37,-8819.12,-8929.03,10090.88,,10090.88
10158.0,2962043.59,1084233.46,-7984.450000000001,-8458.84,-8602.64,-8682.04,-8780.39,-8819.14,-8929.04,10091.86,131.49303211634583,10091.86
10159.0,2962043.59,1084233.47,-7985.450000000001,-8458.85,-8602.65,-8682.05,-8780.4,-8819.15,-8929.05,10092.85,136.15731325556715,10092.85
10160.0,2962043.59,1084233.49,-7986.450000000001,-8458.87,-8602.67,-8682.07,-8780.41,-8819.16,-8929.07,10093.84,,10093.84
10161.0,2962043.6,1084233.5,-7987.450000000001,-8458.88,-8602.68,-8682.08,-8780.42,-8819.17,-8929.08,10094.820000000002,,10094.820000000002
10162.0,2962043.6,1084233.51,-7988.450000000001,-8458.89,-8602.69,-8682.09,-8780.43,-8819.19,-8929.09,10095.81,,10095.81
10163.0,2962043.6,1084233.53,-7989.450000000001,-8458.9,-8602.7,-8682.1,-8780.45,-8819.2,-8929.1,10096.8,133.92441271019524,10096.8
10164.0,2962043.61,1084233.54,-7990.450000000001,-8458.91,-8602.71,-8682.11,-8780.46,-8819.21,-8929.11,10097.79,135.15498901075577,10097.79
10165.0,2962043.61,1084233.55,-7991.450000000001,-8458.92,-8602.72,-8682.12,-8780.47,-8819.22,-8929.12,10098.78,140.05744620815008,10098.78
