TVT,GR,Geology
11496.880000000001,151.61999999999998,
11497.380000000001,154.07999999999998,
11497.880000000001,152.25,
11498.380000000001,152.31,
11498.880000000001,153.56,
11499.380000000001,145.48999999999998,
11499.880000000001,128.7,
11500.380000000001,116.84,
11500.880000000001,114.96000000000001,
11501.380000000001,115.27,
11501.880000000001,116.24000000000001,
11502.380000000001,118.7,
11502.880000000001,120.19,
11503.380000000001,120.19,
11503.880000000001,120.35000000000001,
11504.380000000001,121.74000000000001,
11504.880000000001,124.71000000000001,
11505.380000000001,130.88,
11505.880000000001,139.68,
11506.380000000001,141.70999999999998,
11506.880000000001,133.26999999999998,
11507.380000000001,125.21000000000001,
11507.880000000001,125.89,
11508.380000000001,129.56,
11508.880000000001,129.51,
11509.380000000001,123.16,
11509.880000000001,112.77,
11510.380000000001,104.10000000000001,
11510.880000000001,100.37,
11511.380000000001,99.99000000000001,
11511.880000000001,101.19,
11512.380000000001,102.89,
11512.880000000001,105.02,
11513.380000000001,107.23,
11513.880000000001,109.41,
11514.380000000001,110.56,
11514.880000000001,110.45,
11515.380000000001,109.22,
11515.880000000001,108.22,
11516.380000000001,108.15,
11516.880000000001,108.74000000000001,
11517.380000000001,109.48,
11517.880000000001,109.51,
11518.380000000001,107.71000000000001,
11518.880000000001,105.08,
11519.380000000001,105.37,
11519.880000000001,109.34,
11520.380000000001,116.75,
11520.880000000001,121.82000000000001,
11521.380000000001,117.01,
11521.880000000001,106.16,
11522.380000000001,99.57000000000001,
11522.880000000001,98.88000000000001,
11523.380000000001,99.56,
11523.880000000001,99.97,
11524.380000000001,99.10000000000001,
11524.880000000001,98.34,
11525.380000000001,97.97,
11525.880000000001,97.95,
11526.380000000001,99.71000000000001,
11526.880000000001,102.55,
11527.380000000001,103.3,
11527.880000000001,102.23,
11528.380000000001,101.9,
11528.880000000001,101.93,
11529.380000000001,100.13000000000001,
11529.880000000001,97.33,
11530.380000000001,96.57000000000001,
11530.880000000001,98.06,
11531.380000000001,100.03,
11531.880000000001,102.23,
11532.380000000001,104.82000000000001,
11532.880000000001,106.87,
11533.380000000001,108.04,
11533.880000000001,110.46000000000001,
11534.380000000001,116.61,
11534.880000000001,123.27,
11535.380000000001,124.33,
11535.880000000001,120.04,
11536.380000000001,114.71000000000001,
11536.880000000001,109.32000000000001,
11537.380000000001,104.01,
11537.880000000001,101.8,
11538.380000000001,102.97,
11538.880000000001,105.66,
11539.380000000001,110.08,
11539.880000000001,116.07000000000001,
11540.380000000001,119.98,
11540.880000000001,120.93,
11541.380000000001,122.08,
11541.880000000001,124.38000000000001,
11542.380000000001,123.66,
11542.880000000001,118.4,
11543.37,112.2,
11543.87,109.45,
11544.37,108.88000000000001,
11544.87,107.15,
11545.37,103.67,
11545.87,101.76,
11546.37,104.28,
11546.87,108.9,
11547.37,110.75,
11547.87,108.9,
11548.37,106.76,
11548.87,102.81,
11549.37,92.9,
11549.87,81.25,
11550.37,78.36,
11550.87,85.48,
11551.37,94.15,
11551.87,98.28,
11552.37,99.8,
11552.87,102.02,
11553.37,104.39,
11553.87,106.33,
11554.37,108.41,
11554.87,108.65,
11555.37,105.48,
11555.87,102.02,
11556.37,100.84,
11556.87,101.25,
11557.37,101.84,
11557.87,101.13000000000001,
11558.37,98.89,
11558.87,97.29,
11559.37,97.73,
11559.87,99.36,
11560.37,101.05,
11560.87,101.45,
11561.37,101.11,
11561.87,102.68,
11562.37,105.42,
11562.87,105.75,
11563.37,105.39,
11563.87,106.66,
11564.37,106.8,
11564.87,103.96000000000001,
11565.37,101.88000000000001,
11565.87,102.83,
