MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10450.0,2986392.93,1108414.75,-8212.6,-8607.14,-8738.66,-8822.81,-8940.34,-8984.86,-9095.04,10329.26,147.1863063509179,10329.26
10451.0,2986392.91,1108414.76,-8213.6,-8607.12,-8738.64,-8822.79,-8940.32,-8984.85,-9095.03,10330.27,150.18399079798343,10330.27
10452.0,2986392.89,1108414.77,-8214.6,-8607.11,-8738.63,-8822.77,-8940.31,-8984.83,-9095.01,10331.29,,10331.29
10453.0,2986392.86,1108414.78,-8215.6,-8607.09,-8738.61,-8822.76,-8940.29,-8984.81,-9094.99,10332.3,141.19093745678683,10332.3
10454.0,2986392.84,1108414.8,-8216.6,-8607.07,-8738.6,-8822.74,-8940.28,-8984.8,-9094.98,10333.320000000002,132.1978841155902,10333.320000000002
10455.0,2986392.81,1108414.81,-8217.6,-8607.06,-8738.58,-8822.73,-8940.26,-8984.78,-9094.96,10334.33,,10334.33
10456.0,2986392.79,1108414.82,-8218.6,-8607.04,-8738.57,-8822.71,-8940.25,-8984.77,-9094.95,10335.35,150.18399079798343,10335.35
10457.0,2986392.77,1108414.83,-8219.6,-8607.03,-8738.55,-8822.7,-8940.23,-8984.75,-9094.93,10336.37,,10336.37
10458.0,2986392.74,1108414.84,-8220.6,-8607.01,-8738.53,-8822.68,-8940.21,-8984.74,-9094.92,10337.38,132.1978841155902,10337.38
10459.0,2986392.72,1108414.85,-8221.6,-8607.0,-8738.52,-8822.66,-8940.2,-8984.72,-9094.9,10338.4,,10338.4
10460.0,2986392.7,1108414.86,-8222.6,-8606.98,-8738.5,-8822.65,-8940.18,-8984.7,-9094.88,10339.41,,10339.41
10461.0,2986392.67,1108414.87,-8223.6,-8606.96,-8738.49,-8822.63,-8940.17,-8984.69,-9094.87,10340.43,,10340.43
10462.0,2986392.65,1108414.88,-8224.6,-8606.95,-8738.47,-8822.62,-8940.15,-8984.67,-9094.85,10341.44,,10341.44
10463.0,2986392.62,1108414.89,-8225.6,-8606.93,-8738.46,-8822.6,-8940.14,-8984.66,-9094.84,10342.46,,10342.46
10464.0,2986392.6,1108414.91,-8226.6,-8606.92,-8738.44,-8822.59,-8940.12,-8984.64,-9094.82,10343.47,,10343.47
10465.0,2986392.58,1108414.92,-8227.6,-8606.9,-8738.42,-8822.57,-8940.1,-8984.63,-9094.81,10344.490000000002,156.1793596921145,10344.490000000002
10466.0,2986392.55,1108414.93,-8228.6,-8606.89,-8738.41,-8822.55,-8940.09,-8984.61,-9094.79,10345.5,,10345.5
10467.0,2986392.53,1108414.94,-8229.6,-8606.87,-8738.39,-8822.54,-8940.07,-8984.59,-9094.77,10346.52,,10346.52
10468.0,2986392.51,1108414.95,-8230.6,-8606.86,-8738.38,-8822.52,-8940.06,-8984.58,-9094.76,10347.53,150.18399079798343,10347.53
10469.0,2986392.48,1108414.96,-8231.6,-8606.84,-8738.36,-8822.51,-8940.04,-8984.56,-9094.74,10348.55,144.18862190385235,10348.55
10470.0,2986392.46,1108414.97,-8232.6,-8606.82,-8738.35,-8822.49,-8940.03,-8984.55,-9094.73,10349.56,,10349.56
10471.0,2986392.43,1108414.98,-8233.6,-8606.81,-8738.33,-8822.48,-8940.01,-8984.53,-9094.71,10350.58,,10350.58
10472.0,2986392.41,1108414.99,-8234.6,-8606.79,-8738.32,-8822.46,-8940.0,-8984.52,-9094.7,10351.59,150.18399079798343,10351.59
10473.0,2986392.39,1108415.0,-8235.6,-8606.78,-8738.3,-8822.45,-8939.98,-8984.5,-9094.68,10352.61,,10352.61
10474.0,2986392.36,1108415.01,-8236.6,-8606.76,-8738.28,-8822.43,-8939.96,-8984.49,-9094.67,10353.63,,10353.63
10475.0,2986392.34,1108415.03,-8237.6,-8606.75,-8738.27,-8822.41,-8939.95,-8984.47,-9094.65,10354.64,,10354.64
10476.0,2986392.32,1108415.04,-8238.6,-8606.73,-8738.25,-8822.4,-8939.93,-8984.45,-9094.63,10355.66,147.1863063509179,10355.66
10477.0,2986392.29,1108415.05,-8239.59,-8606.72,-8738.24,-8822.38,-8939.92,-8984.44,-9094.62,10356.67,151.6828330215162,10356.67
10478.0,2986392.27,1108415.06,-8240.59,-8606.7,-8738.22,-8822.37,-8939.9,-8984.42,-9094.6,10357.69,162.17472858624558,10357.69
10479.0,2986392.25,1108415.07,-8241.59,-8606.68,-8738.21,-8822.35,-8939.89,-8984.41,-9094.59,10358.7,,10358.7
10480.0,2986392.22,1108415.08,-8242.59,-8606.67,-8738.19,-8822.34,-8939.87,-8984.39,-9094.57,10359.72,153.18167524504898,10359.72
10481.0,2986392.2,1108415.09,-8243.59,-8606.65,-8738.18,-8822.32,-8939.86,-8984.38,-9094.56,10360.73,144.18862190385235,10360.73
10482.0,2986392.18,1108415.1,-8244.59,-8606.64,-8738.16,-8822.31,-8939.84,-8984.36,-9094.54,10361.75,,10361.75
10483.0,2986392.15,1108415.11,-8245.59,-8606.62,-8738.14,-8822.29,-8939.83,-8984.35,-9094.53,10362.76,141.19093745678683,10362.76
10484.0,2986392.13,1108415.12,-8246.59,-8606.61,-8738.13,-8822.28,-8939.81,-8984.33,-9094.51,10363.78,138.19325300972127,10363.78
10485.0,2986392.11,1108415.13,-8247.59,-8606.59,-8738.11,-8822.26,-8939.79,-8984.32,-9094.5,10364.79,,10364.79
10486.0,2986392.08,1108415.14,-8248.59,-8606.58,-8738.1,-8822.24,-8939.78,-8984.3,-9094.48,10365.81,147.1863063509179,10365.81
10487.0,2986392.06,1108415.16,-8249.59,-8606.56,-8738.08,-8822.23,-8939.76,-8984.28,-9094.47,10366.820000000002,156.1793596921145,10366.820000000002
10488.0,2986392.04,1108415.17,-8250.59,-8606.55,-8738.07,-8822.21,-8939.75,-8984.27,-9094.45,10367.84,,10367.84
10489.0,2986392.01,1108415.18,-8251.59,-8606.53,-8738.05,-8822.2,-8939.73,-8984.25,-9094.43,10368.85,,10368.85
10490.0,2986391.99,1108415.19,-8252.59,-8606.52,-8738.04,-8822.18,-8939.72,-8984.24,-9094.42,10369.87,,10369.87
10491.0,2986391.97,1108415.2,-8253.59,-8606.5,-8738.02,-8822.17,-8939.7,-8984.22,-9094.4,10370.88,,10370.88
10492.0,2986391.94,1108415.21,-8254.59,-8606.48,-8738.01,-8822.15,-8939.69,-8984.21,-9094.39,10371.9,,10371.9
10493.0,2986391.92,1108415.22,-8255.59,-8606.47,-8737.99,-8822.14,-8939.67,-8984.19,-9094.37,10372.91,138.19325300972127,10372.91
10494.0,2986391.9,1108415.23,-8256.59,-8606.45,-8737.98,-8822.12,-8939.66,-8984.18,-9094.36,10373.93,,10373.93
10495.0,2986391.87,1108415.24,-8257.59,-8606.44,-8737.96,-8822.11,-8939.64,-8984.16,-9094.34,10374.94,,10374.94
10496.0,2986391.85,1108415.25,-8258.59,-8606.42,-8737.95,-8822.09,-8939.63,-8984.15,-9094.33,10375.96,156.1793596921145,10375.96
10497.0,2986391.83,1108415.26,-8259.59,-8606.41,-8737.93,-8822.08,-8939.61,-8984.13,-9094.31,10376.97,,10376.97
10498.0,2986391.8,1108415.27,-8260.59,-8606.39,-8737.91,-8822.06,-8939.59,-8984.12,-9094.3,10377.990000000002,,10377.990000000002
10499.0,2986391.78,1108415.28,-8261.59,-8606.38,-8737.9,-8822.05,-8939.58,-8984.1,-9094.28,10379.0,150.18399079798343,10379.0
10500.0,2986391.76,1108415.3,-8262.59,-8606.36,-8737.88,-8822.03,-8939.56,-8984.09,-9094.27,10380.02,144.18862190385235,10380.02
10501.0,2986391.73,1108415.31,-8263.59,-8606.35,-8737.87,-8822.01,-8939.55,-8984.07,-9094.25,10381.03,,10381.03
10502.0,2986391.71,1108415.32,-8264.59,-8606.33,-8737.85,-8822.0,-8939.53,-8984.06,-9094.24,10382.05,168.17009748037665,10382.05
10503.0,2986391.69,1108415.33,-8265.59,-8606.32,-8737.84,-8821.98,-8939.52,-8984.04,-9094.22,10383.06,,10383.06
10504.0,2986391.67,1108415.34,-8266.59,-8606.3,-8737.82,-8821.97,-8939.5,-8984.02,-9094.21,10384.08,,10384.08
10505.0,2986391.64,1108415.35,-8267.59,-8606.29,-8737.81,-8821.95,-8939.49,-8984.01,-9094.19,10385.09,,10385.09
10506.0,2986391.62,1108415.36,-8268.59,-8606.27,-8737.79,-8821.94,-8939.47,-8983.99,-9094.17,10386.11,,10386.11
10507.0,2986391.6,1108415.37,-8269.58,-8606.26,-8737.78,-8821.92,-8939.46,-8983.98,-9094.16,10387.12,,10387.12
10508.0,2986391.57,1108415.38,-8270.58,-8606.24,-8737.76,-8821.91,-8939.44,-8983.96,-9094.14,10388.14,,10388.14
10509.0,2986391.55,1108415.39,-8271.58,-8606.23,-8737.75,-8821.89,-8939.43,-8983.95,-9094.13,10389.15,159.17704413918003,10389.15
10510.0,2986391.53,1108415.4,-8272.58,-8606.21,-8737.73,-8821.88,-8939.41,-8983.93,-9094.11,10390.17,150.18399079798343,10390.17
10511.0,2986391.5,1108415.41,-8273.58,-8606.2,-8737.72,-8821.86,-8939.4,-8983.92,-9094.1,10391.18,,10391.18
10512.0,2986391.48,1108415.42,-8274.58,-8606.18,-8737.7,-8821.85,-8939.38,-8983.9,-9094.08,10392.19,,10392.19
10513.0,2986391.46,1108415.43,-8275.58,-8606.16,-8737.69,-8821.83,-8939.37,-8983.89,-9094.07,10393.21,,10393.21
10514.0,2986391.44,1108415.45,-8276.58,-8606.15,-8737.67,-8821.82,-8939.35,-8983.87,-9094.05,10394.22,,10394.22
10515.0,2986391.41,1108415.46,-8277.58,-8606.13,-8737.66,-8821.8,-8939.34,-8983.86,-9094.04,10395.240000000002,,10395.240000000002
10516.0,2986391.39,1108415.47,-8278.58,-8606.12,-8737.64,-8821.79,-8939.32,-8983.84,-9094.02,10396.25,,10396.25
10517.0,2986391.37,1108415.48,-8279.58,-8606.1,-8737.63,-8821.77,-8939.31,-8983.83,-9094.01,10397.27,168.17009748037665,10397.27
10518.0,2986391.35,1108415.49,-8280.58,-8606.09,-8737.61,-8821.76,-8939.29,-8983.81,-9093.99,10398.28,,10398.28
10519.0,2986391.32,1108415.5,-8281.58,-8606.07,-8737.6,-8821.74,-8939.28,-8983.8,-9093.98,10399.3,,10399.3
10520.0,2986391.3,1108415.51,-8282.58,-8606.06,-8737.58,-8821.73,-8939.26,-8983.78,-9093.96,10400.31,150.18399079798343,10400.31
10521.0,2986391.28,1108415.52,-8283.58,-8606.04,-8737.57,-8821.71,-8939.25,-8983.77,-9093.95,10401.33,,10401.33
10522.0,2986391.25,1108415.53,-8284.58,-8606.03,-8737.55,-8821.7,-8939.23,-8983.75,-9093.93,10402.34,,10402.34
10523.0,2986391.23,1108415.54,-8285.58,-8606.01,-8737.54,-8821.68,-8939.22,-8983.74,-9093.92,10403.36,,10403.36
10524.0,2986391.21,1108415.55,-8286.58,-8606.0,-8737.52,-8821.67,-8939.2,-8983.72,-9093.9,10404.37,,10404.37
10525.0,2986391.19,1108415.56,-8287.58,-8605.98,-8737.51,-8821.65,-8939.19,-8983.71,-9093.89,10405.39,,10405.39
10526.0,2986391.16,1108415.57,-8288.58,-8605.97,-8737.49,-8821.64,-8939.17,-8983.69,-9093.87,10406.4,,10406.4
10527.0,2986391.14,1108415.58,-8289.58,-8605.95,-8737.48,-8821.62,-8939.16,-8983.68,-9093.86,10407.42,,10407.42
10528.0,2986391.12,1108415.59,-8290.58,-8605.94,-8737.46,-8821.61,-8939.14,-8983.66,-9093.84,10408.43,,10408.43
10529.0,2986391.1,1108415.6,-8291.58,-8605.92,-8737.45,-8821.59,-8939.13,-8983.65,-9093.83,10409.45,183.1585197157044,10409.45
10530.0,2986391.07,1108415.61,-8292.58,-8605.91,-8737.43,-8821.58,-8939.11,-8983.63,-9093.81,10410.46,,10410.46
10531.0,2986391.05,1108415.63,-8293.58,-8605.89,-8737.42,-8821.56,-8939.1,-8983.62,-9093.8,10411.47,,10411.47
10532.0,2986391.03,1108415.64,-8294.58,-8605.88,-8737.4,-8821.55,-8939.08,-8983.6,-9093.78,10412.490000000002,,10412.490000000002
10533.0,2986391.01,1108415.65,-8295.58,-8605.86,-8737.39,-8821.53,-8939.07,-8983.59,-9093.77,10413.5,,10413.5
10534.0,2986390.98,1108415.66,-8296.58,-8605.85,-8737.37,-8821.52,-8939.05,-8983.57,-9093.75,10414.52,,10414.52
10535.0,2986390.96,1108415.67,-8297.58,-8605.83,-8737.36,-8821.5,-8939.04,-8983.56,-9093.74,10415.53,,10415.53
10536.0,2986390.94,1108415.68,-8298.58,-8605.82,-8737.34,-8821.49,-8939.02,-8983.54,-9093.72,10416.55,150.18399079798343,10416.55
10537.0,2986390.92,1108415.69,-8299.58,-8605.8,-8737.33,-8821.47,-8939.01,-8983.53,-9093.71,10417.56,,10417.56
