MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10472.0,2990450.1,1114860.88,-8244.13,-8450.76,-8562.17,-8652.4,-8813.24,-8865.02,-8960.3,10234.44,132.71977136287418,10234.44
10473.0,2990450.07,1114860.89,-8245.13,-8450.78,-8562.19,-8652.42,-8813.26,-8865.04,-8960.32,10235.42,,10235.42
10474.0,2990450.05,1114860.9,-8246.13,-8450.8,-8562.21,-8652.44,-8813.28,-8865.06,-8960.34,10236.4,142.14746289324754,10236.4
10475.0,2990450.03,1114860.91,-8247.13,-8450.82,-8562.23,-8652.46,-8813.3,-8865.08,-8960.36,10237.38,120.70536205281256,10237.38
10476.0,2990450.0,1114860.92,-8248.13,-8450.84,-8562.25,-8652.48,-8813.32,-8865.1,-8960.38,10238.36,137.0146989970736,10238.36
10477.0,2990449.98,1114860.93,-8249.13,-8450.86,-8562.27,-8652.5,-8813.34,-8865.12,-8960.4,10239.34,,10239.34
10478.0,2990449.96,1114860.95,-8250.13,-8450.88,-8562.29,-8652.52,-8813.36,-8865.14,-8960.42,10240.320000000002,116.40230008597264,10240.320000000002
10479.0,2990449.93,1114860.96,-8251.13,-8450.9,-8562.31,-8652.54,-8813.38,-8865.16,-8960.44,10241.3,126.69223087624208,10241.3
10480.0,2990449.91,1114860.97,-8252.13,-8450.92,-8562.33,-8652.56,-8813.4,-8865.18,-8960.46,10242.28,131.8575321029781,10242.28
10481.0,2990449.89,1114860.98,-8253.13,-8450.94,-8562.35,-8652.58,-8813.42,-8865.2,-8960.48,10243.26,123.28394549986037,10243.26
10482.0,2990449.86,1114860.99,-8254.13,-8450.96,-8562.37,-8652.6,-8813.44,-8865.22,-8960.5,10244.240000000002,126.69223087624208,10244.240000000002
10483.0,2990449.84,1114861.0,-8255.12,-8450.98,-8562.39,-8652.62,-8813.46,-8865.24,-8960.52,10245.22,140.45552170401746,10245.22
10484.0,2990449.82,1114861.02,-8256.12,-8451.01,-8562.42,-8652.64,-8813.48,-8865.26,-8960.54,10246.19,,10246.19
10485.0,2990449.79,1114861.03,-8257.12,-8451.03,-8562.44,-8652.67,-8813.51,-8865.28,-8960.56,10247.17,130.1330535831859,10247.17
10486.0,2990449.77,1114861.04,-8258.12,-8451.05,-8562.46,-8652.69,-8813.53,-8865.31,-8960.59,10248.15,,10248.15
10487.0,2990449.75,1114861.05,-8259.12,-8451.07,-8562.48,-8652.71,-8813.55,-8865.33,-8960.61,10249.12,138.7391775168658,10249.12
10488.0,2990449.72,1114861.07,-8260.12,-8451.1,-8562.51,-8652.73,-8813.57,-8865.35,-8960.63,10250.1,123.28394549986037,10250.1
10489.0,2990449.7,1114861.08,-8261.12,-8451.12,-8562.53,-8652.76,-8813.6,-8865.38,-8960.65,10251.08,135.29835480992193,10251.08
10490.0,2990449.68,1114861.09,-8262.12,-8451.14,-8562.55,-8652.78,-8813.62,-8865.4,-8960.68,10252.06,,10252.06
10491.0,2990449.66,1114861.11,-8263.12,-8451.16,-8562.57,-8652.8,-8813.64,-8865.42,-8960.7,10253.03,131.8575321029781,10253.03
10492.0,2990449.63,1114861.12,-8264.12,-8451.19,-8562.6,-8652.82,-8813.66,-8865.44,-8960.72,10254.01,123.28394549986037,10254.01
10493.0,2990449.61,1114861.14,-8265.12,-8451.21,-8562.62,-8652.85,-8813.69,-8865.47,-8960.75,10254.98,,10254.98
10494.0,2990449.59,1114861.15,-8266.12,-8451.24,-8562.65,-8652.88,-8813.71,-8865.49,-8960.77,10255.96,133.57387629012976,10255.96
10495.0,2990449.57,1114861.17,-8267.12,-8451.26,-8562.67,-8652.9,-8813.74,-8865.52,-8960.8,10256.93,,10256.93
10496.0,2990449.55,1114861.18,-8268.12,-8451.29,-8562.7,-8652.93,-8813.77,-8865.55,-8960.82,10257.91,147.304629787343,10257.91
10497.0,2990449.52,1114861.2,-8269.12,-8451.31,-8562.72,-8652.95,-8813.79,-8865.57,-8960.85,10258.88,135.29835480992193,10258.88
10498.0,2990449.5,1114861.21,-8270.12,-8451.34,-8562.75,-8652.98,-8813.82,-8865.6,-8960.87,10259.85,,10259.85
10499.0,2990449.48,1114861.23,-8271.12,-8451.36,-8562.78,-8653.0,-8813.84,-8865.62,-8960.9,10260.83,130.1330535831859,10260.83
10500.0,2990449.46,1114861.24,-8272.12,-8451.39,-8562.8,-8653.03,-8813.87,-8865.65,-8960.93,10261.8,131.8575321029781,10261.8
10501.0,2990449.44,1114861.26,-8273.12,-8451.42,-8562.83,-8653.05,-8813.89,-8865.67,-8960.95,10262.78,119.84312279291647,10262.78
10502.0,2990449.42,1114861.28,-8274.12,-8451.44,-8562.85,-8653.08,-8813.92,-8865.7,-8960.98,10263.75,128.41670939603424,10263.75
10503.0,2990449.39,1114861.3,-8275.12,-8451.47,-8562.88,-8653.11,-8813.95,-8865.73,-8961.01,10264.72,,10264.72
10504.0,2990449.37,1114861.31,-8276.12,-8451.5,-8562.91,-8653.14,-8813.98,-8865.76,-8961.04,10265.69,,10265.69
10505.0,2990449.35,1114861.33,-8277.12,-8451.53,-8562.94,-8653.17,-8814.01,-8865.79,-8961.07,10266.66,,10266.66
10506.0,2990449.33,1114861.35,-8278.12,-8451.56,-8562.97,-8653.2,-8814.04,-8865.82,-8961.1,10267.63,,10267.63
10507.0,2990449.31,1114861.37,-8279.12,-8451.59,-8563.0,-8653.23,-8814.07,-8865.85,-8961.13,10268.6,130.1330535831859,10268.6
10508.0,2990449.29,1114861.38,-8280.12,-8451.62,-8563.03,-8653.26,-8814.1,-8865.88,-8961.15,10269.570000000002,121.56760131270867,10269.570000000002
10509.0,2990449.27,1114861.4,-8281.12,-8451.65,-8563.06,-8653.29,-8814.13,-8865.91,-8961.18,10270.54,126.69223087624208,10270.54
10510.0,2990449.25,1114861.42,-8282.11,-8451.68,-8563.09,-8653.32,-8814.16,-8865.94,-8961.21,10271.51,,10271.51
10511.0,2990449.23,1114861.44,-8283.11,-8451.71,-8563.12,-8653.35,-8814.19,-8865.97,-8961.24,10272.48,137.0146989970736,10272.48
10512.0,2990449.21,1114861.47,-8284.11,-8451.74,-8563.15,-8653.38,-8814.22,-8866.0,-8961.27,10273.45,135.29835480992193,10273.45
10513.0,2990449.19,1114861.49,-8285.11,-8451.79,-8563.2,-8653.43,-8814.27,-8866.05,-8961.32,10274.4,,10274.4
10514.0,2990449.17,1114861.52,-8286.11,-8451.84,-8563.25,-8653.48,-8814.32,-8866.1,-8961.38,10275.35,145.58828560019137,10275.35
10515.0,2990449.15,1114861.55,-8287.11,-8451.89,-8563.3,-8653.53,-8814.37,-8866.15,-8961.43,10276.29,,10276.29
10516.0,2990449.13,1114861.59,-8288.11,-8451.94,-8563.35,-8653.58,-8814.42,-8866.2,-8961.48,10277.240000000002,142.14746289324754,10277.240000000002
10517.0,2990449.11,1114861.62,-8289.11,-8451.99,-8563.41,-8653.63,-8814.47,-8866.25,-8961.53,10278.19,,10278.19
10518.0,2990449.09,1114861.66,-8290.11,-8452.05,-8563.46,-8653.68,-8814.52,-8866.3,-8961.58,10279.14,131.8575321029781,10279.14
10519.0,2990449.07,1114861.7,-8291.11,-8452.1,-8563.51,-8653.74,-8814.57,-8866.35,-8961.63,10280.08,,10280.08
10520.0,2990449.05,1114861.74,-8292.11,-8452.15,-8563.56,-8653.79,-8814.63,-8866.41,-8961.68,10281.03,,10281.03
10521.0,2990449.03,1114861.78,-8293.11,-8452.2,-8563.61,-8653.84,-8814.68,-8866.46,-8961.74,10281.98,130.1330535831859,10281.98
10522.0,2990449.01,1114861.83,-8294.11,-8452.25,-8563.66,-8653.89,-8814.73,-8866.51,-8961.79,10282.93,138.7391775168658,10282.93
10523.0,2990449.0,1114861.88,-8295.1,-8452.33,-8563.74,-8653.97,-8814.81,-8866.59,-8961.87,10283.85,135.29835480992193,10283.85
10524.0,2990448.98,1114861.93,-8296.1,-8452.41,-8563.82,-8654.05,-8814.89,-8866.67,-8961.94,10284.77,137.86066959168863,10284.77
10525.0,2990448.96,1114861.98,-8297.1,-8452.49,-8563.9,-8654.13,-8814.97,-8866.74,-8962.02,10285.69,,10285.69
10526.0,2990448.94,1114862.04,-8298.1,-8452.57,-8563.98,-8654.2,-8815.04,-8866.82,-8962.1,10286.6,127.55447013613816,10286.6
10527.0,2990448.93,1114862.1,-8299.1,-8452.65,-8564.06,-8654.28,-8815.12,-8866.9,-8962.18,10287.52,,10287.52
10528.0,2990448.91,1114862.15,-8300.1,-8452.72,-8564.14,-8654.36,-8815.2,-8866.98,-8962.26,10288.44,135.29835480992193,10288.44
10529.0,2990448.89,1114862.22,-8301.09,-8452.8,-8564.21,-8654.44,-8815.28,-8867.06,-8962.34,10289.36,142.14746289324754,10289.36
10530.0,2990448.88,1114862.28,-8302.09,-8452.88,-8564.29,-8654.52,-8815.36,-8867.14,-8962.42,10290.28,133.57387629012976,10290.28
10531.0,2990448.86,1114862.35,-8303.09,-8452.96,-8564.37,-8654.6,-8815.44,-8867.22,-8962.5,10291.2,137.0146989970736,10291.2
10532.0,2990448.84,1114862.41,-8304.09,-8453.04,-8564.45,-8654.68,-8815.52,-8867.3,-8962.58,10292.12,145.58828560019137,10292.12
10533.0,2990448.83,1114862.49,-8305.08,-8453.15,-8564.56,-8654.79,-8815.62,-8867.4,-8962.68,10293.01,133.57387629012976,10293.01
10534.0,2990448.81,1114862.56,-8306.08,-8453.25,-8564.66,-8654.89,-8815.73,-8867.51,-8962.79,10293.9,145.58828560019137,10293.9
10535.0,2990448.8,1114862.63,-8307.08,-8453.36,-8564.77,-8655.0,-8815.84,-8867.62,-8962.9,10294.79,,10294.79
10536.0,2990448.78,1114862.71,-8308.08,-8453.47,-8564.88,-8655.1,-8815.94,-8867.72,-8963.0,10295.68,137.0146989970736,10295.68
10537.0,2990448.77,1114862.79,-8309.07,-8453.57,-8564.98,-8655.21,-8816.05,-8867.83,-8963.11,10296.570000000002,,10296.570000000002
10538.0,2990448.75,1114862.87,-8310.07,-8453.68,-8565.09,-8655.32,-8816.16,-8867.94,-8963.22,10297.46,140.45552170401746,10297.46
10539.0,2990448.74,1114862.95,-8311.06,-8453.79,-8565.2,-8655.42,-8816.26,-8868.04,-8963.32,10298.35,,10298.35
10540.0,2990448.72,1114863.04,-8312.06,-8453.89,-8565.3,-8655.53,-8816.37,-8868.15,-8963.43,10299.240000000002,137.0146989970736,10299.240000000002
10541.0,2990448.71,1114863.13,-8313.06,-8454.0,-8565.41,-8655.64,-8816.48,-8868.26,-8963.54,10300.13,142.14746289324754,10300.13
10542.0,2990448.69,1114863.22,-8314.05,-8454.11,-8565.52,-8655.74,-8816.58,-8868.36,-8963.64,10301.02,143.86380708039917,10301.02
10543.0,2990448.68,1114863.31,-8315.05,-8454.24,-8565.65,-8655.88,-8816.72,-8868.5,-8963.78,10301.88,,10301.88
10544.0,2990448.67,1114863.41,-8316.04,-8454.37,-8565.79,-8656.01,-8816.85,-8868.63,-8963.91,10302.740000000002,140.45552170401746,10302.740000000002
10545.0,2990448.65,1114863.5,-8317.04,-8454.51,-8565.92,-8656.15,-8816.99,-8868.77,-8964.04,10303.6,145.58828560019137,10303.6
10546.0,2990448.64,1114863.6,-8318.03,-8454.64,-8566.05,-8656.28,-8817.12,-8868.9,-8964.18,10304.46,,10304.46
10547.0,2990448.63,1114863.7,-8319.03,-8454.78,-8566.19,-8656.42,-8817.26,-8869.03,-8964.31,10305.320000000002,,10305.320000000002
10548.0,2990448.61,1114863.81,-8320.02,-8454.91,-8566.32,-8656.55,-8817.39,-8869.17,-8964.45,10306.18,140.45552170401746,10306.18
10549.0,2990448.6,1114863.91,-8321.02,-8455.05,-8566.46,-8656.68,-8817.52,-8869.3,-8964.58,10307.04,,10307.04
10550.0,2990448.59,1114864.02,-8322.01,-8455.18,-8566.59,-8656.82,-8817.66,-8869.44,-8964.72,10307.9,147.304629787343,10307.9
10551.0,2990448.58,1114864.13,-8323.01,-8455.31,-8566.73,-8656.95,-8817.79,-8869.57,-8964.85,10308.76,,10308.76
10552.0,2990448.57,1114864.24,-8324.0,-8455.45,-8566.86,-8657.09,-8817.93,-8869.71,-8964.98,10309.62,150.74545249428687,10309.62
10553.0,2990448.55,1114864.36,-8324.99,-8455.61,-8567.02,-8657.25,-8818.09,-8869.87,-8965.15,10310.45,,10310.45
10554.0,2990448.54,1114864.47,-8325.99,-8455.77,-8567.18,-8657.41,-8818.25,-8870.03,-8965.31,10311.29,140.45552170401746,10311.29
10555.0,2990448.53,1114864.59,-8326.98,-8455.93,-8567.34,-8657.57,-8818.41,-8870.19,-8965.47,10312.12,150.74545249428687,10312.12
10556.0,2990448.52,1114864.71,-8327.97,-8456.1,-8567.51,-8657.73,-8818.57,-8870.35,-8965.63,10312.95,,10312.95
10557.0,2990448.51,1114864.84,-8328.96,-8456.26,-8567.67,-8657.9,-8818.73,-8870.51,-8965.79,10313.78,137.0146989970736,10313.78
10558.0,2990448.5,1114864.96,-8329.96,-8456.42,-8567.83,-8658.06,-8818.9,-8870.68,-8965.95,10314.61,,10314.61
10559.0,2990448.49,1114865.09,-8330.95,-8456.58,-8567.99,-8658.22,-8819.06,-8870.84,-8966.12,10315.44,150.74545249428687,10315.44
10560.0,2990448.48,1114865.22,-8331.94,-8456.74,-8568.15,-8658.38,-8819.22,-8871.0,-8966.28,10316.27,,10316.27
10561.0,2990448.47,1114865.35,-8332.93,-8456.9,-8568.31,-8658.54,-8819.38,-8871.16,-8966.44,10317.1,138.7391775168658,10317.1
10562.0,2990448.46,1114865.49,-8333.92,-8457.07,-8568.48,-8658.7,-8819.54,-8871.32,-8966.6,10317.93,,10317.93
10563.0,2990448.45,1114865.62,-8334.91,-8457.25,-8568.67,-8658.89,-8819.73,-8871.51,-8966.79,10318.73,150.74545249428687,10318.73
10564.0,2990448.44,1114865.76,-8335.9,-8457.44,-8568.85,-8659.08,-8819.92,-8871.7,-8966.98,10319.53,142.14746289324754,10319.53
10565.0,2990448.43,1114865.9,-8336.89,-8457.63,-8569.04,-8659.27,-8820.11,-8871.89,-8967.17,10320.33,,10320.33
