MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
9833.0,2998178.62,1127577.07,-7734.69,-8306.06,-8420.84,-8513.29,-8685.35,-8737.37,-8832.76,9798.98,87.56869219391655,9798.98
9834.0,2998178.62,1127577.06,-7735.69,-8306.06,-8420.84,-8513.29,-8685.35,-8737.37,-8832.76,9799.98,87.66319078261502,9799.98
9835.0,2998178.63,1127577.05,-7736.69,-8306.06,-8420.84,-8513.29,-8685.35,-8737.37,-8832.76,9800.98,88.19868278523968,9800.98
9836.0,2998178.63,1127577.04,-7737.69,-8306.06,-8420.84,-8513.29,-8685.35,-8737.37,-8832.76,9801.98,90.204152834285,9801.98
9837.0,2998178.63,1127577.03,-7738.69,-8306.06,-8420.84,-8513.29,-8685.35,-8737.37,-8832.76,9802.98,,9802.98
9838.0,2998178.63,1127577.02,-7739.69,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9803.98,92.2411224128965,9803.98
9839.0,2998178.63,1127577.01,-7740.69,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9804.98,92.98661127929554,9804.98
9840.0,2998178.63,1127577.0,-7741.69,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9805.98,94.5090885416598,9805.98
9841.0,2998178.63,1127576.99,-7742.69,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9806.98,96.46205937476154,9806.98
9842.0,2998178.64,1127576.98,-7743.69,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9807.98,98.73002550352484,9807.98
9843.0,2998178.64,1127576.97,-7744.69,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9808.98,100.18950370675678,9808.98
9844.0,2998178.64,1127576.96,-7745.69,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9809.98,97.4385447913124,9809.98
9845.0,2998178.64,1127576.95,-7746.69,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9810.98,94.0680951277336,9810.98
9846.0,2998178.64,1127576.94,-7747.69,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9811.98,92.9026125337858,9811.98
9847.0,2998178.64,1127576.93,-7748.69,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9812.98,,9812.98
9848.0,2998178.64,1127576.93,-7749.69,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9813.98,90.4771487571917,9813.98
9849.0,2998178.65,1127576.92,-7750.69,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9814.98,89.3116661632439,9814.98
9850.0,2998178.65,1127576.91,-7751.69,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9815.98,88.90217227888385,9815.98
9851.0,2998178.65,1127576.9,-7752.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9816.98,88.71317510148691,9816.98
9852.0,2998178.65,1127576.89,-7753.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9817.98,89.96265644094447,9817.98
9853.0,2998178.65,1127576.88,-7754.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9818.98,90.46664891400296,9818.98
9854.0,2998178.65,1127576.87,-7755.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9819.98,90.16215346153014,9819.98
9855.0,2998178.65,1127576.86,-7756.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9820.97,89.05966992671465,9820.97
9856.0,2998178.65,1127576.85,-7757.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9821.97,88.38767996263662,9821.97
9857.0,2998178.65,1127576.84,-7758.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9822.97,88.07268466697506,9822.97
9858.0,2998178.65,1127576.83,-7759.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9823.97,87.98868592146529,9823.97
9859.0,2998178.65,1127576.83,-7760.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9824.97,88.00968560784274,9824.97
9860.0,2998178.66,1127576.82,-7761.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9825.97,89.04917008352592,9825.97
9861.0,2998178.66,1127576.81,-7762.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9826.97,90.68714562096608,9826.97
9862.0,2998178.66,1127576.8,-7763.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9827.97,92.28312178565136,9827.97
9863.0,2998178.66,1127576.79,-7764.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9828.97,94.30959152107415,9828.97
9864.0,2998178.66,1127576.78,-7765.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9829.97,96.31506157011948,9829.97
9865.0,2998178.66,1127576.77,-7766.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9830.97,97.78503961654016,9830.97
9866.0,2998178.66,1127576.77,-7767.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9831.97,99.2025184470172,9831.97
9867.0,2998178.66,1127576.76,-7768.68,-8306.06,-8420.84,-8513.3,-8685.35,-8737.37,-8832.76,9832.97,101.06099069142046,9832.97
