MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10896.0,2902974.38,1026253.75,-8807.36,-8833.75,-9070.89,-9107.95,-9158.42,-9187.0,-9321.41,10856.4,127.142754128612,10856.4
10897.0,2902974.39,1026253.74,-8808.36,-8833.76,-9070.89,-9107.96,-9158.43,-9187.0,-9321.42,10857.39,116.84364898602904,10857.39
10898.0,2902974.41,1026253.72,-8809.36,-8833.77,-9070.9,-9107.96,-9158.44,-9187.01,-9321.43,10858.38,102.42891703208252,10858.38
10899.0,2902974.43,1026253.71,-8810.36,-8833.77,-9070.91,-9107.97,-9158.44,-9187.02,-9321.44,10859.38,107.34759297737068,10859.38
10900.0,2902974.45,1026253.69,-8811.36,-8833.78,-9070.92,-9107.98,-9158.45,-9187.03,-9321.44,10860.37,,10860.37
10901.0,2902974.47,1026253.67,-8812.36,-8833.79,-9070.92,-9107.99,-9158.46,-9187.03,-9321.45,10861.36,115.63907528514214,10861.36
10902.0,2902974.49,1026253.66,-8813.36,-8833.8,-9070.93,-9107.99,-9158.47,-9187.04,-9321.46,10862.35,115.3680462024426,10862.35
10903.0,2902974.51,1026253.64,-8814.36,-8833.8,-9070.94,-9108.0,-9158.47,-9187.05,-9321.47,10863.34,114.73564500947695,10863.34
10904.0,2902974.53,1026253.62,-8815.36,-8833.81,-9070.95,-9108.01,-9158.48,-9187.06,-9321.47,10864.34,108.02014662703252,10864.34
10905.0,2902974.56,1026253.6,-8816.36,-8833.82,-9070.95,-9108.02,-9158.49,-9187.06,-9321.48,10865.33,102.2683072052976,10865.33
10906.0,2902974.58,1026253.58,-8817.36,-8833.83,-9070.96,-9108.02,-9158.5,-9187.07,-9321.49,10866.320000000002,100.09003642952712,10866.320000000002
10907.0,2902974.6,1026253.56,-8818.36,-8833.84,-9070.97,-9108.03,-9158.51,-9187.08,-9321.5,10867.31,97.65077468523114,10867.31
10908.0,2902974.62,1026253.54,-8819.36,-8833.85,-9070.98,-9108.04,-9158.52,-9187.09,-9321.51,10868.3,104.0550915282798,10868.3
10909.0,2902974.65,1026253.52,-8820.36,-8833.86,-9070.99,-9108.05,-9158.53,-9187.1,-9321.52,10869.29,103.05128011087406,10869.29
10910.0,2902974.67,1026253.5,-8821.36,-8833.87,-9071.0,-9108.06,-9158.54,-9187.11,-9321.53,10870.28,102.6196412013896,10870.28
10911.0,2902974.7,1026253.48,-8822.36,-8833.88,-9071.01,-9108.07,-9158.54,-9187.12,-9321.54,10871.27,107.15686880806358,10871.27
10912.0,2902974.72,1026253.45,-8823.35,-8833.89,-9071.02,-9108.08,-9158.55,-9187.13,-9321.55,10872.26,115.97033305288603,10872.26
10913.0,2902974.75,1026253.43,-8824.35,-8833.9,-9071.03,-9108.09,-9158.56,-9187.14,-9321.56,10873.25,182.11146734575075,10873.25
10914.0,2902974.78,1026253.41,-8825.35,-8833.91,-9071.04,-9108.1,-9158.57,-9187.15,-9321.57,10874.240000000002,139.54986324774703,10874.240000000002
10915.0,2902974.8,1026253.38,-8826.35,-8833.92,-9071.05,-9108.11,-9158.58,-9187.16,-9321.58,10875.23,108.27109948138396,10875.23
10916.0,2902974.83,1026253.35,-8827.35,-8833.93,-9071.06,-9108.12,-9158.59,-9187.17,-9321.59,10876.22,107.9799941703363,10876.22
10917.0,2902974.86,1026253.33,-8828.35,-8833.94,-9071.07,-9108.13,-9158.61,-9187.18,-9321.6,10877.2,106.49435327257578,10877.2
10918.0,2902974.89,1026253.3,-8829.35,-8833.95,-9071.08,-9108.15,-9158.62,-9187.2,-9321.61,10878.19,109.1343773003529,10878.19
10919.0,2902974.92,1026253.27,-8830.35,-8833.96,-9071.1,-9108.16,-9158.63,-9187.21,-9321.62,10879.18,99.02599632707702,10879.18
