MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10282.0,2916436.66,1043146.99,-8211.73,-8629.9,-8841.97,-8896.11,-8948.1,-8993.93,-9119.9,10342.5,,10342.5
10283.0,2916436.65,1043147.0,-8212.73,-8630.23,-8842.3,-8896.44,-8948.42,-8994.26,-9120.23,10343.17,170.9733880855526,10343.17
10284.0,2916436.64,1043147.0,-8213.73,-8630.56,-8842.63,-8896.77,-8948.75,-8994.59,-9120.56,10343.85,,10343.85
10285.0,2916436.63,1043147.0,-8214.73,-8630.89,-8842.96,-8897.1,-8949.08,-8994.91,-9120.89,10344.52,,10344.52
10286.0,2916436.62,1043147.01,-8215.73,-8631.21,-8843.29,-8897.43,-8949.41,-8995.24,-9121.22,10345.19,170.04445778317887,10345.19
10287.0,2916436.61,1043147.01,-8216.73,-8631.54,-8843.61,-8897.75,-8949.74,-8995.57,-9121.54,10345.86,167.20745442728054,10345.86
10288.0,2916436.6,1043147.01,-8217.73,-8631.87,-8843.94,-8898.08,-8950.07,-8995.9,-9121.87,10346.53,,10346.53
10289.0,2916436.59,1043147.01,-8218.73,-8632.2,-8844.27,-8898.41,-8950.4,-8996.23,-9122.2,10347.2,,10347.2
10290.0,2916436.58,1043147.02,-8219.73,-8632.53,-8844.6,-8898.74,-8950.72,-8996.56,-9122.53,10347.87,160.9308983301604,10347.87
10291.0,2916436.57,1043147.02,-8220.72,-8632.86,-8844.93,-8899.07,-8951.05,-8996.89,-9122.86,10348.55,,10348.55
10292.0,2916436.56,1043147.02,-8221.72,-8633.2,-8845.27,-8899.41,-8951.39,-8997.22,-9123.2,10349.21,,10349.21
10293.0,2916436.55,1043147.03,-8222.72,-8633.53,-8845.6,-8899.74,-8951.73,-8997.56,-9123.53,10349.87,,10349.87
10294.0,2916436.53,1043147.03,-8223.72,-8633.87,-8845.94,-8900.08,-8952.07,-8997.9,-9123.87,10350.53,164.69683198843248,10350.53
10295.0,2916436.52,1043147.03,-8224.72,-8634.21,-8846.28,-8900.42,-8952.4,-8998.24,-9124.21,10351.2,,10351.2
10296.0,2916436.51,1043147.04,-8225.72,-8634.55,-8846.62,-8900.76,-8952.74,-8998.57,-9124.55,10351.86,,10351.86
10297.0,2916436.5,1043147.04,-8226.72,-8634.88,-8846.95,-8901.09,-8953.08,-8998.91,-9124.88,10352.52,,10352.52
10298.0,2916436.49,1043147.05,-8227.72,-8635.22,-8847.29,-8901.43,-8953.42,-8999.25,-9125.22,10353.18,170.9733880855526,10353.18
10299.0,2916436.48,1043147.05,-8228.72,-8635.56,-8847.63,-8901.77,-8953.75,-8999.59,-9125.56,10353.84,,10353.84
10300.0,2916436.47,1043147.05,-8229.72,-8635.9,-8847.97,-8902.11,-8954.09,-8999.92,-9125.9,10354.51,171.48806568551646,10354.51
10301.0,2916436.46,1043147.06,-8230.72,-8636.23,-8848.3,-8902.44,-8954.43,-9000.26,-9126.23,10355.17,173.48401052440067,10355.17
10302.0,2916436.45,1043147.06,-8231.72,-8636.58,-8848.65,-8902.79,-8954.77,-9000.61,-9126.58,10355.820000000002,,10355.820000000002
10303.0,2916436.44,1043147.06,-8232.72,-8636.93,-8849.0,-8903.14,-8955.12,-9000.95,-9126.93,10356.48,,10356.48
10304.0,2916436.43,1043147.07,-8233.72,-8637.27,-8849.34,-8903.48,-8955.47,-9001.3,-9127.27,10357.13,,10357.13
10305.0,2916436.42,1043147.07,-8234.72,-8637.62,-8849.69,-8903.83,-8955.81,-9001.65,-9127.62,10357.78,,10357.78
10306.0,2916436.41,1043147.08,-8235.72,-8637.96,-8850.04,-8904.18,-8956.16,-9001.99,-9127.97,10358.44,152.1688260185807,10358.44
10307.0,2916436.4,1043147.08,-8236.72,-8638.31,-8850.38,-8904.52,-8956.51,-9002.34,-9128.31,10359.09,144.61185247764806,10359.09
10308.0,2916436.39,1043147.08,-8237.72,-8638.66,-8850.73,-8904.87,-8956.85,-9002.69,-9128.66,10359.740000000002,,10359.740000000002
10309.0,2916436.37,1043147.09,-8238.72,-8639.0,-8851.07,-8905.22,-8957.2,-9003.03,-9129.0,10360.4,,10360.4
10310.0,2916436.36,1043147.09,-8239.72,-8639.35,-8851.42,-8905.56,-8957.55,-9003.38,-9129.35,10361.05,160.9308983301604,10361.05
10311.0,2916436.35,1043147.1,-8240.72,-8639.7,-8851.77,-8905.91,-8957.89,-9003.72,-9129.7,10361.7,,10361.7
10312.0,2916436.34,1043147.1,-8241.72,-8640.05,-8852.12,-8906.26,-8958.25,-9004.08,-9130.05,10362.35,,10362.35
10313.0,2916436.33,1043147.11,-8242.72,-8640.41,-8852.48,-8906.62,-8958.6,-9004.44,-9130.41,10362.990000000002,,10362.990000000002
10314.0,2916436.32,1043147.11,-8243.72,-8640.76,-8852.83,-8906.97,-8958.96,-9004.79,-9130.76,10363.64,154.65434223304027,10363.64
10315.0,2916436.31,1043147.12,-8244.72,-8641.12,-8853.19,-8907.33,-8959.31,-9005.15,-9131.12,10364.28,,10364.28
10316.0,2916436.3,1043147.12,-8245.72,-8641.47,-8853.54,-8907.69,-8959.67,-9005.5,-9131.47,10364.93,,10364.93
10317.0,2916436.29,1043147.13,-8246.72,-8641.83,-8853.9,-8908.04,-8960.02,-9005.86,-9131.83,10365.570000000002,144.61185247764806,10365.570000000002
10318.0,2916436.28,1043147.13,-8247.72,-8642.18,-8854.26,-8908.4,-8960.38,-9006.21,-9132.19,10366.22,,10366.22
10319.0,2916436.27,1043147.13,-8248.72,-8642.54,-8854.61,-8908.75,-8960.73,-9006.57,-9132.54,10366.86,,10366.86
10320.0,2916436.26,1043147.14,-8249.72,-8642.9,-8854.97,-8909.11,-8961.09,-9006.92,-9132.9,10367.51,,10367.51
10321.0,2916436.24,1043147.14,-8250.72,-8643.25,-8855.32,-8909.46,-8961.45,-9007.28,-9133.25,10368.15,149.0556541944091,10368.15
10322.0,2916436.23,1043147.15,-8251.72,-8643.61,-8855.69,-8909.83,-8961.81,-9007.64,-9133.62,10368.79,160.9308983301604,10368.79
10323.0,2916436.22,1043147.15,-8252.72,-8643.98,-8856.05,-8910.19,-8962.17,-9008.01,-9133.98,10369.42,,10369.42
10324.0,2916436.21,1043147.16,-8253.72,-8644.34,-8856.41,-8910.55,-8962.54,-9008.37,-9134.34,10370.06,163.4038614324257,10370.06
10325.0,2916436.2,1043147.17,-8254.72,-8644.71,-8856.78,-8910.92,-8962.9,-9008.74,-9134.71,10370.69,170.9733880855526,10370.69
10326.0,2916436.19,1043147.17,-8255.72,-8645.07,-8857.14,-8911.28,-8963.27,-9009.1,-9135.07,10371.33,,10371.33
10327.0,2916436.18,1043147.18,-8256.72,-8645.44,-8857.51,-8911.65,-8963.63,-9009.46,-9135.44,10371.96,,10371.96
10328.0,2916436.17,1043147.18,-8257.72,-8645.8,-8857.87,-8912.01,-8964.0,-9009.83,-9135.8,10372.6,,10372.6
10329.0,2916436.16,1043147.19,-8258.72,-8646.16,-8858.24,-8912.38,-8964.36,-9010.19,-9136.17,10373.240000000002,169.0653150320281,10373.240000000002
10330.0,2916436.15,1043147.19,-8259.72,-8646.53,-8858.6,-8912.74,-8964.72,-9010.56,-9136.53,10373.87,164.69683198843248,10373.87
10331.0,2916436.13,1043147.2,-8260.72,-8646.89,-8858.96,-8913.1,-8965.09,-9010.92,-9136.89,10374.51,,10374.51
10332.0,2916436.12,1043147.2,-8261.72,-8647.26,-8859.33,-8913.47,-8965.46,-9011.29,-9137.26,10375.14,144.43610890692867,10375.14
10333.0,2916436.11,1043147.21,-8262.72,-8647.63,-8859.7,-8913.84,-8965.83,-9011.66,-9137.63,10375.77,115.7396944308954,10375.77
10334.0,2916436.1,1043147.22,-8263.72,-8648.0,-8860.07,-8914.22,-8966.2,-9012.03,-9138.0,10376.4,,10376.4
10335.0,2916436.09,1043147.22,-8264.72,-8648.38,-8860.45,-8914.59,-8966.57,-9012.4,-9138.38,10377.02,,10377.02
10336.0,2916436.08,1043147.23,-8265.72,-8648.25,-8860.32,-8914.46,-8966.44,-9012.28,-9138.25,10378.15,,10378.15
