MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10052.0,2942923.3,1065642.83,-7904.129999999999,-8426.55,-8582.51,-8659.25,-8748.84,-8793.54,-8898.6,9839.990000000002,127.5898153791186,9839.990000000002
10053.0,2942923.31,1065642.83,-7905.129999999999,-8426.54,-8582.51,-8659.25,-8748.83,-8793.54,-8898.6,9841.0,130.5755364878343,9841.0
10054.0,2942923.32,1065642.83,-7906.129999999999,-8426.54,-8582.5,-8659.25,-8748.83,-8793.53,-8898.59,9842.0,,9842.0
10055.0,2942923.33,1065642.83,-7907.129999999999,-8426.54,-8582.5,-8659.25,-8748.83,-8793.53,-8898.59,9843.0,125.59933463997478,9843.0
10056.0,2942923.33,1065642.83,-7908.129999999999,-8426.53,-8582.5,-8659.24,-8748.82,-8793.53,-8898.59,9844.0,129.83905861435113,9844.0
10057.0,2942923.34,1065642.83,-7909.129999999999,-8426.53,-8582.49,-8659.24,-8748.82,-8793.53,-8898.58,9845.01,,9845.01
10058.0,2942923.35,1065642.83,-7910.129999999999,-8426.53,-8582.49,-8659.24,-8748.82,-8793.52,-8898.58,9846.01,135.55173833569387,9846.01
10059.0,2942923.35,1065642.83,-7911.129999999999,-8426.53,-8582.49,-8659.23,-8748.82,-8793.52,-8898.58,9847.01,,9847.01
10060.0,2942923.36,1065642.83,-7912.129999999999,-8426.52,-8582.49,-8659.23,-8748.81,-8793.52,-8898.58,9848.01,125.59933463997478,9848.01
10061.0,2942923.37,1065642.83,-7913.129999999999,-8426.52,-8582.48,-8659.23,-8748.81,-8793.51,-8898.57,9849.02,,9849.02
10062.0,2942923.37,1065642.83,-7914.129999999999,-8426.52,-8582.48,-8659.23,-8748.81,-8793.51,-8898.57,9850.02,129.3513908332609,9850.02
10063.0,2942923.38,1065642.83,-7915.129999999999,-8426.52,-8582.48,-8659.22,-8748.8,-8793.51,-8898.57,9851.02,130.5755364878343,9851.02
10064.0,2942923.39,1065642.83,-7916.129999999999,-8426.51,-8582.47,-8659.22,-8748.8,-8793.51,-8898.57,9852.03,119.62789242254334,9852.03
10065.0,2942923.39,1065642.83,-7917.129999999999,-8426.51,-8582.47,-8659.22,-8748.8,-8793.5,-8898.56,9853.03,,9853.03
10066.0,2942923.4,1065642.83,-7918.129999999999,-8426.51,-8582.47,-8659.21,-8748.8,-8793.5,-8898.56,9854.03,,9854.03
10067.0,2942923.41,1065642.83,-7919.129999999999,-8426.5,-8582.47,-8659.21,-8748.79,-8793.5,-8898.56,9855.03,124.00695004865976,9855.03
10068.0,2942923.41,1065642.83,-7920.129999999999,-8426.5,-8582.46,-8659.21,-8748.79,-8793.5,-8898.55,9856.04,122.61361353125906,9856.04
10069.0,2942923.42,1065642.83,-7921.129999999999,-8426.5,-8582.46,-8659.21,-8748.79,-8793.49,-8898.55,9857.04,,9857.04
10070.0,2942923.43,1065642.83,-7922.129999999999,-8426.5,-8582.46,-8659.2,-8748.79,-8793.49,-8898.55,9858.04,,9858.04
10071.0,2942923.43,1065642.83,-7923.129999999999,-8426.49,-8582.46,-8659.2,-8748.78,-8793.49,-8898.55,9859.04,125.59933463997478,9859.04
10072.0,2942923.44,1065642.83,-7924.129999999999,-8426.49,-8582.45,-8659.2,-8748.78,-8793.48,-8898.54,9860.05,,9860.05
10073.0,2942923.45,1065642.83,-7925.129999999999,-8426.49,-8582.45,-8659.2,-8748.78,-8793.48,-8898.54,9861.05,,9861.05
10074.0,2942923.45,1065642.83,-7926.129999999999,-8426.49,-8582.45,-8659.19,-8748.77,-8793.48,-8898.54,9862.05,122.61361353125906,9862.05
10075.0,2942923.46,1065642.83,-7927.129999999999,-8426.48,-8582.45,-8659.19,-8748.77,-8793.48,-8898.54,9863.05,125.44009618084328,9863.05
10076.0,2942923.47,1065642.83,-7928.129999999999,-8426.48,-8582.44,-8659.19,-8748.77,-8793.47,-8898.53,9864.06,124.59414186670716,9864.06
10077.0,2942923.47,1065642.83,-7929.129999999999,-8426.48,-8582.44,-8659.19,-8748.77,-8793.47,-8898.53,9865.06,120.15536981841646,9865.06
10078.0,2942923.48,1065642.83,-7930.129999999999,-8426.48,-8582.44,-8659.18,-8748.76,-8793.47,-8898.53,9866.06,117.63741168339952,9866.06
10079.0,2942923.49,1065642.83,-7931.129999999999,-8426.47,-8582.44,-8659.18,-8748.76,-8793.47,-8898.53,9867.06,122.61361353125906,9867.06
10080.0,2942923.49,1065642.83,-7932.129999999999,-8426.47,-8582.43,-8659.18,-8748.76,-8793.46,-8898.52,9868.070000000002,,9868.070000000002
10081.0,2942923.5,1065642.83,-7933.129999999999,-8426.47,-8582.43,-8659.18,-8748.76,-8793.46,-8898.52,9869.070000000002,125.59933463997478,9869.070000000002
10082.0,2942923.51,1065642.83,-7934.129999999999,-8426.47,-8582.43,-8659.17,-8748.75,-8793.46,-8898.52,9870.070000000002,,9870.070000000002
10083.0,2942923.51,1065642.83,-7935.129999999999,-8426.46,-8582.43,-8659.17,-8748.75,-8793.46,-8898.52,9871.070000000002,127.5898153791186,9871.070000000002
10084.0,2942923.52,1065642.83,-7936.129999999999,-8426.46,-8582.42,-8659.17,-8748.75,-8793.46,-8898.51,9872.08,125.29081012540748,9872.08
10085.0,2942923.52,1065642.84,-7937.129999999999,-8426.46,-8582.42,-8659.17,-8748.75,-8793.45,-8898.51,9873.08,119.62789242254334,9873.08
10086.0,2942923.53,1065642.84,-7938.129999999999,-8426.46,-8582.42,-8659.16,-8748.75,-8793.45,-8898.51,9874.08,122.40461305364896,9874.08
10087.0,2942923.54,1065642.84,-7939.129999999999,-8426.45,-8582.42,-8659.16,-8748.74,-8793.45,-8898.51,9875.08,125.59933463997478,9875.08
10088.0,2942923.54,1065642.84,-7940.129999999999,-8426.45,-8582.41,-8659.16,-8748.74,-8793.45,-8898.5,9876.09,127.5898153791186,9876.09
10089.0,2942923.55,1065642.84,-7941.129999999999,-8426.45,-8582.41,-8659.16,-8748.74,-8793.44,-8898.5,9877.09,,9877.09
10090.0,2942923.55,1065642.84,-7942.129999999999,-8426.45,-8582.41,-8659.15,-8748.74,-8793.44,-8898.5,9878.09,119.62789242254334,9878.09
10091.0,2942923.56,1065642.84,-7943.129999999999,-8426.45,-8582.41,-8659.15,-8748.73,-8793.44,-8898.5,9879.09,,9879.09
10092.0,2942923.57,1065642.84,-7944.129999999999,-8426.44,-8582.4,-8659.15,-8748.73,-8793.44,-8898.5,9880.09,122.61361353125906,9880.09
10093.0,2942923.57,1065642.84,-7945.129999999999,-8426.44,-8582.4,-8659.15,-8748.73,-8793.43,-8898.49,9881.1,114.6516905746838,9881.1
10094.0,2942923.58,1065642.84,-7946.129999999999,-8426.44,-8582.4,-8659.15,-8748.73,-8793.43,-8898.49,9882.1,,9882.1
10095.0,2942923.58,1065642.84,-7947.129999999999,-8426.44,-8582.4,-8659.14,-8748.73,-8793.43,-8898.49,9883.1,125.59933463997478,9883.1
10096.0,2942923.59,1065642.84,-7948.129999999999,-8426.43,-8582.4,-8659.14,-8748.72,-8793.43,-8898.49,9884.1,,9884.1
10097.0,2942923.59,1065642.84,-7949.129999999999,-8426.43,-8582.39,-8659.14,-8748.72,-8793.43,-8898.48,9885.11,124.03680725974692,9885.11
