MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11339.0,2985189.94,1056029.55,-9157.13,-9737.93,-9913.5,-9915.84,-9995.82,-10032.68,-10176.61,11207.21,,11207.21
11340.0,2985189.89,1056029.59,-9158.13,-9737.93,-9913.5,-9915.84,-9995.82,-10032.67,-10176.61,11208.21,82.29723411521523,11208.21
11341.0,2985189.84,1056029.63,-9159.13,-9737.92,-9913.5,-9915.83,-9995.82,-10032.67,-10176.61,11209.21,,11209.21
11342.0,2985189.79,1056029.67,-9160.13,-9737.92,-9913.5,-9915.83,-9995.82,-10032.67,-10176.6,11210.21,91.98468880366543,11210.21
11343.0,2985189.75,1056029.71,-9161.13,-9737.92,-9913.5,-9915.83,-9995.82,-10032.67,-10176.6,11211.21,90.37011302225709,11211.21
11344.0,2985189.7,1056029.75,-9162.12,-9737.92,-9913.5,-9915.83,-9995.82,-10032.67,-10176.6,11212.21,88.75553724084871,11212.21
11345.0,2985189.65,1056029.79,-9163.12,-9737.92,-9913.5,-9915.83,-9995.82,-10032.67,-10176.6,11213.21,87.14096145944033,11213.21
11346.0,2985189.6,1056029.83,-9164.12,-9737.92,-9913.5,-9915.83,-9995.81,-10032.67,-10176.6,11214.21,85.52638567803197,11214.21
11347.0,2985189.55,1056029.87,-9165.12,-9737.92,-9913.49,-9915.83,-9995.81,-10032.67,-10176.6,11215.21,,11215.21
11348.0,2985189.51,1056029.91,-9166.12,-9737.92,-9913.49,-9915.83,-9995.81,-10032.66,-10176.6,11216.21,,11216.21
11349.0,2985189.46,1056029.95,-9167.11,-9737.91,-9913.49,-9915.82,-9995.81,-10032.66,-10176.6,11217.21,80.13831564178918,11217.21
11350.0,2985189.41,1056029.99,-9168.11,-9737.91,-9913.49,-9915.82,-9995.81,-10032.66,-10176.59,11218.21,91.98468880366543,11218.21
11351.0,2985189.36,1056030.03,-9169.11,-9737.91,-9913.49,-9915.82,-9995.81,-10032.66,-10176.59,11219.21,,11219.21
11352.0,2985189.31,1056030.07,-9170.11,-9737.91,-9913.49,-9915.82,-9995.81,-10032.66,-10176.59,11220.21,87.14096145944033,11220.21
11353.0,2985189.26,1056030.11,-9171.11,-9737.91,-9913.49,-9915.82,-9995.8,-10032.66,-10176.59,11221.2,,11221.2
11354.0,2985189.22,1056030.15,-9172.11,-9737.91,-9913.48,-9915.82,-9995.8,-10032.66,-10176.59,11222.2,90.37011302225709,11222.2
11355.0,2985189.17,1056030.19,-9173.1,-9737.91,-9913.48,-9915.82,-9995.8,-10032.66,-10176.59,11223.2,79.0680825523985,11223.2
11356.0,2985189.12,1056030.23,-9174.1,-9737.9,-9913.48,-9915.81,-9995.8,-10032.65,-10176.59,11224.2,,11224.2
11357.0,2985189.07,1056030.27,-9175.1,-9737.9,-9913.48,-9915.81,-9995.8,-10032.65,-10176.59,11225.2,88.75553724084871,11225.2
11358.0,2985189.02,1056030.31,-9176.1,-9737.9,-9913.48,-9915.81,-9995.8,-10032.65,-10176.58,11226.2,,11226.2
11359.0,2985188.98,1056030.35,-9177.1,-9737.9,-9913.48,-9915.81,-9995.8,-10032.65,-10176.58,11227.2,,11227.2
11360.0,2985188.93,1056030.39,-9178.09,-9737.9,-9913.48,-9915.81,-9995.8,-10032.65,-10176.58,11228.2,87.14096145944033,11228.2
11361.0,2985188.88,1056030.43,-9179.09,-9737.9,-9913.48,-9915.81,-9995.79,-10032.65,-10176.58,11229.2,85.52638567803197,11229.2
11362.0,2985188.84,1056030.47,-9180.09,-9737.9,-9913.47,-9915.81,-9995.79,-10032.65,-10176.58,11230.2,,11230.2
11363.0,2985188.79,1056030.51,-9181.09,-9737.9,-9913.47,-9915.81,-9995.79,-10032.65,-10176.58,11231.2,79.0680825523985,11231.2
11364.0,2985188.74,1056030.55,-9182.09,-9737.89,-9913.47,-9915.8,-9995.79,-10032.64,-10176.58,11232.2,,11232.2
11365.0,2985188.7,1056030.6,-9183.08,-9737.89,-9913.47,-9915.8,-9995.79,-10032.64,-10176.57,11233.2,,11233.2
11366.0,2985188.65,1056030.64,-9184.08,-9737.89,-9913.47,-9915.8,-9995.79,-10032.64,-10176.57,11234.2,82.29723411521523,11234.2
11367.0,2985188.61,1056030.68,-9185.08,-9737.89,-9913.47,-9915.8,-9995.79,-10032.64,-10176.57,11235.2,,11235.2
11368.0,2985188.56,1056030.72,-9186.08,-9737.89,-9913.47,-9915.8,-9995.79,-10032.64,-10176.57,11236.19,,11236.19
11369.0,2985188.52,1056030.76,-9187.08,-9737.89,-9913.47,-9915.8,-9995.78,-10032.64,-10176.57,11237.19,76.65083195394709,11237.19
11370.0,2985188.47,1056030.81,-9188.07,-9737.89,-9913.46,-9915.8,-9995.78,-10032.64,-10176.57,11238.19,87.92518398183869,11238.19
11371.0,2985188.43,1056030.85,-9189.07,-9737.89,-9913.46,-9915.8,-9995.78,-10032.63,-10176.57,11239.19,88.75553724084871,11239.19
11372.0,2985188.38,1056030.89,-9190.07,-9737.88,-9913.46,-9915.79,-9995.78,-10032.63,-10176.57,11240.19,86.17221599059532,11240.19
11373.0,2985188.34,1056030.93,-9191.07,-9737.88,-9913.46,-9915.79,-9995.78,-10032.63,-10176.56,11241.19,87.68530415145803,11241.19
11374.0,2985188.29,1056030.98,-9192.07,-9737.88,-9913.46,-9915.79,-9995.78,-10032.63,-10176.56,11242.19,,11242.19
11375.0,2985188.25,1056031.02,-9193.06,-9737.88,-9913.46,-9915.79,-9995.78,-10032.63,-10176.56,11243.19,83.37669335192825,11243.19
11376.0,2985188.21,1056031.06,-9194.06,-9737.88,-9913.46,-9915.79,-9995.77,-10032.63,-10176.56,11244.19,82.84157680723291,11244.19
11377.0,2985188.16,1056031.1,-9195.06,-9737.88,-9913.45,-9915.79,-9995.77,-10032.63,-10176.56,11245.19,85.52638567803197,11245.19
11378.0,2985188.12,1056031.15,-9196.06,-9737.88,-9913.45,-9915.79,-9995.77,-10032.63,-10176.56,11246.19,75.83893098958174,11246.19
11379.0,2985188.08,1056031.19,-9197.06,-9737.87,-9913.45,-9915.78,-9995.77,-10032.62,-10176.56,11247.19,,11247.19
11380.0,2985188.03,1056031.23,-9198.06,-9737.87,-9913.45,-9915.78,-9995.77,-10032.62,-10176.55,11248.19,,11248.19
11381.0,2985187.99,1056031.28,-9199.05,-9737.87,-9913.45,-9915.78,-9995.77,-10032.62,-10176.55,11249.19,77.45350677099012,11249.19
11382.0,2985187.95,1056031.32,-9200.05,-9737.87,-9913.45,-9915.78,-9995.77,-10032.62,-10176.55,11250.19,83.9118098966236,11250.19
11383.0,2985187.9,1056031.37,-9201.05,-9737.87,-9913.45,-9915.78,-9995.77,-10032.62,-10176.55,11251.19,,11251.19
11384.0,2985187.86,1056031.41,-9202.05,-9737.87,-9913.45,-9915.78,-9995.76,-10032.62,-10176.55,11252.19,,11252.19
11385.0,2985187.82,1056031.45,-9203.05,-9737.87,-9913.44,-9915.78,-9995.76,-10032.62,-10176.55,11253.19,82.29723411521523,11253.19
11386.0,2985187.78,1056031.5,-9204.04,-9737.87,-9913.44,-9915.78,-9995.76,-10032.61,-10176.55,11254.18,85.52638567803197,11254.18
11387.0,2985187.74,1056031.54,-9205.04,-9737.86,-9913.44,-9915.77,-9995.76,-10032.61,-10176.55,11255.18,,11255.18
11388.0,2985187.7,1056031.59,-9206.04,-9737.86,-9913.44,-9915.77,-9995.76,-10032.61,-10176.54,11256.18,90.37011302225709,11256.18
11389.0,2985187.65,1056031.63,-9207.04,-9737.86,-9913.44,-9915.77,-9995.76,-10032.61,-10176.54,11257.18,88.75553724084871,11257.18
11390.0,2985187.61,1056031.68,-9208.04,-9737.86,-9913.44,-9915.77,-9995.76,-10032.61,-10176.54,11258.18,,11258.18
11391.0,2985187.57,1056031.72,-9209.03,-9737.86,-9913.44,-9915.77,-9995.75,-10032.61,-10176.54,11259.18,,11259.18
11392.0,2985187.53,1056031.77,-9210.03,-9737.86,-9913.43,-9915.77,-9995.75,-10032.61,-10176.54,11260.18,,11260.18
11393.0,2985187.49,1056031.81,-9211.03,-9737.86,-9913.43,-9915.77,-9995.75,-10032.61,-10176.54,11261.18,,11261.18
11394.0,2985187.45,1056031.86,-9212.03,-9737.85,-9913.43,-9915.76,-9995.75,-10032.6,-10176.54,11262.18,,11262.18
11395.0,2985187.41,1056031.9,-9213.03,-9737.85,-9913.43,-9915.76,-9995.75,-10032.6,-10176.53,11263.18,,11263.18
11396.0,2985187.37,1056031.95,-9214.03,-9737.85,-9913.43,-9915.76,-9995.75,-10032.6,-10176.53,11264.18,,11264.18
11397.0,2985187.33,1056032.0,-9215.02,-9737.85,-9913.43,-9915.76,-9995.75,-10032.6,-10176.53,11265.18,,11265.18
11398.0,2985187.29,1056032.04,-9216.02,-9737.85,-9913.43,-9915.76,-9995.75,-10032.6,-10176.53,11266.18,,11266.18
11399.0,2985187.25,1056032.09,-9217.02,-9737.85,-9913.43,-9915.76,-9995.74,-10032.6,-10176.53,11267.18,,11267.18
11400.0,2985187.22,1056032.13,-9218.02,-9737.85,-9913.42,-9915.76,-9995.74,-10032.6,-10176.53,11268.18,85.52638567803197,11268.18
11401.0,2985187.18,1056032.18,-9219.02,-9737.85,-9913.42,-9915.75,-9995.74,-10032.59,-10176.53,11269.18,88.75553724084871,11269.18
11402.0,2985187.14,1056032.23,-9220.01,-9737.84,-9913.42,-9915.75,-9995.74,-10032.59,-10176.53,11270.18,95.2138403664822,11270.18
11403.0,2985187.1,1056032.27,-9221.01,-9737.84,-9913.42,-9915.75,-9995.74,-10032.59,-10176.52,11271.18,,11271.18
11404.0,2985187.06,1056032.32,-9222.01,-9737.84,-9913.42,-9915.75,-9995.74,-10032.59,-10176.52,11272.18,90.90522956695244,11272.18
11405.0,2985187.02,1056032.37,-9223.01,-9737.84,-9913.42,-9915.75,-9995.74,-10032.59,-10176.52,11273.18,,11273.18
11406.0,2985186.99,1056032.41,-9224.01,-9737.84,-9913.42,-9915.75,-9995.73,-10032.59,-10176.52,11274.18,,11274.18
11407.0,2985186.95,1056032.46,-9225.01,-9737.84,-9913.41,-9915.75,-9995.73,-10032.59,-10176.52,11275.17,,11275.17
11408.0,2985186.91,1056032.51,-9226.0,-9737.84,-9913.41,-9915.75,-9995.73,-10032.58,-10176.52,11276.17,,11276.17
11409.0,2985186.87,1056032.56,-9227.0,-9737.83,-9913.41,-9915.74,-9995.73,-10032.58,-10176.52,11277.17,,11277.17
11410.0,2985186.84,1056032.6,-9228.0,-9737.83,-9913.41,-9915.74,-9995.73,-10032.58,-10176.51,11278.17,85.52638567803197,11278.17
11411.0,2985186.8,1056032.65,-9229.0,-9737.83,-9913.41,-9915.74,-9995.73,-10032.58,-10176.51,11279.17,,11279.17
11412.0,2985186.77,1056032.7,-9230.0,-9737.83,-9913.41,-9915.74,-9995.73,-10032.58,-10176.51,11280.17,75.83893098958174,11280.17
11413.0,2985186.73,1056032.75,-9230.99,-9737.83,-9913.41,-9915.74,-9995.72,-10032.58,-10176.51,11281.17,79.0680825523985,11281.17
11414.0,2985186.69,1056032.8,-9231.99,-9737.83,-9913.4,-9915.74,-9995.72,-10032.58,-10176.51,11282.17,,11282.17
11415.0,2985186.66,1056032.84,-9232.99,-9737.83,-9913.4,-9915.74,-9995.72,-10032.58,-10176.51,11283.17,,11283.17
11416.0,2985186.62,1056032.89,-9233.99,-9737.82,-9913.4,-9915.73,-9995.72,-10032.57,-10176.51,11284.17,,11284.17
11417.0,2985186.59,1056032.94,-9234.99,-9737.82,-9913.4,-9915.73,-9995.72,-10032.57,-10176.5,11285.17,,11285.17
11418.0,2985186.55,1056032.99,-9235.99,-9737.82,-9913.4,-9915.73,-9995.72,-10032.57,-10176.5,11286.17,,11286.17
11419.0,2985186.52,1056033.04,-9236.98,-9737.82,-9913.4,-9915.73,-9995.72,-10032.57,-10176.5,11287.17,,11287.17
11420.0,2985186.48,1056033.09,-9237.98,-9737.82,-9913.4,-9915.73,-9995.71,-10032.57,-10176.5,11288.17,,11288.17
11421.0,2985186.45,1056033.14,-9238.98,-9737.82,-9913.39,-9915.73,-9995.71,-10032.57,-10176.5,11289.17,88.75553724084871,11289.17
11422.0,2985186.41,1056033.19,-9239.98,-9737.82,-9913.39,-9915.73,-9995.71,-10032.57,-10176.5,11290.17,82.29723411521523,11290.17
11423.0,2985186.38,1056033.24,-9240.98,-9737.81,-9913.39,-9915.72,-9995.71,-10032.56,-10176.5,11291.17,85.52638567803197,11291.17
11424.0,2985186.34,1056033.29,-9241.97,-9737.81,-9913.39,-9915.72,-9995.71,-10032.56,-10176.49,11292.17,88.75553724084871,11292.17
11425.0,2985186.31,1056033.34,-9242.97,-9737.81,-9913.39,-9915.72,-9995.71,-10032.56,-10176.49,11293.17,91.98468880366543,11293.17
11426.0,2985186.28,1056033.39,-9243.97,-9737.81,-9913.39,-9915.72,-9995.71,-10032.56,-10176.49,11294.17,82.29723411521523,11294.17
11427.0,2985186.24,1056033.44,-9244.97,-9737.81,-9913.39,-9915.72,-9995.71,-10032.56,-10176.49,11295.17,,11295.17
11428.0,2985186.21,1056033.49,-9245.97,-9737.81,-9913.39,-9915.72,-9995.7,-10032.56,-10176.49,11296.17,,11296.17
11429.0,2985186.18,1056033.54,-9246.97,-9737.81,-9913.38,-9915.72,-9995.7,-10032.56,-10176.49,11297.17,,11297.17
11430.0,2985186.14,1056033.59,-9247.96,-9737.81,-9913.38,-9915.71,-9995.7,-10032.55,-10176.49,11298.17,84.71448471366662,11298.17
11431.0,2985186.11,1056033.64,-9248.96,-9737.8,-9913.38,-9915.71,-9995.7,-10032.55,-10176.49,11299.16,,11299.16
11432.0,2985186.08,1056033.69,-9249.96,-9737.8,-9913.38,-9915.71,-9995.7,-10032.55,-10176.48,11300.16,,11300.16
11433.0,2985186.05,1056033.74,-9250.96,-9737.8,-9913.38,-9915.71,-9995.7,-10032.55,-10176.48,11301.16,91.98468880366543,11301.16
11434.0,2985186.02,1056033.79,-9251.96,-9737.8,-9913.38,-9915.71,-9995.7,-10032.55,-10176.48,11302.16,95.2138403664822,11302.16
11435.0,2985185.98,1056033.84,-9252.95,-9737.8,-9913.38,-9915.71,-9995.69,-10032.55,-10176.48,11303.16,,11303.16
11436.0,2985185.95,1056033.89,-9253.95,-9737.8,-9913.37,-9915.71,-9995.69,-10032.55,-10176.48,11304.16,85.52638567803197,11304.16
11437.0,2985185.92,1056033.94,-9254.95,-9737.8,-9913.37,-9915.71,-9995.69,-10032.54,-10176.48,11305.16,,11305.16
11438.0,2985185.89,1056033.99,-9255.95,-9737.79,-9913.37,-9915.7,-9995.69,-10032.54,-10176.48,11306.16,88.75553724084871,11306.16
11439.0,2985185.86,1056034.05,-9256.95,-9737.79,-9913.37,-9915.7,-9995.69,-10032.54,-10176.47,11307.16,,11307.16
11440.0,2985185.83,1056034.1,-9257.95,-9737.79,-9913.37,-9915.7,-9995.69,-10032.54,-10176.47,11308.16,,11308.16
11441.0,2985185.8,1056034.15,-9258.94,-9737.79,-9913.37,-9915.7,-9995.69,-10032.54,-10176.47,11309.16,,11309.16
11442.0,2985185.77,1056034.2,-9259.94,-9737.79,-9913.37,-9915.7,-9995.68,-10032.54,-10176.47,11310.16,,11310.16
11443.0,2985185.74,1056034.25,-9260.94,-9737.79,-9913.36,-9915.7,-9995.68,-10032.54,-10176.47,11311.16,,11311.16
11444.0,2985185.71,1056034.31,-9261.94,-9737.79,-9913.36,-9915.7,-9995.68,-10032.53,-10176.47,11312.16,,11312.16
11445.0,2985185.68,1056034.36,-9262.94,-9737.78,-9913.36,-9915.69,-9995.68,-10032.53,-10176.47,11313.16,,11313.16
11446.0,2985185.65,1056034.41,-9263.93,-9737.78,-9913.36,-9915.69,-9995.68,-10032.53,-10176.46,11314.16,88.75553724084871,11314.16
11447.0,2985185.62,1056034.46,-9264.93,-9737.78,-9913.36,-9915.69,-9995.68,-10032.53,-10176.46,11315.16,,11315.16
11448.0,2985185.59,1056034.52,-9265.93,-9737.78,-9913.36,-9915.69,-9995.68,-10032.53,-10176.46,11316.16,,11316.16
11449.0,2985185.56,1056034.57,-9266.93,-9737.78,-9913.36,-9915.69,-9995.67,-10032.53,-10176.46,11317.16,,11317.16
11450.0,2985185.53,1056034.62,-9267.93,-9737.78,-9913.35,-9915.69,-9995.67,-10032.53,-10176.46,11318.16,94.40193940211684,11318.16
11451.0,2985185.5,1056034.68,-9268.93,-9737.78,-9913.35,-9915.69,-9995.67,-10032.52,-10176.46,11319.16,,11319.16
11452.0,2985185.48,1056034.73,-9269.92,-9737.77,-9913.35,-9915.68,-9995.67,-10032.52,-10176.46,11320.16,90.37011302225709,11320.16
11453.0,2985185.45,1056034.78,-9270.92,-9737.77,-9913.35,-9915.68,-9995.67,-10032.52,-10176.45,11321.16,,11321.16
11454.0,2985185.42,1056034.84,-9271.92,-9737.77,-9913.35,-9915.68,-9995.67,-10032.52,-10176.45,11322.16,,11322.16
11455.0,2985185.39,1056034.89,-9272.92,-9737.77,-9913.35,-9915.68,-9995.67,-10032.52,-10176.45,11323.16,,11323.16
11456.0,2985185.36,1056034.94,-9273.92,-9737.77,-9913.35,-9915.68,-9995.66,-10032.52,-10176.45,11324.15,,11324.15
11457.0,2985185.34,1056035.0,-9274.91,-9737.77,-9913.34,-9915.68,-9995.66,-10032.52,-10176.45,11325.15,85.52638567803197,11325.15
11458.0,2985185.31,1056035.05,-9275.91,-9737.77,-9913.34,-9915.67,-9995.66,-10032.51,-10176.45,11326.15,,11326.15
