MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10322.0,2958137.26,1081095.68,-8093.110000000001,-8435.12,-8578.92,-8658.32,-8756.66,-8795.42,-8905.32,10224.240000000002,136.83960635945633,10224.240000000002
10323.0,2958137.24,1081095.7,-8094.110000000001,-8435.11,-8578.91,-8658.31,-8756.65,-8795.4,-8905.31,10225.25,132.2318749396957,10225.25
10324.0,2958137.22,1081095.73,-8095.110000000001,-8435.1,-8578.9,-8658.3,-8756.64,-8795.39,-8905.3,10226.26,141.26703524540025,10226.26
10325.0,2958137.2,1081095.75,-8096.110000000001,-8435.08,-8578.88,-8658.28,-8756.63,-8795.38,-8905.28,10227.27,137.81123668057975,10227.27
10326.0,2958137.19,1081095.78,-8097.110000000001,-8435.07,-8578.87,-8658.27,-8756.62,-8795.37,-8905.27,10228.29,131.59079926390294,10228.29
10327.0,2958137.17,1081095.81,-8098.110000000001,-8435.06,-8578.86,-8658.26,-8756.6,-8795.35,-8905.26,10229.3,129.51732012501063,10229.3
10328.0,2958137.15,1081095.83,-8099.110000000001,-8435.05,-8578.85,-8658.25,-8756.59,-8795.34,-8905.25,10230.31,126.0615215601902,10230.31
10329.0,2958137.13,1081095.86,-8100.1,-8435.03,-8578.83,-8658.23,-8756.58,-8795.33,-8905.23,10231.320000000002,,10231.320000000002
10330.0,2958137.11,1081095.89,-8101.1,-8435.02,-8578.82,-8658.22,-8756.57,-8795.32,-8905.22,10232.33,129.77775711830148,10232.33
10331.0,2958137.1,1081095.91,-8102.1,-8435.01,-8578.81,-8658.21,-8756.55,-8795.31,-8905.21,10233.34,,10233.34
10332.0,2958137.08,1081095.94,-8103.1,-8435.0,-8578.8,-8658.2,-8756.54,-8795.29,-8905.2,10234.36,,10234.36
10333.0,2958137.06,1081095.96,-8104.1,-8434.98,-8578.78,-8658.18,-8756.53,-8795.28,-8905.18,10235.37,128.83617721948082,10235.37
10334.0,2958137.04,1081095.99,-8105.1,-8434.97,-8578.77,-8658.17,-8756.52,-8795.27,-8905.17,10236.38,,10236.38
10335.0,2958137.02,1081096.02,-8106.1,-8434.96,-8578.76,-8658.16,-8756.5,-8795.26,-8905.16,10237.39,,10237.39
10336.0,2958137.0,1081096.04,-8107.1,-8434.95,-8578.75,-8658.15,-8756.49,-8795.24,-8905.15,10238.4,,10238.4
10337.0,2958136.99,1081096.07,-8108.1,-8434.93,-8578.73,-8658.13,-8756.48,-8795.23,-8905.13,10239.42,,10239.42
10338.0,2958136.97,1081096.1,-8109.1,-8434.92,-8578.72,-8658.12,-8756.47,-8795.22,-8905.12,10240.43,140.69607722164727,10240.43
10339.0,2958136.95,1081096.12,-8110.1,-8434.91,-8578.71,-8658.11,-8756.45,-8795.21,-8905.11,10241.44,,10241.44
10340.0,2958136.93,1081096.15,-8111.1,-8434.9,-8578.7,-8658.1,-8756.44,-8795.19,-8905.1,10242.45,,10242.45
10341.0,2958136.91,1081096.17,-8112.1,-8434.88,-8578.68,-8658.08,-8756.43,-8795.18,-8905.08,10243.46,,10243.46
10342.0,2958136.89,1081096.2,-8113.1,-8434.87,-8578.67,-8658.07,-8756.42,-8795.17,-8905.07,10244.48,,10244.48
10343.0,2958136.87,1081096.23,-8114.1,-8434.86,-8578.66,-8658.06,-8756.4,-8795.16,-8905.06,10245.490000000002,,10245.490000000002
10344.0,2958136.85,1081096.25,-8115.1,-8434.85,-8578.65,-8658.05,-8756.39,-8795.14,-8905.05,10246.5,148.5993382872802,10246.5
10345.0,2958136.83,1081096.28,-8116.1,-8434.83,-8578.63,-8658.03,-8756.38,-8795.13,-8905.03,10247.51,150.5826661592641,10247.51
10346.0,2958136.81,1081096.31,-8117.1,-8434.82,-8578.62,-8658.02,-8756.37,-8795.12,-8905.02,10248.52,,10248.52
10347.0,2958136.8,1081096.33,-8118.1,-8434.81,-8578.61,-8658.01,-8756.35,-8795.11,-8905.01,10249.54,,10249.54
10348.0,2958136.78,1081096.36,-8119.1,-8434.8,-8578.6,-8658.0,-8756.34,-8795.09,-8905.0,10250.55,146.62602722273053,10250.55
10349.0,2958136.76,1081096.39,-8120.09,-8434.78,-8578.58,-8657.98,-8756.33,-8795.08,-8904.98,10251.56,,10251.56
10350.0,2958136.74,1081096.41,-8121.09,-8434.77,-8578.57,-8657.97,-8756.32,-8795.07,-8904.97,10252.570000000002,,10252.570000000002
10351.0,2958136.72,1081096.44,-8122.09,-8434.76,-8578.56,-8657.96,-8756.3,-8795.05,-8904.96,10253.58,,10253.58
10352.0,2958136.7,1081096.47,-8123.09,-8434.75,-8578.55,-8657.95,-8756.29,-8795.04,-8904.95,10254.6,144.65271615818088,10254.6
10353.0,2958136.68,1081096.49,-8124.09,-8434.73,-8578.53,-8657.93,-8756.28,-8795.03,-8904.93,10255.61,,10255.61
10354.0,2958136.66,1081096.52,-8125.09,-8434.72,-8578.52,-8657.92,-8756.26,-8795.02,-8904.92,10256.62,,10256.62
10355.0,2958136.64,1081096.55,-8126.09,-8434.71,-8578.51,-8657.91,-8756.25,-8795.0,-8904.91,10257.63,136.73943828511372,10257.63
10356.0,2958136.62,1081096.57,-8127.09,-8434.69,-8578.49,-8657.89,-8756.24,-8794.99,-8904.89,10258.65,,10258.65
10357.0,2958136.6,1081096.6,-8128.09,-8434.68,-8578.48,-8657.88,-8756.23,-8794.98,-8904.88,10259.66,,10259.66
10358.0,2958136.58,1081096.63,-8129.09,-8434.67,-8578.47,-8657.87,-8756.21,-8794.96,-8904.87,10260.67,,10260.67
10359.0,2958136.56,1081096.65,-8130.09,-8434.66,-8578.46,-8657.86,-8756.2,-8794.95,-8904.86,10261.68,,10261.68
10360.0,2958136.54,1081096.68,-8131.09,-8434.64,-8578.44,-8657.84,-8756.19,-8794.94,-8904.84,10262.7,152.55597722381376,10262.7
10361.0,2958136.52,1081096.71,-8132.09,-8434.63,-8578.43,-8657.83,-8756.18,-8794.93,-8904.83,10263.71,146.62602722273053,10263.71
10362.0,2958136.49,1081096.73,-8133.09,-8434.62,-8578.42,-8657.82,-8756.16,-8794.91,-8904.82,10264.72,,10264.72
10363.0,2958136.47,1081096.76,-8134.09,-8434.6,-8578.4,-8657.8,-8756.15,-8794.9,-8904.8,10265.73,,10265.73
10364.0,2958136.45,1081096.79,-8135.09,-8434.59,-8578.39,-8657.79,-8756.14,-8794.89,-8904.79,10266.740000000002,,10266.740000000002
10365.0,2958136.43,1081096.81,-8136.09,-8434.58,-8578.38,-8657.78,-8756.12,-8794.87,-8904.78,10267.76,,10267.76
10366.0,2958136.41,1081096.84,-8137.08,-8434.57,-8578.37,-8657.77,-8756.11,-8794.86,-8904.77,10268.77,158.48592722489704,10268.77
10367.0,2958136.39,1081096.87,-8138.08,-8434.55,-8578.35,-8657.75,-8756.1,-8794.85,-8904.75,10269.78,,10269.78
10368.0,2958136.37,1081096.89,-8139.08,-8434.54,-8578.34,-8657.74,-8756.08,-8794.84,-8904.74,10270.79,152.55597722381376,10270.79
10369.0,2958136.35,1081096.92,-8140.08,-8434.53,-8578.33,-8657.73,-8756.07,-8794.82,-8904.73,10271.81,,10271.81
10370.0,2958136.33,1081096.95,-8141.08,-8434.51,-8578.31,-8657.71,-8756.06,-8794.81,-8904.71,10272.820000000002,,10272.820000000002
10371.0,2958136.3,1081096.97,-8142.08,-8434.5,-8578.3,-8657.7,-8756.04,-8794.8,-8904.7,10273.83,,10273.83
10372.0,2958136.28,1081097.0,-8143.08,-8434.49,-8578.29,-8657.69,-8756.03,-8794.78,-8904.69,10274.84,146.62602722273053,10274.84
10373.0,2958136.26,1081097.03,-8144.08,-8434.47,-8578.27,-8657.67,-8756.02,-8794.77,-8904.67,10275.86,,10275.86
10374.0,2958136.24,1081097.05,-8145.08,-8434.46,-8578.26,-8657.66,-8756.01,-8794.76,-8904.66,10276.87,,10276.87
10375.0,2958136.22,1081097.08,-8146.08,-8434.45,-8578.25,-8657.65,-8755.99,-8794.74,-8904.65,10277.88,150.5826661592641,10277.88
10376.0,2958136.2,1081097.11,-8147.08,-8434.43,-8578.23,-8657.63,-8755.98,-8794.73,-8904.63,10278.89,,10278.89
10377.0,2958136.17,1081097.13,-8148.08,-8434.42,-8578.22,-8657.62,-8755.97,-8794.72,-8904.62,10279.91,,10279.91
10378.0,2958136.15,1081097.16,-8149.08,-8434.41,-8578.21,-8657.61,-8755.95,-8794.7,-8904.61,10280.92,,10280.92
10379.0,2958136.13,1081097.19,-8150.08,-8434.39,-8578.19,-8657.59,-8755.94,-8794.69,-8904.59,10281.93,142.66938828619695,10281.93
