MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
12314.0,2945500.29,1015016.99,-10257.27,-10379.99,-10585.47,-10598.26,-10620.26,-10665.03,-10837.41,12301.8,108.92237739081776,12301.8
12315.0,2945500.29,1015016.97,-10258.27,-10379.98,-10585.46,-10598.25,-10620.25,-10665.02,-10837.4,12302.81,92.27256449195411,12302.81
12316.0,2945500.29,1015016.95,-10259.27,-10379.96,-10585.44,-10598.23,-10620.23,-10665.01,-10837.38,12303.83,98.79277094185876,12303.83
12317.0,2945500.29,1015016.92,-10260.27,-10379.95,-10585.43,-10598.22,-10620.22,-10665.0,-10837.37,12304.84,99.30216207075756,12304.84
12318.0,2945500.29,1015016.9,-10261.27,-10379.94,-10585.42,-10598.21,-10620.21,-10664.99,-10837.36,12305.85,102.94067013432044,12305.85
12319.0,2945500.29,1015016.87,-10262.27,-10379.93,-10585.41,-10598.2,-10620.2,-10664.98,-10837.35,12306.86,111.84773787392233,12306.86
12320.0,2945500.29,1015016.85,-10263.27,-10379.92,-10585.4,-10598.19,-10620.19,-10664.97,-10837.34,12307.87,102.92611610206616,12307.87
12321.0,2945500.29,1015016.82,-10264.27,-10379.91,-10585.39,-10598.18,-10620.18,-10664.96,-10837.33,12308.88,99.94253948994464,12308.88
12322.0,2945500.29,1015016.79,-10265.27,-10379.9,-10585.38,-10598.17,-10620.17,-10664.94,-10837.32,12309.89,107.1758935203076,12309.89
12323.0,2945500.29,1015016.76,-10266.27,-10379.89,-10585.37,-10598.16,-10620.16,-10664.93,-10837.31,12310.9,109.44632255197082,12310.9
12324.0,2945500.29,1015016.73,-10267.27,-10379.88,-10585.36,-10598.15,-10620.15,-10664.92,-10837.3,12311.91,107.39420400412138,12311.91
12325.0,2945500.29,1015016.7,-10268.27,-10379.86,-10585.34,-10598.13,-10620.13,-10664.91,-10837.28,12312.92,114.54023384095883,12312.92
12326.0,2945500.29,1015016.67,-10269.27,-10379.85,-10585.33,-10598.12,-10620.12,-10664.89,-10837.27,12313.94,118.96465964625128,12313.94
12327.0,2945500.29,1015016.64,-10270.27,-10379.83,-10585.31,-10598.1,-10620.1,-10664.88,-10837.25,12314.95,113.01206045426242,12314.95
12328.0,2945500.29,1015016.61,-10271.27,-10379.82,-10585.3,-10598.09,-10620.09,-10664.87,-10837.24,12315.97,107.7143927137149,12315.97
12329.0,2945500.29,1015016.58,-10272.26,-10379.81,-10585.29,-10598.08,-10620.08,-10664.85,-10837.23,12316.98,103.9448983598638,12316.98
12330.0,2945500.28,1015016.54,-10273.26,-10379.79,-10585.27,-10598.06,-10620.06,-10664.84,-10837.21,12317.990000000002,114.08905884107703,12317.990000000002
12331.0,2945500.28,1015016.51,-10274.26,-10379.78,-10585.26,-10598.05,-10620.05,-10664.82,-10837.2,12319.01,125.4557580316474,12319.01
12332.0,2945500.28,1015016.48,-10275.26,-10379.76,-10585.24,-10598.03,-10620.03,-10664.81,-10837.18,12320.02,109.97026771312387,12320.02
12333.0,2945500.28,1015016.44,-10276.26,-10379.75,-10585.23,-10598.02,-10620.02,-10664.8,-10837.17,12321.03,107.16133948805334,12321.03
12334.0,2945500.28,1015016.4,-10277.26,-10379.74,-10585.22,-10598.01,-10620.01,-10664.78,-10837.16,12322.05,111.41111690629477,12322.05
12335.0,2945500.28,1015016.37,-10278.26,-10379.72,-10585.2,-10597.99,-10619.99,-10664.76,-10837.14,12323.06,113.82708626050052,12323.06
12336.0,2945500.27,1015016.33,-10279.26,-10379.7,-10585.18,-10597.97,-10619.97,-10664.75,-10837.12,12324.08,118.65902496891198,12324.08
12337.0,2945500.27,1015016.29,-10280.26,-10379.68,-10585.16,-10597.95,-10619.95,-10664.73,-10837.1,12325.1,112.89562819622842,12325.1
12338.0,2945500.27,1015016.25,-10281.26,-10379.67,-10585.15,-10597.94,-10619.94,-10664.71,-10837.09,12326.11,106.28809755279826,12326.11
12339.0,2945500.27,1015016.21,-10282.26,-10379.65,-10585.13,-10597.92,-10619.92,-10664.7,-10837.07,12327.13,109.53364674549634,12327.13
12340.0,2945500.26,1015016.17,-10283.26,-10379.63,-10585.11,-10597.9,-10619.9,-10664.68,-10837.05,12328.14,103.843020134084,12328.14
12341.0,2945500.26,1015016.13,-10284.26,-10379.61,-10585.09,-10597.88,-10619.88,-10664.66,-10837.03,12329.16,100.6702411026572,12329.16
12342.0,2945500.26,1015016.08,-10285.26,-10379.6,-10585.08,-10597.87,-10619.87,-10664.64,-10837.02,12330.18,100.1608499737584,12330.18
12343.0,2945500.25,1015016.04,-10286.25,-10379.58,-10585.06,-10597.85,-10619.85,-10664.63,-10837.0,12331.19,98.95286529665552,12331.19
12344.0,2945500.25,1015016.0,-10287.25,-10379.56,-10585.04,-10597.83,-10619.83,-10664.61,-10836.98,12332.21,102.38761690865888,12332.21
12345.0,2945500.25,1015015.95,-10288.25,-10379.54,-10585.02,-10597.81,-10619.81,-10664.59,-10836.96,12333.23,104.93457255315286,12333.23
12346.0,2945500.24,1015015.91,-10289.25,-10379.52,-10585.0,-10597.79,-10619.79,-10664.57,-10836.94,12334.25,108.57308061671571,12334.25
12347.0,2945500.24,1015015.86,-10290.25,-10379.5,-10584.98,-10597.77,-10619.77,-10664.54,-10836.92,12335.27,114.58389593772158,12335.27
12348.0,2945500.24,1015015.81,-10291.25,-10379.48,-10584.96,-10597.75,-10619.75,-10664.52,-10836.9,12336.29,111.51299513207454,12336.29
12349.0,2945500.23,1015015.77,-10292.25,-10379.46,-10584.94,-10597.73,-10619.73,-10664.5,-10836.88,12337.31,100.02986368347014,12337.31
12350.0,2945500.23,1015015.72,-10293.25,-10379.43,-10584.91,-10597.7,-10619.7,-10664.48,-10836.85,12338.33,94.73219594292262,12338.33
12351.0,2945500.23,1015015.66,-10294.25,-10379.41,-10584.89,-10597.68,-10619.68,-10664.46,-10836.83,12339.35,96.74065239400932,12339.35
12352.0,2945500.23,1015015.61,-10295.24,-10379.39,-10584.87,-10597.66,-10619.66,-10664.44,-10836.81,12340.37,96.5660040069583,12340.37
12353.0,2945500.22,1015015.55,-10296.24,-10379.37,-10584.85,-10597.64,-10619.64,-10664.42,-10836.79,12341.39,98.22516368394297,12341.39
12354.0,2945500.22,1015015.49,-10297.24,-10379.35,-10584.83,-10597.62,-10619.62,-10664.39,-10836.77,12342.41,,12342.41
12355.0,2945500.22,1015015.43,-10298.24,-10379.32,-10584.8,-10597.59,-10619.59,-10664.36,-10836.74,12343.44,107.0594612622736,12343.44
12356.0,2945500.22,1015015.36,-10299.24,-10379.28,-10584.76,-10597.55,-10619.55,-10664.33,-10836.7,12344.47,99.17117578046933,12344.47
12357.0,2945500.22,1015015.29,-10300.23,-10379.25,-10584.73,-10597.52,-10619.52,-10664.3,-10836.67,12345.5,96.97351691007734,12345.5
12358.0,2945500.22,1015015.22,-10301.23,-10379.22,-10584.7,-10597.49,-10619.49,-10664.26,-10836.64,12346.53,101.55803707016656,12346.53
12359.0,2945500.22,1015015.15,-10302.23,-10379.19,-10584.67,-10597.46,-10619.46,-10664.23,-10836.61,12347.56,100.17540400601266,12347.56
12360.0,2945500.22,1015015.07,-10303.23,-10379.15,-10584.63,-10597.42,-10619.42,-10664.2,-10836.57,12348.59,102.2275225538621,12348.59
12361.0,2945500.23,1015014.99,-10304.22,-10379.12,-10584.6,-10597.39,-10619.39,-10664.17,-10836.54,12349.62,100.97587577999649,12349.62
12362.0,2945500.23,1015014.9,-10305.22,-10379.09,-10584.57,-10597.36,-10619.36,-10664.13,-10836.51,12350.65,101.36883465086127,12350.65
12363.0,2945500.23,1015014.82,-10306.21,-10379.06,-10584.54,-10597.33,-10619.33,-10664.1,-10836.48,12351.68,105.7641523916452,12351.68
12364.0,2945500.24,1015014.73,-10307.21,-10379.02,-10584.5,-10597.29,-10619.29,-10664.07,-10836.44,12352.71,105.8223685206622,12352.71
12365.0,2945500.24,1015014.64,-10308.21,-10378.98,-10584.46,-10597.25,-10619.25,-10664.02,-10836.4,12353.75,106.7538265849343,12353.75
12366.0,2945500.24,1015014.54,-10309.2,-10378.93,-10584.41,-10597.2,-10619.2,-10663.98,-10836.35,12354.79,104.1195467469148,12354.79
12367.0,2945500.25,1015014.45,-10310.2,-10378.89,-10584.37,-10597.16,-10619.16,-10663.94,-10836.31,12355.820000000002,103.56649352125324,12355.820000000002
12368.0,2945500.26,1015014.35,-10311.19,-10378.84,-10584.32,-10597.11,-10619.11,-10663.89,-10836.26,12356.86,97.4392459422134,12356.86
12369.0,2945500.26,1015014.24,-10312.19,-10378.8,-10584.28,-10597.07,-10619.07,-10663.85,-10836.22,12357.9,90.24955400861316,12357.9
12370.0,2945500.27,1015014.14,-10313.18,-10378.76,-10584.24,-10597.03,-10619.03,-10663.8,-10836.18,12358.94,89.82748707323988,12358.94
12371.0,2945500.28,1015014.03,-10314.18,-10378.71,-10584.19,-10596.98,-10618.98,-10663.76,-10836.13,12359.98,91.6758491695298,12359.98
12372.0,2945500.28,1015013.92,-10315.17,-10378.67,-10584.15,-10596.94,-10618.94,-10663.71,-10836.09,12361.02,93.82984594315904,12361.02
12373.0,2945500.29,1015013.81,-10316.16,-10378.62,-10584.1,-10596.89,-10618.89,-10663.67,-10836.04,12362.06,100.23362013502968,12362.06
12374.0,2945500.3,1015013.69,-10317.16,-10378.58,-10584.06,-10596.85,-10618.85,-10663.62,-10836.0,12363.1,98.76366287735026,12363.1
12375.0,2945500.31,1015013.57,-10318.15,-10378.52,-10584.0,-10596.79,-10618.79,-10663.56,-10835.94,12364.15,94.39745320107482,12364.15
