MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10173.0,2887466.85,1022977.62,-8092.110000000001,-8455.17,-8698.98,-8759.54,-8809.34,-8832.54,-8956.94,10148.87,,10148.87
10174.0,2887466.81,1022977.64,-8093.110000000001,-8455.14,-8698.94,-8759.5,-8809.3,-8832.5,-8956.9,10149.9,,10149.9
10175.0,2887466.76,1022977.65,-8094.110000000001,-8455.1,-8698.91,-8759.47,-8809.27,-8832.47,-8956.87,10150.94,177.9528261521681,10150.94
10176.0,2887466.72,1022977.67,-8095.110000000001,-8455.06,-8698.87,-8759.43,-8809.23,-8832.43,-8956.83,10151.97,,10151.97
10177.0,2887466.68,1022977.68,-8096.1,-8455.03,-8698.83,-8759.39,-8809.19,-8832.39,-8956.79,10153.01,,10153.01
10178.0,2887466.63,1022977.7,-8097.1,-8454.99,-8698.8,-8759.36,-8809.16,-8832.36,-8956.76,10154.04,,10154.04
10179.0,2887466.59,1022977.71,-8098.1,-8454.96,-8698.77,-8759.33,-8809.12,-8832.32,-8956.72,10155.070000000002,172.13513760488567,10155.070000000002
10180.0,2887466.55,1022977.72,-8099.1,-8454.93,-8698.73,-8759.29,-8809.09,-8832.29,-8956.69,10156.11,,10156.11
10181.0,2887466.5,1022977.74,-8100.1,-8454.89,-8698.7,-8759.26,-8809.06,-8832.26,-8956.66,10157.14,,10157.14
10182.0,2887466.46,1022977.75,-8101.1,-8454.86,-8698.66,-8759.22,-8809.02,-8832.22,-8956.62,10158.17,177.9528261521681,10158.17
10183.0,2887466.42,1022977.76,-8102.1,-8454.82,-8698.63,-8759.19,-8808.99,-8832.19,-8956.59,10159.21,,10159.21
10184.0,2887466.38,1022977.77,-8103.1,-8454.79,-8698.6,-8759.16,-8808.95,-8832.15,-8956.55,10160.240000000002,,10160.240000000002
10185.0,2887466.34,1022977.79,-8104.1,-8454.76,-8698.56,-8759.12,-8808.92,-8832.12,-8956.52,10161.27,172.13513760488567,10161.27
10186.0,2887466.29,1022977.8,-8105.1,-8454.72,-8698.53,-8759.09,-8808.89,-8832.09,-8956.49,10162.3,,10162.3
10187.0,2887466.25,1022977.81,-8106.09,-8454.69,-8698.49,-8759.05,-8808.85,-8832.05,-8956.45,10163.34,,10163.34
10188.0,2887466.21,1022977.82,-8107.09,-8454.65,-8698.46,-8759.02,-8808.82,-8832.02,-8956.42,10164.37,,10164.37
10189.0,2887466.17,1022977.83,-8108.09,-8454.62,-8698.43,-8758.99,-8808.79,-8831.99,-8956.39,10165.4,183.7705146994505,10165.4
10190.0,2887466.13,1022977.84,-8109.09,-8454.59,-8698.39,-8758.95,-8808.75,-8831.95,-8956.35,10166.43,,10166.43
10191.0,2887466.08,1022977.86,-8110.09,-8454.55,-8698.36,-8758.92,-8808.72,-8831.92,-8956.32,10167.47,,10167.47
10192.0,2887466.04,1022977.87,-8111.09,-8454.52,-8698.33,-8758.89,-8808.69,-8831.89,-8956.29,10168.5,,10168.5
10193.0,2887466.0,1022977.88,-8112.09,-8454.49,-8698.29,-8758.85,-8808.65,-8831.85,-8956.25,10169.53,,10169.53
10194.0,2887465.96,1022977.89,-8113.09,-8454.45,-8698.26,-8758.82,-8808.62,-8831.82,-8956.22,10170.56,,10170.56
10195.0,2887465.92,1022977.9,-8114.09,-8454.42,-8698.23,-8758.79,-8808.59,-8831.79,-8956.19,10171.6,,10171.6
10196.0,2887465.87,1022977.91,-8115.09,-8454.39,-8698.19,-8758.75,-8808.55,-8831.75,-8956.15,10172.63,,10172.63
10197.0,2887465.83,1022977.93,-8116.09,-8454.35,-8698.16,-8758.72,-8808.52,-8831.72,-8956.12,10173.66,,10173.66
10198.0,2887465.79,1022977.94,-8117.08,-8454.32,-8698.13,-8758.69,-8808.49,-8831.69,-8956.09,10174.69,172.13513760488567,10174.69
10199.0,2887465.75,1022977.95,-8118.08,-8454.29,-8698.09,-8758.65,-8808.45,-8831.65,-8956.05,10175.73,,10175.73
10200.0,2887465.71,1022977.96,-8119.08,-8454.25,-8698.06,-8758.62,-8808.42,-8831.62,-8956.02,10176.76,,10176.76
10201.0,2887465.66,1022977.97,-8120.08,-8454.22,-8698.03,-8758.59,-8808.39,-8831.59,-8955.99,10177.79,,10177.79
10202.0,2887465.62,1022977.98,-8121.08,-8454.19,-8697.99,-8758.55,-8808.35,-8831.55,-8955.95,10178.820000000002,,10178.820000000002
10203.0,2887465.58,1022978.0,-8122.08,-8454.16,-8697.96,-8758.52,-8808.32,-8831.52,-8955.92,10179.85,183.7705146994505,10179.85
10204.0,2887465.54,1022978.01,-8123.08,-8454.12,-8697.93,-8758.49,-8808.29,-8831.49,-8955.89,10180.89,,10180.89
10205.0,2887465.5,1022978.02,-8124.08,-8454.09,-8697.89,-8758.45,-8808.25,-8831.45,-8955.85,10181.92,,10181.92
10206.0,2887465.45,1022978.03,-8125.08,-8454.06,-8697.86,-8758.42,-8808.22,-8831.42,-8955.82,10182.95,,10182.95
10207.0,2887465.41,1022978.04,-8126.08,-8454.02,-8697.83,-8758.39,-8808.19,-8831.39,-8955.79,10183.98,,10183.98
10208.0,2887465.37,1022978.05,-8127.07,-8453.99,-8697.79,-8758.35,-8808.15,-8831.35,-8955.75,10185.02,,10185.02
10209.0,2887465.33,1022978.07,-8128.07,-8453.96,-8697.76,-8758.32,-8808.12,-8831.32,-8955.72,10186.05,212.8589574358626,10186.05
10210.0,2887465.28,1022978.08,-8129.07,-8453.92,-8697.73,-8758.29,-8808.09,-8831.29,-8955.69,10187.08,,10187.08
10211.0,2887465.24,1022978.09,-8130.07,-8453.89,-8697.69,-8758.25,-8808.05,-8831.25,-8955.65,10188.11,,10188.11
10212.0,2887465.2,1022978.1,-8131.07,-8453.86,-8697.66,-8758.22,-8808.02,-8831.22,-8955.62,10189.15,183.7705146994505,10189.15
10213.0,2887465.16,1022978.11,-8132.07,-8453.82,-8697.63,-8758.19,-8807.99,-8831.19,-8955.59,10190.18,,10190.18
10214.0,2887465.12,1022978.12,-8133.07,-8453.79,-8697.59,-8758.15,-8807.95,-8831.15,-8955.55,10191.21,,10191.21
10215.0,2887465.07,1022978.14,-8134.07,-8453.76,-8697.56,-8758.12,-8807.92,-8831.12,-8955.52,10192.240000000002,177.9528261521681,10192.240000000002
10216.0,2887465.03,1022978.15,-8135.07,-8453.72,-8697.53,-8758.09,-8807.89,-8831.09,-8955.49,10193.28,,10193.28
10217.0,2887464.99,1022978.16,-8136.07,-8453.69,-8697.49,-8758.05,-8807.85,-8831.05,-8955.45,10194.31,,10194.31
10218.0,2887464.95,1022978.17,-8137.07,-8453.66,-8697.46,-8758.02,-8807.82,-8831.02,-8955.42,10195.34,148.86438341575598,10195.34
10219.0,2887464.91,1022978.18,-8138.059999999999,-8453.62,-8697.43,-8757.99,-8807.79,-8830.99,-8955.39,10196.37,,10196.37
10220.0,2887464.86,1022978.19,-8139.059999999999,-8453.59,-8697.39,-8757.95,-8807.75,-8830.95,-8955.35,10197.4,,10197.4
10221.0,2887464.82,1022978.2,-8140.059999999999,-8453.56,-8697.36,-8757.92,-8807.72,-8830.92,-8955.32,10198.44,,10198.44
10222.0,2887464.78,1022978.22,-8141.059999999999,-8453.52,-8697.33,-8757.89,-8807.69,-8830.89,-8955.29,10199.47,154.68207196303842,10199.47
10223.0,2887464.74,1022978.23,-8142.059999999999,-8453.49,-8697.29,-8757.85,-8807.65,-8830.85,-8955.25,10200.5,,10200.5
10224.0,2887464.7,1022978.24,-8143.059999999999,-8453.46,-8697.26,-8757.82,-8807.62,-8830.82,-8955.22,10201.53,,10201.53
10225.0,2887464.65,1022978.25,-8144.059999999999,-8453.42,-8697.23,-8757.79,-8807.59,-8830.79,-8955.19,10202.570000000002,,10202.570000000002
10226.0,2887464.61,1022978.26,-8145.059999999999,-8453.39,-8697.2,-8757.75,-8807.55,-8830.75,-8955.15,10203.6,,10203.6
10227.0,2887464.57,1022978.27,-8146.059999999999,-8453.36,-8697.16,-8757.72,-8807.52,-8830.72,-8955.12,10204.63,160.49976051032084,10204.63
10228.0,2887464.53,1022978.29,-8147.059999999999,-8453.32,-8697.13,-8757.69,-8807.49,-8830.69,-8955.09,10205.66,,10205.66
10229.0,2887464.49,1022978.3,-8148.049999999999,-8453.29,-8697.1,-8757.65,-8807.45,-8830.65,-8955.05,10206.7,,10206.7
10230.0,2887464.44,1022978.31,-8149.049999999999,-8453.26,-8697.06,-8757.62,-8807.42,-8830.62,-8955.02,10207.73,,10207.73
10231.0,2887464.4,1022978.32,-8150.049999999999,-8453.22,-8697.03,-8757.59,-8807.39,-8830.59,-8954.99,10208.76,207.0412688885802,10208.76
10232.0,2887464.36,1022978.33,-8151.049999999999,-8453.19,-8697.0,-8757.56,-8807.35,-8830.55,-8954.95,10209.79,,10209.79
10233.0,2887464.32,1022978.34,-8152.049999999999,-8453.16,-8696.96,-8757.52,-8807.32,-8830.52,-8954.92,10210.820000000002,,10210.820000000002
10234.0,2887464.28,1022978.35,-8153.049999999999,-8453.12,-8696.93,-8757.49,-8807.29,-8830.49,-8954.89,10211.86,189.5882032467329,10211.86
10235.0,2887464.23,1022978.37,-8154.049999999999,-8453.09,-8696.9,-8757.46,-8807.26,-8830.45,-8954.85,10212.89,,10212.89
10236.0,2887464.19,1022978.38,-8155.049999999999,-8453.06,-8696.86,-8757.42,-8807.22,-8830.42,-8954.82,10213.92,131.4113177739087,10213.92
10237.0,2887464.15,1022978.39,-8156.049999999999,-8453.02,-8696.83,-8757.39,-8807.19,-8830.39,-8954.79,10214.95,,10214.95
10238.0,2887464.11,1022978.4,-8157.049999999999,-8452.99,-8696.8,-8757.36,-8807.16,-8830.36,-8954.75,10215.990000000002,,10215.990000000002
10239.0,2887464.06,1022978.41,-8158.049999999999,-8452.96,-8696.76,-8757.32,-8807.12,-8830.32,-8954.72,10217.02,,10217.02
10240.0,2887464.02,1022978.42,-8159.040000000001,-8452.92,-8696.73,-8757.29,-8807.09,-8830.29,-8954.69,10218.05,148.86438341575598,10218.05
10241.0,2887463.98,1022978.43,-8160.040000000001,-8452.89,-8696.7,-8757.26,-8807.06,-8830.26,-8954.65,10219.08,,10219.08
10242.0,2887463.94,1022978.45,-8161.040000000001,-8452.86,-8696.66,-8757.22,-8807.02,-8830.22,-8954.62,10220.12,137.22900632119115,10220.12
10243.0,2887463.9,1022978.46,-8162.040000000001,-8452.82,-8696.63,-8757.19,-8806.99,-8830.19,-8954.59,10221.15,,10221.15
10244.0,2887463.85,1022978.47,-8163.040000000001,-8452.79,-8696.6,-8757.16,-8806.96,-8830.16,-8954.55,10222.18,,10222.18
10245.0,2887463.81,1022978.48,-8164.040000000001,-8452.76,-8696.56,-8757.12,-8806.92,-8830.12,-8954.52,10223.21,,10223.21
10246.0,2887463.77,1022978.49,-8165.040000000001,-8452.72,-8696.53,-8757.09,-8806.89,-8830.09,-8954.49,10224.240000000002,,10224.240000000002
10247.0,2887463.73,1022978.5,-8166.040000000001,-8452.69,-8696.5,-8757.06,-8806.86,-8830.06,-8954.46,10225.28,,10225.28
10248.0,2887463.69,1022978.51,-8167.040000000001,-8452.66,-8696.46,-8757.02,-8806.82,-8830.02,-8954.42,10226.31,,10226.31
10249.0,2887463.64,1022978.53,-8168.040000000001,-8452.62,-8696.43,-8756.99,-8806.79,-8829.99,-8954.39,10227.34,,10227.34
10250.0,2887463.6,1022978.54,-8169.030000000001,-8452.59,-8696.4,-8756.96,-8806.76,-8829.96,-8954.36,10228.37,160.49976051032084,10228.37
10251.0,2887463.56,1022978.55,-8170.030000000001,-8452.56,-8696.36,-8756.92,-8806.72,-8829.92,-8954.32,10229.41,154.68207196303842,10229.41
10252.0,2887463.52,1022978.56,-8171.030000000001,-8452.52,-8696.33,-8756.89,-8806.69,-8829.89,-8954.29,10230.44,,10230.44
10253.0,2887463.48,1022978.57,-8172.030000000001,-8452.49,-8696.3,-8756.86,-8806.66,-8829.86,-8954.26,10231.47,,10231.47
10254.0,2887463.43,1022978.58,-8173.030000000001,-8452.46,-8696.26,-8756.82,-8806.62,-8829.82,-8954.22,10232.5,,10232.5
10255.0,2887463.39,1022978.59,-8174.030000000001,-8452.43,-8696.23,-8756.79,-8806.59,-8829.79,-8954.19,10233.54,163.40860478396203,10233.54
10256.0,2887463.35,1022978.6,-8175.030000000001,-8452.39,-8696.2,-8756.76,-8806.56,-8829.76,-8954.16,10234.570000000002,,10234.570000000002
10257.0,2887463.31,1022978.62,-8176.030000000001,-8452.36,-8696.16,-8756.72,-8806.52,-8829.72,-8954.12,10235.6,,10235.6
10258.0,2887463.26,1022978.63,-8177.030000000001,-8452.33,-8696.13,-8756.69,-8806.49,-8829.69,-8954.09,10236.63,,10236.63
10259.0,2887463.22,1022978.64,-8178.030000000001,-8452.29,-8696.1,-8756.66,-8806.46,-8829.66,-8954.06,10237.66,201.22358034129775,10237.66
10260.0,2887463.18,1022978.65,-8179.030000000001,-8452.26,-8696.06,-8756.62,-8806.42,-8829.62,-8954.02,10238.7,,10238.7
10261.0,2887463.14,1022978.66,-8180.02,-8452.23,-8696.03,-8756.59,-8806.39,-8829.59,-8953.99,10239.73,,10239.73
10262.0,2887463.1,1022978.67,-8181.02,-8452.19,-8696.0,-8756.56,-8806.36,-8829.56,-8953.96,10240.76,,10240.76
10263.0,2887463.05,1022978.68,-8182.02,-8452.16,-8695.96,-8756.52,-8806.32,-8829.52,-8953.92,10241.79,,10241.79
10264.0,2887463.01,1022978.7,-8183.02,-8452.13,-8695.93,-8756.49,-8806.29,-8829.49,-8953.89,10242.83,143.0466948684736,10242.83
