MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11110.0,2994466.81,1100550.88,-8873.37,-8990.1,-9128.65,-9203.59,-9332.55,-9374.28,-9491.01,11333.81,,11333.81
11111.0,2994466.81,1100550.85,-8874.37,-8990.58,-9129.13,-9204.07,-9333.03,-9374.76,-9491.48,11334.33,135.68518517211578,11334.33
11112.0,2994466.81,1100550.81,-8875.37,-8991.05,-9129.61,-9204.55,-9333.51,-9375.24,-9491.96,11334.86,,11334.86
11113.0,2994466.81,1100550.77,-8876.37,-8991.52,-9130.08,-9205.02,-9333.98,-9375.71,-9492.43,11335.39,,11335.39
11114.0,2994466.81,1100550.74,-8877.37,-8992.0,-9130.55,-9205.49,-9334.45,-9376.18,-9492.9,11335.91,,11335.91
11115.0,2994466.82,1100550.7,-8878.37,-8992.47,-9131.02,-9205.97,-9334.92,-9376.66,-9493.38,11336.44,,11336.44
11116.0,2994466.82,1100550.67,-8879.37,-8992.94,-9131.5,-9206.44,-9335.4,-9377.13,-9493.85,11336.97,129.79607123235382,11336.97
11117.0,2994466.82,1100550.63,-8880.37,-8993.42,-9131.97,-9206.91,-9335.87,-9377.6,-9494.32,11337.490000000002,137.6521492279963,11337.490000000002
11118.0,2994466.82,1100550.6,-8881.37,-8993.89,-9132.44,-9207.39,-9336.34,-9378.08,-9494.8,11338.02,142.75212189983014,11338.02
11119.0,2994466.82,1100550.56,-8882.37,-8994.36,-9132.92,-9207.86,-9336.82,-9378.55,-9495.27,11338.54,,11338.54
11120.0,2994466.82,1100550.52,-8883.37,-8994.83,-9133.39,-9208.33,-9337.29,-9379.02,-9495.74,11339.070000000002,129.79607123235382,11339.070000000002
11121.0,2994466.83,1100550.49,-8884.37,-8995.31,-9133.86,-9208.8,-9337.76,-9379.49,-9496.22,11339.6,,11339.6
11122.0,2994466.83,1100550.45,-8885.36,-8995.77,-9134.33,-9209.27,-9338.23,-9379.96,-9496.68,11340.13,,11340.13
