MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
9942.0,2939132.89,1069898.73,-7798.16,-8199.44,-8355.4,-8432.15,-8521.73,-8566.43,-8671.49,9961.13,62.7007982752342,9961.13
9943.0,2939132.88,1069898.72,-7799.16,-8199.44,-8355.4,-8432.15,-8521.73,-8566.44,-8671.49,9962.13,,9962.13
9944.0,2939132.87,1069898.71,-7800.16,-8199.44,-8355.41,-8432.15,-8521.73,-8566.44,-8671.5,9963.13,69.20399535248445,9963.13
9945.0,2939132.86,1069898.7,-7801.16,-8199.45,-8355.41,-8432.15,-8521.74,-8566.44,-8671.5,9964.12,,9964.12
9946.0,2939132.85,1069898.7,-7802.16,-8199.45,-8355.41,-8432.16,-8521.74,-8566.44,-8671.5,9965.12,,9965.12
9947.0,2939132.85,1069898.69,-7803.16,-8199.45,-8355.41,-8432.16,-8521.74,-8566.45,-8671.5,9966.12,,9966.12
9948.0,2939132.84,1069898.68,-7804.16,-8199.45,-8355.42,-8432.16,-8521.74,-8566.45,-8671.51,9967.12,,9967.12
9949.0,2939132.83,1069898.67,-7805.16,-8199.46,-8355.42,-8432.16,-8521.75,-8566.45,-8671.51,9968.11,,9968.11
9950.0,2939132.82,1069898.66,-7806.16,-8199.46,-8355.42,-8432.17,-8521.75,-8566.45,-8671.51,9969.11,,9969.11
9951.0,2939132.81,1069898.65,-7807.16,-8199.46,-8355.42,-8432.17,-8521.75,-8566.46,-8671.51,9970.11,,9970.11
9952.0,2939132.81,1069898.64,-7808.16,-8199.46,-8355.43,-8432.17,-8521.75,-8566.46,-8671.52,9971.11,,9971.11
9953.0,2939132.8,1069898.63,-7809.16,-8199.47,-8355.43,-8432.17,-8521.76,-8566.46,-8671.52,9972.1,,9972.1
9954.0,2939132.79,1069898.62,-7810.16,-8199.47,-8355.43,-8432.18,-8521.76,-8566.46,-8671.52,9973.1,,9973.1
9955.0,2939132.78,1069898.61,-7811.16,-8199.47,-8355.43,-8432.18,-8521.76,-8566.47,-8671.52,9974.1,,9974.1
9956.0,2939132.77,1069898.6,-7812.16,-8199.47,-8355.44,-8432.18,-8521.76,-8566.47,-8671.53,9975.1,,9975.1
9957.0,2939132.76,1069898.59,-7813.16,-8199.48,-8355.44,-8432.18,-8521.77,-8566.47,-8671.53,9976.09,,9976.09
9958.0,2939132.76,1069898.59,-7814.16,-8199.48,-8355.44,-8432.19,-8521.77,-8566.47,-8671.53,9977.09,65.96960103893142,9977.09
9959.0,2939132.75,1069898.58,-7815.16,-8199.48,-8355.44,-8432.19,-8521.77,-8566.48,-8671.53,9978.09,,9978.09
9960.0,2939132.74,1069898.57,-7816.16,-8199.48,-8355.45,-8432.19,-8521.77,-8566.48,-8671.54,9979.09,,9979.09
9961.0,2939132.73,1069898.56,-7817.16,-8199.49,-8355.45,-8432.19,-8521.78,-8566.48,-8671.54,9980.08,,9980.08
9962.0,2939132.72,1069898.55,-7818.16,-8199.49,-8355.45,-8432.2,-8521.78,-8566.48,-8671.54,9981.08,,9981.08
9963.0,2939132.71,1069898.54,-7819.16,-8199.49,-8355.45,-8432.2,-8521.78,-8566.49,-8671.54,9982.08,,9982.08
9964.0,2939132.71,1069898.53,-7820.16,-8199.49,-8355.46,-8432.2,-8521.78,-8566.49,-8671.55,9983.08,,9983.08
9965.0,2939132.7,1069898.53,-7821.16,-8199.5,-8355.46,-8432.2,-8521.79,-8566.49,-8671.55,9984.070000000002,,9984.070000000002
9966.0,2939132.69,1069898.52,-7822.16,-8199.5,-8355.46,-8432.21,-8521.79,-8566.49,-8671.55,9985.070000000002,,9985.070000000002
9967.0,2939132.68,1069898.51,-7823.16,-8199.5,-8355.46,-8432.21,-8521.79,-8566.5,-8671.55,9986.070000000002,,9986.070000000002
9968.0,2939132.67,1069898.5,-7824.16,-8199.5,-8355.47,-8432.21,-8521.79,-8566.5,-8671.56,9987.070000000002,74.10719949803027,9987.070000000002
9969.0,2939132.66,1069898.49,-7825.16,-8199.51,-8355.47,-8432.21,-8521.8,-8566.5,-8671.56,9988.06,,9988.06
9970.0,2939132.66,1069898.49,-7826.16,-8199.51,-8355.47,-8432.22,-8521.8,-8566.5,-8671.56,9989.06,,9989.06
9971.0,2939132.65,1069898.48,-7827.16,-8199.51,-8355.47,-8432.22,-8521.8,-8566.51,-8671.56,9990.06,,9990.06
9972.0,2939132.64,1069898.47,-7828.16,-8199.51,-8355.48,-8432.22,-8521.8,-8566.51,-8671.57,9991.05,,9991.05
9973.0,2939132.63,1069898.46,-7829.16,-8199.52,-8355.48,-8432.22,-8521.81,-8566.51,-8671.57,9992.05,,9992.05
9974.0,2939132.62,1069898.45,-7830.16,-8199.52,-8355.48,-8432.23,-8521.81,-8566.51,-8671.57,9993.05,,9993.05
9975.0,2939132.61,1069898.45,-7831.16,-8199.52,-8355.48,-8432.23,-8521.81,-8566.52,-8671.57,9994.05,,9994.05
9976.0,2939132.61,1069898.44,-7832.16,-8199.52,-8355.49,-8432.23,-8521.81,-8566.52,-8671.58,9995.04,,9995.04
9977.0,2939132.6,1069898.43,-7833.16,-8199.53,-8355.49,-8432.23,-8521.82,-8566.52,-8671.58,9996.04,,9996.04
9978.0,2939132.59,1069898.42,-7834.16,-8199.53,-8355.49,-8432.24,-8521.82,-8566.52,-8671.58,9997.04,,9997.04
9979.0,2939132.58,1069898.42,-7835.16,-8199.53,-8355.49,-8432.24,-8521.82,-8566.53,-8671.58,9998.04,,9998.04
9980.0,2939132.57,1069898.41,-7836.16,-8199.53,-8355.5,-8432.24,-8521.82,-8566.53,-8671.59,9999.03,,9999.03
9981.0,2939132.56,1069898.4,-7837.16,-8199.54,-8355.5,-8432.24,-8521.83,-8566.53,-8671.59,10000.03,,10000.03
9982.0,2939132.55,1069898.39,-7838.16,-8199.54,-8355.5,-8432.25,-8521.83,-8566.53,-8671.59,10001.03,,10001.03
9983.0,2939132.55,1069898.39,-7839.16,-8199.54,-8355.5,-8432.25,-8521.83,-8566.54,-8671.59,10002.03,,10002.03
9984.0,2939132.54,1069898.38,-7840.16,-8199.54,-8355.51,-8432.25,-8521.83,-8566.54,-8671.6,10003.02,75.74160087987887,10003.02
9985.0,2939132.53,1069898.37,-7841.16,-8199.55,-8355.51,-8432.25,-8521.84,-8566.54,-8671.6,10004.02,,10004.02
9986.0,2939132.52,1069898.36,-7842.16,-8199.55,-8355.51,-8432.26,-8521.84,-8566.54,-8671.6,10005.02,,10005.02
