MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11703.0,3021391.98,1087296.89,-9603.81,-10181.38,-10323.05,-10392.14,-10462.75,-10497.73,-10658.16,11720.08,,11720.08
11704.0,3021391.97,1087296.91,-9604.81,-10181.38,-10323.05,-10392.14,-10462.75,-10497.73,-10658.16,11721.08,,11721.08
11705.0,3021391.96,1087296.94,-9605.81,-10181.38,-10323.05,-10392.14,-10462.75,-10497.73,-10658.16,11722.08,109.66841539408162,11722.08
11706.0,3021391.95,1087296.97,-9606.81,-10181.38,-10323.05,-10392.14,-10462.76,-10497.73,-10658.16,11723.070000000002,,11723.070000000002
11707.0,3021391.94,1087297.0,-9607.81,-10181.38,-10323.05,-10392.14,-10462.76,-10497.73,-10658.16,11724.070000000002,113.9456546840224,11724.070000000002
11708.0,3021391.94,1087297.02,-9608.81,-10181.38,-10323.05,-10392.14,-10462.76,-10497.73,-10658.16,11725.070000000002,,11725.070000000002
11709.0,3021391.93,1087297.05,-9609.81,-10181.38,-10323.05,-10392.14,-10462.76,-10497.73,-10658.16,11726.070000000002,,11726.070000000002
11710.0,3021391.92,1087297.08,-9610.81,-10181.38,-10323.05,-10392.14,-10462.76,-10497.73,-10658.16,11727.070000000002,107.10207182011716,11727.070000000002
11711.0,3021391.91,1087297.11,-9611.81,-10181.38,-10323.05,-10392.14,-10462.76,-10497.73,-10658.16,11728.070000000002,,11728.070000000002
11712.0,3021391.9,1087297.14,-9612.81,-10181.39,-10323.05,-10392.14,-10462.76,-10497.73,-10658.16,11729.070000000002,,11729.070000000002
11713.0,3021391.89,1087297.17,-9613.81,-10181.39,-10323.05,-10392.14,-10462.76,-10497.73,-10658.16,11730.070000000002,,11730.070000000002
11714.0,3021391.88,1087297.19,-9614.81,-10181.39,-10323.05,-10392.14,-10462.76,-10497.73,-10658.16,11731.070000000002,112.2347589680461,11731.070000000002
11715.0,3021391.87,1087297.22,-9615.81,-10181.39,-10323.05,-10392.14,-10462.76,-10497.73,-10658.16,11732.070000000002,,11732.070000000002
11716.0,3021391.86,1087297.25,-9616.81,-10181.39,-10323.05,-10392.14,-10462.76,-10497.73,-10658.16,11733.070000000002,,11733.070000000002
11717.0,3021391.85,1087297.28,-9617.8,-10181.39,-10323.05,-10392.14,-10462.76,-10497.73,-10658.16,11734.070000000002,,11734.070000000002
