MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11715.0,3020875.58,1087131.53,-9604.86,-10154.0,-10295.67,-10364.76,-10435.37,-10470.35,-10630.77,11748.51,131.68389570379844,11748.51
11716.0,3020875.55,1087131.55,-9605.86,-10153.64,-10295.3,-10364.4,-10435.01,-10469.99,-10630.41,11749.87,132.17298614366624,11749.87
11717.0,3020875.52,1087131.57,-9606.86,-10153.28,-10294.94,-10364.03,-10434.65,-10469.63,-10630.05,11751.23,131.7135375486389,11751.23
11718.0,3020875.49,1087131.59,-9607.86,-10152.92,-10294.58,-10363.67,-10434.29,-10469.26,-10629.69,11752.59,124.48092740756366,11752.59
11719.0,3020875.46,1087131.61,-9608.86,-10152.56,-10294.22,-10363.31,-10433.93,-10468.9,-10629.33,11753.95,111.6904713588998,11753.95
11720.0,3020875.44,1087131.63,-9609.86,-10152.19,-10293.86,-10362.95,-10433.57,-10468.54,-10628.97,11755.31,105.09516088189471,11755.31
11721.0,3020875.41,1087131.65,-9610.86,-10151.82,-10293.48,-10362.57,-10433.19,-10468.16,-10628.59,11756.69,108.6077194954907,11756.69
11722.0,3020875.38,1087131.67,-9611.86,-10151.44,-10293.1,-10362.2,-10432.81,-10467.79,-10628.21,11758.06,110.17873727203572,11758.06
11723.0,3020875.35,1087131.69,-9612.86,-10151.06,-10292.73,-10361.82,-10432.44,-10467.41,-10627.84,11759.44,,11759.44
11724.0,3020875.32,1087131.71,-9613.85,-10150.69,-10292.35,-10361.44,-10432.06,-10467.04,-10627.46,11760.820000000002,107.9555989090003,11760.820000000002
11725.0,3020875.29,1087131.73,-9614.85,-10150.31,-10291.97,-10361.07,-10431.68,-10466.66,-10627.08,11762.19,108.72628687485258,11762.19
11726.0,3020875.26,1087131.75,-9615.85,-10149.93,-10291.6,-10360.69,-10431.31,-10466.28,-10626.71,11763.570000000002,111.37923198807486,11763.570000000002
11727.0,3020875.23,1087131.77,-9616.85,-10149.56,-10291.22,-10360.31,-10430.93,-10465.91,-10626.33,11764.94,108.000061676261,11764.94
11728.0,3020875.21,1087131.79,-9617.85,-10149.18,-10290.84,-10359.94,-10430.55,-10465.53,-10625.95,11766.320000000002,105.5397885545018,11766.320000000002
11729.0,3020875.18,1087131.81,-9618.85,-10148.8,-10290.47,-10359.56,-10430.18,-10465.15,-10625.58,11767.7,108.53361488338952,11767.7
11730.0,3020875.15,1087131.83,-9619.85,-10148.43,-10290.09,-10359.18,-10429.8,-10464.78,-10625.2,11769.070000000002,108.84485425421448,11769.070000000002
11731.0,3020875.12,1087131.85,-9620.85,-10148.04,-10289.7,-10358.79,-10429.41,-10464.39,-10624.81,11770.46,,11770.46
11732.0,3020875.09,1087131.87,-9621.85,-10147.65,-10289.31,-10358.41,-10429.02,-10464.0,-10624.42,11771.85,104.99141442495308,11771.85
11733.0,3020875.06,1087131.89,-9622.85,-10147.26,-10288.92,-10358.02,-10428.63,-10463.61,-10624.03,11773.240000000002,109.28948192682157,11773.240000000002
11734.0,3020875.03,1087131.91,-9623.85,-10146.87,-10288.53,-10357.63,-10428.24,-10463.22,-10623.64,11774.63,112.19438272118784,11774.63
11735.0,3020875.0,1087131.93,-9624.85,-10146.48,-10288.15,-10357.24,-10427.85,-10462.83,-10623.25,11776.01,113.98771433403644,11776.01
11736.0,3020874.97,1087131.96,-9625.85,-10146.09,-10287.76,-10356.85,-10427.46,-10462.44,-10622.87,11777.4,114.52126754116492,11777.4
11737.0,3020874.94,1087131.98,-9626.85,-10145.7,-10287.37,-10356.46,-10427.07,-10462.05,-10622.48,11778.79,108.19273366772408,11778.79
11738.0,3020874.91,1087132.0,-9627.85,-10145.31,-10286.98,-10356.07,-10426.69,-10461.66,-10622.09,11780.18,105.10998180431496,11780.18
11739.0,3020874.88,1087132.02,-9628.85,-10144.92,-10286.59,-10355.68,-10426.3,-10461.27,-10621.7,11781.570000000002,107.79256876237773,11781.570000000002
11740.0,3020874.85,1087132.04,-9629.84,-10144.54,-10286.2,-10355.29,-10425.91,-10460.88,-10621.31,11782.96,109.24501915956084,11782.96
11741.0,3020874.82,1087132.06,-9630.84,-10144.13,-10285.8,-10354.89,-10425.51,-10460.48,-10620.91,11784.36,108.2371964349848,11784.36
11742.0,3020874.79,1087132.08,-9631.84,-10143.73,-10285.4,-10354.49,-10425.1,-10460.08,-10620.51,11785.76,107.97041983142051,11785.76
11743.0,3020874.76,1087132.11,-9632.84,-10143.33,-10285.0,-10354.09,-10424.7,-10459.68,-10620.1,11787.16,109.77857236668936,11787.16
11744.0,3020874.73,1087132.13,-9633.84,-10142.93,-10284.59,-10353.69,-10424.3,-10459.28,-10619.7,11788.56,114.61019307568634,11788.56
11745.0,3020874.7,1087132.15,-9634.84,-10142.53,-10284.19,-10353.29,-10423.9,-10458.88,-10619.3,11789.96,110.35658834107856,11789.96
11746.0,3020874.67,1087132.17,-9635.84,-10142.13,-10283.79,-10352.88,-10423.5,-10458.48,-10618.9,11791.36,114.77322322230894,11791.36
11747.0,3020874.64,1087132.19,-9636.84,-10141.73,-10283.39,-10352.48,-10423.1,-10458.07,-10618.5,11792.76,118.10793076686208,11792.76
11748.0,3020874.61,1087132.22,-9637.84,-10141.33,-10282.99,-10352.08,-10422.7,-10457.67,-10618.1,11794.16,114.8769696792506,11794.16
11749.0,3020874.58,1087132.24,-9638.84,-10140.92,-10282.59,-10351.68,-10422.3,-10457.27,-10617.7,11795.56,114.10628171339832,11795.56
11750.0,3020874.55,1087132.26,-9639.84,-10140.52,-10282.19,-10351.28,-10421.89,-10456.87,-10617.3,11796.96,113.98771433403644,11796.96
11751.0,3020874.52,1087132.28,-9640.84,-10140.12,-10281.78,-10350.87,-10421.49,-10456.46,-10616.89,11798.37,120.80533864734508,11798.37
11752.0,3020874.49,1087132.3,-9641.84,-10139.71,-10281.37,-10350.46,-10421.08,-10456.05,-10616.48,11799.78,136.66372563699778,11799.78
11753.0,3020874.46,1087132.33,-9642.84,-10139.3,-10280.96,-10350.05,-10420.67,-10455.64,-10616.07,11801.19,164.54188070946202,11801.19
11754.0,3020874.43,1087132.35,-9643.83,-10138.88,-10280.55,-10349.64,-10420.26,-10455.23,-10615.66,11802.6,164.54188070946202,11802.6
11755.0,3020874.39,1087132.37,-9644.83,-10138.47,-10280.14,-10349.23,-10419.84,-10454.82,-10615.24,11804.01,163.22281861406103,11804.01
11756.0,3020874.36,1087132.4,-9645.83,-10138.06,-10279.72,-10348.81,-10419.43,-10454.41,-10614.83,11805.42,131.69871662621867,11805.42
11757.0,3020874.33,1087132.42,-9646.83,-10138.31,-10279.98,-10349.07,-10419.68,-10454.66,-10615.09,11806.17,90.95600089298942,11806.17
11758.0,3020874.3,1087132.44,-9647.83,-10138.77,-10280.44,-10349.53,-10420.15,-10455.12,-10615.55,11806.71,85.82796173558769,11806.71
11759.0,3020874.27,1087132.46,-9648.83,-10139.24,-10280.9,-10349.99,-10420.61,-10455.59,-10616.01,11807.240000000002,90.867075358468,11807.240000000002
11760.0,3020874.24,1087132.49,-9649.83,-10139.7,-10281.37,-10350.46,-10421.07,-10456.05,-10616.48,11807.78,94.24624567028184,11807.78
11761.0,3020874.21,1087132.51,-9650.83,-10140.18,-10281.84,-10350.93,-10421.55,-10456.52,-10616.95,11808.3,100.08568910385488,11808.3
11762.0,3020874.18,1087132.53,-9651.83,-10140.65,-10282.31,-10351.4,-10422.02,-10457.0,-10617.42,11808.83,104.23554738152102,11808.83
11763.0,3020874.14,1087132.56,-9652.83,-10141.12,-10282.78,-10351.88,-10422.49,-10457.47,-10617.89,11809.36,102.4273948462522,11809.36
11764.0,3020874.11,1087132.58,-9653.83,-10141.59,-10283.26,-10352.35,-10422.96,-10457.94,-10618.36,11809.88,100.1301518711156,11809.88
11765.0,3020874.08,1087132.6,-9654.83,-10142.06,-10283.73,-10352.82,-10423.44,-10458.41,-10618.84,11810.41,99.46321036220498,11810.41
11766.0,3020874.05,1087132.63,-9655.83,-10142.54,-10284.2,-10353.29,-10423.91,-10458.88,-10619.31,11810.94,98.09968549954324,11810.94
11767.0,3020874.02,1087132.65,-9656.82,-10143.01,-10284.67,-10353.76,-10424.38,-10459.36,-10619.78,11811.46,94.1424992133402,11811.46
11768.0,3020873.98,1087132.68,-9657.82,-10143.48,-10285.14,-10354.24,-10424.85,-10459.83,-10620.25,11811.990000000002,92.80861619551894,11811.990000000002
11769.0,3020873.95,1087132.7,-9658.82,-10143.95,-10285.62,-10354.71,-10425.32,-10460.3,-10620.73,11812.52,91.119031039612,11812.52
11770.0,3020873.92,1087132.72,-9659.82,-10144.43,-10286.09,-10355.18,-10425.8,-10460.77,-10621.2,11813.05,91.00046366025012,11813.05
11771.0,3020873.89,1087132.75,-9660.82,-10144.91,-10286.57,-10355.67,-10426.28,-10461.26,-10621.68,11813.56,90.57065691006326,11813.56
11772.0,3020873.86,1087132.77,-9661.82,-10145.4,-10287.06,-10356.15,-10426.77,-10461.75,-10622.17,11814.070000000002,94.6464105756282,11814.070000000002
11773.0,3020873.82,1087132.8,-9662.82,-10145.88,-10287.55,-10356.64,-10427.25,-10462.23,-10622.66,11814.59,95.55048684326262,11814.59
11774.0,3020873.79,1087132.82,-9663.82,-10146.37,-10288.03,-10357.12,-10427.74,-10462.72,-10623.14,11815.1,91.83043531578332,11815.1
11775.0,3020873.76,1087132.85,-9664.82,-10146.86,-10288.52,-10357.61,-10428.23,-10463.2,-10623.63,11815.61,92.05274915208688,11815.61
11776.0,3020873.73,1087132.87,-9665.82,-10147.34,-10289.0,-10358.1,-10428.71,-10463.69,-10624.11,11816.12,91.35616579833578,11816.12
11777.0,3020873.69,1087132.9,-9666.82,-10147.83,-10289.49,-10358.58,-10429.2,-10464.17,-10624.6,11816.64,87.23594936551012,11816.64
11778.0,3020873.66,1087132.92,-9667.82,-10148.31,-10289.98,-10359.07,-10429.68,-10464.66,-10625.09,11817.15,85.16102022667705,11817.15
11779.0,3020873.63,1087132.94,-9668.81,-10148.8,-10290.46,-10359.55,-10430.17,-10465.15,-10625.57,11817.66,94.75015703256986,11817.66
11780.0,3020873.59,1087132.97,-9669.81,-10149.28,-10290.95,-10360.04,-10430.66,-10465.63,-10626.06,11818.18,98.95929899991694,11818.18
11781.0,3020873.56,1087132.99,-9670.81,-10149.78,-10291.45,-10360.54,-10431.16,-10466.13,-10626.56,11818.68,97.98111812018136,11818.68
11782.0,3020873.53,1087133.02,-9671.81,-10150.28,-10291.95,-10361.04,-10431.66,-10466.63,-10627.06,11819.18,,11819.18
11783.0,3020873.49,1087133.05,-9672.81,-10150.78,-10292.45,-10361.54,-10432.16,-10467.13,-10627.56,11819.68,88.22895116766595,11819.68
11784.0,3020873.46,1087133.07,-9673.81,-10151.28,-10292.95,-10362.04,-10432.65,-10467.63,-10628.06,11820.18,87.91771179684099,11820.18
11785.0,3020873.43,1087133.1,-9674.81,-10151.78,-10293.45,-10362.54,-10433.15,-10468.13,-10628.56,11820.67,88.05110009862311,11820.67
11786.0,3020873.39,1087133.12,-9675.81,-10152.28,-10293.95,-10363.04,-10433.65,-10468.63,-10629.06,11821.17,85.91688727010911,11821.17
11787.0,3020873.36,1087133.15,-9676.81,-10152.78,-10294.45,-10363.54,-10434.15,-10469.13,-10629.55,11821.67,87.4730841242339,11821.67
11788.0,3020873.33,1087133.17,-9677.81,-10153.28,-10294.95,-10364.04,-10434.65,-10469.63,-10630.05,11822.17,91.84525623820358,11822.17
11789.0,3020873.29,1087133.2,-9678.81,-10153.78,-10295.45,-10364.54,-10435.15,-10470.13,-10630.55,11822.67,94.1869619806009,11822.67
11790.0,3020873.26,1087133.22,-9679.81,-10154.28,-10295.94,-10365.04,-10435.65,-10470.63,-10631.05,11823.17,94.08321552365923,11823.17
11791.0,3020873.23,1087133.25,-9680.8,-10154.79,-10296.46,-10365.55,-10436.17,-10471.14,-10631.57,11823.66,94.46855950658538,11823.66
11792.0,3020873.19,1087133.28,-9681.8,-10155.31,-10296.97,-10366.06,-10436.68,-10471.66,-10632.08,11824.14,96.7213397144613,11824.14
11793.0,3020873.16,1087133.3,-9682.8,-10155.82,-10297.48,-10366.58,-10437.19,-10472.17,-10632.59,11824.63,92.28988391081066,11824.63
11794.0,3020873.13,1087133.33,-9683.8,-10156.33,-10298.0,-10367.09,-10437.71,-10472.68,-10633.11,11825.12,94.6464105756282,11825.12
11795.0,3020873.09,1087133.36,-9684.8,-10156.85,-10298.51,-10367.6,-10438.22,-10473.2,-10633.62,11825.6,99.07786637927884,11825.6
11796.0,3020873.06,1087133.38,-9685.8,-10157.36,-10299.02,-10368.12,-10438.73,-10473.71,-10634.13,11826.09,94.60194780836753,11826.09
11797.0,3020873.02,1087133.41,-9686.8,-10157.87,-10299.54,-10368.63,-10439.25,-10474.22,-10634.65,11826.570000000002,91.22277749655366,11826.570000000002
11798.0,3020872.99,1087133.43,-9687.8,-10158.39,-10300.05,-10369.14,-10439.76,-10474.74,-10635.16,11827.06,94.52784319626632,11827.06
11799.0,3020872.95,1087133.46,-9688.8,-10158.9,-10300.56,-10369.66,-10440.27,-10475.25,-10635.67,11827.54,94.79461979983056,11827.54
11800.0,3020872.92,1087133.49,-9689.8,-10159.41,-10301.08,-10370.17,-10440.79,-10475.76,-10636.19,11828.03,93.44591585958908,11828.03
11801.0,3020872.89,1087133.51,-9690.79,-10159.94,-10301.61,-10370.7,-10441.31,-10476.29,-10636.71,11828.5,92.94200449730104,11828.5
11802.0,3020872.85,1087133.54,-9691.79,-10160.47,-10302.13,-10371.22,-10441.84,-10476.82,-10637.24,11828.97,87.96217456410169,11828.97
11803.0,3020872.82,1087133.57,-9692.79,-10161.0,-10302.66,-10371.75,-10442.37,-10477.34,-10637.77,11829.45,90.34834307375972,11829.45
11804.0,3020872.78,1087133.6,-9693.79,-10161.52,-10303.19,-10372.28,-10442.89,-10477.87,-10638.3,11829.92,94.77979887741034,11829.92
11805.0,3020872.75,1087133.62,-9694.79,-10162.05,-10303.71,-10372.81,-10443.42,-10478.4,-10638.82,11830.39,92.52701866953444,11830.39
11806.0,3020872.71,1087133.65,-9695.79,-10162.58,-10304.24,-10373.33,-10443.95,-10478.92,-10639.35,11830.86,92.17131653144877,11830.86
11807.0,3020872.68,1087133.68,-9696.79,-10163.1,-10304.77,-10373.86,-10444.48,-10479.45,-10639.88,11831.33,91.0745682723513,11831.33
11808.0,3020872.64,1087133.71,-9697.79,-10163.63,-10305.29,-10374.39,-10445.0,-10479.98,-10640.4,11831.81,93.99428998913784,11831.81
11809.0,3020872.61,1087133.73,-9698.79,-10164.16,-10305.82,-10374.91,-10445.53,-10480.51,-10640.93,11832.28,93.3273484802272,11832.28
11810.0,3020872.57,1087133.76,-9699.79,-10164.69,-10306.35,-10375.44,-10446.06,-10481.03,-10641.46,11832.75,89.91853632357288,11832.75
11811.0,3020872.54,1087133.79,-9700.79,-10165.23,-10306.89,-10375.98,-10446.6,-10481.57,-10642.0,11833.21,88.67357884027304,11833.21
11812.0,3020872.5,1087133.82,-9701.78,-10165.77,-10307.43,-10376.52,-10447.14,-10482.11,-10642.54,11833.67,88.12520471072429,11833.67
11813.0,3020872.47,1087133.84,-9702.78,-10166.31,-10307.97,-10377.06,-10447.68,-10482.66,-10643.08,11834.12,95.60977053294356,11834.12
11814.0,3020872.43,1087133.87,-9703.78,-10166.85,-10308.51,-10377.6,-10448.22,-10483.2,-10643.62,11834.58,100.2931820177382,11834.58
11815.0,3020872.39,1087133.9,-9704.78,-10167.39,-10309.05,-10378.14,-10448.76,-10483.74,-10644.16,11835.04,98.05522273228252,11835.04
11816.0,3020872.36,1087133.93,-9705.78,-10167.93,-10309.59,-10378.69,-10449.3,-10484.28,-10644.7,11835.5,100.15979371595608,11835.5
11817.0,3020872.32,1087133.96,-9706.78,-10168.47,-10310.13,-10379.23,-10449.84,-10484.82,-10645.24,11835.96,106.53279035665764,11835.96
11818.0,3020872.29,1087133.98,-9707.78,-10169.01,-10310.67,-10379.77,-10450.38,-10485.36,-10645.78,11836.41,102.7534551394974,11836.41
11819.0,3020872.25,1087134.01,-9708.78,-10169.55,-10311.22,-10380.31,-10450.92,-10485.9,-10646.32,11836.87,99.9226589572323,11836.87
11820.0,3020872.22,1087134.04,-9709.78,-10170.09,-10311.76,-10380.85,-10451.46,-10486.44,-10646.87,11837.33,101.55296042345827,11837.33
11821.0,3020872.18,1087134.07,-9710.77,-10170.64,-10312.31,-10381.4,-10452.02,-10486.99,-10647.42,11837.78,96.08404005039112,11837.78
11822.0,3020872.14,1087134.1,-9711.77,-10171.2,-10312.86,-10381.95,-10452.57,-10487.54,-10647.97,11838.23,91.26724026381436,11838.23
11823.0,3020872.11,1087134.13,-9712.77,-10171.75,-10313.41,-10382.5,-10453.12,-10488.1,-10648.52,11838.67,88.21413024524571,11838.67
11824.0,3020872.07,1087134.16,-9713.77,-10172.3,-10313.96,-10383.06,-10453.67,-10488.65,-10649.07,11839.12,90.77814982394658,11839.12
11825.0,3020872.03,1087134.19,-9714.77,-10172.85,-10314.52,-10383.61,-10454.22,-10489.2,-10649.63,11839.570000000002,,11839.570000000002
11826.0,3020872.0,1087134.21,-9715.77,-10173.4,-10315.07,-10384.16,-10454.78,-10489.75,-10650.18,11840.01,,11840.01
11827.0,3020871.96,1087134.24,-9716.77,-10173.96,-10315.62,-10384.71,-10455.33,-10490.3,-10650.73,11840.46,118.62666305157036,11840.46
11828.0,3020871.93,1087134.27,-9717.77,-10174.51,-10316.17,-10385.26,-10455.88,-10490.86,-10651.28,11840.91,109.21537731472036,11840.91
11829.0,3020871.89,1087134.3,-9718.77,-10175.06,-10316.72,-10385.82,-10456.43,-10491.41,-10651.83,11841.35,97.65505782693616,11841.35
11830.0,3020871.85,1087134.33,-9719.77,-10175.61,-10317.28,-10386.37,-10456.98,-10491.96,-10652.38,11841.8,93.94982722187711,11841.8
11831.0,3020871.82,1087134.36,-9720.76,-10176.17,-10317.83,-10386.93,-10457.54,-10492.52,-10652.94,11842.240000000002,85.10173653699613,11842.240000000002
