MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11017.0,3008578.74,1104324.02,-8896.77,-9460.3,-9616.52,-9689.46,-9824.02,-9868.05,-9988.14,11004.15,,11004.15
11018.0,3008578.76,1104324.02,-8897.77,-9460.31,-9616.53,-9689.48,-9824.03,-9868.07,-9988.16,11005.14,,11005.14
11019.0,3008578.78,1104324.02,-8898.77,-9460.33,-9616.55,-9689.49,-9824.05,-9868.08,-9988.17,11006.12,,11006.12
11020.0,3008578.81,1104324.01,-8899.77,-9460.34,-9616.57,-9689.51,-9824.06,-9868.1,-9988.19,11007.11,,11007.11
11021.0,3008578.83,1104324.01,-8900.77,-9460.36,-9616.58,-9689.52,-9824.08,-9868.12,-9988.21,11008.09,,11008.09
11022.0,3008578.85,1104324.0,-8901.77,-9460.37,-9616.6,-9689.54,-9824.1,-9868.13,-9988.22,11009.070000000002,,11009.070000000002
11023.0,3008578.87,1104324.0,-8902.76,-9460.39,-9616.61,-9689.56,-9824.11,-9868.15,-9988.24,11010.06,,11010.06
11024.0,3008578.89,1104323.99,-8903.76,-9460.41,-9616.63,-9689.57,-9824.13,-9868.16,-9988.25,11011.04,,11011.04
11025.0,3008578.92,1104323.99,-8904.76,-9460.42,-9616.65,-9689.59,-9824.15,-9868.18,-9988.27,11012.02,,11012.02
11026.0,3008578.94,1104323.98,-8905.76,-9460.44,-9616.66,-9689.61,-9824.16,-9868.2,-9988.29,11013.01,,11013.01
11027.0,3008578.96,1104323.98,-8906.76,-9460.46,-9616.68,-9689.62,-9824.18,-9868.21,-9988.3,11013.990000000002,,11013.990000000002
11028.0,3008578.98,1104323.97,-8907.76,-9460.47,-9616.7,-9689.64,-9824.19,-9868.23,-9988.32,11014.97,,11014.97
11029.0,3008579.01,1104323.97,-8908.76,-9460.49,-9616.71,-9689.65,-9824.21,-9868.25,-9988.34,11015.96,,11015.96
11030.0,3008579.03,1104323.96,-8909.76,-9460.51,-9616.73,-9689.67,-9824.23,-9868.26,-9988.35,11016.94,,11016.94
11031.0,3008579.05,1104323.96,-8910.76,-9460.52,-9616.75,-9689.69,-9824.24,-9868.28,-9988.37,11017.92,,11017.92
11032.0,3008579.07,1104323.95,-8911.76,-9460.54,-9616.76,-9689.7,-9824.26,-9868.3,-9988.39,11018.91,,11018.91
11033.0,3008579.1,1104323.94,-8912.76,-9460.56,-9616.78,-9689.72,-9824.28,-9868.31,-9988.4,11019.89,,11019.89
11034.0,3008579.12,1104323.94,-8913.76,-9460.57,-9616.8,-9689.74,-9824.3,-9868.33,-9988.42,11020.87,,11020.87
11035.0,3008579.14,1104323.93,-8914.76,-9460.59,-9616.81,-9689.76,-9824.31,-9868.35,-9988.44,11021.85,,11021.85
11036.0,3008579.17,1104323.93,-8915.76,-9460.61,-9616.83,-9689.77,-9824.33,-9868.36,-9988.45,11022.84,,11022.84
11037.0,3008579.19,1104323.92,-8916.76,-9460.62,-9616.85,-9689.79,-9824.35,-9868.38,-9988.47,11023.820000000002,,11023.820000000002
11038.0,3008579.21,1104323.92,-8917.76,-9460.64,-9616.86,-9689.81,-9824.36,-9868.4,-9988.49,11024.8,,11024.8
11039.0,3008579.24,1104323.91,-8918.76,-9460.66,-9616.88,-9689.82,-9824.38,-9868.42,-9988.51,11025.79,,11025.79
11040.0,3008579.26,1104323.91,-8919.76,-9460.67,-9616.9,-9689.84,-9824.4,-9868.43,-9988.52,11026.77,,11026.77
11041.0,3008579.28,1104323.9,-8920.76,-9460.69,-9616.92,-9689.86,-9824.41,-9868.45,-9988.54,11027.75,,11027.75
11042.0,3008579.31,1104323.9,-8921.76,-9460.71,-9616.93,-9689.88,-9824.43,-9868.47,-9988.56,11028.73,,11028.73
11043.0,3008579.33,1104323.89,-8922.76,-9460.73,-9616.95,-9689.89,-9824.45,-9868.48,-9988.57,11029.71,,11029.71
11044.0,3008579.35,1104323.88,-8923.76,-9460.75,-9616.97,-9689.91,-9824.47,-9868.5,-9988.59,11030.7,,11030.7
11045.0,3008579.38,1104323.88,-8924.76,-9460.76,-9616.99,-9689.93,-9824.48,-9868.52,-9988.61,11031.68,,11031.68
11046.0,3008579.4,1104323.87,-8925.76,-9460.78,-9617.0,-9689.95,-9824.5,-9868.54,-9988.63,11032.66,,11032.66
11047.0,3008579.43,1104323.87,-8926.76,-9460.8,-9617.02,-9689.96,-9824.52,-9868.56,-9988.65,11033.64,,11033.64
11048.0,3008579.45,1104323.86,-8927.76,-9460.82,-9617.04,-9689.98,-9824.54,-9868.57,-9988.66,11034.62,,11034.62
11049.0,3008579.48,1104323.85,-8928.76,-9460.83,-9617.06,-9690.0,-9824.56,-9868.59,-9988.68,11035.61,,11035.61
11050.0,3008579.5,1104323.85,-8929.76,-9460.85,-9617.07,-9690.02,-9824.57,-9868.61,-9988.7,11036.59,,11036.59
11051.0,3008579.52,1104323.84,-8930.76,-9460.87,-9617.09,-9690.03,-9824.59,-9868.63,-9988.72,11037.570000000002,,11037.570000000002
11052.0,3008579.55,1104323.84,-8931.76,-9460.89,-9617.11,-9690.05,-9824.61,-9868.64,-9988.73,11038.55,,11038.55
11053.0,3008579.57,1104323.83,-8932.76,-9460.91,-9617.13,-9690.07,-9824.63,-9868.66,-9988.75,11039.53,,11039.53
11054.0,3008579.6,1104323.82,-8933.76,-9460.92,-9617.15,-9690.09,-9824.65,-9868.68,-9988.77,11040.51,,11040.51
11055.0,3008579.62,1104323.82,-8934.76,-9460.94,-9617.16,-9690.11,-9824.66,-9868.7,-9988.79,11041.5,,11041.5
11056.0,3008579.65,1104323.81,-8935.76,-9460.96,-9617.18,-9690.13,-9824.68,-9868.72,-9988.81,11042.48,,11042.48
11057.0,3008579.67,1104323.81,-8936.75,-9460.98,-9617.2,-9690.14,-9824.7,-9868.74,-9988.83,11043.46,,11043.46
11058.0,3008579.7,1104323.8,-8937.75,-9461.0,-9617.22,-9690.16,-9824.72,-9868.75,-9988.84,11044.44,,11044.44
11059.0,3008579.72,1104323.79,-8938.75,-9461.01,-9617.24,-9690.18,-9824.74,-9868.77,-9988.86,11045.42,,11045.42
11060.0,3008579.75,1104323.79,-8939.75,-9461.03,-9617.26,-9690.2,-9824.75,-9868.79,-9988.88,11046.4,,11046.4
11061.0,3008579.77,1104323.78,-8940.75,-9461.05,-9617.27,-9690.22,-9824.77,-9868.81,-9988.9,11047.38,,11047.38
11062.0,3008579.8,1104323.77,-8941.75,-9461.07,-9617.29,-9690.24,-9824.79,-9868.83,-9988.92,11048.37,,11048.37
11063.0,3008579.83,1104323.77,-8942.75,-9461.09,-9617.31,-9690.25,-9824.81,-9868.85,-9988.94,11049.35,,11049.35
11064.0,3008579.85,1104323.76,-8943.75,-9461.11,-9617.33,-9690.27,-9824.83,-9868.87,-9988.96,11050.33,,11050.33
11065.0,3008579.88,1104323.76,-8944.75,-9461.13,-9617.35,-9690.29,-9824.85,-9868.88,-9988.97,11051.31,,11051.31
11066.0,3008579.9,1104323.75,-8945.75,-9461.15,-9617.37,-9690.31,-9824.87,-9868.9,-9988.99,11052.29,,11052.29
11067.0,3008579.93,1104323.74,-8946.75,-9461.16,-9617.39,-9690.33,-9824.89,-9868.92,-9989.01,11053.27,,11053.27
11068.0,3008579.95,1104323.74,-8947.75,-9461.18,-9617.41,-9690.35,-9824.91,-9868.94,-9989.03,11054.25,,11054.25
11069.0,3008579.98,1104323.73,-8948.75,-9461.2,-9617.43,-9690.37,-9824.92,-9868.96,-9989.05,11055.23,,11055.23
11070.0,3008580.01,1104323.72,-8949.75,-9461.22,-9617.44,-9690.39,-9824.94,-9868.98,-9989.07,11056.21,,11056.21
11071.0,3008580.03,1104323.72,-8950.75,-9461.24,-9617.46,-9690.41,-9824.96,-9869.0,-9989.09,11057.19,,11057.19
11072.0,3008580.06,1104323.71,-8951.75,-9461.26,-9617.48,-9690.43,-9824.98,-9869.02,-9989.11,11058.17,,11058.17
11073.0,3008580.08,1104323.7,-8952.75,-9461.28,-9617.5,-9690.44,-9825.0,-9869.04,-9989.13,11059.15,,11059.15
11074.0,3008580.11,1104323.7,-8953.75,-9461.3,-9617.52,-9690.46,-9825.02,-9869.06,-9989.15,11060.13,,11060.13
11075.0,3008580.14,1104323.69,-8954.75,-9461.32,-9617.54,-9690.48,-9825.04,-9869.08,-9989.17,11061.11,,11061.11
11076.0,3008580.16,1104323.68,-8955.75,-9461.34,-9617.56,-9690.5,-9825.06,-9869.1,-9989.19,11062.09,,11062.09
11077.0,3008580.19,1104323.67,-8956.75,-9461.36,-9617.58,-9690.52,-9825.08,-9869.11,-9989.2,11063.070000000002,,11063.070000000002
11078.0,3008580.22,1104323.67,-8957.75,-9461.38,-9617.6,-9690.54,-9825.1,-9869.13,-9989.22,11064.05,,11064.05
11079.0,3008580.24,1104323.66,-8958.75,-9461.4,-9617.62,-9690.56,-9825.12,-9869.15,-9989.24,11065.03,,11065.03
11080.0,3008580.27,1104323.65,-8959.75,-9461.42,-9617.64,-9690.58,-9825.14,-9869.17,-9989.26,11066.01,,11066.01
11081.0,3008580.3,1104323.65,-8960.75,-9461.44,-9617.66,-9690.6,-9825.16,-9869.19,-9989.28,11066.990000000002,,11066.990000000002
11082.0,3008580.33,1104323.64,-8961.75,-9461.45,-9617.68,-9690.62,-9825.18,-9869.21,-9989.3,11067.97,,11067.97
11083.0,3008580.35,1104323.63,-8962.75,-9461.47,-9617.7,-9690.64,-9825.2,-9869.23,-9989.32,11068.95,,11068.95
11084.0,3008580.38,1104323.63,-8963.74,-9461.49,-9617.72,-9690.66,-9825.22,-9869.25,-9989.34,11069.93,,11069.93
11085.0,3008580.41,1104323.62,-8964.74,-9461.51,-9617.74,-9690.68,-9825.24,-9869.27,-9989.36,11070.91,,11070.91
11086.0,3008580.43,1104323.61,-8965.74,-9461.53,-9617.76,-9690.7,-9825.26,-9869.29,-9989.38,11071.89,,11071.89
11087.0,3008580.46,1104323.61,-8966.74,-9461.55,-9617.78,-9690.72,-9825.28,-9869.31,-9989.4,11072.87,,11072.87
11088.0,3008580.49,1104323.6,-8967.74,-9461.57,-9617.8,-9690.74,-9825.29,-9869.33,-9989.42,11073.85,,11073.85
11089.0,3008580.51,1104323.59,-8968.74,-9461.59,-9617.82,-9690.76,-9825.31,-9869.35,-9989.44,11074.83,,11074.83
11090.0,3008580.54,1104323.59,-8969.74,-9461.61,-9617.83,-9690.78,-9825.33,-9869.37,-9989.46,11075.81,,11075.81
11091.0,3008580.57,1104323.58,-8970.74,-9461.63,-9617.85,-9690.8,-9825.35,-9869.39,-9989.48,11076.79,,11076.79
11092.0,3008580.59,1104323.57,-8971.74,-9461.65,-9617.87,-9690.82,-9825.37,-9869.41,-9989.5,11077.77,,11077.77
11093.0,3008580.62,1104323.57,-8972.74,-9461.67,-9617.89,-9690.83,-9825.39,-9869.43,-9989.52,11078.75,,11078.75
11094.0,3008580.65,1104323.56,-8973.74,-9461.69,-9617.91,-9690.85,-9825.41,-9869.45,-9989.54,11079.740000000002,,11079.740000000002
11095.0,3008580.67,1104323.55,-8974.74,-9461.71,-9617.93,-9690.87,-9825.43,-9869.47,-9989.56,11080.72,,11080.72
11096.0,3008580.7,1104323.55,-8975.74,-9461.73,-9617.95,-9690.89,-9825.45,-9869.48,-9989.57,11081.7,,11081.7
11097.0,3008580.72,1104323.54,-8976.74,-9461.75,-9617.97,-9690.91,-9825.47,-9869.5,-9989.59,11082.68,,11082.68
11098.0,3008580.75,1104323.54,-8977.74,-9461.77,-9617.99,-9690.93,-9825.49,-9869.52,-9989.61,11083.66,,11083.66
11099.0,3008580.78,1104323.53,-8978.74,-9461.79,-9618.01,-9690.95,-9825.51,-9869.54,-9989.63,11084.64,,11084.64
11100.0,3008580.8,1104323.52,-8979.74,-9461.8,-9618.03,-9690.97,-9825.53,-9869.56,-9989.65,11085.62,,11085.62
11101.0,3008580.83,1104323.52,-8980.74,-9461.82,-9618.05,-9690.99,-9825.55,-9869.58,-9989.67,11086.6,,11086.6
11102.0,3008580.85,1104323.51,-8981.74,-9461.84,-9618.07,-9691.01,-9825.56,-9869.6,-9989.69,11087.58,,11087.58
11103.0,3008580.88,1104323.51,-8982.74,-9461.86,-9618.08,-9691.03,-9825.58,-9869.62,-9989.71,11088.56,,11088.56
11104.0,3008580.91,1104323.5,-8983.74,-9461.88,-9618.1,-9691.05,-9825.6,-9869.64,-9989.73,11089.54,,11089.54
11105.0,3008580.93,1104323.49,-8984.74,-9461.9,-9618.12,-9691.06,-9825.62,-9869.66,-9989.75,11090.52,,11090.52
11106.0,3008580.96,1104323.49,-8985.74,-9461.92,-9618.14,-9691.08,-9825.64,-9869.68,-9989.77,11091.5,,11091.5
11107.0,3008580.98,1104323.48,-8986.74,-9461.94,-9618.16,-9691.1,-9825.66,-9869.69,-9989.78,11092.48,,11092.48
11108.0,3008581.01,1104323.48,-8987.74,-9461.96,-9618.18,-9691.12,-9825.68,-9869.71,-9989.8,11093.46,,11093.46
11109.0,3008581.04,1104323.47,-8988.74,-9461.97,-9618.2,-9691.14,-9825.7,-9869.73,-9989.82,11094.44,,11094.44
11110.0,3008581.06,1104323.47,-8989.74,-9461.99,-9618.22,-9691.16,-9825.72,-9869.75,-9989.84,11095.42,,11095.42
11111.0,3008581.09,1104323.46,-8990.74,-9462.01,-9618.24,-9691.18,-9825.73,-9869.77,-9989.86,11096.41,,11096.41
11112.0,3008581.11,1104323.46,-8991.73,-9462.03,-9618.25,-9691.2,-9825.75,-9869.79,-9989.88,11097.39,,11097.39
11113.0,3008581.14,1104323.45,-8992.73,-9462.05,-9618.27,-9691.21,-9825.77,-9869.81,-9989.9,11098.37,,11098.37
11114.0,3008581.16,1104323.45,-8993.73,-9462.07,-9618.29,-9691.23,-9825.79,-9869.83,-9989.92,11099.35,,11099.35
11115.0,3008581.19,1104323.44,-8994.73,-9462.09,-9618.31,-9691.25,-9825.81,-9869.84,-9989.93,11100.33,,11100.33
