MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
9630.0,2876946.18,1042445.49,-7602.33,-7922.950000000001,-8130.389999999999,-8235.62,-8325.22,-8352.8,-8456.76,9282.34,,9282.34
9631.0,2876946.22,1042445.53,-7603.33,-7923.01,-8130.44,-8235.67,-8325.27,-8352.85,-8456.81,9283.29,112.22892656244392,9283.29
9632.0,2876946.26,1042445.56,-7604.33,-7923.07,-8130.5,-8235.73,-8325.33,-8352.91,-8456.87,9284.23,,9284.23
9633.0,2876946.31,1042445.6,-7605.33,-7923.120000000001,-8130.559999999999,-8235.79,-8325.39,-8352.97,-8456.93,9285.17,103.8950953820644,9285.17
9634.0,2876946.35,1042445.64,-7606.33,-7923.18,-8130.620000000001,-8235.85,-8325.45,-8353.03,-8456.99,9286.11,107.59902035112196,9286.11
9635.0,2876946.39,1042445.67,-7607.32,-7923.24,-8130.68,-8235.91,-8325.51,-8353.09,-8457.05,9287.05,,9287.05
9636.0,2876946.43,1042445.71,-7608.32,-7923.299999999999,-8130.74,-8235.97,-8325.57,-8353.15,-8457.11,9287.990000000002,,9287.990000000002
9637.0,2876946.48,1042445.75,-7609.32,-7923.360000000001,-8130.790000000001,-8236.02,-8325.62,-8353.2,-8457.16,9288.93,,9288.93
9638.0,2876946.52,1042445.79,-7610.32,-7923.41,-8130.85,-8236.08,-8325.68,-8353.26,-8457.22,9289.87,,9289.87
9639.0,2876946.56,1042445.82,-7611.32,-7923.469999999999,-8130.91,-8236.14,-8325.74,-8353.32,-8457.28,9290.81,,9290.81
9640.0,2876946.6,1042445.86,-7612.32,-7923.530000000001,-8130.969999999999,-8236.2,-8325.8,-8353.38,-8457.34,9291.75,,9291.75
9641.0,2876946.65,1042445.9,-7613.309999999999,-7923.59,-8131.030000000001,-8236.26,-8325.86,-8353.44,-8457.4,9292.69,,9292.69
9642.0,2876946.69,1042445.94,-7614.309999999999,-7923.65,-8131.09,-8236.32,-8325.92,-8353.5,-8457.46,9293.63,,9293.63
9643.0,2876946.73,1042445.97,-7615.309999999999,-7923.709999999999,-8131.139999999999,-8236.37,-8325.97,-8353.55,-8457.51,9294.570000000002,,9294.570000000002
9644.0,2876946.78,1042446.01,-7616.309999999999,-7923.77,-8131.200000000001,-8236.43,-8326.03,-8353.61,-8457.57,9295.51,,9295.51
9645.0,2876946.82,1042446.05,-7617.309999999999,-7923.82,-8131.26,-8236.49,-8326.09,-8353.67,-8457.63,9296.45,,9296.45
9646.0,2876946.86,1042446.08,-7618.309999999999,-7923.879999999999,-8131.32,-8236.55,-8326.15,-8353.73,-8457.69,9297.39,,9297.39
9647.0,2876946.9,1042446.12,-7619.299999999999,-7923.94,-8131.379999999999,-8236.61,-8326.21,-8353.79,-8457.75,9298.33,,9298.33
9648.0,2876946.95,1042446.15,-7620.299999999999,-7924.0,-8131.43,-8236.66,-8326.26,-8353.84,-8457.8,9299.27,,9299.27
