MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10861.0,3002283.37,1116872.69,-8621.85,-8809.23,-8943.58,-9026.14,-9160.66,-9211.21,-9317.09,10746.65,148.6560615905992,10746.65
10862.0,3002283.34,1116872.68,-8622.85,-8809.19,-8943.54,-9026.1,-9160.62,-9211.17,-9317.05,10747.69,135.04535256965457,10747.69
10863.0,3002283.32,1116872.68,-8623.85,-8809.15,-8943.5,-9026.06,-9160.58,-9211.13,-9317.01,10748.72,125.84789036471172,10748.72
10864.0,3002283.29,1116872.68,-8624.85,-8809.12,-8943.47,-9026.02,-9160.55,-9211.09,-9316.97,10749.76,115.02584165068994,10749.76
10865.0,3002283.27,1116872.68,-8625.85,-8809.08,-8943.43,-9025.99,-9160.51,-9211.06,-9316.93,10750.8,112.3395175018193,10750.8
10866.0,3002283.24,1116872.67,-8626.85,-8809.04,-8943.39,-9025.95,-9160.47,-9211.02,-9316.9,10751.84,109.29501679976588,10751.84
10867.0,3002283.22,1116872.67,-8627.85,-8809.0,-8943.35,-9025.91,-9160.43,-9210.98,-9316.86,10752.87,108.4891195551047,10752.87
10868.0,3002283.19,1116872.67,-8628.85,-8808.96,-8943.31,-9025.87,-9160.4,-9210.94,-9316.82,10753.91,110.54863473590552,10753.91
10869.0,3002283.16,1116872.67,-8629.85,-8808.93,-8943.28,-9025.84,-9160.36,-9210.91,-9316.78,10754.95,,10754.95
10870.0,3002283.14,1116872.66,-8630.85,-8808.89,-8943.24,-9025.8,-9160.32,-9210.87,-9316.75,10755.990000000002,124.33843203344152,10755.990000000002
10871.0,3002283.11,1116872.66,-8631.85,-8808.85,-8943.2,-9025.76,-9160.28,-9210.83,-9316.71,10757.02,126.6921636686425,10757.02
10872.0,3002283.09,1116872.66,-8632.85,-8808.81,-8943.16,-9025.72,-9160.24,-9210.79,-9316.67,10758.06,126.51307539205112,10758.06
10873.0,3002283.06,1116872.65,-8633.85,-8808.77,-8943.12,-9025.68,-9160.2,-9210.75,-9316.63,10759.1,126.57703549083377,10759.1
10874.0,3002283.04,1116872.65,-8634.85,-8808.73,-8943.08,-9025.64,-9160.16,-9210.71,-9316.59,10760.14,124.10817567782404,10760.14
10875.0,3002283.01,1116872.65,-8635.85,-8808.69,-8943.04,-9025.6,-9160.12,-9210.67,-9316.55,10761.18,120.05310541500504,10761.18
10876.0,3002282.98,1116872.64,-8636.85,-8808.65,-8943.0,-9025.56,-9160.08,-9210.63,-9316.51,10762.22,126.47469933278153,10762.22
10877.0,3002282.96,1116872.64,-8637.85,-8808.61,-8942.96,-9025.52,-9160.04,-9210.59,-9316.47,10763.26,141.85070708012688,10763.26
10878.0,3002282.93,1116872.63,-8638.85,-8808.57,-8942.92,-9025.48,-9160.0,-9210.55,-9316.43,10764.3,152.5192515570703,10764.3
10879.0,3002282.9,1116872.63,-8639.85,-8808.53,-8942.88,-9025.44,-9159.96,-9210.51,-9316.39,10765.34,,10765.34
10880.0,3002282.88,1116872.63,-8640.85,-8808.49,-8942.84,-9025.4,-9159.92,-9210.47,-9316.35,10766.38,146.11044965905032,10766.38
10881.0,3002282.85,1116872.62,-8641.85,-8808.45,-8942.8,-9025.36,-9159.88,-9210.43,-9316.31,10767.42,134.94301641160234,10767.42
10882.0,3002282.82,1116872.62,-8642.85,-8808.41,-8942.76,-9025.32,-9159.84,-9210.39,-9316.27,10768.46,128.355126236991,10768.46
10883.0,3002282.79,1116872.61,-8643.85,-8808.37,-8942.72,-9025.27,-9159.8,-9210.35,-9316.22,10769.5,127.92019756526906,10769.5
10884.0,3002282.77,1116872.61,-8644.85,-8808.32,-8942.67,-9025.23,-9159.76,-9210.3,-9316.18,10770.55,126.461907313025,10770.55
10885.0,3002282.74,1116872.6,-8645.85,-8808.28,-8942.63,-9025.19,-9159.71,-9210.26,-9316.14,10771.59,124.47914425076333,10771.59
10886.0,3002282.71,1116872.6,-8646.85,-8808.24,-8942.59,-9025.15,-9159.67,-9210.22,-9316.1,10772.63,123.25111035413676,10772.63
10887.0,3002282.68,1116872.59,-8647.85,-8808.2,-8942.55,-9025.11,-9159.63,-9210.18,-9316.05,10773.67,121.39626748944036,10773.67
10888.0,3002282.66,1116872.59,-8648.85,-8808.15,-8942.51,-9025.06,-9159.59,-9210.13,-9316.01,10774.71,120.67991438307484,10774.71
10889.0,3002282.63,1116872.58,-8649.84,-8808.11,-8942.46,-9025.02,-9159.54,-9210.09,-9315.97,10775.76,121.47301960797952,10775.76
10890.0,3002282.6,1116872.58,-8650.84,-8808.07,-8942.42,-9024.98,-9159.5,-9210.05,-9315.93,10776.8,123.3278624726759,10776.8
10891.0,3002282.57,1116872.57,-8651.84,-8808.03,-8942.38,-9024.94,-9159.46,-9210.01,-9315.88,10777.84,122.91851784046705,10777.84
10892.0,3002282.54,1116872.57,-8652.84,-8807.98,-8942.33,-9024.89,-9159.42,-9209.96,-9315.84,10778.88,119.4262964469352,10778.88
10893.0,3002282.52,1116872.56,-8653.84,-8807.94,-8942.29,-9024.85,-9159.37,-9209.92,-9315.8,10779.93,111.04752350641007,10779.93
