MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10746.0,3008125.42,1116617.17,-8594.56,-9096.51,-9230.86,-9313.42,-9447.94,-9498.49,-9604.37,10432.08,119.00705807366226,10432.08
10747.0,3008125.44,1116617.16,-8595.56,-9096.55,-9230.9,-9313.46,-9447.99,-9498.53,-9604.41,10433.03,114.55410783282872,10433.03
10748.0,3008125.47,1116617.15,-8596.56,-9096.6,-9230.95,-9313.51,-9448.03,-9498.58,-9604.46,10433.990000000002,117.6947276500413,10433.990000000002
10749.0,3008125.49,1116617.14,-8597.56,-9096.64,-9230.99,-9313.55,-9448.08,-9498.62,-9604.5,10434.94,129.6066499567547,10434.94
10750.0,3008125.52,1116617.13,-8598.56,-9096.69,-9231.04,-9313.6,-9448.12,-9498.67,-9604.54,10435.9,113.51097339354024,10435.9
10751.0,3008125.54,1116617.12,-8599.56,-9096.73,-9231.08,-9313.64,-9448.16,-9498.71,-9604.59,10436.86,115.92252075318562,10436.86
10752.0,3008125.57,1116617.11,-8600.56,-9096.77,-9231.12,-9313.68,-9448.2,-9498.75,-9604.63,10437.81,121.3625229365717,10437.81
10753.0,3008125.59,1116617.1,-8601.56,-9096.82,-9231.17,-9313.72,-9448.25,-9498.8,-9604.67,10438.77,124.72747274072802,10438.77
10754.0,3008125.62,1116617.09,-8602.56,-9096.86,-9231.21,-9313.77,-9448.29,-9498.84,-9604.72,10439.73,121.57563642416824,10439.73
10755.0,3008125.64,1116617.08,-8603.56,-9096.9,-9231.25,-9313.81,-9448.33,-9498.88,-9604.76,10440.68,113.51097339354024,10440.68
10756.0,3008125.67,1116617.08,-8604.56,-9096.94,-9231.29,-9313.85,-9448.38,-9498.92,-9604.8,10441.64,119.11922306713414,10441.64
10757.0,3008125.69,1116617.07,-8605.56,-9096.99,-9231.34,-9313.9,-9448.42,-9498.97,-9604.84,10442.6,113.51097339354024,10442.6
10758.0,3008125.71,1116617.06,-8606.56,-9097.03,-9231.38,-9313.94,-9448.46,-9499.01,-9604.89,10443.55,110.04507509525922,10443.55
10759.0,3008125.74,1116617.05,-8607.56,-9097.07,-9231.42,-9313.98,-9448.51,-9499.05,-9604.93,10444.51,107.90272371994637,10444.51
10760.0,3008125.76,1116617.04,-8608.56,-9097.11,-9231.47,-9314.02,-9448.55,-9499.09,-9604.97,10445.47,121.3625229365717,10445.47
10761.0,3008125.79,1116617.03,-8609.56,-9097.16,-9231.51,-9314.06,-9448.59,-9499.14,-9605.01,10446.43,,10446.43
10762.0,3008125.81,1116617.02,-8610.56,-9097.2,-9231.55,-9314.11,-9448.63,-9499.18,-9605.05,10447.38,123.34784332102392,10447.38
10763.0,3008125.83,1116617.01,-8611.56,-9097.24,-9231.59,-9314.15,-9448.67,-9499.22,-9605.1,10448.34,125.90520517218272,10448.34
10764.0,3008125.86,1116617.0,-8612.56,-9097.28,-9231.63,-9314.19,-9448.71,-9499.26,-9605.14,10449.3,121.6317189209042,10449.3
10765.0,3008125.88,1116616.99,-8613.56,-9097.32,-9231.67,-9314.23,-9448.75,-9499.3,-9605.18,10450.26,119.11922306713414,10450.26
10766.0,3008125.9,1116616.98,-8614.56,-9097.36,-9231.71,-9314.27,-9448.79,-9499.34,-9605.22,10451.22,120.74561547247636,10451.22
10767.0,3008125.93,1116616.97,-8615.56,-9097.4,-9231.75,-9314.31,-9448.84,-9499.38,-9605.26,10452.18,116.87592319769658,10452.18
10768.0,3008125.95,1116616.96,-8616.56,-9097.44,-9231.79,-9314.35,-9448.88,-9499.42,-9605.3,10453.13,124.0993487772855,10453.13
