MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11803.0,3034141.18,1095757.16,-9691.39,-10289.71,-10424.21,-10462.7,-10598.9,-10634.29,-10811.18,11815.94,,11815.94
11804.0,3034141.17,1095757.16,-9692.39,-10289.74,-10424.23,-10462.73,-10598.92,-10634.32,-10811.21,11816.92,116.6413420167083,11816.92
11805.0,3034141.16,1095757.17,-9693.39,-10289.76,-10424.26,-10462.75,-10598.95,-10634.34,-10811.23,11817.89,116.52028198347868,11817.89
11806.0,3034141.14,1095757.17,-9694.39,-10289.79,-10424.28,-10462.78,-10598.97,-10634.37,-10811.26,11818.87,117.86404835232712,11818.87
11807.0,3034141.13,1095757.17,-9695.39,-10289.81,-10424.3,-10462.8,-10598.99,-10634.39,-10811.28,11819.85,122.80329770809432,11819.85
11808.0,3034141.12,1095757.18,-9696.39,-10289.84,-10424.33,-10462.83,-10599.02,-10634.42,-10811.31,11820.820000000002,131.70121015046905,11820.820000000002
11809.0,3034141.11,1095757.18,-9697.39,-10289.86,-10424.35,-10462.85,-10599.04,-10634.44,-10811.33,11821.8,132.20966229003335,11821.8
11810.0,3034141.1,1095757.18,-9698.39,-10289.88,-10424.38,-10462.88,-10599.07,-10634.47,-10811.35,11822.77,128.23889320010284,11822.77
11811.0,3034141.09,1095757.19,-9699.39,-10289.91,-10424.41,-10462.9,-10599.1,-10634.5,-10811.38,11823.740000000002,126.51984072824268,11823.740000000002
11812.0,3034141.07,1095757.19,-9700.39,-10289.94,-10424.43,-10462.93,-10599.12,-10634.52,-10811.41,11824.72,125.3697704125616,11824.72
11813.0,3034141.06,1095757.19,-9701.39,-10289.97,-10424.46,-10462.96,-10599.15,-10634.55,-10811.44,11825.69,124.82500026302844,11825.69
11814.0,3034141.05,1095757.2,-9702.39,-10290.0,-10424.49,-10462.99,-10599.18,-10634.58,-10811.47,11826.66,126.94355084454624,11826.66
11815.0,3034141.04,1095757.2,-9703.39,-10290.02,-10424.52,-10463.01,-10599.21,-10634.61,-10811.49,11827.63,128.79576935295893,11827.63
11816.0,3034141.02,1095757.2,-9704.39,-10290.05,-10424.54,-10463.04,-10599.23,-10634.63,-10811.52,11828.61,128.77155734631302,11828.61
11817.0,3034141.01,1095757.21,-9705.39,-10290.08,-10424.57,-10463.07,-10599.26,-10634.66,-10811.55,11829.58,126.14455462523097,11829.58
11818.0,3034141.0,1095757.21,-9706.39,-10290.11,-10424.6,-10463.1,-10599.29,-10634.69,-10811.58,11830.55,121.72586341235098,11830.55
11819.0,3034140.98,1095757.21,-9707.39,-10290.13,-10424.63,-10463.12,-10599.32,-10634.72,-10811.6,11831.52,121.48374334589182,11831.52
11820.0,3034140.97,1095757.22,-9708.39,-10290.16,-10424.65,-10463.15,-10599.35,-10634.74,-10811.63,11832.490000000002,125.45451243582232,11832.490000000002
11821.0,3034140.96,1095757.22,-9709.39,-10290.19,-10424.69,-10463.18,-10599.38,-10634.77,-10811.66,11833.46,126.09613061193912,11833.46
11822.0,3034140.94,1095757.23,-9710.39,-10290.22,-10424.72,-10463.21,-10599.41,-10634.8,-10811.69,11834.43,125.5150424524371,11834.43
11823.0,3034140.93,1095757.23,-9711.39,-10290.25,-10424.75,-10463.24,-10599.44,-10634.84,-10811.72,11835.4,125.87822255212586,11835.4
11824.0,3034140.92,1095757.23,-9712.39,-10290.28,-10424.78,-10463.27,-10599.47,-10634.87,-10811.75,11836.37,128.0088791369666,11836.37
11825.0,3034140.9,1095757.24,-9713.39,-10290.31,-10424.81,-10463.31,-10599.5,-10634.9,-10811.78,11837.34,129.24369147590843,11837.34
11826.0,3034140.89,1095757.24,-9714.39,-10290.34,-10424.84,-10463.34,-10599.53,-10634.93,-10811.81,11838.31,130.3695497849436,11838.31
11827.0,3034140.88,1095757.25,-9715.39,-10290.38,-10424.87,-10463.37,-10599.56,-10634.96,-10811.85,11839.28,132.02807224018895,11839.28
11828.0,3034140.86,1095757.25,-9716.39,-10290.41,-10424.9,-10463.4,-10599.59,-10634.99,-10811.88,11840.25,129.53423555565942,11840.25
11829.0,3034140.85,1095757.26,-9717.39,-10290.44,-10424.93,-10463.43,-10599.62,-10635.02,-10811.91,11841.22,125.47872444246822,11841.22
11830.0,3034140.83,1095757.26,-9718.39,-10290.47,-10424.96,-10463.46,-10599.65,-10635.05,-10811.94,11842.19,125.1034383394565,11842.19
11831.0,3034140.82,1095757.26,-9719.39,-10290.5,-10424.99,-10463.49,-10599.68,-10635.08,-10811.97,11843.15,131.55593811059356,11843.15
11832.0,3034140.8,1095757.27,-9720.39,-10290.53,-10425.03,-10463.53,-10599.72,-10635.12,-10812.0,11844.12,137.28207768235308,11844.12
11833.0,3034140.79,1095757.27,-9721.39,-10290.57,-10425.06,-10463.56,-10599.75,-10635.15,-10812.04,11845.09,138.0084378817306,11845.09
11834.0,3034140.77,1095757.28,-9722.39,-10290.6,-10425.09,-10463.59,-10599.79,-10635.18,-10812.07,11846.05,136.7494135361429,11846.05
11835.0,3034140.76,1095757.28,-9723.39,-10290.63,-10425.13,-10463.63,-10599.82,-10635.22,-10812.1,11847.02,135.56302521049292,11847.02
11836.0,3034140.74,1095757.29,-9724.39,-10290.67,-10425.16,-10463.66,-10599.85,-10635.25,-10812.14,11847.990000000002,143.9766975199493,11847.990000000002
11837.0,3034140.73,1095757.29,-9725.39,-10290.7,-10425.2,-10463.69,-10599.89,-10635.28,-10812.17,11848.95,150.34445526782565,11848.95
11838.0,3034140.71,1095757.3,-9726.39,-10290.74,-10425.23,-10463.73,-10599.92,-10635.32,-10812.21,11849.92,149.66651908173998,11849.92
11839.0,3034140.7,1095757.3,-9727.39,-10290.77,-10425.26,-10463.76,-10599.95,-10635.35,-10812.24,11850.88,133.10550653593228,11850.88
11840.0,3034140.68,1095757.31,-9728.39,-10290.8,-10425.3,-10463.79,-10599.99,-10635.38,-10812.27,11851.85,123.27543183768972,11851.85
11841.0,3034140.66,1095757.31,-9729.39,-10290.84,-10425.33,-10463.83,-10600.02,-10635.42,-10812.31,11852.81,124.09864006365092,11852.81
11842.0,3034140.65,1095757.32,-9730.39,-10290.88,-10425.37,-10463.87,-10600.06,-10635.46,-10812.35,11853.78,125.99928258535545,11853.78
11843.0,3034140.63,1095757.32,-9731.39,-10290.91,-10425.41,-10463.9,-10600.1,-10635.49,-10812.38,11854.740000000002,126.2777206617835,11854.740000000002
11844.0,3034140.62,1095757.33,-9732.39,-10290.95,-10425.44,-10463.94,-10600.13,-10635.53,-10812.42,11855.7,122.08904351203977,11855.7
11845.0,3034140.6,1095757.33,-9733.39,-10290.98,-10425.48,-10463.98,-10600.17,-10635.57,-10812.45,11856.67,120.96318520300458,11856.67
11846.0,3034140.58,1095757.34,-9734.39,-10291.02,-10425.51,-10464.01,-10600.21,-10635.6,-10812.49,11857.63,121.59269737579844,11857.63
11847.0,3034140.57,1095757.34,-9735.39,-10291.06,-10425.55,-10464.05,-10600.24,-10635.64,-10812.53,11858.59,124.35286613343304,11858.59
11848.0,3034140.55,1095757.35,-9736.39,-10291.09,-10425.59,-10464.09,-10600.28,-10635.68,-10812.56,11859.56,121.26583528607856,11859.56
11849.0,3034140.53,1095757.35,-9737.39,-10291.13,-10425.62,-10464.12,-10600.31,-10635.71,-10812.6,11860.52,118.65093856831945,11860.52
11850.0,3034140.52,1095757.36,-9738.39,-10291.17,-10425.66,-10464.16,-10600.35,-10635.75,-10812.64,11861.48,119.03833067465412,11861.48
11851.0,3034140.5,1095757.36,-9739.39,-10291.21,-10425.7,-10464.2,-10600.39,-10635.79,-10812.68,11862.44,120.99950321297344,11862.44
11852.0,3034140.48,1095757.37,-9740.39,-10291.25,-10425.74,-10464.24,-10600.43,-10635.83,-10812.72,11863.41,123.42070387756522,11863.41
11853.0,3034140.46,1095757.37,-9741.39,-10291.29,-10425.78,-10464.28,-10600.47,-10635.87,-10812.76,11864.37,123.34806785762748,11864.37
11854.0,3034140.45,1095757.38,-9742.39,-10291.32,-10425.82,-10464.32,-10600.51,-10635.91,-10812.79,11865.33,121.3990013226311,11865.33
11855.0,3034140.43,1095757.38,-9743.39,-10291.36,-10425.86,-10464.36,-10600.55,-10635.95,-10812.83,11866.29,117.70667030912864,11866.29
11856.0,3034140.41,1095757.39,-9744.39,-10291.4,-10425.9,-10464.4,-10600.59,-10635.99,-10812.87,11867.25,116.29026792034249,11867.25
11857.0,3034140.39,1095757.4,-9745.39,-10291.44,-10425.94,-10464.43,-10600.63,-10636.03,-10812.91,11868.21,115.05545558140068,11868.21
11858.0,3034140.37,1095757.4,-9746.39,-10291.48,-10425.98,-10464.47,-10600.67,-10636.07,-10812.95,11869.17,114.71648748835784,11869.17
11859.0,3034140.36,1095757.41,-9747.39,-10291.52,-10426.02,-10464.51,-10600.71,-10636.1,-10812.99,11870.13,116.32658593031135,11870.13
11860.0,3034140.34,1095757.41,-9748.38,-10291.56,-10426.06,-10464.55,-10600.75,-10636.14,-10813.03,11871.09,121.16898725949488,11871.09
11861.0,3034140.32,1095757.42,-9749.38,-10291.6,-10426.1,-10464.6,-10600.79,-10636.19,-10813.07,11872.05,122.02851349542496,11872.05
11862.0,3034140.3,1095757.43,-9750.38,-10291.65,-10426.14,-10464.64,-10600.83,-10636.23,-10813.12,11873.0,123.0454177745535,11873.0
11863.0,3034140.28,1095757.43,-9751.38,-10291.69,-10426.18,-10464.68,-10600.87,-10636.27,-10813.16,11873.96,124.69183422647588,11873.96
11864.0,3034140.26,1095757.44,-9752.38,-10291.73,-10426.23,-10464.72,-10600.92,-10636.31,-10813.2,11874.92,123.69914195399328,11874.92
11865.0,3034140.24,1095757.44,-9753.38,-10291.77,-10426.27,-10464.77,-10600.96,-10636.36,-10813.24,11875.88,124.00179203706725,11875.88
11866.0,3034140.22,1095757.45,-9754.38,-10291.82,-10426.31,-10464.81,-10601.0,-10636.4,-10813.29,11876.83,124.93395429293508,11876.83
11867.0,3034140.2,1095757.46,-9755.38,-10291.86,-10426.35,-10464.85,-10601.04,-10636.44,-10813.33,11877.79,125.1639683560713,11877.79
11868.0,3034140.19,1095757.46,-9756.38,-10291.9,-10426.39,-10464.89,-10601.08,-10636.48,-10813.37,11878.75,125.3092403959468,11878.75
11869.0,3034140.17,1095757.47,-9757.38,-10291.94,-10426.44,-10464.93,-10601.13,-10636.53,-10813.41,11879.7,129.03788941941812,11879.7
11870.0,3034140.15,1095757.48,-9758.38,-10291.99,-10426.48,-10464.98,-10601.17,-10636.57,-10813.46,11880.66,129.8732036487023,11880.66
11871.0,3034140.13,1095757.48,-9759.38,-10292.03,-10426.52,-10465.02,-10601.22,-10636.61,-10813.5,11881.62,125.61189047902076,11881.62
11872.0,3034140.11,1095757.49,-9760.38,-10292.08,-10426.57,-10465.07,-10601.26,-10636.66,-10813.55,11882.570000000002,117.50086825263836,11882.570000000002
11873.0,3034140.09,1095757.49,-9761.38,-10292.12,-10426.62,-10465.11,-10601.31,-10636.7,-10813.59,11883.53,114.6075334584512,11883.53
11874.0,3034140.07,1095757.5,-9762.38,-10292.17,-10426.66,-10465.16,-10601.35,-10636.75,-10813.64,11884.48,114.49857942854456,11884.48
11875.0,3034140.05,1095757.51,-9763.38,-10292.21,-10426.71,-10465.2,-10601.4,-10636.8,-10813.68,11885.43,115.87866380736187,11885.43
11876.0,3034140.02,1095757.51,-9764.38,-10292.26,-10426.75,-10465.25,-10601.44,-10636.84,-10813.73,11886.39,124.18338208691162,11886.39
11877.0,3034140.0,1095757.52,-9765.38,-10292.3,-10426.8,-10465.29,-10601.49,-10636.89,-10813.77,11887.34,124.80078825638252,11887.34
11878.0,3034139.98,1095757.53,-9766.38,-10292.35,-10426.84,-10465.34,-10601.53,-10636.93,-10813.82,11888.3,118.3725004918914,11888.3
11879.0,3034139.96,1095757.54,-9767.38,-10292.39,-10426.89,-10465.39,-10601.58,-10636.98,-10813.86,11889.25,117.44033823602356,11889.25
11880.0,3034139.94,1095757.54,-9768.38,-10292.44,-10426.93,-10465.43,-10601.62,-10637.02,-10813.91,11890.21,121.01160921629642,11890.21
11881.0,3034139.92,1095757.55,-9769.38,-10292.48,-10426.98,-10465.47,-10601.67,-10637.07,-10813.95,11891.16,122.75487369480248,11891.16
11882.0,3034139.9,1095757.56,-9770.38,-10292.53,-10427.02,-10465.52,-10601.71,-10637.11,-10814.0,11892.12,121.3626833126622,11892.12
11883.0,3034139.88,1095757.56,-9771.38,-10292.57,-10427.06,-10465.56,-10601.75,-10637.15,-10814.04,11893.070000000002,123.96547402709837,11893.070000000002
11884.0,3034139.86,1095757.57,-9772.38,-10292.61,-10427.11,-10465.6,-10601.8,-10637.2,-10814.08,11894.03,127.016186864484,11894.03
11885.0,3034139.83,1095757.58,-9773.38,-10292.66,-10427.15,-10465.65,-10601.84,-10637.24,-10814.13,11894.990000000002,126.81038480799369,11894.990000000002
11886.0,3034139.81,1095757.59,-9774.38,-10292.7,-10427.19,-10465.69,-10601.88,-10637.28,-10814.17,11895.94,129.074207429387,11895.94
11887.0,3034139.79,1095757.59,-9775.38,-10292.74,-10427.24,-10465.74,-10601.93,-10637.33,-10814.21,11896.9,132.8633864694731,11896.9
11888.0,3034139.77,1095757.6,-9776.38,-10292.79,-10427.28,-10465.78,-10601.97,-10637.37,-10814.26,11897.86,137.5363037521352,11897.86
11889.0,3034139.75,1095757.61,-9777.38,-10292.83,-10427.32,-10465.82,-10602.01,-10637.41,-10814.3,11898.81,152.886715965647,11898.81
11890.0,3034139.72,1095757.61,-9778.38,-10292.87,-10427.37,-10465.87,-10602.06,-10637.46,-10814.34,11899.77,156.97854508880707,11899.77
11891.0,3034139.7,1095757.62,-9779.38,-10292.89,-10427.38,-10465.88,-10602.07,-10637.47,-10814.36,11900.75,148.6496148026114,11900.75
11892.0,3034139.68,1095757.63,-9780.38,-10292.9,-10427.4,-10465.89,-10602.09,-10637.48,-10814.37,11901.740000000002,127.96045512367478,11901.740000000002
11893.0,3034139.66,1095757.64,-9781.38,-10292.91,-10427.41,-10465.91,-10602.1,-10637.5,-10814.38,11902.73,117.79141233238936,11902.73
11894.0,3034139.64,1095757.65,-9782.38,-10292.93,-10427.42,-10465.92,-10602.11,-10637.51,-10814.4,11903.71,118.50566652844394,11903.71
11895.0,3034139.61,1095757.65,-9783.38,-10292.94,-10427.44,-10465.93,-10602.13,-10637.52,-10814.41,11904.7,119.2562387344674,11904.7
11896.0,3034139.59,1095757.66,-9784.38,-10292.96,-10427.45,-10465.95,-10602.14,-10637.54,-10814.43,11905.69,119.4862527976036,11905.69
11897.0,3034139.57,1095757.67,-9785.38,-10292.97,-10427.46,-10465.96,-10602.15,-10637.55,-10814.44,11906.67,121.26583528607856,11906.67
11898.0,3034139.55,1095757.68,-9786.38,-10292.98,-10427.48,-10465.97,-10602.17,-10637.56,-10814.45,11907.66,126.43509870498195,11907.66
11899.0,3034139.53,1095757.68,-9787.38,-10293.0,-10427.49,-10465.99,-10602.18,-10637.58,-10814.47,11908.64,127.66991104392378,11908.64
