MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10955.0,2989736.6,1089119.71,-8703.99,-9092.71,-9240.91,-9307.79,-9406.01,-9456.57,-9572.03,10623.62,96.95081820146086,10623.62
10956.0,2989736.58,1089119.73,-8704.99,-9092.66,-9240.86,-9307.74,-9405.95,-9456.52,-9571.98,10624.68,105.88705600063756,10624.68
10957.0,2989736.57,1089119.76,-8705.99,-9092.6,-9240.8,-9307.68,-9405.89,-9456.46,-9571.92,10625.740000000002,108.1069579127271,10625.740000000002
10958.0,2989736.55,1089119.78,-8706.99,-9092.54,-9240.74,-9307.62,-9405.84,-9456.4,-9571.86,10626.8,104.68649680328303,10626.8
10959.0,2989736.54,1089119.8,-8707.99,-9092.48,-9240.68,-9307.56,-9405.78,-9456.34,-9571.8,10627.85,108.92243208451508,10627.85
10960.0,2989736.52,1089119.83,-8708.98,-9092.42,-9240.62,-9307.5,-9405.72,-9456.28,-9571.74,10628.91,89.70215889667874,10628.91
10961.0,2989736.51,1089119.85,-8709.98,-9092.37,-9240.57,-9307.45,-9405.66,-9456.23,-9571.69,10629.97,98.7629830276564,10629.97
10962.0,2989736.49,1089119.88,-8710.98,-9092.31,-9240.51,-9307.39,-9405.6,-9456.17,-9571.63,10631.03,104.42599810951742,10631.03
10963.0,2989736.48,1089119.9,-8711.98,-9092.25,-9240.45,-9307.33,-9405.55,-9456.11,-9571.57,10632.08,89.70215889667874,10632.08
10964.0,2989736.46,1089119.93,-8712.98,-9092.19,-9240.39,-9307.27,-9405.49,-9456.05,-9571.51,10633.14,98.7629830276564,10633.14
10965.0,2989736.45,1089119.95,-8713.98,-9092.13,-9240.33,-9307.21,-9405.43,-9455.99,-9571.45,10634.2,,10634.2
10966.0,2989736.43,1089119.98,-8714.98,-9092.07,-9240.27,-9307.15,-9405.37,-9455.93,-9571.39,10635.26,94.23257096216756,10635.26
10967.0,2989736.42,1089120.0,-8715.98,-9092.01,-9240.21,-9307.09,-9405.31,-9455.87,-9571.33,10636.320000000002,,10636.320000000002
10968.0,2989736.41,1089120.03,-8716.98,-9091.95,-9240.15,-9307.03,-9405.25,-9455.81,-9571.27,10637.38,98.7629830276564,10637.38
10969.0,2989736.39,1089120.06,-8717.98,-9091.89,-9240.09,-9306.97,-9405.19,-9455.75,-9571.21,10638.44,,10638.44
10970.0,2989736.38,1089120.08,-8718.98,-9091.83,-9240.03,-9306.91,-9405.13,-9455.69,-9571.15,10639.5,89.70215889667874,10639.5
10971.0,2989736.37,1089120.11,-8719.98,-9091.77,-9239.97,-9306.85,-9405.07,-9455.63,-9571.09,10640.56,94.23257096216756,10640.56
10972.0,2989736.36,1089120.14,-8720.98,-9091.71,-9239.91,-9306.79,-9405.01,-9455.57,-9571.03,10641.62,,10641.62
10973.0,2989736.34,1089120.16,-8721.98,-9091.65,-9239.85,-9306.73,-9404.95,-9455.51,-9570.97,10642.68,,10642.68
10974.0,2989736.33,1089120.19,-8722.98,-9091.59,-9239.79,-9306.67,-9404.89,-9455.45,-9570.91,10643.740000000002,89.70215889667874,10643.740000000002
10975.0,2989736.32,1089120.22,-8723.98,-9091.53,-9239.73,-9306.61,-9404.83,-9455.39,-9570.85,10644.8,,10644.8
10976.0,2989736.31,1089120.25,-8724.98,-9091.47,-9239.67,-9306.55,-9404.77,-9455.33,-9570.79,10645.85,,10645.85
10977.0,2989736.3,1089120.28,-8725.98,-9091.41,-9239.61,-9306.49,-9404.71,-9455.27,-9570.73,10646.92,,10646.92
10978.0,2989736.29,1089120.31,-8726.98,-9091.35,-9239.55,-9306.43,-9404.65,-9455.21,-9570.67,10647.98,94.23257096216756,10647.98
10979.0,2989736.28,1089120.33,-8727.98,-9091.29,-9239.49,-9306.37,-9404.58,-9455.15,-9570.61,10649.04,,10649.04
10980.0,2989736.26,1089120.36,-8728.98,-9091.23,-9239.43,-9306.31,-9404.52,-9455.09,-9570.55,10650.1,101.5944905685869,10650.1
10981.0,2989736.25,1089120.39,-8729.98,-9091.16,-9239.36,-9306.24,-9404.46,-9455.02,-9570.48,10651.16,,10651.16
10982.0,2989736.24,1089120.42,-8730.98,-9091.1,-9239.3,-9306.18,-9404.4,-9454.96,-9570.42,10652.22,,10652.22
10983.0,2989736.23,1089120.45,-8731.97,-9091.04,-9239.24,-9306.12,-9404.34,-9454.9,-9570.36,10653.29,106.12490263407574,10653.29
10984.0,2989736.22,1089120.48,-8732.97,-9090.98,-9239.18,-9306.06,-9404.27,-9454.84,-9570.3,10654.35,98.7629830276564,10654.35
10985.0,2989736.22,1089120.51,-8733.97,-9090.92,-9239.12,-9306.0,-9404.21,-9454.78,-9570.24,10655.41,104.42599810951742,10655.41
10986.0,2989736.21,1089120.54,-8734.97,-9090.85,-9239.05,-9305.93,-9404.15,-9454.71,-9570.17,10656.47,113.48682224049509,10656.47
10987.0,2989736.2,1089120.57,-8735.97,-9090.79,-9238.99,-9305.87,-9404.09,-9454.65,-9570.11,10657.53,94.23257096216756,10657.53
10988.0,2989736.19,1089120.61,-8736.97,-9090.76,-9238.96,-9305.84,-9404.06,-9454.62,-9570.08,10658.56,108.95641017500624,10658.56
10989.0,2989736.18,1089120.64,-8737.97,-9090.89,-9239.09,-9305.97,-9404.19,-9454.75,-9570.21,10659.43,98.7629830276564,10659.43
10990.0,2989736.17,1089120.67,-8738.97,-9091.02,-9239.22,-9306.1,-9404.32,-9454.88,-9570.34,10660.3,104.42599810951742,10660.3
10991.0,2989736.16,1089120.7,-8739.97,-9091.15,-9239.35,-9306.23,-9404.45,-9455.01,-9570.47,10661.17,113.48682224049509,10661.17
10992.0,2989736.16,1089120.73,-8740.97,-9091.29,-9239.49,-9306.37,-9404.58,-9455.15,-9570.61,10662.03,135.006279551567,10662.03
10993.0,2989736.15,1089120.77,-8741.97,-9091.42,-9239.62,-9306.5,-9404.72,-9455.28,-9570.74,10662.9,118.0172343059839,10662.9
10994.0,2989736.14,1089120.8,-8742.97,-9091.56,-9239.76,-9306.64,-9404.85,-9455.42,-9570.88,10663.76,125.37915391240324,10663.76
10995.0,2989736.13,1089120.83,-8743.97,-9091.69,-9239.89,-9306.77,-9404.99,-9455.55,-9571.01,10664.63,104.42599810951742,10664.63
10996.0,2989736.13,1089120.87,-8744.97,-9091.83,-9240.03,-9306.91,-9405.13,-9455.69,-9571.15,10665.490000000002,118.0172343059839,10665.490000000002
10997.0,2989736.12,1089120.9,-8745.97,-9091.97,-9240.17,-9307.05,-9405.27,-9455.83,-9571.29,10666.34,111.22161620775066,10666.34
10998.0,2989736.11,1089120.93,-8746.97,-9092.12,-9240.32,-9307.2,-9405.42,-9455.98,-9571.44,10667.2,108.95641017500624,10667.2
10999.0,2989736.11,1089120.97,-8747.97,-9092.26,-9240.46,-9307.34,-9405.56,-9456.12,-9571.58,10668.05,,10668.05
11000.0,2989736.1,1089121.0,-8748.97,-9092.41,-9240.61,-9307.49,-9405.7,-9456.27,-9571.73,10668.91,113.48682224049509,10668.91
11001.0,2989736.1,1089121.04,-8749.96,-9092.55,-9240.75,-9307.63,-9405.85,-9456.41,-9571.87,10669.76,108.95641017500624,10669.76
