MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10032.0,2936969.6,1063164.07,-7882.889999999999,-8382.0,-8569.74,-8640.32,-8729.63,-8778.8,-8899.85,10237.27,143.1127805554194,10237.27
10033.0,2936969.59,1063164.05,-7883.889999999999,-8382.0,-8569.74,-8640.32,-8729.63,-8778.8,-8899.85,10238.27,124.90135690365996,10238.27
10034.0,2936969.59,1063164.03,-7884.889999999999,-8382.0,-8569.74,-8640.32,-8729.63,-8778.8,-8899.85,10239.27,123.77321561549788,10239.27
10035.0,2936969.59,1063164.0,-7885.889999999999,-8382.0,-8569.74,-8640.32,-8729.62,-8778.8,-8899.85,10240.27,134.51741835989873,10240.27
10036.0,2936969.58,1063163.98,-7886.889999999999,-8381.99,-8569.74,-8640.32,-8729.62,-8778.8,-8899.85,10241.27,143.1127805554194,10241.27
10037.0,2936969.58,1063163.96,-7887.889999999999,-8381.99,-8569.74,-8640.32,-8729.62,-8778.8,-8899.85,10242.28,125.92205616437803,10242.28
10038.0,2936969.58,1063163.94,-7888.879999999999,-8381.99,-8569.74,-8640.32,-8729.62,-8778.8,-8899.85,10243.28,132.8198343262834,10243.28
10039.0,2936969.57,1063163.92,-7889.879999999999,-8381.99,-8569.74,-8640.32,-8729.62,-8778.8,-8899.85,10244.28,138.71840163295946,10244.28
10040.0,2936969.57,1063163.9,-7890.879999999999,-8381.99,-8569.74,-8640.32,-8729.62,-8778.8,-8899.85,10245.28,133.35704446350343,10245.28
10041.0,2936969.57,1063163.88,-7891.879999999999,-8381.99,-8569.73,-8640.32,-8729.62,-8778.8,-8899.85,10246.28,133.60416112662466,10246.28
10042.0,2936969.56,1063163.85,-7892.879999999999,-8381.99,-8569.73,-8640.32,-8729.62,-8778.8,-8899.85,10247.28,138.69691322747067,10247.28
10043.0,2936969.56,1063163.83,-7893.879999999999,-8381.99,-8569.73,-8640.31,-8729.62,-8778.8,-8899.85,10248.28,129.1453169876983,10248.28
10044.0,2936969.56,1063163.81,-7894.879999999999,-8381.99,-8569.73,-8640.31,-8729.62,-8778.8,-8899.85,10249.28,134.40997633245473,10249.28
10045.0,2936969.56,1063163.79,-7895.879999999999,-8381.99,-8569.73,-8640.31,-8729.62,-8778.8,-8899.85,10250.28,137.740679183219,10250.28
10046.0,2936969.55,1063163.76,-7896.879999999999,-8381.99,-8569.73,-8640.31,-8729.62,-8778.79,-8899.84,10251.28,146.47571601441686,10251.28
10047.0,2936969.55,1063163.74,-7897.879999999999,-8381.99,-8569.73,-8640.31,-8729.62,-8778.79,-8899.84,10252.28,150.62297827375562,10252.28
10048.0,2936969.55,1063163.72,-7898.879999999999,-8381.99,-8569.73,-8640.31,-8729.61,-8778.79,-8899.84,10253.28,144.2086892353483,10253.28
10049.0,2936969.55,1063163.69,-7899.879999999999,-8381.98,-8569.73,-8640.31,-8729.61,-8778.79,-8899.84,10254.28,133.50746330192504,10254.28
10050.0,2936969.55,1063163.67,-7900.879999999999,-8381.98,-8569.73,-8640.31,-8729.61,-8778.79,-8899.84,10255.28,129.1453169876983,10255.28
10051.0,2936969.54,1063163.65,-7901.879999999999,-8381.98,-8569.73,-8640.31,-8729.61,-8778.79,-8899.84,10256.28,138.33161033416104,10256.28
10052.0,2936969.54,1063163.63,-7902.879999999999,-8381.98,-8569.73,-8640.31,-8729.61,-8778.79,-8899.84,10257.28,145.91701747170805,10257.28
10053.0,2936969.54,1063163.6,-7903.879999999999,-8381.98,-8569.73,-8640.31,-8729.61,-8778.79,-8899.84,10258.28,137.8696096161518,10258.28
10054.0,2936969.54,1063163.58,-7904.879999999999,-8381.98,-8569.72,-8640.31,-8729.61,-8778.79,-8899.84,10259.28,137.49356252009775,10259.28
10055.0,2936969.54,1063163.55,-7905.879999999999,-8381.98,-8569.72,-8640.3,-8729.61,-8778.79,-8899.84,10260.28,,10260.28
10056.0,2936969.54,1063163.53,-7906.879999999999,-8381.98,-8569.72,-8640.3,-8729.61,-8778.79,-8899.84,10261.29,139.34156539213473,10261.29
10057.0,2936969.54,1063163.51,-7907.879999999999,-8381.98,-8569.72,-8640.3,-8729.61,-8778.79,-8899.83,10262.29,136.31170021821367,10262.29
10058.0,2936969.54,1063163.48,-7908.879999999999,-8381.98,-8569.72,-8640.3,-8729.61,-8778.78,-8899.83,10263.29,,10263.29
10059.0,2936969.54,1063163.46,-7909.879999999999,-8381.98,-8569.72,-8640.3,-8729.61,-8778.78,-8899.83,10264.29,150.2791637859348,10264.29
10060.0,2936969.54,1063163.44,-7910.879999999999,-8381.98,-8569.72,-8640.3,-8729.6,-8778.78,-8899.83,10265.29,143.59626967891745,10265.29
10061.0,2936969.54,1063163.41,-7911.879999999999,-8381.97,-8569.72,-8640.3,-8729.6,-8778.78,-8899.83,10266.29,130.87513362954684,10266.29
10062.0,2936969.54,1063163.39,-7912.879999999999,-8381.97,-8569.72,-8640.3,-8729.6,-8778.78,-8899.83,10267.29,146.33604137873965,10267.29
10063.0,2936969.54,1063163.36,-7913.879999999999,-8381.97,-8569.72,-8640.3,-8729.6,-8778.78,-8899.83,10268.29,,10268.29
10064.0,2936969.54,1063163.34,-7914.879999999999,-8381.97,-8569.72,-8640.3,-8729.6,-8778.78,-8899.83,10269.29,140.29779943638638,10269.29
10065.0,2936969.54,1063163.31,-7915.879999999999,-8381.97,-8569.71,-8640.3,-8729.6,-8778.78,-8899.83,10270.29,140.96394000653922,10270.29
10066.0,2936969.54,1063163.29,-7916.879999999999,-8381.97,-8569.71,-8640.29,-8729.6,-8778.78,-8899.83,10271.29,142.15654651116773,10271.29
10067.0,2936969.54,1063163.26,-7917.879999999999,-8381.97,-8569.71,-8640.29,-8729.6,-8778.78,-8899.83,10272.29,146.33604137873965,10272.29
10068.0,2936969.54,1063163.24,-7918.879999999999,-8381.97,-8569.71,-8640.29,-8729.6,-8778.78,-8899.82,10273.29,148.33446308919824,10273.29
10069.0,2936969.54,1063163.21,-7919.879999999999,-8381.97,-8569.71,-8640.29,-8729.6,-8778.77,-8899.82,10274.29,147.84022976295577,10274.29
10070.0,2936969.54,1063163.19,-7920.879999999999,-8381.97,-8569.71,-8640.29,-8729.59,-8778.77,-8899.82,10275.29,142.26398853861176,10275.29
10071.0,2936969.54,1063163.16,-7921.879999999999,-8381.96,-8569.71,-8640.29,-8729.59,-8778.77,-8899.82,10276.3,133.47523069369186,10276.3
10072.0,2936969.54,1063163.14,-7922.879999999999,-8381.96,-8569.71,-8640.29,-8729.59,-8778.77,-8899.82,10277.3,143.1127805554194,10277.3
10073.0,2936969.54,1063163.11,-7923.879999999999,-8381.96,-8569.71,-8640.29,-8729.59,-8778.77,-8899.82,10278.3,145.17566748234438,10278.3
10074.0,2936969.54,1063163.09,-7924.870000000001,-8381.96,-8569.71,-8640.29,-8729.59,-8778.77,-8899.82,10279.3,153.1586101214342,10279.3
10075.0,2936969.55,1063163.06,-7925.870000000001,-8381.96,-8569.7,-8640.29,-8729.59,-8778.77,-8899.82,10280.3,153.1693543241786,10280.3
10076.0,2936969.55,1063163.04,-7926.870000000001,-8381.96,-8569.7,-8640.28,-8729.59,-8778.77,-8899.82,10281.3,129.69327132766276,10281.3
10077.0,2936969.55,1063163.01,-7927.870000000001,-8381.96,-8569.7,-8640.28,-8729.59,-8778.77,-8899.82,10282.3,91.07860666428606,10282.3
10078.0,2936969.55,1063162.99,-7928.870000000001,-8381.96,-8569.7,-8640.28,-8729.59,-8778.76,-8899.81,10283.3,103.09062533252624,10283.3
10079.0,2936969.55,1063162.96,-7929.870000000001,-8381.96,-8569.7,-8640.28,-8729.59,-8778.76,-8899.81,10284.3,132.6156944741398,10284.3
10080.0,2936969.56,1063162.93,-7930.870000000001,-8381.96,-8569.7,-8640.28,-8729.58,-8778.76,-8899.81,10285.3,153.42721519004422,10285.3
10081.0,2936969.56,1063162.91,-7931.870000000001,-8381.95,-8569.7,-8640.28,-8729.58,-8778.76,-8899.81,10286.3,,10286.3
10082.0,2936969.56,1063162.88,-7932.870000000001,-8381.95,-8569.7,-8640.28,-8729.58,-8778.76,-8899.81,10287.3,142.6292914319214,10287.3
10083.0,2936969.56,1063162.86,-7933.870000000001,-8381.95,-8569.7,-8640.28,-8729.58,-8778.76,-8899.81,10288.3,148.25925366998743,10288.3
10084.0,2936969.57,1063162.83,-7934.870000000001,-8381.95,-8569.69,-8640.28,-8729.58,-8778.76,-8899.81,10289.3,144.3161312627923,10289.3
10085.0,2936969.57,1063162.8,-7935.870000000001,-8381.95,-8569.69,-8640.27,-8729.58,-8778.76,-8899.81,10290.31,140.96394000653922,10290.31
10086.0,2936969.57,1063162.78,-7936.870000000001,-8381.95,-8569.69,-8640.27,-8729.58,-8778.76,-8899.81,10291.31,148.033625412355,10291.31
10087.0,2936969.57,1063162.75,-7937.870000000001,-8381.95,-8569.69,-8640.27,-8729.58,-8778.76,-8899.8,10292.31,145.92776167445243,10292.31
10088.0,2936969.58,1063162.72,-7938.870000000001,-8381.95,-8569.69,-8640.27,-8729.58,-8778.75,-8899.8,10293.31,141.42594072454847,10293.31
10089.0,2936969.58,1063162.7,-7939.870000000001,-8381.95,-8569.69,-8640.27,-8729.57,-8778.75,-8899.8,10294.31,142.34994216056697,10294.31
10090.0,2936969.58,1063162.67,-7940.870000000001,-8381.94,-8569.69,-8640.27,-8729.57,-8778.75,-8899.8,10295.31,141.9738950645129,10295.31
10091.0,2936969.59,1063162.64,-7941.870000000001,-8381.94,-8569.69,-8640.27,-8729.57,-8778.75,-8899.8,10296.31,142.60780302643258,10296.31
10092.0,2936969.59,1063162.61,-7942.870000000001,-8381.94,-8569.69,-8640.27,-8729.57,-8778.75,-8899.8,10297.31,146.06743631012964,10297.31
10093.0,2936969.6,1063162.59,-7943.870000000001,-8381.94,-8569.68,-8640.27,-8729.57,-8778.75,-8899.8,10298.31,148.3452072919426,10298.31
10094.0,2936969.6,1063162.56,-7944.870000000001,-8381.94,-8569.68,-8640.26,-8729.57,-8778.75,-8899.8,10299.31,140.96394000653922,10299.31
10095.0,2936969.6,1063162.53,-7945.870000000001,-8381.94,-8569.68,-8640.26,-8729.57,-8778.75,-8899.8,10300.31,143.1127805554194,10300.31
10096.0,2936969.61,1063162.51,-7946.870000000001,-8381.94,-8569.68,-8640.26,-8729.57,-8778.74,-8899.79,10301.31,154.93140357426034,10301.31
10097.0,2936969.61,1063162.48,-7947.870000000001,-8381.94,-8569.68,-8640.26,-8729.56,-8778.74,-8899.79,10302.31,144.88557400824556,10302.31
