MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11779.0,3022326.65,1094672.94,-9603.34,-10142.94,-10261.77,-10336.26,-10434.19,-10481.98,-10627.84,11578.27,,11578.27
11780.0,3022326.64,1094672.93,-9604.34,-10142.94,-10261.77,-10336.26,-10434.19,-10481.98,-10627.84,11579.27,,11579.27
11781.0,3022326.63,1094672.92,-9605.34,-10142.94,-10261.77,-10336.26,-10434.19,-10481.98,-10627.84,11580.27,,11580.27
11782.0,3022326.62,1094672.91,-9606.34,-10142.94,-10261.77,-10336.26,-10434.19,-10481.98,-10627.84,11581.27,,11581.27
11783.0,3022326.62,1094672.9,-9607.34,-10142.94,-10261.77,-10336.26,-10434.19,-10481.98,-10627.84,11582.27,,11582.27
11784.0,3022326.61,1094672.89,-9608.34,-10142.94,-10261.77,-10336.26,-10434.19,-10481.98,-10627.84,11583.27,,11583.27
11785.0,3022326.6,1094672.88,-9609.34,-10142.94,-10261.77,-10336.26,-10434.19,-10481.98,-10627.84,11584.27,,11584.27
11786.0,3022326.59,1094672.87,-9610.34,-10142.94,-10261.77,-10336.26,-10434.19,-10481.98,-10627.84,11585.27,,11585.27
11787.0,3022326.58,1094672.85,-9611.34,-10142.94,-10261.77,-10336.26,-10434.19,-10481.98,-10627.84,11586.27,,11586.27
11788.0,3022326.58,1094672.84,-9612.34,-10142.94,-10261.77,-10336.26,-10434.19,-10481.98,-10627.84,11587.27,,11587.27
11789.0,3022326.57,1094672.83,-9613.34,-10142.94,-10261.77,-10336.26,-10434.19,-10481.98,-10627.84,11588.27,,11588.27
11790.0,3022326.56,1094672.82,-9614.34,-10142.94,-10261.77,-10336.26,-10434.19,-10481.98,-10627.84,11589.27,,11589.27
11791.0,3022326.55,1094672.8,-9615.34,-10142.94,-10261.77,-10336.26,-10434.19,-10481.98,-10627.84,11590.27,,11590.27
11792.0,3022326.54,1094672.79,-9616.34,-10142.94,-10261.77,-10336.26,-10434.19,-10481.98,-10627.84,11591.27,,11591.27
11793.0,3022326.53,1094672.78,-9617.34,-10142.94,-10261.77,-10336.26,-10434.19,-10481.98,-10627.84,11592.27,,11592.27
