MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10742.0,2906135.93,1032189.28,-8681.8,-8813.73,-9037.17,-9103.55,-9153.07,-9191.1,-9317.42,10630.570000000002,91.87534357566624,10630.570000000002
10743.0,2906135.93,1032189.27,-8682.8,-8813.72,-9037.16,-9103.54,-9153.05,-9191.09,-9317.41,10631.59,86.99481061861553,10631.59
10744.0,2906135.93,1032189.25,-8683.8,-8813.7,-9037.14,-9103.52,-9153.04,-9191.07,-9317.39,10632.6,88.62165493763244,10632.6
10745.0,2906135.93,1032189.23,-8684.8,-8813.69,-9037.13,-9103.51,-9153.02,-9191.06,-9317.38,10633.61,90.82754553968924,10633.61
10746.0,2906135.93,1032189.2,-8685.8,-8813.67,-9037.11,-9103.49,-9153.01,-9191.05,-9317.36,10634.63,89.25584848572376,10634.63
10747.0,2906135.94,1032189.18,-8686.8,-8813.66,-9037.1,-9103.48,-9153.0,-9191.03,-9317.35,10635.64,89.69702660613514,10635.64
10748.0,2906135.95,1032189.15,-8687.8,-8813.64,-9037.08,-9103.46,-9152.98,-9191.02,-9317.33,10636.66,,10636.66
10749.0,2906135.95,1032189.13,-8688.8,-8813.63,-9037.07,-9103.45,-9152.97,-9191.0,-9317.32,10637.67,88.3597054286382,10637.67
10750.0,2906135.96,1032189.1,-8689.8,-8813.62,-9037.06,-9103.44,-9152.95,-9190.99,-9317.31,10638.68,87.82201959438684,10638.68
10751.0,2906135.98,1032189.07,-8690.8,-8813.6,-9037.04,-9103.42,-9152.94,-9190.97,-9317.29,10639.7,90.28985970543788,10639.7
10752.0,2906135.99,1032189.04,-8691.8,-8813.59,-9037.03,-9103.41,-9152.92,-9190.96,-9317.28,10640.71,94.94980360228293,10640.71
10753.0,2906136.0,1032189.01,-8692.8,-8813.56,-9037.0,-9103.38,-9152.9,-9190.93,-9317.25,10641.740000000002,94.46726503308298,10641.740000000002
10754.0,2906136.02,1032188.97,-8693.8,-8813.53,-9036.97,-9103.35,-9152.87,-9190.91,-9317.22,10642.76,92.0407853708205,10642.76
10755.0,2906136.04,1032188.94,-8694.8,-8813.51,-9036.95,-9103.33,-9152.84,-9190.88,-9317.2,10643.79,87.1326787812441,10643.79
10756.0,2906136.06,1032188.9,-8695.8,-8813.48,-9036.92,-9103.3,-9152.82,-9190.85,-9317.17,10644.820000000002,88.73194946773528,10644.820000000002
10757.0,2906136.08,1032188.86,-8696.8,-8813.45,-9036.89,-9103.27,-9152.79,-9190.82,-9317.14,10645.84,96.10789616836271,10645.84
10758.0,2906136.1,1032188.82,-8697.79,-8813.42,-9036.86,-9103.24,-9152.76,-9190.8,-9317.11,10646.87,97.70716685485394,10646.87
10759.0,2906136.12,1032188.78,-8698.79,-8813.4,-9036.84,-9103.22,-9152.73,-9190.77,-9317.09,10647.9,89.53158481098087,10647.9
10760.0,2906136.15,1032188.74,-8699.79,-8813.37,-9036.81,-9103.19,-9152.71,-9190.74,-9317.06,10648.92,87.44977555528975,10648.92
10761.0,2906136.18,1032188.7,-8700.79,-8813.34,-9036.78,-9103.16,-9152.68,-9190.71,-9317.03,10649.95,88.5113604075296,10649.95
10762.0,2906136.21,1032188.65,-8701.79,-8813.31,-9036.75,-9103.13,-9152.65,-9190.69,-9317.0,10650.97,91.26872366010062,10650.97
