MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10361.0,2909166.73,1039885.24,-8271.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10422.13,,10422.13
10362.0,2909166.74,1039885.26,-8272.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10423.13,118.8618284017217,10423.13
10363.0,2909166.74,1039885.27,-8273.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10424.13,117.96103504320992,10424.13
10364.0,2909166.75,1039885.29,-8274.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10425.13,,10425.13
10365.0,2909166.76,1039885.31,-8275.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10426.13,,10426.13
10366.0,2909166.77,1039885.32,-8276.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10427.13,125.85370066064652,10427.13
10367.0,2909166.77,1039885.34,-8277.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10428.13,104.23466005636368,10428.13
10368.0,2909166.78,1039885.35,-8278.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10429.13,,10429.13
10369.0,2909166.79,1039885.37,-8279.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10430.13,,10430.13
10370.0,2909166.79,1039885.39,-8280.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10431.13,110.32573895677668,10431.13
10371.0,2909166.8,1039885.4,-8281.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10432.13,,10432.13
10372.0,2909166.81,1039885.42,-8282.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10433.13,107.58046395940744,10433.13
10373.0,2909166.82,1039885.44,-8283.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10434.13,,10434.13
10374.0,2909166.82,1039885.45,-8284.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10435.13,108.95310145809208,10435.13
10375.0,2909166.83,1039885.47,-8285.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10436.13,,10436.13
10376.0,2909166.84,1039885.49,-8286.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10437.13,115.7304991078474,10437.13
10377.0,2909166.85,1039885.5,-8287.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10438.13,,10438.13
10378.0,2909166.85,1039885.52,-8288.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10439.13,127.82686706500566,10439.13
10379.0,2909166.86,1039885.54,-8289.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10440.13,,10440.13
10380.0,2909166.87,1039885.55,-8290.17,-8611.54,-8834.98,-8901.36,-8950.86,-8988.91,-9115.23,10441.13,108.95310145809208,10441.13
10381.0,2909166.87,1039885.57,-8291.17,-8611.54,-8834.98,-8901.36,-8950.85,-8988.91,-9115.23,10442.13,,10442.13
10382.0,2909166.88,1039885.59,-8292.17,-8611.54,-8834.98,-8901.36,-8950.85,-8988.91,-9115.23,10443.13,,10443.13
10383.0,2909166.89,1039885.6,-8293.17,-8611.54,-8834.98,-8901.36,-8950.85,-8988.91,-9115.23,10444.13,122.42210691393494,10444.13
10384.0,2909166.9,1039885.62,-8294.17,-8611.54,-8834.98,-8901.36,-8950.85,-8988.91,-9115.23,10445.13,115.7304991078474,10445.13
10385.0,2909166.9,1039885.64,-8295.17,-8611.54,-8834.98,-8901.36,-8950.85,-8988.91,-9115.23,10446.13,,10446.13
10386.0,2909166.91,1039885.65,-8296.17,-8611.54,-8834.98,-8901.36,-8950.85,-8988.91,-9115.23,10447.13,,10447.13
10387.0,2909166.92,1039885.67,-8297.17,-8611.54,-8834.98,-8901.36,-8950.85,-8988.91,-9115.23,10448.13,117.36050613753538,10448.13
10388.0,2909166.92,1039885.69,-8298.17,-8611.54,-8834.98,-8901.36,-8950.85,-8988.91,-9115.23,10449.13,122.42210691393494,10449.13
