MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11375.0,3006123.94,1104479.99,-9210.99,-9355.67,-9494.22,-9569.17,-9698.12,-9739.86,-9856.58,11305.86,142.5897562487901,11305.86
11376.0,3006123.94,1104480.0,-9211.99,-9355.7,-9494.26,-9569.2,-9698.16,-9739.89,-9856.61,11306.83,139.7099794872651,11306.83
11377.0,3006123.95,1104480.01,-9212.99,-9355.74,-9494.29,-9569.23,-9698.19,-9739.92,-9856.65,11307.8,141.86689730460168,11307.8
11378.0,3006123.95,1104480.02,-9213.99,-9355.77,-9494.33,-9569.27,-9698.23,-9739.96,-9856.68,11308.76,143.54579549755553,11308.76
11379.0,3006123.95,1104480.03,-9214.99,-9355.8,-9494.36,-9569.3,-9698.26,-9739.99,-9856.71,11309.73,,11309.73
11380.0,3006123.95,1104480.04,-9215.99,-9355.84,-9494.39,-9569.34,-9698.29,-9740.03,-9856.75,11310.69,135.16296354801506,11310.69
11381.0,3006123.95,1104480.05,-9216.99,-9355.87,-9494.43,-9569.37,-9698.33,-9740.06,-9856.78,11311.66,145.93589361946903,11311.66
11382.0,3006123.96,1104480.06,-9217.99,-9355.91,-9494.46,-9569.4,-9698.36,-9740.09,-9856.82,11312.62,145.93589361946903,11312.62
11383.0,3006123.96,1104480.07,-9218.99,-9355.94,-9494.5,-9569.44,-9698.4,-9740.13,-9856.85,11313.59,,11313.59
11384.0,3006123.96,1104480.08,-9219.99,-9355.98,-9494.53,-9569.47,-9698.43,-9740.16,-9856.88,11314.56,156.70882369092297,11314.56
11385.0,3006123.96,1104480.09,-9220.99,-9356.01,-9494.57,-9569.51,-9698.47,-9740.2,-9856.92,11315.52,151.20576850290757,11315.52
11386.0,3006123.96,1104480.1,-9221.99,-9356.05,-9494.6,-9569.55,-9698.5,-9740.24,-9856.96,11316.48,145.93589361946903,11316.48
11387.0,3006123.97,1104480.11,-9222.99,-9356.09,-9494.64,-9569.58,-9698.54,-9740.27,-9857.0,11317.44,,11317.44
11388.0,3006123.97,1104480.12,-9223.99,-9356.13,-9494.68,-9569.62,-9698.58,-9740.31,-9857.03,11318.41,171.3059107574385,11318.41
11389.0,3006123.97,1104480.13,-9224.99,-9356.17,-9494.72,-9569.66,-9698.62,-9740.35,-9857.07,11319.37,214.3976310432544,11319.37
11390.0,3006123.97,1104480.14,-9225.99,-9356.2,-9494.76,-9569.7,-9698.66,-9740.39,-9857.11,11320.33,158.38772188387685,11320.33
11391.0,3006123.97,1104480.15,-9226.99,-9356.24,-9494.8,-9569.74,-9698.7,-9740.43,-9857.15,11321.29,,11321.29
11392.0,3006123.98,1104480.16,-9227.99,-9356.28,-9494.84,-9569.78,-9698.74,-9740.47,-9857.19,11322.25,180.8779622603213,11322.25
11393.0,3006123.98,1104480.17,-9228.99,-9356.32,-9494.88,-9569.82,-9698.78,-9740.51,-9857.23,11323.21,208.6497365354332,11323.21
11394.0,3006123.98,1104480.18,-9229.99,-9356.36,-9494.92,-9569.86,-9698.82,-9740.55,-9857.27,11324.17,151.1941094876787,11324.17
11395.0,3006123.98,1104480.19,-9230.99,-9356.4,-9494.95,-9569.9,-9698.85,-9740.59,-9857.31,11325.13,117.68609971997444,11325.13
11396.0,3006123.99,1104480.2,-9231.99,-9356.44,-9495.0,-9569.94,-9698.9,-9740.63,-9857.35,11326.09,129.17022972038805,11326.09
11397.0,3006123.99,1104480.21,-9232.99,-9356.49,-9495.04,-9569.98,-9698.94,-9740.67,-9857.39,11327.05,117.68609971997444,11327.05
11398.0,3006123.99,1104480.22,-9233.99,-9356.53,-9495.08,-9570.03,-9698.98,-9740.72,-9857.44,11328.0,135.88582249220352,11328.0
11399.0,3006123.99,1104480.24,-9234.99,-9356.57,-9495.13,-9570.07,-9699.03,-9740.76,-9857.48,11328.96,120.56587648149949,11328.96
11400.0,3006124.0,1104480.25,-9235.99,-9356.62,-9495.17,-9570.11,-9699.07,-9740.8,-9857.52,11329.91,140.6660187360305,11329.91
11401.0,3006124.0,1104480.26,-9236.99,-9356.66,-9495.22,-9570.16,-9699.12,-9740.85,-9857.57,11330.87,150.00488993433638,11330.87
