MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11718.0,2926234.68,1019293.66,-9633.35,-9751.37,-9977.94,-10016.84,-10092.23,-10139.08,-10298.3,11455.92,113.78903854460214,11455.92
11719.0,2926234.66,1019293.84,-9634.34,-9751.52,-9978.09,-10016.99,-10092.38,-10139.23,-10298.45,11456.76,118.68447462049794,11456.76
11720.0,2926234.64,1019294.02,-9635.32,-9751.67,-9978.24,-10017.14,-10092.53,-10139.38,-10298.6,11457.59,125.609725654692,11457.59
11721.0,2926234.62,1019294.2,-9636.3,-9751.82,-9978.39,-10017.29,-10092.68,-10139.53,-10298.75,11458.42,130.01561812299818,11458.42
11722.0,2926234.6,1019294.39,-9637.29,-9751.97,-9978.54,-10017.44,-10092.83,-10139.68,-10298.91,11459.25,133.78868592783493,11459.25
11723.0,2926234.58,1019294.57,-9638.27,-9752.13,-9978.7,-10017.6,-10092.99,-10139.84,-10299.06,11460.08,135.49611851040348,11460.08
11724.0,2926234.56,1019294.75,-9639.25,-9752.28,-9978.85,-10017.75,-10093.14,-10139.99,-10299.21,11460.91,126.42165163801128,11460.91
11725.0,2926234.54,1019294.93,-9640.23,-9752.43,-9979.0,-10017.9,-10093.29,-10140.14,-10299.36,11461.740000000002,121.8485979378452,11461.740000000002
11726.0,2926234.51,1019295.12,-9641.22,-9752.58,-9979.15,-10018.05,-10093.44,-10140.29,-10299.51,11462.570000000002,121.9918789937251,11462.570000000002
11727.0,2926234.49,1019295.31,-9642.2,-9752.74,-9979.31,-10018.21,-10093.6,-10140.45,-10299.67,11463.4,118.74417506044789,11463.4
11728.0,2926234.47,1019295.49,-9643.18,-9752.89,-9979.46,-10018.36,-10093.75,-10140.6,-10299.82,11464.23,119.41281998788732,11464.23
11729.0,2926234.45,1019295.68,-9644.16,-9753.04,-9979.61,-10018.51,-10093.9,-10140.75,-10299.97,11465.06,122.43366224935473,11465.06
11730.0,2926234.42,1019295.87,-9645.15,-9753.19,-9979.76,-10018.66,-10094.05,-10140.9,-10300.12,11465.89,120.64264905085624,11465.89
11731.0,2926234.4,1019296.06,-9646.13,-9753.36,-9979.93,-10018.83,-10094.22,-10141.07,-10300.29,11466.71,115.23378919139093,11466.71
11732.0,2926234.38,1019296.25,-9647.11,-9753.52,-9980.09,-10018.99,-10094.38,-10141.23,-10300.45,11467.52,114.83976628772125,11467.52
11733.0,2926234.35,1019296.44,-9648.09,-9753.68,-9980.25,-10019.15,-10094.54,-10141.39,-10300.62,11468.34,122.40978207337471,11468.34
11734.0,2926234.33,1019296.64,-9649.07,-9753.85,-9980.42,-10019.32,-10094.71,-10141.56,-10300.78,11469.16,128.17684457253978,11469.16
11735.0,2926234.3,1019296.84,-9650.05,-9754.01,-9980.58,-10019.48,-10094.87,-10141.72,-10300.94,11469.97,125.71718644660189,11469.97
11736.0,2926234.28,1019297.04,-9651.03,-9754.18,-9980.75,-10019.65,-10095.04,-10141.89,-10301.11,11470.79,115.85467376687036,11470.79
11737.0,2926234.25,1019297.24,-9652.01,-9754.34,-9980.91,-10019.81,-10095.2,-10142.05,-10301.27,11471.6,107.50855226186756,11471.6
11738.0,2926234.22,1019297.44,-9652.99,-9754.5,-9981.07,-10019.97,-10095.36,-10142.21,-10301.44,11472.42,107.9145152535272,11472.42
11739.0,2926234.2,1019297.64,-9653.97,-9754.67,-9981.24,-10020.14,-10095.53,-10142.38,-10301.6,11473.240000000002,110.02791082775538,11473.240000000002
11740.0,2926234.17,1019297.85,-9654.94,-9754.83,-9981.4,-10020.3,-10095.69,-10142.54,-10301.76,11474.05,111.59206235444404,11474.05
11741.0,2926234.14,1019298.06,-9655.92,-9755.01,-9981.58,-10020.48,-10095.87,-10142.72,-10301.94,11474.85,113.968139864452,11474.85
11742.0,2926234.11,1019298.27,-9656.9,-9755.19,-9981.76,-10020.66,-10096.05,-10142.9,-10302.12,11475.65,114.56514426395148,11475.65
11743.0,2926234.08,1019298.48,-9657.88,-9755.37,-9981.94,-10020.84,-10096.23,-10143.08,-10302.3,11476.44,115.99795482275024,11476.44
11744.0,2926234.05,1019298.69,-9658.85,-9755.55,-9982.12,-10021.02,-10096.41,-10143.26,-10302.48,11477.240000000002,118.70835479647792,11477.240000000002
11745.0,2926234.02,1019298.9,-9659.83,-9755.72,-9982.29,-10021.19,-10096.58,-10143.43,-10302.66,11478.04,,11478.04
11746.0,2926233.99,1019299.12,-9660.81,-9755.9,-9982.47,-10021.37,-10096.76,-10143.61,-10302.83,11478.84,116.0695953506902,11478.84
11747.0,2926233.96,1019299.34,-9661.78,-9756.08,-9982.65,-10021.55,-10096.94,-10143.79,-10303.01,11479.64,113.29949493701255,11479.64
11748.0,2926233.93,1019299.56,-9662.76,-9756.26,-9982.83,-10021.73,-10097.12,-10143.97,-10303.19,11480.43,111.78310376228389,11480.43
11749.0,2926233.9,1019299.78,-9663.73,-9756.44,-9983.01,-10021.91,-10097.3,-10144.15,-10303.37,11481.23,115.90243411883031,11481.23
11750.0,2926233.87,1019300.0,-9664.7,-9756.62,-9983.19,-10022.09,-10097.48,-10144.33,-10303.55,11482.03,114.97110725561112,11482.03
11751.0,2926233.83,1019300.23,-9665.68,-9756.81,-9983.38,-10022.28,-10097.67,-10144.52,-10303.74,11482.81,117.38300502958906,11482.81
11752.0,2926233.8,1019300.46,-9666.65,-9757.0,-9983.57,-10022.47,-10097.86,-10144.71,-10303.93,11483.59,126.24255031816143,11483.59
11753.0,2926233.77,1019300.68,-9667.62,-9757.2,-9983.77,-10022.67,-10098.06,-10144.9,-10304.13,11484.36,129.96785777103824,11484.36
11754.0,2926233.73,1019300.91,-9668.6,-9757.39,-9983.96,-10022.86,-10098.25,-10145.1,-10304.32,11485.14,128.45146659630953,11485.14
11755.0,2926233.7,1019301.15,-9669.57,-9757.58,-9984.15,-10023.05,-10098.44,-10145.29,-10304.51,11485.92,121.82471776186524,11485.92
11756.0,2926233.66,1019301.38,-9670.54,-9757.77,-9984.34,-10023.24,-10098.63,-10145.48,-10304.71,11486.7,122.30232128146484,11486.7
