MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10900.0,3010597.07,1123346.65,-8790.84,-8967.72,-9076.7,-9174.59,-9336.57,-9386.96,-9492.55,10382.31,,10382.31
10901.0,3010597.06,1123346.61,-8791.84,-8967.51,-9076.49,-9174.38,-9336.36,-9386.75,-9492.34,10383.52,,10383.52
10902.0,3010597.05,1123346.58,-8792.84,-8967.3,-9076.28,-9174.17,-9336.15,-9386.54,-9492.13,10384.73,168.77319034465634,10384.73
10903.0,3010597.04,1123346.55,-8793.84,-8967.09,-9076.07,-9173.96,-9335.94,-9386.33,-9491.92,10385.94,,10385.94
10904.0,3010597.03,1123346.52,-8794.84,-8966.88,-9075.86,-9173.75,-9335.73,-9386.12,-9491.71,10387.15,165.70299197560075,10387.15
10905.0,3010597.02,1123346.49,-8795.84,-8966.67,-9075.65,-9173.54,-9335.52,-9385.91,-9491.5,10388.36,150.35200013032275,10388.36
10906.0,3010597.01,1123346.46,-8796.84,-8966.45,-9075.43,-9173.32,-9335.3,-9385.69,-9491.28,10389.570000000002,162.63279360654514,10389.570000000002
10907.0,3010597.0,1123346.43,-8797.84,-8966.24,-9075.22,-9173.11,-9335.09,-9385.48,-9491.07,10390.78,153.42219849937834,10390.78
10908.0,3010596.98,1123346.4,-8798.84,-8966.03,-9075.01,-9172.9,-9334.88,-9385.27,-9490.86,10391.98,144.21160339221154,10391.98
10909.0,3010596.97,1123346.37,-8799.84,-8965.82,-9074.8,-9172.69,-9334.67,-9385.06,-9490.65,10393.19,156.49239686843396,10393.19
10910.0,3010596.96,1123346.33,-8800.84,-8965.61,-9074.59,-9172.48,-9334.46,-9384.85,-9490.44,10394.4,,10394.4
10911.0,3010596.95,1123346.3,-8801.84,-8965.41,-9074.39,-9172.28,-9334.26,-9384.65,-9490.24,10395.61,162.63279360654514,10395.61
10912.0,3010596.94,1123346.27,-8802.84,-8965.2,-9074.18,-9172.07,-9334.05,-9384.44,-9490.03,10396.820000000002,,10396.820000000002
10913.0,3010596.93,1123346.24,-8803.84,-8964.99,-9073.97,-9171.86,-9333.84,-9384.23,-9489.82,10398.02,131.93080991598916,10398.02
10914.0,3010596.91,1123346.21,-8804.84,-8964.79,-9073.77,-9171.66,-9333.64,-9384.03,-9489.62,10399.23,,10399.23
10915.0,3010596.9,1123346.18,-8805.84,-8964.58,-9073.56,-9171.45,-9333.43,-9383.82,-9489.41,10400.43,,10400.43
10916.0,3010596.89,1123346.15,-8806.84,-8964.38,-9073.36,-9171.25,-9333.23,-9383.62,-9489.21,10401.64,,10401.64
10917.0,3010596.88,1123346.12,-8807.83,-8964.17,-9073.15,-9171.04,-9333.02,-9383.41,-9489.0,10402.85,168.77319034465634,10402.85
10918.0,3010596.87,1123346.09,-8808.83,-8963.96,-9072.94,-9170.83,-9332.81,-9383.2,-9488.79,10404.05,,10404.05
10919.0,3010596.86,1123346.06,-8809.83,-8963.76,-9072.74,-9170.63,-9332.61,-9383.0,-9488.59,10405.26,138.07120665410037,10405.26
10920.0,3010596.84,1123346.03,-8810.83,-8963.55,-9072.53,-9170.42,-9332.4,-9382.79,-9488.38,10406.46,,10406.46
10921.0,3010596.83,1123346.0,-8811.83,-8963.35,-9072.33,-9170.22,-9332.2,-9382.59,-9488.18,10407.67,211.75596751143476,10407.67
10922.0,3010596.82,1123345.97,-8812.83,-8963.14,-9072.12,-9170.01,-9331.99,-9382.38,-9487.97,10408.87,174.91358708276755,10408.87
10923.0,3010596.81,1123345.94,-8813.83,-8962.94,-9071.92,-9169.81,-9331.79,-9382.18,-9487.77,10410.070000000002,,10410.070000000002
10924.0,3010596.79,1123345.91,-8814.83,-8962.74,-9071.72,-9169.61,-9331.59,-9381.98,-9487.57,10411.27,,10411.27
10925.0,3010596.78,1123345.88,-8815.83,-8962.54,-9071.52,-9169.41,-9331.39,-9381.78,-9487.37,10412.47,144.21160339221154,10412.47
10926.0,3010596.77,1123345.86,-8816.83,-8962.33,-9071.31,-9169.2,-9331.18,-9381.57,-9487.16,10413.68,137.28172707348605,10413.68
10927.0,3010596.76,1123345.83,-8817.83,-8962.13,-9071.11,-9169.0,-9330.98,-9381.37,-9486.96,10414.88,,10414.88
10928.0,3010596.74,1123345.8,-8818.83,-8961.93,-9070.91,-9168.8,-9330.78,-9381.17,-9486.76,10416.08,,10416.08
10929.0,3010596.73,1123345.77,-8819.83,-8961.72,-9070.7,-9168.59,-9330.57,-9380.96,-9486.55,10417.28,,10417.28
10930.0,3010596.72,1123345.74,-8820.83,-8961.52,-9070.5,-9168.39,-9330.37,-9380.76,-9486.35,10418.490000000002,162.63279360654514,10418.490000000002
10931.0,3010596.71,1123345.71,-8821.83,-8961.32,-9070.3,-9168.19,-9330.17,-9380.56,-9486.15,10419.68,,10419.68
10932.0,3010596.69,1123345.68,-8822.83,-8961.12,-9070.1,-9167.99,-9329.97,-9380.36,-9485.95,10420.88,,10420.88
10933.0,3010596.68,1123345.65,-8823.83,-8960.93,-9069.91,-9167.8,-9329.78,-9380.17,-9485.76,10422.08,,10422.08
10934.0,3010596.67,1123345.62,-8824.83,-8960.73,-9069.71,-9167.6,-9329.58,-9379.97,-9485.56,10423.28,187.19438055898996,10423.28
10935.0,3010596.66,1123345.6,-8825.83,-8960.53,-9069.51,-9167.4,-9329.38,-9379.77,-9485.36,10424.48,,10424.48
10936.0,3010596.64,1123345.57,-8826.82,-8960.33,-9069.31,-9167.2,-9329.18,-9379.57,-9485.16,10425.68,144.21160339221154,10425.68
10937.0,3010596.63,1123345.54,-8827.82,-8960.13,-9069.11,-9167.0,-9328.98,-9379.37,-9484.96,10426.88,,10426.88
10938.0,3010596.62,1123345.51,-8828.82,-8959.93,-9068.91,-9166.8,-9328.78,-9379.17,-9484.76,10428.070000000002,150.35200013032275,10428.070000000002
10939.0,3010596.6,1123345.48,-8829.82,-8959.73,-9068.71,-9166.6,-9328.58,-9378.97,-9484.56,10429.27,,10429.27
10940.0,3010596.59,1123345.45,-8830.82,-8959.53,-9068.51,-9166.4,-9328.38,-9378.77,-9484.36,10430.47,144.21160339221154,10430.47
10941.0,3010596.58,1123345.43,-8831.82,-8959.34,-9068.32,-9166.21,-9328.19,-9378.58,-9484.17,10431.67,,10431.67
10942.0,3010596.56,1123345.4,-8832.82,-8959.14,-9068.12,-9166.01,-9327.99,-9378.38,-9483.97,10432.86,138.07120665410037,10432.86
10943.0,3010596.55,1123345.37,-8833.82,-8958.95,-9067.93,-9165.82,-9327.8,-9378.19,-9483.78,10434.05,,10434.05
10944.0,3010596.54,1123345.34,-8834.82,-8958.75,-9067.73,-9165.62,-9327.6,-9377.99,-9483.58,10435.25,,10435.25
10945.0,3010596.52,1123345.31,-8835.82,-8958.56,-9067.54,-9165.43,-9327.41,-9377.8,-9483.39,10436.44,,10436.44
10946.0,3010596.51,1123345.29,-8836.82,-8958.36,-9067.34,-9165.23,-9327.21,-9377.6,-9483.19,10437.64,,10437.64
10947.0,3010596.5,1123345.26,-8837.82,-8958.17,-9067.15,-9165.04,-9327.02,-9377.41,-9483.0,10438.83,,10438.83
10948.0,3010596.48,1123345.23,-8838.82,-8957.97,-9066.95,-9164.84,-9326.82,-9377.21,-9482.8,10440.03,,10440.03
10949.0,3010596.47,1123345.2,-8839.82,-8957.78,-9066.76,-9164.65,-9326.63,-9377.02,-9482.61,10441.22,,10441.22
10950.0,3010596.46,1123345.18,-8840.82,-8957.58,-9066.56,-9164.45,-9326.43,-9376.82,-9482.41,10442.42,,10442.42
10951.0,3010596.44,1123345.15,-8841.82,-8957.39,-9066.37,-9164.26,-9326.24,-9376.63,-9482.22,10443.61,144.21160339221154,10443.61
10952.0,3010596.43,1123345.12,-8842.82,-8957.2,-9066.18,-9164.07,-9326.05,-9376.44,-9482.03,10444.8,138.07120665410037,10444.8
10953.0,3010596.41,1123345.09,-8843.82,-8957.01,-9065.99,-9163.88,-9325.86,-9376.25,-9481.84,10445.990000000002,,10445.990000000002
10954.0,3010596.4,1123345.07,-8844.82,-8956.81,-9065.79,-9163.68,-9325.66,-9376.05,-9481.64,10447.18,144.21160339221154,10447.18
10955.0,3010596.39,1123345.04,-8845.82,-8956.62,-9065.6,-9163.49,-9325.47,-9375.86,-9481.45,10448.37,156.49239686843396,10448.37
10956.0,3010596.37,1123345.01,-8846.82,-8956.43,-9065.41,-9163.3,-9325.28,-9375.67,-9481.26,10449.56,,10449.56
10957.0,3010596.36,1123344.99,-8847.81,-8956.24,-9065.22,-9163.11,-9325.09,-9375.48,-9481.07,10450.76,162.63279360654514,10450.76
10958.0,3010596.34,1123344.96,-8848.81,-8956.05,-9065.03,-9162.92,-9324.9,-9375.29,-9480.88,10451.95,,10451.95
10959.0,3010596.33,1123344.93,-8849.81,-8955.86,-9064.84,-9162.73,-9324.71,-9375.1,-9480.69,10453.14,,10453.14
10960.0,3010596.32,1123344.91,-8850.81,-8955.66,-9064.64,-9162.53,-9324.51,-9374.9,-9480.49,10454.33,138.07120665410037,10454.33
10961.0,3010596.3,1123344.88,-8851.81,-8955.48,-9064.46,-9162.35,-9324.33,-9374.72,-9480.31,10455.52,131.93080991598916,10455.52
10962.0,3010596.29,1123344.85,-8852.81,-8955.29,-9064.27,-9162.16,-9324.14,-9374.53,-9480.12,10456.7,150.35200013032275,10456.7
10963.0,3010596.27,1123344.83,-8853.81,-8955.1,-9064.08,-9161.97,-9323.95,-9374.34,-9479.93,10457.89,,10457.89
10964.0,3010596.26,1123344.8,-8854.81,-8954.91,-9063.89,-9161.78,-9323.76,-9374.15,-9479.74,10459.08,,10459.08
10965.0,3010596.24,1123344.78,-8855.81,-8954.73,-9063.71,-9161.6,-9323.58,-9373.97,-9479.56,10460.27,181.0539838208788,10460.27
10966.0,3010596.23,1123344.75,-8856.81,-8954.54,-9063.52,-9161.41,-9323.39,-9373.78,-9479.37,10461.45,131.93080991598916,10461.45
10967.0,3010596.21,1123344.72,-8857.81,-8954.35,-9063.33,-9161.22,-9323.2,-9373.59,-9479.18,10462.64,,10462.64
10968.0,3010596.2,1123344.7,-8858.81,-8954.16,-9063.14,-9161.03,-9323.01,-9373.4,-9478.99,10463.83,125.79041317787797,10463.83
10969.0,3010596.18,1123344.67,-8859.81,-8953.97,-9062.95,-9160.84,-9322.82,-9373.21,-9478.8,10465.01,144.21160339221154,10465.01
10970.0,3010596.17,1123344.65,-8860.81,-8953.79,-9062.77,-9160.66,-9322.64,-9373.03,-9478.62,10466.2,153.42219849937834,10466.2
