MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
12032.0,3021711.54,1081369.25,-9863.65,-10159.01,-10324.87,-10369.63,-10434.63,-10465.63,-10628.63,12043.47,,12043.47
12033.0,3021711.52,1081369.26,-9864.65,-10159.05,-10324.91,-10369.67,-10434.67,-10465.67,-10628.67,12044.43,115.85014880082922,12044.43
12034.0,3021711.49,1081369.27,-9865.65,-10159.09,-10324.95,-10369.71,-10434.71,-10465.71,-10628.71,12045.4,114.32028130720364,12045.4
12035.0,3021711.46,1081369.28,-9866.65,-10159.12,-10324.98,-10369.74,-10434.74,-10465.74,-10628.74,12046.36,112.87436995652094,12046.36
12036.0,3021711.44,1081369.29,-9867.65,-10159.16,-10325.02,-10369.78,-10434.78,-10465.78,-10628.78,12047.320000000002,110.16911646169524,12047.320000000002
12037.0,3021711.41,1081369.3,-9868.65,-10159.19,-10325.05,-10369.81,-10434.81,-10465.81,-10628.81,12048.29,106.2138492830535,12048.29
12038.0,3021711.38,1081369.3,-9869.65,-10159.22,-10325.08,-10369.84,-10434.84,-10465.84,-10628.84,12049.26,103.09814353384044,12049.26
12039.0,3021711.36,1081369.31,-9870.65,-10159.25,-10325.11,-10369.87,-10434.87,-10465.87,-10628.87,12050.23,101.79215908806252,12050.23
12040.0,3021711.33,1081369.32,-9871.65,-10159.28,-10325.14,-10369.9,-10434.9,-10465.9,-10628.9,12051.21,105.07577712316132,12051.21
12041.0,3021711.31,1081369.33,-9872.65,-10159.3,-10325.16,-10369.92,-10434.92,-10465.92,-10628.92,12052.18,109.51612423880628,12052.18
12042.0,3021711.28,1081369.33,-9873.65,-10159.33,-10325.19,-10369.95,-10434.95,-10465.95,-10628.95,12053.15,107.5478191098124,12053.15
12043.0,3021711.26,1081369.34,-9874.65,-10159.36,-10325.22,-10369.98,-10434.98,-10465.98,-10628.98,12054.12,104.74928101171685,12054.12
12044.0,3021711.23,1081369.35,-9875.65,-10159.39,-10325.25,-10370.01,-10435.01,-10466.01,-10629.01,12055.09,104.5813687258311,12055.09
12045.0,3021711.21,1081369.35,-9876.65,-10159.42,-10325.28,-10370.04,-10435.04,-10466.04,-10629.04,12056.06,104.73995255138983,12056.06
12046.0,3021711.19,1081369.36,-9877.65,-10159.45,-10325.31,-10370.07,-10435.07,-10466.07,-10629.07,12057.03,103.43396810561192,12057.03
12047.0,3021711.16,1081369.36,-9878.65,-10159.47,-10325.33,-10370.09,-10435.09,-10466.09,-10629.09,12058.01,101.63357526250378,12058.01
12048.0,3021711.14,1081369.37,-9879.65,-10159.49,-10325.35,-10370.11,-10435.11,-10466.11,-10629.11,12058.98,100.64475846784336,12058.98
12049.0,3021711.12,1081369.38,-9880.65,-10159.52,-10325.38,-10370.14,-10435.14,-10466.14,-10629.14,12059.96,100.15035007051311,12059.96
12050.0,3021711.1,1081369.38,-9881.65,-10159.54,-10325.4,-10370.16,-10435.16,-10466.16,-10629.16,12060.94,,12060.94
12051.0,3021711.07,1081369.39,-9882.65,-10159.56,-10325.42,-10370.18,-10435.18,-10466.18,-10629.18,12061.92,99.65594167318292,12061.92
12052.0,3021711.05,1081369.39,-9883.65,-10159.58,-10325.44,-10370.2,-10435.2,-10466.2,-10629.2,12062.89,99.00294945029395,12062.89
12053.0,3021711.03,1081369.39,-9884.65,-10159.61,-10325.47,-10370.23,-10435.23,-10466.23,-10629.23,12063.87,98.50854105296374,12063.87
12054.0,3021711.01,1081369.4,-9885.65,-10159.63,-10325.49,-10370.25,-10435.25,-10466.25,-10629.25,12064.85,,12064.85
12055.0,3021710.99,1081369.4,-9886.65,-10159.65,-10325.51,-10370.27,-10435.27,-10466.27,-10629.27,12065.820000000002,,12065.820000000002
12056.0,3021710.97,1081369.41,-9887.65,-10159.67,-10325.53,-10370.29,-10435.29,-10466.29,-10629.29,12066.8,,12066.8
