MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11298.0,2922389.41,1023201.15,-9280.52,-9573.06,-9799.63,-9838.53,-9913.92,-9960.77,-10119.99,11281.4,134.4334317005939,11281.4
11299.0,2922389.52,1023200.97,-9281.5,-9573.08,-9799.65,-9838.55,-9913.94,-9960.79,-10120.01,11282.35,136.2194796728207,11282.35
11300.0,2922389.62,1023200.79,-9282.48,-9573.1,-9799.67,-9838.57,-9913.96,-9960.81,-10120.03,11283.31,137.5523512938855,11283.31
11301.0,2922389.73,1023200.61,-9283.45,-9573.12,-9799.69,-9838.59,-9913.98,-9960.83,-10120.05,11284.27,134.32680197090872,11284.27
11302.0,2922389.83,1023200.42,-9284.43,-9573.14,-9799.71,-9838.61,-9914.0,-9960.85,-10120.07,11285.22,133.55373643069117,11285.22
11303.0,2922389.94,1023200.24,-9285.41,-9573.16,-9799.73,-9838.63,-9914.02,-9960.87,-10120.09,11286.18,136.12617865934618,11286.18
11304.0,2922390.05,1023200.05,-9286.39,-9573.18,-9799.75,-9838.65,-9914.04,-9960.89,-10120.11,11287.14,137.5523512938855,11287.14
11305.0,2922390.16,1023199.86,-9287.36,-9573.2,-9799.77,-9838.67,-9914.06,-9960.91,-10120.14,11288.1,,11288.1
11306.0,2922390.27,1023199.67,-9288.34,-9573.22,-9799.79,-9838.69,-9914.08,-9960.93,-10120.16,11289.05,135.47307156502444,11289.05
11307.0,2922390.38,1023199.48,-9289.31,-9573.25,-9799.82,-9838.72,-9914.11,-9960.96,-10120.18,11290.0,130.88799318856158,11290.0
11308.0,2922390.49,1023199.29,-9290.29,-9573.27,-9799.84,-9838.74,-9914.13,-9960.98,-10120.2,11290.96,,11290.96
11309.0,2922390.6,1023199.09,-9291.26,-9573.29,-9799.86,-9838.76,-9914.15,-9961.0,-10120.22,11291.91,,11291.91
11310.0,2922390.71,1023198.9,-9292.24,-9573.31,-9799.88,-9838.78,-9914.17,-9961.02,-10120.24,11292.86,133.10056007952912,11292.86
11311.0,2922390.82,1023198.7,-9293.21,-9573.33,-9799.9,-9838.8,-9914.19,-9961.04,-10120.27,11293.81,133.18053237679302,11293.81
11312.0,2922390.94,1023198.5,-9294.18,-9573.36,-9799.93,-9838.83,-9914.22,-9961.07,-10120.29,11294.76,130.88799318856158,11294.76
11313.0,2922391.05,1023198.31,-9295.16,-9573.38,-9799.95,-9838.85,-9914.24,-9961.09,-10120.31,11295.72,,11295.72
11314.0,2922391.16,1023198.11,-9296.13,-9573.4,-9799.97,-9838.87,-9914.26,-9961.11,-10120.33,11296.67,137.5523512938855,11296.67
11315.0,2922391.28,1023197.91,-9297.1,-9573.42,-9799.99,-9838.89,-9914.28,-9961.13,-10120.35,11297.62,,11297.62
11316.0,2922391.39,1023197.71,-9298.08,-9573.45,-9800.02,-9838.92,-9914.31,-9961.15,-10120.38,11298.570000000002,129.95498305381625,11298.570000000002
11317.0,2922391.51,1023197.51,-9299.05,-9573.47,-9800.04,-9838.94,-9914.33,-9961.18,-10120.4,11299.52,128.22224994643202,11299.52
11318.0,2922391.62,1023197.32,-9300.03,-9573.49,-9800.06,-9838.96,-9914.35,-9961.2,-10120.42,11300.48,136.2194796728207,11300.48
11319.0,2922391.73,1023197.12,-9301.0,-9573.51,-9800.08,-9838.98,-9914.37,-9961.22,-10120.44,11301.43,,11301.43
