MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10393.0,2884372.11,1020876.21,-8258.67,-8481.96,-8725.77,-8786.33,-8836.13,-8859.33,-8983.73,10288.63,,10288.63
10394.0,2884372.26,1020876.28,-8259.65,-8481.75,-8725.56,-8786.12,-8835.92,-8859.12,-8983.52,10289.83,,10289.83
10395.0,2884372.42,1020876.34,-8260.64,-8481.55,-8725.36,-8785.91,-8835.71,-8858.91,-8983.31,10291.02,,10291.02
10396.0,2884372.57,1020876.41,-8261.62,-8481.34,-8725.15,-8785.71,-8835.51,-8858.71,-8983.11,10292.21,,10292.21
10397.0,2884372.73,1020876.47,-8262.61,-8481.14,-8724.95,-8785.5,-8835.3,-8858.5,-8982.9,10293.4,136.24587718467498,10293.4
10398.0,2884372.88,1020876.54,-8263.6,-8480.93,-8724.74,-8785.3,-8835.1,-8858.3,-8982.7,10294.59,,10294.59
10399.0,2884373.03,1020876.6,-8264.58,-8480.73,-8724.54,-8785.09,-8834.89,-8858.09,-8982.49,10295.78,,10295.78
10400.0,2884373.19,1020876.66,-8265.57,-8480.52,-8724.33,-8784.89,-8834.69,-8857.89,-8982.29,10296.97,,10296.97
10401.0,2884373.34,1020876.73,-8266.55,-8480.32,-8724.13,-8784.69,-8834.48,-8857.68,-8982.08,10298.16,128.03201090464194,10298.16
10402.0,2884373.5,1020876.79,-8267.54,-8480.12,-8723.92,-8784.48,-8834.28,-8857.48,-8981.88,10299.36,,10299.36
10403.0,2884373.65,1020876.85,-8268.53,-8479.91,-8723.72,-8784.28,-8834.07,-8857.27,-8981.67,10300.55,119.62257637984622,10300.55
10404.0,2884373.8,1020876.91,-8269.51,-8479.71,-8723.51,-8784.07,-8833.87,-8857.07,-8981.47,10301.740000000002,,10301.740000000002
10405.0,2884373.95,1020876.97,-8270.5,-8479.51,-8723.31,-8783.87,-8833.67,-8856.87,-8981.27,10302.92,,10302.92
10406.0,2884374.1,1020877.04,-8271.48,-8479.31,-8723.11,-8783.67,-8833.47,-8856.67,-8981.07,10304.11,137.7941257890463,10304.11
10407.0,2884374.26,1020877.1,-8272.47,-8479.11,-8722.91,-8783.47,-8833.27,-8856.47,-8980.87,10305.3,,10305.3
10408.0,2884374.41,1020877.16,-8273.46,-8478.91,-8722.71,-8783.27,-8833.07,-8856.27,-8980.67,10306.48,147.3280777212275,10306.48
10409.0,2884374.56,1020877.22,-8274.44,-8478.71,-8722.51,-8783.07,-8832.87,-8856.07,-8980.47,10307.67,,10307.67
10410.0,2884374.71,1020877.28,-8275.43,-8478.51,-8722.31,-8782.87,-8832.67,-8855.87,-8980.27,10308.86,114.08147611156996,10308.86
10411.0,2884374.86,1020877.34,-8276.42,-8478.31,-8722.11,-8782.67,-8832.47,-8855.67,-8980.07,10310.04,110.10492180139524,10310.04
10412.0,2884375.01,1020877.4,-8277.41,-8478.11,-8721.91,-8782.47,-8832.27,-8855.47,-8979.87,10311.23,,10311.23
10413.0,2884375.16,1020877.46,-8278.39,-8477.91,-8721.71,-8782.27,-8832.07,-8855.27,-8979.67,10312.41,114.08147611156996,10312.41
10414.0,2884375.3,1020877.52,-8279.38,-8477.71,-8721.52,-8782.07,-8831.87,-8855.07,-8979.47,10313.6,125.16367664812246,10313.6
10415.0,2884375.45,1020877.58,-8280.37,-8477.52,-8721.32,-8781.88,-8831.68,-8854.88,-8979.28,10314.78,,10314.78
10416.0,2884375.6,1020877.64,-8281.35,-8477.32,-8721.13,-8781.69,-8831.49,-8854.69,-8979.09,10315.96,133.60570588037865,10315.96
10417.0,2884375.75,1020877.69,-8282.34,-8477.13,-8720.93,-8781.49,-8831.29,-8854.49,-8978.89,10317.14,,10317.14
10418.0,2884375.89,1020877.75,-8283.33,-8476.94,-8720.74,-8781.3,-8831.1,-8854.3,-8978.7,10318.33,125.16367664812246,10318.33
10419.0,2884376.04,1020877.81,-8284.32,-8476.74,-8720.55,-8781.11,-8830.91,-8854.11,-8978.51,10319.51,,10319.51
10420.0,2884376.19,1020877.87,-8285.3,-8476.55,-8720.35,-8780.91,-8830.71,-8853.91,-8978.31,10320.69,,10320.69
10421.0,2884376.33,1020877.93,-8286.29,-8476.35,-8720.16,-8780.72,-8830.52,-8853.72,-8978.12,10321.87,,10321.87
10422.0,2884376.48,1020877.98,-8287.28,-8476.16,-8719.97,-8780.53,-8830.33,-8853.53,-8977.92,10323.05,127.9342267822606,10323.05
10423.0,2884376.62,1020878.04,-8288.27,-8475.97,-8719.77,-8780.33,-8830.13,-8853.33,-8977.73,10324.23,,10324.23
10424.0,2884376.77,1020878.1,-8289.26,-8475.77,-8719.58,-8780.14,-8829.94,-8853.14,-8977.54,10325.41,,10325.41
10425.0,2884376.91,1020878.15,-8290.24,-8475.59,-8719.39,-8779.95,-8829.75,-8852.95,-8977.35,10326.59,130.70477691639874,10326.59
10426.0,2884377.05,1020878.21,-8291.23,-8475.4,-8719.2,-8779.76,-8829.56,-8852.76,-8977.16,10327.76,,10327.76
10427.0,2884377.2,1020878.27,-8292.22,-8475.21,-8719.02,-8779.58,-8829.38,-8852.58,-8976.97,10328.94,119.62257637984622,10328.94
10428.0,2884377.34,1020878.32,-8293.21,-8475.02,-8718.83,-8779.39,-8829.19,-8852.39,-8976.79,10330.12,,10330.12
