TVT,GR,Geology
11704.59,124.7,
11705.09,97.04,
11705.59,88.04,
11706.09,90.18,
11706.59,94.22,
11707.09,95.87,
11707.59,94.57000000000001,
11708.09,93.56,
11708.59,95.01,
11709.09,96.66,
11709.59,96.88000000000001,
11710.09,96.36,
11710.59,94.68,
11711.09,93.04,
11711.59,94.4,
11712.09,96.48,
11712.59,98.42,
11713.09,99.67,
11713.59,101.04,
11714.09,103.85000000000001,
11714.59,105.88000000000001,
11715.09,111.22,
11715.59,122.3,
11716.09,130.10999999999999,
11716.59,134.76,
11717.09,138.59,
11717.59,138.97,
11718.09,138.07999999999998,
11718.59,137.34,
11719.09,134.65,
11719.59,133.17,
11720.09,131.41,
11720.59,124.48,
11721.09,117.66,
11721.59,118.67,
11722.09,122.55,
11722.59,120.5,
11723.09,120.0,
11723.59,122.11,
11724.09,121.65,
11724.59,120.26,
11725.09,119.86,
11725.59,121.33,
11726.09,123.88000000000001,
11726.59,125.7,
11727.09,127.56,
11727.59,130.73,
11728.09,131.97,
11728.59,130.9,
11729.09,130.35999999999999,
11729.59,129.41,
11730.09,127.86,
11730.59,126.64,
11731.09,126.69,
11731.59,128.22,
11732.09,128.45,
11732.59,127.83,
11733.09,128.47,
11733.59,128.4,
11734.09,127.54,
11734.59,128.59,
11735.09,128.22,
11735.59,125.58,
11736.09,124.25,
11736.59,125.17,
11737.09,125.2,
11737.59,125.38000000000001,
11738.09,127.71000000000001,
11738.59,132.38,
11739.09,138.21,
11739.59,143.97,
11740.09,146.79999999999998,
11740.59,140.76999999999998,
11741.09,130.14,
11741.59,119.78,
11742.09,115.64,
11742.59,117.8,
11743.09,120.84,
11743.59,120.54,
11744.09,116.59,
11744.59,114.96000000000001,
11745.09,119.58,
11745.59,126.48,
11746.09,128.09,
11746.59,127.15,
11747.09,126.35000000000001,
11747.59,125.06,
11748.09,124.72,
11748.59,123.75,
11749.09,121.34,
11749.59,118.98,
11750.09,118.62,
11750.59,122.03,
11751.09,123.21000000000001,
11751.59,120.76,
11752.09,118.0,
11752.59,116.91,
11753.09,117.34,
11753.59,118.12,
11754.09,118.38000000000001,
11754.59,118.74000000000001,
11755.09,120.43,
11755.59,123.88000000000001,
11756.09,127.29,
11756.59,125.57000000000001,
11757.09,123.78,
11757.59,125.93,
11758.09,125.34,
11758.59,124.16,
11759.09,125.5,
11759.59,124.58,
11760.09,121.28,
11760.59,119.79,
11761.09,120.08,
11761.59,117.71000000000001,
11762.09,117.05,
11762.59,119.8,
11763.09,119.29,
11763.59,119.43,
11764.09,120.57000000000001,
11764.59,119.21000000000001,
11765.09,120.85000000000001,
11765.59,124.29,
11766.09,124.44,
11766.59,124.24000000000001,
11767.09,123.95,
11767.59,120.74000000000001,
11768.09,115.02,
11768.59,111.9,
11769.09,112.12,
11769.59,113.66,
11770.09,113.85000000000001,
11770.59,113.79,
11771.09,112.57000000000001,
11771.59,111.44,
11772.09,111.64,
11772.59,112.08,
11773.09,114.35000000000001,
11773.59,117.32000000000001,
11774.09,119.14,
11774.59,120.63000000000001,
11775.09,119.08,
11775.59,118.66,
11776.09,119.93,
11776.59,119.96000000000001,
11777.09,119.89,
11777.59,118.27,
11778.09,117.42,
11778.59,117.46000000000001,
11779.09,118.78,
11779.59,121.44,
11780.09,121.67,
11780.59,124.71000000000001,
11781.09,128.07999999999998,
11781.59,128.51,
11782.09,127.65,
11782.59,124.41,
11783.09,121.01,
11783.59,121.05,
11784.09,122.38000000000001,
11784.59,118.77,
11785.09,113.23,
11785.59,108.92,
11786.09,107.46000000000001,
11786.59,109.94,
11787.09,111.28,
11787.59,110.92,
11788.09,111.55,
11788.59,111.27,
11789.09,109.79,
11789.59,111.53,
11790.09,116.16,
11790.59,118.63000000000001,
11791.09,117.96000000000001,
11791.59,117.31,
11792.09,118.37,
11792.59,118.86,
11793.09,117.98,
11793.59,116.98,
11794.09,119.23,
11794.59,124.11,
11795.09,128.06,
11795.59,128.16,
11796.09,123.14,
11796.59,117.97,
11797.09,116.25,
11797.59,118.37,
11798.09,119.60000000000001,
11798.59,116.69,
11799.09,116.02,
11799.59,117.12,
11800.09,115.95,
11800.59,115.31,
11801.09,114.7,
11801.59,112.21000000000001,
11802.09,110.19,
11802.59,108.43,
11803.08,108.94,
11803.58,110.58,
11804.08,111.13000000000001,
11804.58,109.86,
11805.08,108.46000000000001,
11805.58,109.34,
11806.08,110.53,
11806.58,111.21000000000001,
11807.08,112.09,
11807.58,112.03,
11808.08,111.48,
11808.58,113.85000000000001,
11809.08,116.35000000000001,
11809.58,115.62,
11810.08,113.99000000000001,
11810.58,115.98,
11811.08,121.27,
11811.58,122.87,
11812.08,123.11,
11812.58,126.48,
11813.08,128.97,
11813.58,127.94,
11814.08,128.01,
11814.58,127.35000000000001,
11815.08,127.12,
11815.58,125.38000000000001,
11816.08,119.32000000000001,
11816.58,112.58,
11817.08,110.11,
11817.58,110.54,
11818.08,110.12,
11818.58,108.5,
11819.08,105.44,
11819.58,106.69,
11820.08,109.94,
11820.58,112.02,
11821.08,116.27,
11821.58,121.59,
11822.08,125.69,
11822.58,122.92,
11823.08,112.8,
11823.58,106.16,
11824.08,106.71000000000001,
11824.58,110.0,
11825.08,115.17,
11825.58,118.58,
11826.08,119.39,
11826.58,120.78,
11827.08,122.3,
11827.58,122.61,
11828.08,122.38000000000001,
11828.58,120.79,
11829.08,115.43,
11829.58,111.06,
11830.08,109.97,
11830.58,109.42,
11831.08,109.75,
11831.58,110.04,
11832.08,110.25,
11832.58,113.32000000000001,
11833.08,115.54,
11833.58,114.21000000000001,
11834.08,114.72,
11834.58,116.24000000000001,
11835.08,113.81,
11835.58,112.09,
11836.08,112.95,
11836.58,113.01,
11837.08,111.03,
11837.58,110.66,
11838.08,112.48,
11838.58,116.06,
11839.08,122.49000000000001,
11839.58,124.69,
11840.08,122.52,
11840.58,122.39,
11841.08,123.47,
11841.58,124.01,
11842.08,124.59,
11842.58,124.53,
11843.08,129.69,
11843.58,138.91,
11844.08,151.31,
11844.58,168.19,
11845.08,160.95,
11845.58,126.41,
11846.08,106.03,
11846.58,103.04,
11847.08,103.51,
11847.58,105.09,
11848.08,106.55,
11848.58,109.13000000000001,
11849.08,112.24000000000001,
11849.58,112.60000000000001,
11850.08,110.59,
11850.58,108.84,
11851.070000000002,108.03,
11851.570000000002,107.94,
11852.070000000002,108.78,
11852.570000000002,109.29,
11853.070000000002,110.31,
11853.570000000002,110.72,
11854.070000000002,110.72,
11854.570000000002,112.76,
11855.070000000002,114.18,
11855.570000000002,113.63000000000001,
11856.070000000002,112.69,
11856.570000000002,111.86,
11857.070000000002,111.68,
11857.570000000002,113.33,
11858.070000000002,114.85000000000001,
11858.570000000002,114.01,
11859.070000000002,111.49000000000001,
11859.570000000002,108.99000000000001,
11860.070000000002,110.31,
11860.570000000002,114.57000000000001,
11861.070000000002,119.86,
11861.570000000002,127.91,
11862.070000000002,144.42,
11862.570000000002,143.25,
11863.070000000002,124.46000000000001,
11863.570000000002,111.72,
11864.070000000002,109.08,
11864.570000000002,111.17,
11865.070000000002,111.15,
11865.570000000002,110.07000000000001,
11866.070000000002,109.68,
11866.570000000002,108.48,
11867.070000000002,111.53,
11867.570000000002,116.33,
11868.070000000002,116.16,
11868.570000000002,116.27,
11869.070000000002,120.99000000000001,
11869.570000000002,124.5,
11870.070000000002,125.59,
11870.570000000002,128.25,
11871.070000000002,134.18,
11871.570000000002,134.99,
11872.070000000002,125.57000000000001,
11872.570000000002,115.04,
11873.070000000002,111.51,
11873.570000000002,112.39,
11874.070000000002,111.63000000000001,
11874.570000000002,108.47,
11875.070000000002,105.27,
11875.570000000002,105.05,
11876.070000000002,106.17,
11876.570000000002,104.26,
11877.070000000002,101.96000000000001,
11877.570000000002,103.89,
11878.070000000002,106.18,
11878.570000000002,106.21000000000001,
11879.070000000002,105.17,
11879.570000000002,106.17,
11880.070000000002,108.84,
11880.570000000002,107.9,
11881.070000000002,107.83,
11881.570000000002,109.78,
11882.070000000002,109.79,
11882.570000000002,109.05,
11883.060000000001,109.17,
11883.560000000001,111.98,
11884.060000000001,112.3,
11884.560000000001,108.19,
11885.060000000001,106.91,
11885.560000000001,109.23,
11886.060000000001,111.06,
11886.560000000001,108.44,
11887.060000000001,103.99000000000001,
11887.560000000001,101.98,
11888.060000000001,104.46000000000001,
11888.560000000001,106.42,
11889.060000000001,107.51,
11889.560000000001,110.01,
11890.060000000001,107.91,
11890.560000000001,104.41,
11891.060000000001,105.52,
11891.560000000001,109.77,
11892.060000000001,108.95,
11892.560000000001,104.76,
11893.060000000001,104.65,
11893.560000000001,105.55,
11894.060000000001,107.15,
11894.560000000001,110.28,
11895.060000000001,113.22,
11895.560000000001,115.47,
11896.060000000001,113.91,
11896.560000000001,110.81,
11897.060000000001,110.58,
11897.560000000001,111.81,
11898.060000000001,112.35000000000001,
11898.560000000001,111.18,
11899.060000000001,110.01,
11899.560000000001,110.52,
11900.060000000001,110.8,
11900.560000000001,111.0,
11901.060000000001,111.94,
11901.560000000001,112.86,
11902.060000000001,110.92,
11902.560000000001,105.74000000000001,
11903.060000000001,105.10000000000001,
11903.560000000001,108.07000000000001,
11904.060000000001,108.66,
11904.560000000001,107.7,
11905.060000000001,108.77,
11905.560000000001,108.75,
11906.060000000001,108.42,
11906.560000000001,111.43,
11907.060000000001,113.82000000000001,
11907.560000000001,112.3,
11908.060000000001,113.41,
11908.550000000001,115.96000000000001,
11909.050000000001,113.07000000000001,
11909.550000000001,109.74000000000001,
11910.050000000001,112.35000000000001,
11910.550000000001,120.3,
11911.050000000001,135.10999999999999,
11911.550000000001,148.64,
11912.050000000001,147.14,
11912.550000000001,137.07,
11913.050000000001,124.13000000000001,
11913.550000000001,113.75,
11914.050000000001,112.83,
11914.550000000001,113.58,
11915.050000000001,114.42,
11915.550000000001,116.3,
11916.050000000001,117.98,
11916.550000000001,121.92,
11917.050000000001,125.69,
11917.550000000001,127.35000000000001,
11918.050000000001,125.91,
11918.550000000001,118.14,
11919.050000000001,108.65,
11919.550000000001,105.33,
11920.050000000001,114.9,
11920.550000000001,139.69,
11921.050000000001,172.19,
11921.550000000001,187.95,
11922.050000000001,166.14,
11922.550000000001,132.12,
11923.050000000001,113.46000000000001,
11923.550000000001,111.16,
11924.050000000001,120.42,
11924.550000000001,131.51,
11925.050000000001,141.36999999999998,
11925.550000000001,140.94,
11926.050000000001,127.09,
11926.550000000001,116.55,
11927.050000000001,113.82000000000001,
11927.550000000001,114.8,
11928.050000000001,114.44,
11928.550000000001,114.23,
11929.050000000001,114.49000000000001,
11929.54,113.93,
11930.04,114.28,
11930.54,116.93,
11931.04,119.64,
11931.54,117.5,
11932.04,111.02,
11932.54,105.65,
11933.04,103.63000000000001,
11933.54,103.02,
11934.04,102.8,
11934.54,102.36,
11935.04,102.23,
11935.54,104.93,
11936.04,114.29,
11936.54,124.75,
11937.04,128.42,
11937.54,131.01,
11938.04,133.79,
11938.54,129.04999999999998,
11939.04,119.43,
11939.54,113.35000000000001,
11940.04,110.12,
11940.54,106.91,
11941.04,106.83,
11941.54,107.87,
11942.04,108.64,
11942.54,108.79,
11943.04,107.69,
11943.54,106.78,
11944.04,107.0,
11944.54,112.52,
11945.04,118.95,
11945.54,120.38000000000001,
11946.04,118.83,
11946.54,116.94,
11947.04,117.5,
11947.54,118.32000000000001,
11948.04,116.93,
11948.53,117.38000000000001,
11949.03,119.4,
11949.53,116.23,
11950.03,110.22,
11950.53,107.76,
11951.03,108.2,
11951.53,108.28,
11952.03,108.91,
11952.53,110.2,
11953.03,112.28,
11953.53,115.52,
11954.03,116.84,
11954.53,117.13000000000001,
11955.03,117.9,
11955.53,117.45,
11956.03,115.11,
11956.53,114.08,
11957.03,114.5,
11957.53,113.49000000000001,
11958.03,115.21000000000001,
11958.53,114.57000000000001,
11959.03,106.77,
11959.53,104.75,
11960.03,107.29,
11960.53,106.18,
11961.03,103.60000000000001,
11961.53,102.67,
11962.03,104.18,
11962.53,104.77,
11963.03,104.75,
11963.53,108.87,
11964.03,114.42,
11964.53,116.53,
11965.03,113.38000000000001,
11965.53,107.08,
11966.03,104.36,
11966.53,106.78,
11967.03,111.53,
11967.53,118.14,
11968.02,128.14,
11968.52,138.78,
11969.02,134.21,
11969.52,119.10000000000001,
11970.02,110.57000000000001,
11970.52,109.10000000000001,
11971.02,110.67,
11971.52,112.72,
11972.02,114.21000000000001,
11972.52,116.04,
11973.02,123.60000000000001,
11973.52,128.07,
11974.02,127.36,
11974.52,129.10999999999999,
11975.02,129.26,
11975.52,125.09,
11976.02,119.97,
11976.52,117.08,
11977.02,129.07,
11977.52,149.14,
11978.02,150.5,
11978.52,135.0,
11979.02,119.92,
11979.52,117.74000000000001,
11980.02,124.52,
11980.52,129.49,
11981.02,134.97,
11981.52,140.5,
11982.02,150.26,
11982.52,162.01999999999998,
11983.02,162.35999999999999,
11983.52,144.75,
11984.02,117.23,
11984.52,101.10000000000001,
11985.02,98.72,
11985.52,99.87,
11986.02,98.28,
