MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11342.0,3011252.11,1115565.42,-9134.08,-9195.02,-9341.31,-9422.9,-9539.71,-9587.01,-9702.96,11512.7,142.8543326931522,11512.7
11343.0,3011252.12,1115565.69,-9135.04,-9194.47,-9340.76,-9422.35,-9539.16,-9586.45,-9702.41,11514.21,113.08651151960646,11514.21
11344.0,3011252.14,1115565.96,-9136.0,-9193.92,-9340.21,-9421.8,-9538.61,-9585.9,-9701.86,11515.72,90.13876161708892,11515.72
11345.0,3011252.16,1115566.24,-9136.96,-9193.36,-9339.65,-9421.24,-9538.05,-9585.35,-9701.3,11517.23,79.803095060995,11517.23
11346.0,3011252.18,1115566.52,-9137.92,-9192.81,-9339.1,-9420.69,-9537.5,-9584.8,-9700.75,11518.740000000002,90.13876161708892,11518.740000000002
11347.0,3011252.2,1115566.81,-9138.88,-9192.26,-9338.55,-9420.14,-9536.95,-9584.25,-9700.2,11520.25,89.13823972133915,11520.25
11348.0,3011252.22,1115567.09,-9139.84,-9191.71,-9338.0,-9419.59,-9536.4,-9583.69,-9699.65,11521.76,90.39577641599712,11521.76
11349.0,3011252.24,1115567.38,-9140.79,-9191.16,-9337.45,-9419.04,-9535.84,-9583.14,-9699.1,11523.27,88.30294162488751,11523.27
11350.0,3011252.26,1115567.67,-9141.75,-9190.6,-9336.89,-9418.48,-9535.29,-9582.59,-9698.54,11524.78,,11524.78
11351.0,3011252.29,1115567.96,-9142.71,-9190.05,-9336.34,-9417.93,-9534.74,-9582.04,-9697.99,11526.29,98.96905577957769,11526.29
11352.0,3011252.31,1115568.26,-9143.66,-9189.5,-9335.79,-9417.38,-9534.19,-9581.49,-9697.44,11527.8,95.84816179283528,11527.8
11353.0,3011252.33,1115568.55,-9144.62,-9188.92,-9335.21,-9416.8,-9533.61,-9580.91,-9696.86,11529.33,94.72831159759242,11529.33
