MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10146.0,2949700.38,1079453.02,-7951.57,-8191.030000000001,-8334.83,-8414.23,-8512.58,-8551.33,-8661.23,10326.79,,10326.79
10147.0,2949700.38,1079453.03,-7952.57,-8191.01,-8334.81,-8414.21,-8512.56,-8551.31,-8661.21,10327.81,110.826302717695,10327.81
10148.0,2949700.37,1079453.03,-7953.57,-8191.0,-8334.8,-8414.2,-8512.54,-8551.29,-8661.2,10328.83,,10328.83
10149.0,2949700.37,1079453.04,-7954.57,-8190.98,-8334.78,-8414.18,-8512.52,-8551.27,-8661.18,10329.84,,10329.84
10150.0,2949700.37,1079453.04,-7955.57,-8190.959999999999,-8334.76,-8414.16,-8512.5,-8551.25,-8661.16,10330.86,125.21083758370852,10330.86
10151.0,2949700.36,1079453.05,-7956.57,-8190.94,-8334.74,-8414.14,-8512.48,-8551.24,-8661.14,10331.88,120.41599262837067,10331.88
10152.0,2949700.36,1079453.05,-7957.57,-8190.92,-8334.72,-8414.12,-8512.47,-8551.22,-8661.12,10332.9,121.28778262025028,10332.9
10153.0,2949700.36,1079453.06,-7958.57,-8190.9,-8334.7,-8414.1,-8512.45,-8551.2,-8661.1,10333.92,,10333.92
10154.0,2949700.35,1079453.06,-7959.57,-8190.879999999999,-8334.68,-8414.08,-8512.43,-8551.18,-8661.08,10334.94,123.24931010197942,10334.94
10155.0,2949700.35,1079453.07,-7960.57,-8190.870000000001,-8334.67,-8414.07,-8512.41,-8551.16,-8661.07,10335.96,126.8454438184828,10335.96
10156.0,2949700.35,1079453.08,-7961.57,-8190.85,-8334.65,-8414.05,-8512.39,-8551.14,-8661.05,10336.97,129.2428662961517,10336.97
10157.0,2949700.34,1079453.08,-7962.57,-8190.83,-8334.63,-8414.03,-8512.38,-8551.13,-8661.03,10337.990000000002,127.60826006137744,10337.990000000002
10158.0,2949700.34,1079453.09,-7963.57,-8190.809999999999,-8334.61,-8414.01,-8512.36,-8551.11,-8661.01,10339.01,130.06016941353886,10339.01
10159.0,2949700.33,1079453.09,-7964.57,-8190.799999999999,-8334.6,-8414.0,-8512.34,-8551.09,-8661.0,10340.03,118.8903601425814,10340.03
10160.0,2949700.33,1079453.1,-7965.57,-8190.780000000001,-8334.58,-8413.98,-8512.32,-8551.07,-8660.98,10341.04,126.5948041958174,10341.04
10161.0,2949700.33,1079453.1,-7966.57,-8190.76,-8334.56,-8413.96,-8512.3,-8551.06,-8660.96,10342.06,,10342.06
10162.0,2949700.32,1079453.11,-7967.57,-8190.74,-8334.54,-8413.94,-8512.29,-8551.04,-8660.94,10343.08,119.27176826402872,10343.08
10163.0,2949700.32,1079453.11,-7968.57,-8190.719999999999,-8334.52,-8413.92,-8512.27,-8551.02,-8660.92,10344.1,122.8134151060396,10344.1
10164.0,2949700.31,1079453.12,-7969.57,-8190.709999999999,-8334.51,-8413.91,-8512.25,-8551.0,-8660.91,10345.11,120.47047950286316,10345.11
10165.0,2949700.31,1079453.12,-7970.57,-8190.69,-8334.49,-8413.89,-8512.24,-8550.99,-8660.89,10346.13,118.01857015070176,10346.13
10166.0,2949700.3,1079453.13,-7971.57,-8190.67,-8334.47,-8413.87,-8512.22,-8550.97,-8660.87,10347.15,118.8903601425814,10347.15
10167.0,2949700.3,1079453.14,-7972.57,-8190.66,-8334.46,-8413.86,-8512.2,-8550.95,-8660.86,10348.16,114.04102831275108,10348.16
10168.0,2949700.3,1079453.14,-7973.57,-8190.639999999999,-8334.44,-8413.84,-8512.19,-8550.94,-8660.84,10349.18,114.8583314301382,10349.18
10169.0,2949700.29,1079453.15,-7974.57,-8190.629999999999,-8334.43,-8413.83,-8512.17,-8550.92,-8660.83,10350.2,,10350.2
10170.0,2949700.29,1079453.15,-7975.57,-8190.610000000001,-8334.41,-8413.81,-8512.15,-8550.91,-8660.81,10351.21,110.826302717695,10351.21
10171.0,2949700.28,1079453.16,-7976.57,-8190.59,-8334.39,-8413.79,-8512.14,-8550.89,-8660.79,10352.23,,10352.23
10172.0,2949700.28,1079453.17,-7977.57,-8190.58,-8334.38,-8413.78,-8512.12,-8550.87,-8660.78,10353.240000000002,124.88391633675369,10353.240000000002
10173.0,2949700.27,1079453.17,-7978.57,-8190.559999999999,-8334.36,-8413.76,-8512.1,-8550.86,-8660.76,10354.26,128.48005005325706,10354.26
10174.0,2949700.27,1079453.18,-7979.57,-8190.540000000001,-8334.34,-8413.74,-8512.09,-8550.84,-8660.74,10355.28,122.05059886314496,10355.28
10175.0,2949700.26,1079453.18,-7980.57,-8190.530000000001,-8334.33,-8413.73,-8512.07,-8550.82,-8660.73,10356.29,123.6852050979192,10356.29
10176.0,2949700.25,1079453.19,-7981.57,-8190.51,-8334.31,-8413.71,-8512.06,-8550.81,-8660.71,10357.31,124.66596883878375,10357.31
