MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10450.0,2918025.57,1045733.64,-8421.7,-8579.8,-8769.89,-8845.14,-8924.97,-8971.19,-9087.76,10402.52,,10402.52
10451.0,2918025.57,1045733.65,-8422.7,-8579.96,-8770.05,-8845.3,-8925.13,-8971.35,-9087.92,10403.37,84.2937409294822,10403.37
10452.0,2918025.57,1045733.67,-8423.7,-8580.11,-8770.2,-8845.45,-8925.28,-8971.5,-9088.08,10404.21,87.78078021232736,10404.21
10453.0,2918025.57,1045733.68,-8424.7,-8580.27,-8770.36,-8845.61,-8925.44,-8971.66,-9088.23,10405.06,90.90872059883615,10405.06
10454.0,2918025.57,1045733.69,-8425.7,-8580.43,-8770.51,-8845.76,-8925.59,-8971.81,-9088.39,10405.9,,10405.9
10455.0,2918025.57,1045733.7,-8426.7,-8580.58,-8770.67,-8845.92,-8925.75,-8971.97,-9088.54,10406.740000000002,,10406.740000000002
10456.0,2918025.57,1045733.71,-8427.7,-8580.74,-8770.83,-8846.08,-8925.91,-8972.12,-9088.7,10407.59,80.9862510948052,10407.59
10457.0,2918025.58,1045733.72,-8428.7,-8580.89,-8770.98,-8846.23,-8926.06,-8972.28,-9088.86,10408.43,,10408.43
10458.0,2918025.58,1045733.73,-8429.7,-8581.05,-8771.14,-8846.39,-8926.22,-8972.44,-9089.01,10409.28,,10409.28
10459.0,2918025.58,1045733.74,-8430.7,-8581.2,-8771.29,-8846.54,-8926.37,-8972.59,-9089.17,10410.12,94.21621043351315,10410.12
10460.0,2918025.58,1045733.75,-8431.7,-8581.36,-8771.45,-8846.7,-8926.53,-8972.75,-9089.32,10410.96,,10410.96
10461.0,2918025.58,1045733.76,-8432.7,-8581.52,-8771.61,-8846.86,-8926.69,-8972.91,-9089.48,10411.81,90.90872059883615,10411.81
10462.0,2918025.58,1045733.77,-8433.7,-8581.68,-8771.77,-8847.02,-8926.85,-8973.07,-9089.64,10412.65,,10412.65
10463.0,2918025.58,1045733.78,-8434.7,-8581.84,-8771.93,-8847.18,-8927.01,-8973.23,-9089.8,10413.490000000002,,10413.490000000002
10464.0,2918025.58,1045733.79,-8435.7,-8582.0,-8772.09,-8847.34,-8927.17,-8973.39,-9089.96,10414.33,97.52370026819015,10414.33
10465.0,2918025.58,1045733.8,-8436.7,-8582.16,-8772.25,-8847.5,-8927.33,-8973.55,-9090.12,10415.17,100.83119010286715,10415.17
10466.0,2918025.58,1045733.81,-8437.7,-8582.32,-8772.41,-8847.66,-8927.49,-8973.71,-9090.28,10416.01,,10416.01
10467.0,2918025.58,1045733.82,-8438.7,-8582.48,-8772.57,-8847.82,-8927.65,-8973.87,-9090.44,10416.85,97.52370026819015,10416.85
10468.0,2918025.58,1045733.83,-8439.7,-8582.64,-8772.73,-8847.98,-8927.81,-8974.03,-9090.6,10417.69,,10417.69
10469.0,2918025.58,1045733.85,-8440.7,-8582.8,-8772.89,-8848.14,-8927.97,-8974.19,-9090.76,10418.53,110.75365960689813,10418.53
10470.0,2918025.58,1045733.86,-8441.7,-8582.96,-8773.05,-8848.3,-8928.13,-8974.34,-9090.92,10419.37,,10419.37
10471.0,2918025.58,1045733.87,-8442.7,-8583.12,-8773.21,-8848.46,-8928.29,-8974.51,-9091.08,10420.2,96.04950479901984,10420.2
10472.0,2918025.58,1045733.88,-8443.7,-8583.28,-8773.37,-8848.62,-8928.45,-8974.67,-9091.25,10421.04,,10421.04
10473.0,2918025.58,1045733.89,-8444.7,-8583.45,-8773.54,-8848.79,-8928.61,-8974.83,-9091.41,10421.88,94.21621043351315,10421.88
10474.0,2918025.58,1045733.9,-8445.7,-8583.61,-8773.7,-8848.95,-8928.78,-8975.0,-9091.57,10422.71,,10422.71
10475.0,2918025.58,1045733.91,-8446.7,-8583.77,-8773.86,-8849.11,-8928.94,-8975.16,-9091.74,10423.55,97.52370026819015,10423.55
10476.0,2918025.58,1045733.92,-8447.7,-8583.94,-8774.03,-8849.28,-8929.1,-8975.32,-9091.9,10424.39,,10424.39
10477.0,2918025.58,1045733.93,-8448.7,-8584.1,-8774.19,-8849.44,-8929.27,-8975.49,-9092.06,10425.22,100.83119010286715,10425.22
10478.0,2918025.58,1045733.94,-8449.7,-8584.26,-8774.35,-8849.6,-8929.43,-8975.65,-9092.23,10426.06,,10426.06
