MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11396.0,2991441.28,1072260.99,-9126.98,-9483.17,-9651.91,-9686.1,-9741.29,-9775.87,-9923.82,11851.88,,11851.88
11397.0,2991441.25,1072260.99,-9127.98,-9483.17,-9651.91,-9686.1,-9741.29,-9775.87,-9923.82,11852.88,97.30630917466527,11852.88
11398.0,2991441.23,1072260.99,-9128.98,-9483.17,-9651.91,-9686.1,-9741.29,-9775.87,-9923.82,11853.88,103.17749730587845,11853.88
11399.0,2991441.21,1072261.0,-9129.98,-9483.17,-9651.91,-9686.1,-9741.29,-9775.87,-9923.82,11854.88,,11854.88
11400.0,2991441.18,1072261.0,-9130.98,-9483.17,-9651.91,-9686.1,-9741.29,-9775.87,-9923.82,11855.88,,11855.88
11401.0,2991441.16,1072261.0,-9131.98,-9483.16,-9651.9,-9686.09,-9741.28,-9775.86,-9923.81,11856.88,94.3707151090587,11856.88
11402.0,2991441.14,1072261.01,-9132.98,-9483.16,-9651.9,-9686.09,-9741.28,-9775.86,-9923.81,11857.88,98.77410620746858,11857.88
11403.0,2991441.11,1072261.01,-9133.98,-9483.16,-9651.9,-9686.09,-9741.28,-9775.86,-9923.81,11858.88,89.96732401064882,11858.88
11404.0,2991441.09,1072261.01,-9134.98,-9483.16,-9651.9,-9686.09,-9741.28,-9775.86,-9923.81,11859.88,,11859.88
11405.0,2991441.06,1072261.02,-9135.97,-9483.16,-9651.9,-9686.09,-9741.28,-9775.86,-9923.81,11860.88,97.69484368334852,11860.88
11406.0,2991441.04,1072261.02,-9136.97,-9483.16,-9651.9,-9686.09,-9741.28,-9775.86,-9923.81,11861.89,107.58088840428832,11861.89
11407.0,2991441.02,1072261.03,-9137.97,-9483.16,-9651.9,-9686.09,-9741.28,-9775.86,-9923.81,11862.89,,11862.89
11408.0,2991440.99,1072261.03,-9138.97,-9483.16,-9651.9,-9686.09,-9741.28,-9775.86,-9923.81,11863.89,,11863.89
11409.0,2991440.97,1072261.03,-9139.97,-9483.16,-9651.9,-9686.09,-9741.28,-9775.86,-9923.81,11864.89,89.96732401064882,11864.89
11410.0,2991440.95,1072261.04,-9140.97,-9483.15,-9651.89,-9686.08,-9741.27,-9775.85,-9923.8,11865.89,94.3707151090587,11865.89
11411.0,2991440.92,1072261.04,-9141.97,-9483.15,-9651.89,-9686.08,-9741.27,-9775.85,-9923.8,11866.89,,11866.89
11412.0,2991440.9,1072261.05,-9142.97,-9483.15,-9651.89,-9686.08,-9741.27,-9775.85,-9923.8,11867.89,89.96732401064882,11867.89
11413.0,2991440.87,1072261.05,-9143.97,-9483.15,-9651.89,-9686.08,-9741.27,-9775.85,-9923.8,11868.89,,11868.89
11414.0,2991440.85,1072261.05,-9144.97,-9483.15,-9651.89,-9686.08,-9741.27,-9775.85,-9923.8,11869.89,,11869.89
11415.0,2991440.83,1072261.06,-9145.97,-9483.15,-9651.89,-9686.08,-9741.27,-9775.85,-9923.8,11870.9,,11870.9
11416.0,2991440.8,1072261.06,-9146.97,-9483.15,-9651.89,-9686.08,-9741.27,-9775.85,-9923.8,11871.9,103.17749730587845,11871.9
11417.0,2991440.78,1072261.07,-9147.97,-9483.14,-9651.88,-9686.07,-9741.26,-9775.84,-9923.79,11872.9,,11872.9
11418.0,2991440.75,1072261.07,-9148.97,-9483.14,-9651.88,-9686.07,-9741.26,-9775.84,-9923.79,11873.9,89.96732401064882,11873.9
11419.0,2991440.73,1072261.07,-9149.97,-9483.14,-9651.88,-9686.07,-9741.26,-9775.84,-9923.79,11874.9,94.3707151090587,11874.9
11420.0,2991440.7,1072261.08,-9150.97,-9483.14,-9651.88,-9686.07,-9741.26,-9775.84,-9923.79,11875.9,,11875.9
11421.0,2991440.68,1072261.08,-9151.97,-9483.14,-9651.88,-9686.07,-9741.26,-9775.84,-9923.79,11876.9,91.04658653476888,11876.9
11422.0,2991440.66,1072261.09,-9152.97,-9483.13,-9651.87,-9686.06,-9741.25,-9775.83,-9923.78,11877.9,94.05125340191915,11877.9
11423.0,2991440.63,1072261.09,-9153.97,-9483.13,-9651.87,-9686.06,-9741.25,-9775.83,-9923.78,11878.91,,11878.91
