MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11039.0,3000034.39,1095287.97,-8863.37,-9357.41,-9495.97,-9570.91,-9699.87,-9741.6,-9858.32,10956.5,131.43656644149073,10956.5
11040.0,3000034.39,1095287.97,-8864.37,-9357.38,-9495.94,-9570.88,-9699.84,-9741.57,-9858.29,10957.52,137.62472870333116,10957.52
11041.0,3000034.38,1095287.97,-8865.37,-9357.35,-9495.91,-9570.85,-9699.81,-9741.54,-9858.26,10958.55,,10958.55
11042.0,3000034.38,1095287.98,-8866.37,-9357.33,-9495.88,-9570.82,-9699.78,-9741.51,-9858.23,10959.58,134.25836843288997,10959.58
11043.0,3000034.38,1095287.98,-8867.37,-9357.29,-9495.85,-9570.79,-9699.75,-9741.48,-9858.2,10960.61,,10960.61
11044.0,3000034.38,1095287.99,-8868.37,-9357.26,-9495.81,-9570.76,-9699.71,-9741.45,-9858.17,10961.65,124.01077172728222,10961.65
11045.0,3000034.38,1095287.99,-8869.37,-9357.22,-9495.78,-9570.72,-9699.68,-9741.41,-9858.13,10962.68,,10962.68
11046.0,3000034.38,1095287.99,-8870.37,-9357.19,-9495.75,-9570.69,-9699.65,-9741.38,-9858.1,10963.72,,10963.72
11047.0,3000034.37,1095288.0,-8871.37,-9357.16,-9495.71,-9570.65,-9699.61,-9741.34,-9858.07,10964.75,131.43656644149073,10964.75
11048.0,3000034.37,1095288.0,-8872.37,-9357.12,-9495.68,-9570.62,-9699.58,-9741.31,-9858.03,10965.78,,10965.78
11049.0,3000034.37,1095288.01,-8873.37,-9357.09,-9495.64,-9570.59,-9699.54,-9741.28,-9858.0,10966.820000000002,,10966.820000000002
11050.0,3000034.37,1095288.01,-8874.37,-9357.06,-9495.61,-9570.55,-9699.51,-9741.24,-9857.96,10967.85,,10967.85
11051.0,3000034.37,1095288.01,-8875.37,-9357.02,-9495.58,-9570.52,-9699.48,-9741.21,-9857.93,10968.89,129.17169905365714,10968.89
11052.0,3000034.36,1095288.02,-8876.37,-9356.99,-9495.54,-9570.48,-9699.44,-9741.17,-9857.9,10969.92,127.72366908438649,10969.92
11053.0,3000034.36,1095288.02,-8877.37,-9356.95,-9495.5,-9570.44,-9699.4,-9741.13,-9857.86,10970.96,,10970.96
11054.0,3000034.36,1095288.03,-8878.37,-9356.91,-9495.46,-9570.41,-9699.36,-9741.1,-9857.82,10972.0,127.92169027676536,10972.0
11055.0,3000034.36,1095288.03,-8879.37,-9356.87,-9495.42,-9570.37,-9699.32,-9741.06,-9857.78,10973.04,,10973.04
11056.0,3000034.36,1095288.04,-8880.37,-9356.83,-9495.38,-9570.33,-9699.28,-9741.02,-9857.74,10974.08,,10974.08
