MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10133.0,2992523.81,1121590.61,-8017.09,-8322.13,-8433.54,-8523.77,-8684.61,-8736.38,-8831.66,10136.04,,10136.04
10134.0,2992523.8,1121590.6,-8018.09,-8322.13,-8433.54,-8523.77,-8684.61,-8736.38,-8831.66,10137.04,,10137.04
10135.0,2992523.8,1121590.59,-8019.09,-8322.13,-8433.54,-8523.77,-8684.6,-8736.38,-8831.66,10138.04,,10138.04
10136.0,2992523.79,1121590.57,-8020.09,-8322.13,-8433.54,-8523.77,-8684.6,-8736.38,-8831.66,10139.04,136.30235182486857,10139.04
10137.0,2992523.79,1121590.56,-8021.09,-8322.13,-8433.54,-8523.76,-8684.6,-8736.38,-8831.66,10140.04,,10140.04
10138.0,2992523.79,1121590.55,-8022.09,-8322.13,-8433.54,-8523.76,-8684.6,-8736.38,-8831.66,10141.04,129.4790308066584,10141.04
10139.0,2992523.78,1121590.54,-8023.09,-8322.13,-8433.54,-8523.76,-8684.6,-8736.38,-8831.66,10142.04,,10142.04
10140.0,2992523.78,1121590.53,-8024.09,-8322.13,-8433.54,-8523.76,-8684.6,-8736.38,-8831.66,10143.04,132.89551686103803,10143.04
10141.0,2992523.77,1121590.52,-8025.09,-8322.13,-8433.54,-8523.76,-8684.6,-8736.38,-8831.66,10144.04,,10144.04
10142.0,2992523.77,1121590.51,-8026.09,-8322.13,-8433.54,-8523.76,-8684.6,-8736.38,-8831.66,10145.04,,10145.04
10143.0,2992523.76,1121590.49,-8027.09,-8322.13,-8433.54,-8523.76,-8684.6,-8736.38,-8831.66,10146.04,146.58076325965476,10146.04
10144.0,2992523.76,1121590.48,-8028.09,-8322.13,-8433.54,-8523.76,-8684.6,-8736.38,-8831.66,10147.04,147.01506233436402,10147.04
10145.0,2992523.75,1121590.47,-8029.09,-8322.13,-8433.54,-8523.76,-8684.6,-8736.38,-8831.66,10148.04,,10148.04
10146.0,2992523.75,1121590.46,-8030.09,-8322.13,-8433.54,-8523.76,-8684.6,-8736.38,-8831.66,10149.04,148.72330536155383,10149.04
10147.0,2992523.75,1121590.45,-8031.09,-8322.13,-8433.54,-8523.76,-8684.6,-8736.38,-8831.66,10150.04,,10150.04
10148.0,2992523.74,1121590.44,-8032.09,-8322.13,-8433.54,-8523.76,-8684.6,-8736.38,-8831.66,10151.04,148.29865737739365,10151.04
10149.0,2992523.74,1121590.42,-8033.09,-8322.13,-8433.54,-8523.76,-8684.6,-8736.38,-8831.66,10152.04,,10152.04
10150.0,2992523.73,1121590.41,-8034.09,-8322.13,-8433.54,-8523.76,-8684.6,-8736.38,-8831.66,10153.04,,10153.04
