MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10618.0,2902636.69,1017414.15,-8619.66,-8960.22,-9197.35,-9234.42,-9284.89,-9313.47,-9447.88,10542.23,126.60290879196414,10542.23
10619.0,2902636.68,1017414.2,-8620.66,-8960.22,-9197.35,-9234.41,-9284.88,-9313.46,-9447.88,10543.23,131.79063002024552,10543.23
10620.0,2902636.66,1017414.26,-8621.66,-8960.21,-9197.34,-9234.41,-9284.88,-9313.46,-9447.87,10544.23,139.51593480792295,10544.23
10621.0,2902636.65,1017414.31,-8622.65,-8960.21,-9197.34,-9234.4,-9284.87,-9313.45,-9447.87,10545.240000000002,136.70208207068947,10545.240000000002
10622.0,2902636.64,1017414.36,-8623.65,-8960.2,-9197.34,-9234.4,-9284.87,-9313.45,-9447.86,10546.240000000002,137.41833549471252,10546.240000000002
10623.0,2902636.63,1017414.41,-8624.65,-8960.2,-9197.33,-9234.39,-9284.87,-9313.44,-9447.86,10547.240000000002,133.83706837459718,10547.240000000002
10624.0,2902636.62,1017414.47,-8625.65,-8960.19,-9197.33,-9234.39,-9284.86,-9313.44,-9447.85,10548.25,135.4742190580785,10548.25
10625.0,2902636.61,1017414.52,-8626.65,-8960.19,-9197.32,-9234.38,-9284.86,-9313.43,-9447.85,10549.25,135.06493138720816,10549.25
10626.0,2902636.6,1017414.58,-8627.65,-8960.18,-9197.32,-9234.38,-9284.85,-9313.43,-9447.84,10550.25,134.21565947015222,10550.25
10627.0,2902636.59,1017414.63,-8628.64,-8960.18,-9197.31,-9234.38,-9284.85,-9313.42,-9447.84,10551.26,132.6092053619862,10551.26
10628.0,2902636.58,1017414.69,-8629.64,-8960.17,-9197.31,-9234.37,-9284.84,-9313.42,-9447.83,10552.26,133.17197590943292,10552.26
10629.0,2902636.57,1017414.74,-8630.64,-8960.17,-9197.3,-9234.37,-9284.84,-9313.41,-9447.83,10553.26,129.94883550132906,10553.26
10630.0,2902636.56,1017414.8,-8631.64,-8960.16,-9197.3,-9234.36,-9284.83,-9313.41,-9447.82,10554.27,130.2558012544818,10554.27
10631.0,2902636.55,1017414.85,-8632.64,-8960.16,-9197.29,-9234.35,-9284.83,-9313.4,-9447.82,10555.27,118.79574647011265,10555.27
10632.0,2902636.55,1017414.91,-8633.64,-8960.15,-9197.29,-9234.35,-9284.82,-9313.4,-9447.81,10556.27,130.05115741904666,10556.27
10633.0,2902636.54,1017414.97,-8634.64,-8960.15,-9197.28,-9234.34,-9284.82,-9313.39,-9447.81,10557.28,141.5623731622746,10557.28
10634.0,2902636.53,1017415.03,-8635.63,-8960.14,-9197.28,-9234.34,-9284.81,-9313.39,-9447.8,10558.28,122.71467591869605,10558.28
10635.0,2902636.53,1017415.08,-8636.63,-8960.14,-9197.27,-9234.33,-9284.81,-9313.38,-9447.8,10559.28,105.69854100226216,10559.28
10636.0,2902636.52,1017415.14,-8637.63,-8960.13,-9197.27,-9234.33,-9284.8,-9313.38,-9447.79,10560.29,123.29791084968625,10560.29
10637.0,2902636.52,1017415.2,-8638.63,-8960.13,-9197.26,-9234.32,-9284.8,-9313.37,-9447.79,10561.29,132.86501015628016,10561.29
10638.0,2902636.51,1017415.26,-8639.63,-8960.12,-9197.26,-9234.32,-9284.79,-9313.37,-9447.78,10562.29,137.0397443991575,10562.29
10639.0,2902636.51,1017415.32,-8640.62,-8960.12,-9197.25,-9234.31,-9284.78,-9313.36,-9447.78,10563.3,132.30223960883345,10563.3
10640.0,2902636.51,1017415.38,-8641.62,-8960.11,-9197.24,-9234.31,-9284.78,-9313.36,-9447.77,10564.3,134.60448275747902,10564.3
10641.0,2902636.5,1017415.44,-8642.62,-8960.1,-9197.24,-9234.3,-9284.77,-9313.35,-9447.77,10565.31,136.49743823525432,10565.31
10642.0,2902636.5,1017415.5,-8643.62,-8960.1,-9197.23,-9234.3,-9284.77,-9313.34,-9447.76,10566.31,127.0531252299215,10566.31
10643.0,2902636.5,1017415.56,-8644.62,-8960.09,-9197.23,-9234.29,-9284.76,-9313.34,-9447.75,10567.31,,10567.31
10644.0,2902636.5,1017415.62,-8645.62,-8960.09,-9197.22,-9234.28,-9284.76,-9313.33,-9447.75,10568.320000000002,108.7170375749308,10568.320000000002
10645.0,2902636.5,1017415.68,-8646.61,-8960.08,-9197.22,-9234.28,-9284.75,-9313.33,-9447.74,10569.320000000002,107.1822088091671,10569.320000000002
10646.0,2902636.5,1017415.75,-8647.61,-8960.08,-9197.21,-9234.27,-9284.74,-9313.32,-9447.74,10570.320000000002,114.77449510381167,10570.320000000002
10647.0,2902636.5,1017415.81,-8648.61,-8960.07,-9197.2,-9234.27,-9284.74,-9313.32,-9447.73,10571.33,112.04249990075223,10571.33
10648.0,2902636.5,1017415.87,-8649.61,-8960.06,-9197.2,-9234.26,-9284.73,-9313.31,-9447.73,10572.33,121.96772591935768,10572.33
10649.0,2902636.5,1017415.94,-8650.61,-8960.06,-9197.19,-9234.25,-9284.73,-9313.3,-9447.72,10573.34,117.51672249864288,10573.34
10650.0,2902636.5,1017416.0,-8651.6,-8960.05,-9197.19,-9234.25,-9284.72,-9313.3,-9447.71,10574.34,116.1865375683143,10574.34
10651.0,2902636.5,1017416.06,-8652.6,-8960.05,-9197.18,-9234.24,-9284.71,-9313.29,-9447.71,10575.34,117.56788345750168,10575.34
10652.0,2902636.5,1017416.13,-8653.6,-8960.04,-9197.17,-9234.24,-9284.71,-9313.28,-9447.7,10576.35,115.82841085630275,10576.35
10653.0,2902636.5,1017416.19,-8654.6,-8960.03,-9197.17,-9234.23,-9284.7,-9313.28,-9447.69,10577.35,108.2565889452017,10577.35
10654.0,2902636.51,1017416.26,-8655.6,-8960.03,-9197.16,-9234.22,-9284.7,-9313.27,-9447.69,10578.36,108.49192935595214,10578.36
10655.0,2902636.51,1017416.32,-8656.59,-8960.02,-9197.15,-9234.22,-9284.69,-9313.27,-9447.68,10579.36,98.5360067620314,10579.36
10656.0,2902636.52,1017416.39,-8657.59,-8960.01,-9197.15,-9234.21,-9284.68,-9313.26,-9447.68,10580.37,,10580.37
10657.0,2902636.52,1017416.46,-8658.59,-8960.01,-9197.14,-9234.2,-9284.68,-9313.25,-9447.67,10581.37,,10581.37
10658.0,2902636.53,1017416.52,-8659.59,-8960.0,-9197.14,-9234.2,-9284.67,-9313.25,-9447.66,10582.37,121.96772591935768,10582.37
10659.0,2902636.53,1017416.59,-8660.58,-8959.99,-9197.13,-9234.19,-9284.66,-9313.24,-9447.66,10583.38,115.6237670208676,10583.38
10660.0,2902636.54,1017416.66,-8661.58,-8959.99,-9197.12,-9234.18,-9284.66,-9313.23,-9447.65,10584.38,109.4332909989539,10584.38
10661.0,2902636.54,1017416.73,-8662.58,-8959.98,-9197.11,-9234.18,-9284.65,-9313.23,-9447.64,10585.39,,10585.39
10662.0,2902636.55,1017416.8,-8663.58,-8959.97,-9197.11,-9234.17,-9284.64,-9313.22,-9447.64,10586.39,,10586.39
10663.0,2902636.56,1017416.86,-8664.57,-8959.97,-9197.1,-9234.16,-9284.64,-9313.21,-9447.63,10587.4,,10587.4
10664.0,2902636.57,1017416.93,-8665.57,-8959.96,-9197.09,-9234.16,-9284.63,-9313.21,-9447.62,10588.4,146.1668594595658,10588.4
10665.0,2902636.57,1017417.0,-8666.57,-8959.95,-9197.09,-9234.15,-9284.62,-9313.2,-9447.61,10589.4,139.9763834376521,10589.4
10666.0,2902636.58,1017417.07,-8667.57,-8959.95,-9197.08,-9234.14,-9284.62,-9313.19,-9447.61,10590.41,128.4447033108806,10590.41
10667.0,2902636.59,1017417.14,-8668.56,-8959.94,-9197.07,-9234.14,-9284.61,-9313.19,-9447.6,10591.41,124.01416427370933,10591.41
10668.0,2902636.6,1017417.22,-8669.56,-8959.93,-9197.07,-9234.13,-9284.6,-9313.18,-9447.59,10592.42,135.57654097579606,10592.42
10669.0,2902636.61,1017417.29,-8670.56,-8959.93,-9197.06,-9234.12,-9284.59,-9313.17,-9447.59,10593.42,133.2742978271505,10593.42
10670.0,2902636.62,1017417.36,-8671.56,-8959.92,-9197.05,-9234.12,-9284.59,-9313.16,-9447.58,10594.43,135.9346676878076,10594.43
10671.0,2902636.63,1017417.43,-8672.55,-8959.91,-9197.04,-9234.11,-9284.58,-9313.16,-9447.57,10595.43,,10595.43
10672.0,2902636.65,1017417.5,-8673.55,-8959.9,-9197.04,-9234.1,-9284.57,-9313.15,-9447.56,10596.44,156.80833890219432,10596.44
10673.0,2902636.66,1017417.58,-8674.55,-8959.9,-9197.03,-9234.09,-9284.57,-9313.14,-9447.56,10597.44,155.3758320541482,10597.44
10674.0,2902636.67,1017417.65,-8675.55,-8959.89,-9197.02,-9234.09,-9284.56,-9313.13,-9447.55,10598.45,127.66705673622698,10598.45
10675.0,2902636.68,1017417.72,-8676.54,-8959.88,-9197.02,-9234.08,-9284.55,-9313.13,-9447.54,10599.45,125.9582807103434,10599.45
10676.0,2902636.7,1017417.8,-8677.54,-8959.87,-9197.01,-9234.07,-9284.54,-9313.12,-9447.54,10600.46,126.26524646349613,10600.46
10677.0,2902636.71,1017417.87,-8678.54,-8959.87,-9197.0,-9234.06,-9284.54,-9313.11,-9447.53,10601.46,131.2790204316576,10601.46
10678.0,2902636.73,1017417.95,-8679.53,-8959.86,-9196.99,-9234.06,-9284.53,-9313.1,-9447.52,10602.46,137.00904782384222,10602.46
10679.0,2902636.74,1017418.02,-8680.53,-8959.85,-9196.99,-9234.05,-9284.52,-9313.1,-9447.51,10603.47,129.84651358361148,10603.47
10680.0,2902636.76,1017418.1,-8681.53,-8959.84,-9196.98,-9234.04,-9284.51,-9313.09,-9447.5,10604.47,130.66508892535214,10604.47
10681.0,2902636.77,1017418.17,-8682.53,-8959.84,-9196.97,-9234.03,-9284.5,-9313.08,-9447.5,10605.48,132.76268823856256,10605.48
10682.0,2902636.79,1017418.25,-8683.52,-8959.83,-9196.96,-9234.02,-9284.5,-9313.07,-9447.49,10606.48,121.96772591935768,10606.48
10683.0,2902636.81,1017418.33,-8684.52,-8959.82,-9196.95,-9234.02,-9284.49,-9313.07,-9447.48,10607.490000000002,135.57654097579606,10607.490000000002
10684.0,2902636.82,1017418.4,-8685.52,-8959.81,-9196.95,-9234.01,-9284.48,-9313.06,-9447.47,10608.490000000002,134.55332179862026,10608.490000000002
10685.0,2902636.84,1017418.48,-8686.51,-8959.8,-9196.94,-9234.0,-9284.47,-9313.05,-9447.47,10609.5,116.749308115761,10609.5
10686.0,2902636.86,1017418.56,-8687.51,-8959.8,-9196.93,-9233.99,-9284.46,-9313.04,-9447.46,10610.5,130.38881974751467,10610.5
10687.0,2902636.88,1017418.64,-8688.51,-8959.79,-9196.92,-9233.98,-9284.46,-9313.03,-9447.45,10611.51,133.53010262144443,10611.51
10688.0,2902636.9,1017418.72,-8689.5,-8959.78,-9196.91,-9233.98,-9284.45,-9313.03,-9447.44,10612.51,119.92128756500604,10612.51
10689.0,2902636.92,1017418.8,-8690.5,-8959.77,-9196.91,-9233.97,-9284.44,-9313.02,-9447.43,10613.52,131.9441128968219,10613.52
10690.0,2902636.94,1017418.88,-8691.5,-8959.76,-9196.9,-9233.96,-9284.43,-9313.01,-9447.42,10614.52,138.7485204250411,10614.52
10691.0,2902636.96,1017418.96,-8692.49,-8959.76,-9196.89,-9233.95,-9284.42,-9313.0,-9447.42,10615.53,,10615.53
10692.0,2902636.98,1017419.04,-8693.49,-8959.75,-9196.88,-9233.94,-9284.42,-9312.99,-9447.41,10616.53,141.35772932683946,10616.53
10693.0,2902637.0,1017419.12,-8694.49,-8959.74,-9196.87,-9233.93,-9284.41,-9312.98,-9447.4,10617.54,134.55332179862026,10617.54
10694.0,2902637.02,1017419.2,-8695.48,-8959.73,-9196.86,-9233.93,-9284.4,-9312.97,-9447.39,10618.54,120.94450674218186,10618.54
10695.0,2902637.05,1017419.28,-8696.48,-8959.72,-9196.85,-9233.92,-9284.39,-9312.97,-9447.38,10619.55,126.16292454577854,10619.55
10696.0,2902637.07,1017419.36,-8697.48,-8959.71,-9196.85,-9233.91,-9284.38,-9312.96,-9447.37,10620.55,135.06493138720816,10620.55
10697.0,2902637.09,1017419.44,-8698.47,-8959.7,-9196.84,-9233.9,-9284.37,-9312.95,-9447.37,10621.56,137.41833549471252,10621.56
10698.0,2902637.11,1017419.53,-8699.47,-8959.7,-9196.83,-9233.89,-9284.36,-9312.94,-9447.36,10622.56,133.53010262144443,10622.56
10699.0,2902637.14,1017419.61,-8700.46,-8959.69,-9196.82,-9233.88,-9284.36,-9312.93,-9447.35,10623.570000000002,122.9909450965335,10623.570000000002
10700.0,2902637.16,1017419.69,-8701.46,-8959.68,-9196.81,-9233.87,-9284.35,-9312.92,-9447.34,10624.570000000002,134.55332179862026,10624.570000000002
10701.0,2902637.19,1017419.77,-8702.46,-8959.67,-9196.8,-9233.87,-9284.34,-9312.92,-9447.33,10625.58,128.31168481784778,10625.58
10702.0,2902637.21,1017419.86,-8703.45,-8959.66,-9196.79,-9233.86,-9284.33,-9312.91,-9447.32,10626.58,130.4092841310582,10626.58
10703.0,2902637.23,1017419.94,-8704.45,-8959.65,-9196.79,-9233.85,-9284.32,-9312.9,-9447.31,10627.59,141.715856038851,10627.59
10704.0,2902637.26,1017420.02,-8705.45,-8959.64,-9196.78,-9233.84,-9284.31,-9312.89,-9447.3,10628.59,125.13970536860272,10628.59
10705.0,2902637.28,1017420.1,-8706.44,-8959.64,-9196.77,-9233.83,-9284.3,-9312.88,-9447.3,10629.6,,10629.6
10706.0,2902637.3,1017420.19,-8707.44,-8959.63,-9196.76,-9233.82,-9284.3,-9312.87,-9447.29,10630.6,130.4092841310582,10630.6
10707.0,2902637.33,1017420.27,-8708.44,-8959.62,-9196.75,-9233.81,-9284.29,-9312.86,-9447.28,10631.61,134.55332179862026,10631.61
10708.0,2902637.35,1017420.35,-8709.43,-8959.61,-9196.74,-9233.81,-9284.28,-9312.85,-9447.27,10632.61,129.33490399502358,10632.61
10709.0,2902637.38,1017420.43,-8710.43,-8959.6,-9196.73,-9233.8,-9284.27,-9312.85,-9447.26,10633.62,136.70208207068947,10633.62
10710.0,2902637.4,1017420.52,-8711.42,-8959.59,-9196.72,-9233.79,-9284.26,-9312.84,-9447.25,10634.62,131.96457728036543,10634.62
10711.0,2902637.42,1017420.6,-8712.42,-8959.58,-9196.72,-9233.78,-9284.25,-9312.83,-9447.24,10635.63,128.31168481784778,10635.63
10712.0,2902637.45,1017420.68,-8713.42,-8959.57,-9196.71,-9233.77,-9284.24,-9312.82,-9447.24,10636.63,132.50688344426862,10636.63
10713.0,2902637.47,1017420.77,-8714.41,-8959.57,-9196.7,-9233.76,-9284.23,-9312.81,-9447.23,10637.64,,10637.64
10714.0,2902637.5,1017420.85,-8715.41,-8959.56,-9196.69,-9233.75,-9284.23,-9312.8,-9447.22,10638.64,126.9303389286604,10638.64
10715.0,2902637.52,1017420.93,-8716.41,-8959.55,-9196.68,-9233.74,-9284.22,-9312.79,-9447.21,10639.65,126.16292454577854,10639.65
10716.0,2902637.55,1017421.01,-8717.4,-8959.54,-9196.67,-9233.74,-9284.21,-9312.78,-9447.2,10640.65,135.57654097579606,10640.65
10717.0,2902637.57,1017421.1,-8718.4,-8959.53,-9196.66,-9233.73,-9284.2,-9312.78,-9447.19,10641.66,133.53010262144443,10641.66
10718.0,2902637.59,1017421.18,-8719.39,-8959.52,-9196.66,-9233.72,-9284.19,-9312.77,-9447.18,10642.66,127.64659235268348,10642.66
10719.0,2902637.62,1017421.26,-8720.39,-8959.51,-9196.65,-9233.71,-9284.18,-9312.76,-9447.17,10643.67,124.1164861914269,10643.67
10720.0,2902637.64,1017421.35,-8721.39,-8959.5,-9196.64,-9233.7,-9284.17,-9312.75,-9447.17,10644.67,128.31168481784778,10644.67
10721.0,2902637.67,1017421.43,-8722.38,-8959.5,-9196.63,-9233.69,-9284.16,-9312.74,-9447.16,10645.68,,10645.68
10722.0,2902637.69,1017421.51,-8723.38,-8959.49,-9196.62,-9233.68,-9284.16,-9312.73,-9447.15,10646.68,129.2837430361648,10646.68
10723.0,2902637.72,1017421.6,-8724.38,-8959.48,-9196.61,-9233.67,-9284.15,-9312.72,-9447.14,10647.69,128.31168481784778,10647.69
10724.0,2902637.74,1017421.68,-8725.37,-8959.47,-9196.6,-9233.67,-9284.14,-9312.71,-9447.13,10648.69,113.57732866651595,10648.69
10725.0,2902637.77,1017421.76,-8726.37,-8959.46,-9196.59,-9233.66,-9284.13,-9312.71,-9447.12,10649.7,135.32073618150213,10649.7
10726.0,2902637.79,1017421.85,-8727.36,-8959.45,-9196.58,-9233.65,-9284.12,-9312.7,-9447.11,10650.7,142.94371905146195,10650.7
10727.0,2902637.82,1017421.93,-8728.36,-8959.44,-9196.58,-9233.64,-9284.11,-9312.69,-9447.1,10651.71,141.92049987428615,10651.71
10728.0,2902637.84,1017422.01,-8729.36,-8959.43,-9196.57,-9233.63,-9284.1,-9312.68,-9447.09,10652.71,132.50688344426862,10652.71
10729.0,2902637.87,1017422.1,-8730.35,-8959.42,-9196.56,-9233.62,-9284.09,-9312.67,-9447.09,10653.72,,10653.72
10730.0,2902637.89,1017422.18,-8731.35,-8959.42,-9196.55,-9233.61,-9284.08,-9312.66,-9447.08,10654.72,129.30420741970832,10654.72
10731.0,2902637.92,1017422.26,-8732.34,-8959.41,-9196.54,-9233.6,-9284.08,-9312.65,-9447.07,10655.73,,10655.73
10732.0,2902637.94,1017422.35,-8733.34,-8959.4,-9196.53,-9233.59,-9284.07,-9312.64,-9447.06,10656.73,144.01809918749657,10656.73
10733.0,2902637.97,1017422.43,-8734.34,-8959.39,-9196.52,-9233.59,-9284.06,-9312.63,-9447.05,10657.740000000002,147.13891767788283,10657.740000000002
10734.0,2902638.0,1017422.51,-8735.33,-8959.38,-9196.51,-9233.58,-9284.05,-9312.63,-9447.04,10658.740000000002,139.90475809524978,10658.740000000002
10735.0,2902638.02,1017422.6,-8736.33,-8959.37,-9196.51,-9233.57,-9284.04,-9312.62,-9447.03,10659.75,146.115698500707,10659.75
10736.0,2902638.05,1017422.68,-8737.33,-8959.36,-9196.5,-9233.56,-9284.03,-9312.61,-9447.02,10660.75,136.85556494726586,10660.75
10737.0,2902638.07,1017422.77,-8738.32,-8959.35,-9196.49,-9233.55,-9284.02,-9312.6,-9447.01,10661.76,136.90672590612462,10661.76
10738.0,2902638.1,1017422.85,-8739.32,-8959.35,-9196.48,-9233.54,-9284.01,-9312.59,-9447.01,10662.76,144.4273868583669,10662.76
10739.0,2902638.12,1017422.93,-8740.31,-8959.34,-9196.47,-9233.53,-9284.0,-9312.58,-9447.0,10663.77,136.5997601529719,10663.77
10740.0,2902638.15,1017423.02,-8741.31,-8959.33,-9196.46,-9233.52,-9284.0,-9312.57,-9446.99,10664.77,128.92561632415325,10664.77
10741.0,2902638.18,1017423.1,-8742.31,-8959.32,-9196.45,-9233.51,-9283.99,-9312.56,-9446.98,10665.78,136.95788686498344,10665.78
10742.0,2902638.2,1017423.18,-8743.3,-8959.31,-9196.44,-9233.51,-9283.98,-9312.55,-9446.97,10666.78,134.89098412708827,10666.78
10743.0,2902638.23,1017423.27,-8744.3,-8959.3,-9196.43,-9233.5,-9283.97,-9312.55,-9446.96,10667.79,135.78118481123124,10667.79
10744.0,2902638.25,1017423.35,-8745.29,-8959.29,-9196.43,-9233.49,-9283.96,-9312.54,-9446.95,10668.79,135.11609234606695,10668.79
10745.0,2902638.28,1017423.44,-8746.29,-8959.28,-9196.42,-9233.48,-9283.95,-9312.53,-9446.94,10669.8,140.18102727308727,10669.8
10746.0,2902638.31,1017423.52,-8747.29,-8959.27,-9196.41,-9233.47,-9283.94,-9312.52,-9446.93,10670.8,139.74104302690165,10670.8
10747.0,2902638.33,1017423.61,-8748.28,-8959.26,-9196.4,-9233.46,-9283.93,-9312.51,-9446.93,10671.81,135.78118481123124,10671.81
10748.0,2902638.36,1017423.69,-8749.28,-8959.26,-9196.39,-9233.45,-9283.92,-9312.5,-9446.92,10672.81,131.2790204316576,10672.81
10749.0,2902638.38,1017423.77,-8750.28,-8959.25,-9196.38,-9233.44,-9283.92,-9312.49,-9446.91,10673.820000000002,124.42345194457964,10673.820000000002
10750.0,2902638.41,1017423.86,-8751.27,-8959.24,-9196.37,-9233.43,-9283.91,-9312.48,-9446.9,10674.820000000002,133.97008686763004,10674.820000000002
