MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10178.0,2892290.41,1028539.66,-8100.69,-8502.34,-8745.37,-8811.69,-8861.42,-8882.3,-9007.18,10100.76,118.29797322436336,10100.76
10179.0,2892290.38,1028539.68,-8101.69,-8502.35,-8745.38,-8811.7,-8861.43,-8882.31,-9007.18,10101.76,124.25394757072888,10101.76
10180.0,2892290.35,1028539.7,-8102.69,-8502.35,-8745.38,-8811.7,-8861.43,-8882.32,-9007.19,10102.75,132.37666430861702,10102.75
10181.0,2892290.32,1028539.72,-8103.69,-8502.36,-8745.39,-8811.71,-8861.44,-8882.32,-9007.19,10103.740000000002,141.68030699449145,10103.740000000002
10182.0,2892290.29,1028539.74,-8104.69,-8502.37,-8745.39,-8811.71,-8861.44,-8882.33,-9007.2,10104.740000000002,140.17077556532638,10104.740000000002
10183.0,2892290.25,1028539.76,-8105.69,-8502.37,-8745.4,-8811.72,-8861.45,-8882.33,-9007.21,10105.73,127.80699433597454,10105.73
10184.0,2892290.22,1028539.78,-8106.69,-8502.38,-8745.41,-8811.73,-8861.46,-8882.34,-9007.21,10106.72,131.6475708972516,10106.72
10185.0,2892290.19,1028539.8,-8107.69,-8502.38,-8745.41,-8811.73,-8861.46,-8882.35,-9007.22,10107.71,134.72824728330272,10107.71
10186.0,2892290.16,1028539.82,-8108.68,-8502.39,-8745.42,-8811.74,-8861.47,-8882.35,-9007.22,10108.71,131.6475708972516,10108.71
10187.0,2892290.13,1028539.84,-8109.68,-8502.4,-8745.42,-8811.75,-8861.47,-8882.36,-9007.23,10109.7,137.74731014163282,10109.7
10188.0,2892290.09,1028539.86,-8110.68,-8502.4,-8745.43,-8811.75,-8861.48,-8882.36,-9007.24,10110.69,133.81431328877423,10110.69
10189.0,2892290.06,1028539.88,-8111.68,-8502.41,-8745.44,-8811.76,-8861.49,-8882.37,-9007.24,10111.69,135.529223143676,10111.69
10190.0,2892290.03,1028539.9,-8112.68,-8502.42,-8745.44,-8811.76,-8861.49,-8882.38,-9007.25,10112.68,148.07784495619094,10112.68
10191.0,2892290.0,1028539.92,-8113.68,-8502.42,-8745.45,-8811.77,-8861.5,-8882.38,-9007.26,10113.67,129.59378663988417,10113.67
10192.0,2892289.96,1028539.94,-8114.68,-8502.43,-8745.45,-8811.78,-8861.51,-8882.39,-9007.26,10114.67,139.86270792672127,10114.67
10193.0,2892289.93,1028539.96,-8115.68,-8502.43,-8745.46,-8811.78,-8861.51,-8882.39,-9007.27,10115.66,136.24804763375462,10115.66
10194.0,2892289.9,1028539.98,-8116.68,-8502.44,-8745.47,-8811.79,-8861.52,-8882.4,-9007.27,10116.65,127.67349835924564,10116.65
10195.0,2892289.87,1028540.0,-8117.68,-8502.45,-8745.47,-8811.79,-8861.52,-8882.41,-9007.28,10117.65,,10117.65
10196.0,2892289.84,1028540.02,-8118.68,-8502.45,-8745.48,-8811.8,-8861.53,-8882.41,-9007.29,10118.64,136.78203154067015,10118.64
10197.0,2892289.81,1028540.04,-8119.68,-8502.46,-8745.48,-8811.81,-8861.53,-8882.42,-9007.29,10119.63,131.6475708972516,10119.63
10198.0,2892289.78,1028540.06,-8120.68,-8502.46,-8745.49,-8811.81,-8861.54,-8882.42,-9007.3,10120.63,133.85538897392158,10120.63
10199.0,2892289.75,1028540.08,-8121.68,-8502.47,-8745.5,-8811.82,-8861.55,-8882.43,-9007.3,10121.62,131.77079795269364,10121.62
10200.0,2892289.72,1028540.1,-8122.67,-8502.47,-8745.5,-8811.82,-8861.55,-8882.44,-9007.31,10122.62,131.1443937541966,10122.62
