MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11334.0,2980645.96,1051892.93,-9167.04,-9722.07,-9897.65,-9899.98,-9979.96,-10016.82,-10160.75,11232.98,93.93888249066728,11232.98
11335.0,2980645.93,1051892.93,-9168.04,-9722.07,-9897.65,-9899.98,-9979.96,-10016.82,-10160.75,11233.98,93.6819932720191,11233.98
11336.0,2980645.91,1051892.93,-9169.04,-9722.07,-9897.65,-9899.98,-9979.96,-10016.82,-10160.75,11234.97,94.51688323262567,11234.97
11337.0,2980645.88,1051892.93,-9170.04,-9722.07,-9897.65,-9899.98,-9979.97,-10016.82,-10160.75,11235.97,,11235.97
11338.0,2980645.86,1051892.93,-9171.04,-9722.07,-9897.65,-9899.98,-9979.97,-10016.82,-10160.75,11236.97,106.38883498015215,11236.97
11339.0,2980645.83,1051892.93,-9172.04,-9722.07,-9897.65,-9899.98,-9979.97,-10016.82,-10160.75,11237.97,105.21448426633192,11237.97
11340.0,2980645.81,1051892.93,-9173.04,-9722.07,-9897.65,-9899.98,-9979.97,-10016.82,-10160.75,11238.97,,11238.97
11341.0,2980645.78,1051892.93,-9174.04,-9722.07,-9897.65,-9899.98,-9979.97,-10016.82,-10160.75,11239.97,92.90215100112286,11239.97
11342.0,2980645.76,1051892.93,-9175.04,-9722.07,-9897.65,-9899.98,-9979.97,-10016.82,-10160.75,11240.97,88.70017735323482,11240.97
11343.0,2980645.74,1051892.93,-9176.04,-9722.07,-9897.65,-9899.98,-9979.97,-10016.82,-10160.75,11241.97,88.83779657751062,11241.97
11344.0,2980645.71,1051892.92,-9177.04,-9722.07,-9897.65,-9899.98,-9979.97,-10016.82,-10160.75,11242.97,90.70941802766164,11242.97
11345.0,2980645.69,1051892.92,-9178.03,-9722.07,-9897.65,-9899.98,-9979.97,-10016.82,-10160.75,11243.97,92.04891181061284,11243.97
11346.0,2980645.67,1051892.92,-9179.03,-9722.07,-9897.65,-9899.98,-9979.97,-10016.82,-10160.75,11244.97,92.93884946092972,11244.97
11347.0,2980645.64,1051892.92,-9180.03,-9722.07,-9897.65,-9899.98,-9979.97,-10016.82,-10160.75,11245.97,93.42510405337092,11245.97
11348.0,2980645.62,1051892.92,-9181.03,-9722.07,-9897.65,-9899.98,-9979.97,-10016.82,-10160.76,11246.97,92.72783331704017,11246.97
11349.0,2980645.6,1051892.92,-9182.03,-9722.07,-9897.65,-9899.98,-9979.97,-10016.82,-10160.76,11247.97,92.11313411527487,11247.97
11350.0,2980645.57,1051892.92,-9183.03,-9722.07,-9897.65,-9899.98,-9979.97,-10016.82,-10160.76,11248.97,91.9938641209025,11248.97
11351.0,2980645.55,1051892.92,-9184.03,-9722.08,-9897.65,-9899.98,-9979.97,-10016.82,-10160.76,11249.96,92.53516640305402,11249.96
11352.0,2980645.53,1051892.92,-9185.03,-9722.08,-9897.65,-9899.99,-9979.97,-10016.82,-10160.76,11250.96,92.86545254131596,11250.96
11353.0,2980645.51,1051892.92,-9186.03,-9722.08,-9897.65,-9899.99,-9979.97,-10016.83,-10160.76,11251.96,92.62691255257124,11251.96
11354.0,2980645.49,1051892.92,-9187.03,-9722.08,-9897.65,-9899.99,-9979.97,-10016.83,-10160.76,11252.96,92.32415025916448,11252.96
11355.0,2980645.46,1051892.92,-9188.03,-9722.08,-9897.65,-9899.99,-9979.97,-10016.83,-10160.76,11253.96,93.6728186570674,11253.96
11356.0,2980645.44,1051892.91,-9189.03,-9722.08,-9897.65,-9899.99,-9979.97,-10016.83,-10160.76,11254.96,95.55361472217012,11254.96
11357.0,2980645.42,1051892.91,-9190.03,-9722.08,-9897.65,-9899.99,-9979.97,-10016.83,-10160.76,11255.96,97.09495003405917,11255.96
11358.0,2980645.4,1051892.91,-9191.03,-9722.08,-9897.66,-9899.99,-9979.97,-10016.83,-10160.76,11256.96,97.9940622993278,11256.96
