MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11198.0,3001779.24,1085910.93,-8992.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11262.92,99.26446456104028,11262.92
11199.0,3001779.23,1085910.93,-8993.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11263.92,97.79442985774293,11263.92
11200.0,3001779.23,1085910.94,-8994.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11264.92,90.01364011503759,11264.92
11201.0,3001779.22,1085910.94,-8995.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11265.92,94.05252334025867,11265.92
11202.0,3001779.21,1085910.94,-8996.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11266.92,104.69913831262456,11266.92
11203.0,3001779.2,1085910.94,-8997.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11267.92,109.45076563641403,11267.92
11204.0,3001779.19,1085910.95,-8998.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11268.92,109.06469591635616,11268.92
11205.0,3001779.19,1085910.95,-8999.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11269.92,105.21884755116402,11269.92
11206.0,3001779.18,1085910.95,-9000.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11270.92,101.86301075373768,11270.92
11207.0,3001779.17,1085910.95,-9001.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11271.92,103.89730120173506,11271.92
11208.0,3001779.16,1085910.96,-9002.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11272.92,101.35815035058503,11272.92
11209.0,3001779.16,1085910.96,-9003.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11273.92,97.73503451619553,11273.92
11210.0,3001779.15,1085910.96,-9004.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11274.92,98.68535998095344,11274.92
11211.0,3001779.14,1085910.97,-9005.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11275.92,99.7990226349666,11275.92
11212.0,3001779.13,1085910.97,-9006.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11276.92,98.16565074241396,11276.92
11213.0,3001779.12,1085910.97,-9007.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11277.92,,11277.92
11214.0,3001779.12,1085910.97,-9008.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11278.92,105.36733590503243,11278.92
11215.0,3001779.11,1085910.98,-9009.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11279.92,114.18754412481674,11279.92
11216.0,3001779.1,1085910.98,-9010.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11280.92,121.86439201981418,11280.92
11217.0,3001779.09,1085910.98,-9011.49,-9584.77,-9729.45,-9761.54,-9877.31,-9913.69,-10051.29,11281.92,120.79527587196154,11281.92
