MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10524.0,2909380.01,1040189.78,-8439.88,-8606.26,-8829.7,-8896.08,-8945.58,-8983.63,-9109.95,10596.12,118.64751863592038,10596.12
10525.0,2909380.02,1040189.76,-8440.88,-8606.07,-8829.51,-8895.89,-8945.38,-8983.44,-9109.76,10597.31,125.85406385859244,10597.31
10526.0,2909380.03,1040189.75,-8441.88,-8605.87,-8829.31,-8895.69,-8945.19,-8983.24,-9109.56,10598.51,126.37501893493018,10598.51
10527.0,2909380.04,1040189.73,-8442.88,-8605.67,-8829.11,-8895.49,-8944.99,-8983.05,-9109.36,10599.71,123.77024355324149,10599.71
10528.0,2909380.05,1040189.72,-8443.88,-8605.48,-8828.92,-8895.3,-8944.79,-8982.85,-9109.17,10600.9,128.06812293302784,10600.9
10529.0,2909380.06,1040189.71,-8444.88,-8605.28,-8828.72,-8895.1,-8944.6,-8982.65,-9108.97,10602.1,115.56520110092208,10602.1
10530.0,2909380.07,1040189.69,-8445.88,-8605.09,-8828.53,-8894.91,-8944.4,-8982.46,-9108.78,10603.29,129.2836847778159,10603.29
10531.0,2909380.07,1040189.68,-8446.88,-8604.89,-8828.33,-8894.71,-8944.21,-8982.26,-9108.58,10604.490000000002,,10604.490000000002
10532.0,2909380.08,1040189.66,-8447.88,-8604.69,-8828.13,-8894.51,-8944.01,-8982.07,-9108.38,10605.69,119.6460158655677,10605.69
10533.0,2909380.09,1040189.65,-8448.88,-8604.5,-8827.94,-8894.32,-8943.81,-8981.87,-9108.19,10606.88,123.90048232232591,10606.88
10534.0,2909380.1,1040189.63,-8449.88,-8604.3,-8827.74,-8894.12,-8943.62,-8981.67,-9107.99,10608.08,122.03372663211567,10608.08
10535.0,2909380.11,1040189.62,-8450.88,-8604.1,-8827.54,-8893.92,-8943.41,-8981.47,-9107.79,10609.28,117.30171802204788,10609.28
10536.0,2909380.13,1040189.61,-8451.88,-8603.89,-8827.33,-8893.71,-8943.21,-8981.26,-9107.58,10610.490000000002,115.04424602458434,10610.490000000002
10537.0,2909380.14,1040189.59,-8452.88,-8603.68,-8827.12,-8893.5,-8943.0,-8981.06,-9107.37,10611.69,,10611.69
10538.0,2909380.15,1040189.58,-8453.88,-8603.48,-8826.92,-8893.3,-8942.8,-8980.85,-9107.17,10612.9,109.2269143388129,10612.9
10539.0,2909380.16,1040189.56,-8454.88,-8603.27,-8826.71,-8893.09,-8942.59,-8980.65,-9106.96,10614.1,106.10118388078646,10614.1
10540.0,2909380.17,1040189.55,-8455.88,-8603.07,-8826.51,-8892.89,-8942.38,-8980.44,-9106.76,10615.31,124.24778570655108,10615.31
10541.0,2909380.18,1040189.54,-8456.88,-8602.86,-8826.3,-8892.68,-8942.18,-8980.23,-9106.55,10616.51,112.74336110409264,10616.51
10542.0,2909380.19,1040189.52,-8457.88,-8602.66,-8826.1,-8892.48,-8941.97,-8980.03,-9106.35,10617.72,117.9963247904982,10617.72
10543.0,2909380.2,1040189.51,-8458.88,-8602.45,-8825.89,-8892.27,-8941.77,-8979.82,-9106.14,10618.93,125.11604416711398,10618.93
10544.0,2909380.21,1040189.49,-8459.88,-8602.25,-8825.69,-8892.07,-8941.56,-8979.62,-9105.94,10620.13,128.41542631725298,10620.13
10545.0,2909380.22,1040189.48,-8460.88,-8602.03,-8825.47,-8891.85,-8941.35,-8979.41,-9105.72,10621.34,130.84655000682912,10621.34
10546.0,2909380.24,1040189.47,-8461.88,-8601.82,-8825.26,-8891.64,-8941.14,-8979.19,-9105.51,10622.55,130.1519432383788,10622.55
10547.0,2909380.25,1040189.45,-8462.88,-8601.61,-8825.05,-8891.43,-8940.93,-8978.98,-9105.3,10623.77,132.9303703121801,10623.77
10548.0,2909380.26,1040189.44,-8463.88,-8601.4,-8824.84,-8891.22,-8940.71,-8978.77,-9105.09,10624.98,122.94539801570672,10624.98
10549.0,2909380.27,1040189.43,-8464.88,-8601.19,-8824.63,-8891.01,-8940.5,-8978.56,-9104.88,10626.19,79.96660421784316,10626.19
10550.0,2909380.28,1040189.41,-8465.88,-8600.97,-8824.41,-8890.79,-8940.29,-8978.35,-9104.66,10627.4,81.13875313960307,10627.4
10551.0,2909380.29,1040189.4,-8466.88,-8600.76,-8824.2,-8890.58,-8940.08,-8978.13,-9104.45,10628.61,87.69410451685297,10628.61
10552.0,2909380.31,1040189.38,-8467.88,-8600.55,-8823.99,-8890.37,-8939.87,-8977.92,-9104.24,10629.83,87.73751743988112,10629.83
10553.0,2909380.32,1040189.37,-8468.88,-8600.34,-8823.78,-8890.16,-8939.65,-8977.71,-9104.03,10631.04,88.25847251621886,10631.04
10554.0,2909380.33,1040189.36,-8469.87,-8600.13,-8823.57,-8889.95,-8939.44,-8977.5,-9103.82,10632.25,80.31390760206831,10632.25
10555.0,2909380.35,1040189.34,-8470.87,-8599.91,-8823.35,-8889.73,-8939.22,-8977.28,-9103.6,10633.47,83.6567026752355,10633.47
10556.0,2909380.36,1040189.33,-8471.87,-8599.69,-8823.13,-8889.51,-8939.01,-8977.06,-9103.38,10634.69,85.17615498122056,10634.69
10557.0,2909380.37,1040189.32,-8472.87,-8599.47,-8822.91,-8889.29,-8938.79,-8976.84,-9103.16,10635.9,81.52946944685638,10635.9
10558.0,2909380.38,1040189.3,-8473.87,-8599.25,-8822.69,-8889.07,-8938.57,-8976.62,-9102.94,10637.12,80.18366883298388,10637.12
10559.0,2909380.4,1040189.29,-8474.87,-8599.03,-8822.47,-8888.85,-8938.35,-8976.41,-9102.72,10638.34,85.17615498122056,10638.34
10560.0,2909380.41,1040189.28,-8475.87,-8598.81,-8822.25,-8888.63,-8938.13,-8976.19,-9102.5,10639.56,86.9560848253745,10639.56
10561.0,2909380.42,1040189.27,-8476.87,-8598.6,-8822.04,-8888.42,-8937.91,-8975.97,-9102.29,10640.78,,10640.78
10562.0,2909380.44,1040189.25,-8477.87,-8598.38,-8821.82,-8888.2,-8937.69,-8975.75,-9102.07,10642.0,86.39171682600862,10642.0
10563.0,2909380.45,1040189.24,-8478.87,-8598.16,-8821.6,-8887.98,-8937.48,-8975.53,-9101.85,10643.21,88.99649220769732,10643.21
10564.0,2909380.47,1040189.23,-8479.87,-8597.94,-8821.38,-8887.76,-8937.26,-8975.31,-9101.63,10644.43,85.82734882664273,10644.43
10565.0,2909380.48,1040189.21,-8480.87,-8597.72,-8821.16,-8887.54,-8937.03,-8975.09,-9101.41,10645.66,81.26899190868751,10645.66
10566.0,2909380.49,1040189.2,-8481.87,-8597.49,-8820.93,-8887.31,-8936.81,-8974.86,-9101.18,10646.88,95.11771435466576,10646.88
10567.0,2909380.51,1040189.19,-8482.87,-8597.26,-8820.7,-8887.08,-8936.58,-8974.64,-9100.95,10648.11,100.1536134259306,10648.11
10568.0,2909380.52,1040189.17,-8483.87,-8597.04,-8820.48,-8886.86,-8936.36,-8974.41,-9100.73,10649.33,86.47854267206492,10649.33
10569.0,2909380.54,1040189.16,-8484.87,-8596.81,-8820.25,-8886.63,-8936.13,-8974.19,-9100.5,10650.56,86.47854267206492,10650.56
