MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10477.0,2917911.97,1040066.25,-8405.61,-8796.58,-9008.65,-9062.79,-9114.78,-9160.61,-9286.58,10369.71,,10369.71
10478.0,2917911.95,1040066.25,-8406.61,-8796.2,-9008.27,-9062.41,-9114.4,-9160.23,-9286.2,10371.09,,10371.09
10479.0,2917911.94,1040066.26,-8407.61,-8795.82,-9007.89,-9062.03,-9114.02,-9159.85,-9285.82,10372.47,,10372.47
10480.0,2917911.92,1040066.27,-8408.61,-8795.44,-9007.51,-9061.65,-9113.63,-9159.47,-9285.44,10373.85,,10373.85
10481.0,2917911.9,1040066.28,-8409.61,-8795.06,-9007.13,-9061.27,-9113.25,-9159.09,-9285.06,10375.23,173.9843539464185,10375.23
10482.0,2917911.88,1040066.29,-8410.61,-8794.68,-9006.75,-9060.89,-9112.87,-9158.71,-9284.68,10376.61,,10376.61
10483.0,2917911.86,1040066.29,-8411.61,-8794.3,-9006.37,-9060.51,-9112.49,-9158.32,-9284.3,10377.990000000002,,10377.990000000002
10484.0,2917911.84,1040066.3,-8412.61,-8793.92,-9005.99,-9060.13,-9112.11,-9157.94,-9283.92,10379.37,161.5746282726369,10379.37
10485.0,2917911.83,1040066.31,-8413.61,-8793.53,-9005.6,-9059.75,-9111.73,-9157.56,-9283.54,10380.76,,10380.76
10486.0,2917911.81,1040066.32,-8414.61,-8793.12,-9005.19,-9059.33,-9111.32,-9157.15,-9283.12,10382.17,156.25085595858457,10382.17
10487.0,2917911.79,1040066.33,-8415.61,-8792.71,-9004.78,-9058.92,-9110.9,-9156.74,-9282.71,10383.58,155.36976543574607,10383.58
10488.0,2917911.77,1040066.33,-8416.61,-8792.3,-9004.37,-9058.51,-9110.49,-9156.32,-9282.3,10384.990000000002,,10384.990000000002
10489.0,2917911.75,1040066.34,-8417.61,-8791.88,-9003.95,-9058.09,-9110.08,-9155.91,-9281.88,10386.41,166.53851854214952,10386.41
10490.0,2917911.73,1040066.35,-8418.61,-8791.47,-9003.54,-9057.68,-9109.67,-9155.5,-9281.47,10387.820000000002,,10387.820000000002
10491.0,2917911.71,1040066.36,-8419.61,-8791.06,-9003.13,-9057.27,-9109.25,-9155.09,-9281.06,10389.23,,10389.23
