TVT,GR,Geology
11454.45,100.31,
11454.95,100.72,
11455.45,102.21000000000001,
11455.95,103.72,
11456.45,105.23,
11456.95,106.75,
11457.45,108.26,
11457.95,109.77,
11458.45,111.28,
11458.95,111.38000000000001,
11459.45,111.49000000000001,
11459.95,110.69,
11460.45,108.79,
11460.95,106.88000000000001,
11461.45,104.98,
11461.95,103.07000000000001,
11462.45,101.16,
11462.95,99.26,
11463.45,98.92,
11463.95,98.60000000000001,
11464.45,98.29,
11464.95,113.82000000000001,
11465.45,114.03,
11465.95,112.83,
11466.45,109.41,
11466.95,105.98,
11467.45,102.56,
11467.95,99.13000000000001,
11468.45,96.06,
11468.95,95.25,
11469.45,95.14,
11469.95,95.14,
11470.45,97.23,
11470.95,99.43,
11471.45,101.62,
11471.95,102.2,
11472.45,102.33,
11472.95,100.18,
11473.45,97.7,
11473.95,95.23,
11474.45,92.75,
11474.95,91.28,
11475.45,91.28,
11475.95,91.28,
11476.45,94.21000000000001,
11476.95,97.60000000000001,
11477.45,100.99000000000001,
11477.95,104.39,
11478.45,107.78,
11478.95,110.68,
11479.45,111.22,
11479.95,111.14,
11480.45,109.34,
11480.95,107.55,
11481.45,105.75,
11481.95,103.95,
11482.45,102.15,
11482.95,100.36,
11483.45,98.9,
11483.95,98.5,
11484.45,98.23,
11484.95,98.23,
11485.45,98.23,
11485.95,108.44,
11486.45,114.34,
11486.95,114.61,
11487.45,114.84,
11487.95,113.25,
11488.45,108.66,
11488.95,104.07000000000001,
11489.45,100.29,
11489.95,100.29,
11490.45,100.3,
11490.95,101.67,
11491.45,103.81,
11491.95,105.95,
11492.45,108.09,
11492.95,109.58,
11493.45,110.91,
11493.95,112.24000000000001,
11494.45,112.76,
11494.95,112.89,
11495.45,110.56,
11495.95,107.53,
11496.45,104.5,
11496.95,101.47,
11497.45,101.34,
11497.95,101.43,
11498.45,103.05,
11498.95,107.5,
11499.45,107.5,
11499.95,107.02,
11500.45,103.86,
11500.95,98.47,
11501.45,98.33,
11501.95,99.5,
11502.45,102.36,
11502.95,103.81,
11503.45,104.08,
11503.95,100.71000000000001,
11504.45,97.09,
11504.95,97.21000000000001,
11505.45,102.74000000000001,
11505.95,104.18,
11506.45,103.28,
11506.95,101.22,
11507.45,99.16,
11507.95,97.09,
11508.45,95.03,
11508.95,92.97,
11509.45,91.25,
11509.95,90.91,
11510.45,90.58,
11510.95,90.24000000000001,
11511.45,90.35000000000001,
11511.95,93.52,
11512.45,97.45,
11512.95,101.37,
11513.45,103.53,
11513.95,104.27,
11514.45,104.38000000000001,
11514.95,103.22,
11515.45,102.07000000000001,
11515.95,100.91,
11516.45,99.76,
11516.95,99.17,
11517.45,98.93,
11517.95,98.69,
11518.45,105.69,
11518.95,121.09,
11519.45,122.93,
11519.95,121.26,
11520.45,115.84,
11520.95,110.42,
11521.45,104.99000000000001,
11521.95,104.78,
11522.45,108.57000000000001,
11522.95,114.07000000000001,
11523.45,118.05,
11523.95,118.64,
11524.45,118.84,
11524.95,116.60000000000001,
11525.45,113.49000000000001,
11525.95,110.37,
11526.45,108.19,
11526.95,107.8,
11527.45,113.56,
11527.95,128.93,
11528.45,132.6,
11528.95,133.60999999999999,
11529.45,134.42,
11529.95,134.69,
11530.45,133.82,
11530.95,130.66,
11531.45,127.5,
11531.95,124.34,
11532.45,121.18,
11532.95,118.02,
11533.45,115.46000000000001,
11533.95,115.06,
11534.45,114.67,
11534.95,114.51,
11535.45,114.51,
11535.95,121.63000000000001,
11536.45,121.83,
11536.95,121.66,
11537.45,120.03,
11537.95,118.39,
11538.45,116.75,
11538.95,115.12,
11539.45,113.48,
11539.95,111.84,
11540.45,110.2,
11540.95,108.57000000000001,
11541.45,106.93,
11541.95,106.66,
11542.45,106.5,
11542.95,106.35000000000001,
11543.45,110.07000000000001,
11543.95,115.56,
11544.45,121.06,
11544.95,126.56,
11545.45,130.29,
11545.95,130.53,
11546.45,123.42,
11546.95,111.44,
11547.45,102.06,
11547.95,101.47,
11548.45,100.88000000000001,
11548.95,100.41,
11549.45,113.44,
11549.95,115.03,
11550.45,113.81,
11550.95,112.59,
11551.45,111.37,
11551.95,110.15,
11552.45,108.93,
11552.95,108.92,
11553.45,112.75,
11553.95,118.19,
11554.45,123.63000000000001,
11554.95,125.68,
11555.45,125.68,
11555.95,125.69,
11556.45,123.24000000000001,
11556.95,118.32000000000001,
11557.45,113.4,
11557.95,108.48,
11558.45,105.06,
11558.95,104.96000000000001,
11559.45,104.86,
11559.95,105.47,
11560.45,106.88000000000001,
11560.95,108.28,
11561.45,109.69,
11561.95,111.09,
11562.45,112.5,
11562.95,113.59,
11563.45,114.13000000000001,
11563.95,112.78,
11564.45,109.9,
11564.95,107.01,
11565.45,104.12,
11565.95,101.24000000000001,
11566.45,100.05,
11566.95,100.53,
11567.45,102.38000000000001,
11567.95,104.22,
11568.45,106.07000000000001,
11568.95,107.92,
11569.45,109.76,
11569.95,111.65,
11570.45,111.85000000000001,
11570.95,111.85000000000001,
11571.45,109.54,
11571.95,105.87,
11572.45,102.2,
11572.95,98.52,
11573.45,98.01,
11573.95,97.76,
11574.45,100.48,
11574.95,103.21000000000001,
11575.45,105.93,
11575.95,108.66,
11576.45,111.38000000000001,
11576.95,112.92,
11577.45,114.45,
11577.95,115.53,
11578.45,116.07000000000001,
11578.95,116.2,
11579.45,115.65,
11579.95,114.15,
11580.45,112.65,
11580.95,111.15,
11581.45,109.65,
11581.95,108.15,
11582.45,106.65,
11582.95,105.16,
11583.45,103.66,
11583.95,102.42,
11584.45,102.11,
11584.95,101.79,
11585.45,101.48,
11585.95,101.49000000000001,
11586.45,108.5,
11586.95,108.91,
11587.45,108.45,
11587.95,107.87,
11588.45,107.29,
11588.95,106.71000000000001,
11589.45,106.13000000000001,
11589.95,105.69,
11590.45,106.3,
11590.95,112.87,
11591.45,116.42,
11591.95,116.62,
11592.45,115.09,
11592.95,112.92,
11593.45,110.75,
11593.95,108.59,
11594.45,106.42,
11594.95,104.25,
11595.45,102.09,
11595.95,99.92,
11596.45,98.38000000000001,
11596.95,98.25,
11597.45,98.81,
11597.95,100.44,
11598.45,102.07000000000001,
11598.95,103.7,
11599.45,105.34,
11599.95,106.97,
11600.45,108.60000000000001,
11600.95,110.23,
11601.45,111.86,
11601.95,112.87,
11602.45,113.41,
11602.95,113.54,
