MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11019.0,2971710.29,1066705.59,-8877.18,-9072.13,-9246.18,-9273.96,-9347.31,-9382.28,-9522.67,11178.31,120.51937083071827,11178.31
11020.0,2971710.37,1066705.51,-8878.17,-9072.0,-9246.05,-9273.83,-9347.18,-9382.15,-9522.54,11179.44,121.231026624734,11179.44
11021.0,2971710.46,1066705.44,-8879.17,-9071.86,-9245.91,-9273.69,-9347.04,-9382.01,-9522.4,11180.56,118.72636792112016,11180.56
11022.0,2971710.55,1066705.36,-8880.16,-9071.73,-9245.78,-9273.56,-9346.91,-9381.88,-9522.27,11181.69,119.79847275366338,11181.69
11023.0,2971710.63,1066705.29,-8881.15,-9071.59,-9245.64,-9273.42,-9346.77,-9381.74,-9522.13,11182.820000000002,121.94268241874975,11182.820000000002
11024.0,2971710.72,1066705.21,-8882.15,-9071.46,-9245.51,-9273.29,-9346.64,-9381.61,-9522.0,11183.95,122.3031314572772,11183.95
11025.0,2971710.81,1066705.14,-8883.14,-9071.33,-9245.38,-9273.16,-9346.51,-9381.48,-9521.87,11185.070000000002,118.19031550484856,11185.070000000002
11026.0,2971710.9,1066705.06,-8884.13,-9071.19,-9245.24,-9273.02,-9346.37,-9381.34,-9521.73,11186.2,118.01471212710442,11186.2
11027.0,2971710.99,1066704.98,-8885.13,-9071.06,-9245.11,-9272.89,-9346.24,-9381.21,-9521.6,11187.33,122.3031314572772,11187.33
11028.0,2971711.08,1066704.9,-8886.12,-9070.92,-9244.97,-9272.75,-9346.1,-9381.07,-9521.46,11188.45,122.66358049580468,11188.45
11029.0,2971711.17,1066704.82,-8887.11,-9070.79,-9244.84,-9272.62,-9345.97,-9380.94,-9521.33,11189.58,123.02402953433212,11189.58
11030.0,2971711.27,1066704.74,-8888.1,-9070.65,-9244.7,-9272.48,-9345.83,-9380.8,-9521.19,11190.72,124.08689208383616,11190.72
11031.0,2971711.36,1066704.66,-8889.1,-9070.5,-9244.55,-9272.33,-9345.68,-9380.65,-9521.04,11191.85,123.02402953433212,11191.85
11032.0,2971711.45,1066704.58,-8890.09,-9070.36,-9244.41,-9272.19,-9345.54,-9380.51,-9520.9,11192.990000000002,124.62294450010776,11192.990000000002
11033.0,2971711.55,1066704.5,-8891.08,-9070.21,-9244.26,-9272.04,-9345.39,-9380.36,-9520.75,11194.13,124.08689208383616,11194.13
11034.0,2971711.64,1066704.41,-8892.07,-9070.07,-9244.12,-9271.9,-9345.25,-9380.22,-9520.61,11195.27,122.77448789227466,11195.27
11035.0,2971711.74,1066704.33,-8893.06,-9069.92,-9243.97,-9271.75,-9345.1,-9380.07,-9520.46,11196.4,,11196.4
11036.0,2971711.83,1066704.24,-8894.06,-9069.78,-9243.83,-9271.61,-9344.96,-9379.93,-9520.32,11197.54,122.29388917423805,11197.54
11037.0,2971711.93,1066704.16,-8895.05,-9069.63,-9243.68,-9271.46,-9344.81,-9379.78,-9520.17,11198.68,127.10911863764328,11198.68
11038.0,2971712.03,1066704.07,-8896.04,-9069.49,-9243.54,-9271.32,-9344.67,-9379.64,-9520.03,11199.81,124.43809883932444,11199.81
11039.0,2971712.12,1066703.99,-8897.03,-9069.34,-9243.39,-9271.17,-9344.52,-9379.49,-9519.88,11200.95,119.4380237151359,11200.95
11040.0,2971712.22,1066703.9,-8898.02,-9069.19,-9243.24,-9271.02,-9344.37,-9379.34,-9519.73,11202.1,118.37516116563188,11202.1
11041.0,2971712.32,1066703.81,-8899.01,-9069.03,-9243.08,-9270.86,-9344.21,-9379.18,-9519.57,11203.240000000002,124.09613436687532,11203.240000000002
11042.0,2971712.42,1066703.72,-8900.0,-9068.87,-9242.92,-9270.7,-9344.05,-9379.02,-9519.41,11204.39,127.31244886450492,11204.39
11043.0,2971712.52,1066703.63,-8901.0,-9068.72,-9242.77,-9270.55,-9343.9,-9378.87,-9519.26,11205.54,,11205.54
11044.0,2971712.62,1066703.54,-8901.99,-9068.56,-9242.61,-9270.39,-9343.74,-9378.71,-9519.1,11206.68,129.44741624655217,11206.68
11045.0,2971712.73,1066703.45,-8902.98,-9068.41,-9242.46,-9270.24,-9343.59,-9378.56,-9518.95,11207.83,131.77647157242183,11207.83
11046.0,2971712.83,1066703.36,-8903.97,-9068.25,-9242.3,-9270.08,-9343.43,-9378.4,-9518.79,11208.98,131.05557349536696,11208.98
11047.0,2971712.93,1066703.27,-8904.96,-9068.09,-9242.14,-9269.92,-9343.27,-9378.24,-9518.63,11210.12,126.95199982597744,11210.12
11048.0,2971713.04,1066703.18,-8905.95,-9067.94,-9241.99,-9269.77,-9343.12,-9378.09,-9518.48,11211.27,125.34384257716268,11211.27
11049.0,2971713.14,1066703.08,-8906.94,-9067.78,-9241.83,-9269.61,-9342.96,-9377.93,-9518.32,11212.42,125.5194459549068,11212.42
11050.0,2971713.25,1066702.99,-8907.93,-9067.61,-9241.66,-9269.44,-9342.79,-9377.76,-9518.15,11213.570000000002,139.67862357090837,11213.570000000002
11051.0,2971713.35,1066702.89,-8908.92,-9067.45,-9241.5,-9269.28,-9342.63,-9377.6,-9517.99,11214.73,162.2852478847072,11214.73
11052.0,2971713.46,1066702.8,-8909.91,-9067.28,-9241.33,-9269.11,-9342.46,-9377.43,-9517.82,11215.89,178.70878484530434,11215.89
11053.0,2971713.57,1066702.7,-8910.9,-9067.11,-9241.16,-9268.94,-9342.29,-9377.26,-9517.65,11217.04,187.6368302611382,11217.04
11054.0,2971713.67,1066702.61,-8911.89,-9066.95,-9241.0,-9268.78,-9342.13,-9377.1,-9517.49,11218.2,146.58260900116505,11218.2
11055.0,2971713.78,1066702.51,-8912.88,-9066.78,-9240.83,-9268.61,-9341.96,-9376.93,-9517.32,11219.35,129.79862300204044,11219.35
11056.0,2971713.89,1066702.41,-8913.86,-9066.61,-9240.66,-9268.44,-9341.79,-9376.76,-9517.15,11220.51,118.92045586494262,11220.51
11057.0,2971714.0,1066702.31,-8914.85,-9066.45,-9240.5,-9268.28,-9341.63,-9376.6,-9516.99,11221.67,127.1276032037216,11221.67
11058.0,2971714.11,1066702.21,-8915.84,-9066.28,-9240.33,-9268.11,-9341.46,-9376.43,-9516.82,11222.820000000002,140.51967132747242,11222.820000000002
11059.0,2971714.22,1066702.11,-8916.83,-9066.11,-9240.16,-9267.94,-9341.29,-9376.26,-9516.65,11223.98,133.37538653819752,11223.98
11060.0,2971714.34,1066702.01,-8917.82,-9065.93,-9239.98,-9267.76,-9341.11,-9376.08,-9516.47,11225.15,122.84842615658798,11225.15
11061.0,2971714.45,1066701.91,-8918.81,-9065.76,-9239.81,-9267.59,-9340.94,-9375.91,-9516.3,11226.31,118.74485248719849,11226.31
11062.0,2971714.56,1066701.8,-8919.8,-9065.58,-9239.63,-9267.41,-9340.76,-9375.73,-9516.12,11227.48,131.59162591163854,11227.48
11063.0,2971714.68,1066701.7,-8920.78,-9065.4,-9239.45,-9267.23,-9340.58,-9375.55,-9515.94,11228.64,137.29411454680366,11228.64
11064.0,2971714.79,1066701.6,-8921.77,-9065.22,-9239.27,-9267.05,-9340.4,-9375.37,-9515.76,11229.81,139.43832421189006,11229.81
11065.0,2971714.91,1066701.49,-8922.76,-9065.04,-9239.09,-9266.87,-9340.22,-9375.19,-9515.58,11230.98,139.07787517336263,11230.98
11066.0,2971715.02,1066701.39,-8923.75,-9064.87,-9238.92,-9266.7,-9340.05,-9375.02,-9515.41,11232.14,133.12584489614002,11232.14
11067.0,2971715.14,1066701.28,-8924.74,-9064.69,-9238.74,-9266.52,-9339.87,-9374.84,-9515.23,11233.31,,11233.31
11068.0,2971715.26,1066701.18,-8925.72,-9064.51,-9238.56,-9266.34,-9339.69,-9374.66,-9515.05,11234.47,112.65418796438844,11234.47
11069.0,2971715.37,1066701.07,-8926.71,-9064.33,-9238.38,-9266.16,-9339.51,-9374.48,-9514.87,11235.64,108.55061429499894,11235.64
11070.0,2971715.49,1066700.96,-8927.7,-9064.14,-9238.19,-9265.97,-9339.32,-9374.29,-9514.68,11236.81,107.3029060847116,11236.81
11071.0,2971715.61,1066700.85,-8928.68,-9063.95,-9238.0,-9265.78,-9339.13,-9374.1,-9514.49,11237.990000000002,,11237.990000000002
11072.0,2971715.73,1066700.74,-8929.67,-9063.76,-9237.81,-9265.59,-9338.94,-9373.91,-9514.3,11239.17,102.31207324356222,11239.17
11073.0,2971715.85,1066700.63,-8930.66,-9063.58,-9237.63,-9265.41,-9338.76,-9373.73,-9514.12,11240.34,100.16786357847585,11240.34
11074.0,2971715.97,1066700.52,-8931.64,-9063.39,-9237.44,-9265.22,-9338.57,-9373.54,-9513.93,11241.52,102.8481256598338,11241.52
11075.0,2971716.1,1066700.41,-8932.63,-9063.2,-9237.25,-9265.03,-9338.38,-9373.35,-9513.74,11242.69,,11242.69
11076.0,2971716.22,1066700.3,-8933.62,-9063.01,-9237.06,-9264.84,-9338.19,-9373.16,-9513.55,11243.87,111.24936094243527,11243.87
11077.0,2971716.34,1066700.18,-8934.6,-9062.82,-9236.87,-9264.65,-9338.0,-9372.97,-9513.36,11245.04,,11245.04
11078.0,2971716.47,1066700.07,-8935.59,-9062.63,-9236.68,-9264.46,-9337.81,-9372.78,-9513.17,11246.22,111.60056769792357,11246.22
