MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10031.0,3008951.89,1135646.8,-7901.68,-8427.7,-8536.68,-8634.57,-8796.55,-8846.94,-8952.53,10033.16,,10033.16
10032.0,3008951.89,1135646.81,-7902.68,-8427.67,-8536.65,-8634.54,-8796.52,-8846.91,-8952.5,10034.19,153.38140025699084,10034.19
10033.0,3008951.88,1135646.81,-7903.68,-8427.64,-8536.62,-8634.51,-8796.49,-8846.88,-8952.47,10035.22,,10035.22
10034.0,3008951.88,1135646.82,-7904.68,-8427.62,-8536.6,-8634.49,-8796.47,-8846.86,-8952.45,10036.25,,10036.25
10035.0,3008951.87,1135646.82,-7905.68,-8427.59,-8536.57,-8634.46,-8796.44,-8846.83,-8952.42,10037.27,,10037.27
10036.0,3008951.87,1135646.83,-7906.68,-8427.56,-8536.54,-8634.43,-8796.41,-8846.8,-8952.39,10038.3,158.89871681299772,10038.3
10037.0,3008951.86,1135646.83,-7907.68,-8427.53,-8536.51,-8634.4,-8796.38,-8846.77,-8952.36,10039.33,,10039.33
10038.0,3008951.86,1135646.84,-7908.68,-8427.5,-8536.48,-8634.37,-8796.35,-8846.74,-8952.33,10040.36,,10040.36
10039.0,3008951.85,1135646.84,-7909.68,-8427.48,-8536.46,-8634.35,-8796.33,-8846.72,-8952.31,10041.39,,10041.39
10040.0,3008951.84,1135646.85,-7910.68,-8427.45,-8536.43,-8634.32,-8796.3,-8846.69,-8952.28,10042.42,,10042.42
10041.0,3008951.84,1135646.85,-7911.68,-8427.42,-8536.4,-8634.29,-8796.27,-8846.66,-8952.25,10043.44,151.6572388332387,10043.44
10042.0,3008951.83,1135646.86,-7912.68,-8427.39,-8536.37,-8634.26,-8796.24,-8846.63,-8952.22,10044.47,139.58810886697367,10044.47
10043.0,3008951.83,1135646.86,-7913.68,-8427.36,-8536.34,-8634.23,-8796.21,-8846.6,-8952.19,10045.5,,10045.5
10044.0,3008951.82,1135646.87,-7914.68,-8427.33,-8536.31,-8634.2,-8796.18,-8846.57,-8952.16,10046.53,151.06412730346796,10046.53
10045.0,3008951.82,1135646.87,-7915.68,-8427.3,-8536.28,-8634.17,-8796.15,-8846.54,-8952.13,10047.56,161.65737509100114,10047.56
10046.0,3008951.81,1135646.88,-7916.68,-8427.27,-8536.25,-8634.14,-8796.12,-8846.51,-8952.1,10048.59,,10048.59
10047.0,3008951.81,1135646.88,-7917.68,-8427.24,-8536.22,-8634.11,-8796.09,-8846.48,-8952.07,10049.62,,10049.62
10048.0,3008951.8,1135646.89,-7918.68,-8427.22,-8536.2,-8634.09,-8796.07,-8846.46,-8952.05,10050.65,,10050.65
10049.0,3008951.8,1135646.89,-7919.68,-8427.19,-8536.17,-8634.06,-8796.04,-8846.43,-8952.02,10051.68,,10051.68
10050.0,3008951.79,1135646.9,-7920.68,-8427.16,-8536.14,-8634.03,-8796.01,-8846.4,-8951.99,10052.71,153.38140025699084,10052.71
10051.0,3008951.79,1135646.91,-7921.68,-8427.13,-8536.11,-8634.0,-8795.98,-8846.37,-8951.96,10053.73,,10053.73
10052.0,3008951.78,1135646.91,-7922.68,-8427.1,-8536.08,-8633.97,-8795.95,-8846.34,-8951.93,10054.76,,10054.76
10053.0,3008951.78,1135646.92,-7923.68,-8427.07,-8536.05,-8633.94,-8795.92,-8846.31,-8951.9,10055.79,142.34676714497712,10055.79
10054.0,3008951.77,1135646.92,-7924.68,-8427.04,-8536.02,-8633.91,-8795.89,-8846.28,-8951.87,10056.820000000002,,10056.820000000002
10055.0,3008951.76,1135646.93,-7925.68,-8427.01,-8535.99,-8633.88,-8795.86,-8846.25,-8951.84,10057.85,,10057.85
10056.0,3008951.76,1135646.93,-7926.68,-8426.98,-8535.96,-8633.85,-8795.83,-8846.22,-8951.81,10058.88,,10058.88
10057.0,3008951.75,1135646.94,-7927.68,-8426.95,-8535.93,-8633.82,-8795.8,-8846.19,-8951.78,10059.91,172.69200820301486,10059.91
10058.0,3008951.75,1135646.95,-7928.68,-8426.92,-8535.9,-8633.79,-8795.77,-8846.16,-8951.75,10060.95,,10060.95
10059.0,3008951.74,1135646.95,-7929.68,-8426.89,-8535.87,-8633.76,-8795.74,-8846.13,-8951.72,10061.98,,10061.98
10060.0,3008951.74,1135646.96,-7930.68,-8426.86,-8535.84,-8633.73,-8795.71,-8846.1,-8951.69,10063.01,158.71940402492748,10063.01
10061.0,3008951.73,1135646.96,-7931.68,-8426.83,-8535.81,-8633.7,-8795.68,-8846.07,-8951.66,10064.04,151.93310466103904,10064.04
