MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10409.0,2934624.62,1066232.91,-8213.99,-8201.45,-8357.41,-8434.15,-8523.74,-8568.44,-8673.5,10374.95,56.43944936983322,10374.95
10410.0,2934624.34,1066233.22,-8214.9,-8201.57,-8357.53,-8434.28,-8523.86,-8568.57,-8673.62,10375.740000000002,47.69233710070035,10375.740000000002
10411.0,2934624.07,1066233.53,-8215.81,-8201.7,-8357.66,-8434.4,-8523.98,-8568.69,-8673.75,10376.52,68.94286075574692,10376.52
10412.0,2934623.79,1066233.84,-8216.72,-8201.76,-8357.72,-8434.47,-8524.05,-8568.75,-8673.81,10377.37,70.90542153024477,10377.37
10413.0,2934623.52,1066234.15,-8217.63,-8201.76,-8357.73,-8434.47,-8524.05,-8568.76,-8673.82,10378.28,61.841767200709015,10378.28
10414.0,2934623.24,1066234.46,-8218.54,-8201.77,-8357.73,-8434.48,-8524.06,-8568.76,-8673.82,10379.18,71.68622527923853,10379.18
10415.0,2934622.97,1066234.77,-8219.45,-8201.77,-8357.73,-8434.48,-8524.06,-8568.77,-8673.83,10380.09,77.23626273830234,10380.09
10416.0,2934622.69,1066235.08,-8220.36,-8201.78,-8357.74,-8434.48,-8524.07,-8568.77,-8673.83,10380.990000000002,71.3802346208491,10380.990000000002
10417.0,2934622.41,1066235.39,-8221.27,-8201.78,-8357.74,-8434.49,-8524.07,-8568.77,-8673.83,10381.9,50.899963312782845,10381.9
10418.0,2934622.13,1066235.7,-8222.18,-8201.78,-8357.75,-8434.49,-8524.07,-8568.78,-8673.84,10382.8,54.02317830875792,10382.8
10419.0,2934621.86,1066236.01,-8223.09,-8201.79,-8357.75,-8434.5,-8524.08,-8568.78,-8673.84,10383.71,47.69233710070035,10383.71
10420.0,2934621.58,1066236.32,-8223.99,-8201.79,-8357.75,-8434.5,-8524.08,-8568.79,-8673.84,10384.61,51.75462687587062,10384.61
10421.0,2934621.3,1066236.63,-8224.9,-8201.8,-8357.76,-8434.5,-8524.09,-8568.79,-8673.85,10385.51,46.29955203492768,10385.51
10422.0,2934621.02,1066236.95,-8225.81,-8201.8,-8357.76,-8434.51,-8524.09,-8568.79,-8673.85,10386.42,48.63141187989556,10386.42
10423.0,2934620.74,1066237.26,-8226.72,-8201.8,-8357.77,-8434.51,-8524.09,-8568.8,-8673.86,10387.320000000002,56.67158021412866,10387.320000000002
10424.0,2934620.46,1066237.57,-8227.63,-8201.81,-8357.77,-8434.52,-8524.1,-8568.8,-8673.86,10388.23,,10388.23
10425.0,2934620.18,1066237.89,-8228.53,-8201.81,-8357.77,-8434.52,-8524.1,-8568.81,-8673.86,10389.13,67.68724391614884,10389.13
10426.0,2934619.9,1066238.2,-8229.44,-8201.82,-8357.78,-8434.52,-8524.11,-8568.81,-8673.87,10390.03,65.62972052353012,10390.03
10427.0,2934619.62,1066238.52,-8230.35,-8201.82,-8357.78,-8434.53,-8524.11,-8568.81,-8673.87,10390.93,71.95001032957427,10390.93
10428.0,2934619.33,1066238.83,-8231.25,-8201.82,-8357.79,-8434.53,-8524.11,-8568.82,-8673.88,10391.84,77.23626273830234,10391.84
10429.0,2934619.05,1066239.15,-8232.16,-8201.83,-8357.79,-8434.54,-8524.12,-8568.82,-8673.88,10392.740000000002,66.29445885037617,10392.740000000002
10430.0,2934618.77,1066239.46,-8233.06,-8201.83,-8357.79,-8434.54,-8524.12,-8568.83,-8673.88,10393.64,70.90542153024477,10393.64
10431.0,2934618.48,1066239.78,-8233.97,-8201.84,-8357.8,-8434.54,-8524.13,-8568.83,-8673.89,10394.54,77.23626273830234,10394.54
10432.0,2934618.2,1066240.09,-8234.87,-8201.84,-8357.8,-8434.55,-8524.13,-8568.83,-8673.89,10395.44,96.73525365911964,10395.44
10433.0,2934617.91,1066240.41,-8235.78,-8201.84,-8357.81,-8434.55,-8524.13,-8568.84,-8673.9,10396.34,88.84280495307455,10396.34
10434.0,2934617.63,1066240.73,-8236.68,-8201.85,-8357.81,-8434.56,-8524.14,-8568.84,-8673.9,10397.240000000002,82.51196374501698,10397.240000000002
10435.0,2934617.34,1066241.05,-8237.59,-8201.85,-8357.81,-8434.56,-8524.14,-8568.85,-8673.9,10398.15,81.00311325709659,10398.15
10436.0,2934617.06,1066241.36,-8238.49,-8201.86,-8357.82,-8434.56,-8524.15,-8568.85,-8673.91,10399.04,79.18827211078676,10399.04
10437.0,2934616.77,1066241.68,-8239.39,-8201.86,-8357.82,-8434.57,-8524.15,-8568.85,-8673.91,10399.94,87.29174885710044,10399.94
10438.0,2934616.48,1066242.0,-8240.3,-8201.86,-8357.83,-8434.57,-8524.15,-8568.86,-8673.92,10400.84,97.31558076985826,10400.84
10439.0,2934616.2,1066242.32,-8241.2,-8201.87,-8357.83,-8434.58,-8524.16,-8568.86,-8673.92,10401.740000000002,100.44934716784677,10401.740000000002
10440.0,2934615.91,1066242.64,-8242.1,-8201.87,-8357.83,-8434.58,-8524.16,-8568.87,-8673.93,10402.64,70.90542153024477,10402.64
10441.0,2934615.62,1066242.96,-8243.01,-8201.88,-8357.84,-8434.58,-8524.17,-8568.87,-8673.93,10403.54,66.68486072487306,10403.54
10442.0,2934615.33,1066243.28,-8243.91,-8201.88,-8357.84,-8434.59,-8524.17,-8568.87,-8673.93,10404.43,65.62972052353012,10404.43
10443.0,2934615.04,1066243.6,-8244.81,-8201.88,-8357.85,-8434.59,-8524.17,-8568.88,-8673.94,10405.33,68.20426261480686,10405.33
10444.0,2934614.75,1066243.93,-8245.71,-8201.89,-8357.85,-8434.6,-8524.18,-8568.88,-8673.94,10406.23,100.44934716784677,10406.23
10445.0,2934614.46,1066244.25,-8246.61,-8201.89,-8357.85,-8434.6,-8524.18,-8568.89,-8673.95,10407.13,107.19169305442809,10407.13
10446.0,2934614.17,1066244.57,-8247.51,-8201.9,-8357.86,-8434.6,-8524.19,-8568.89,-8673.95,10408.02,86.13109463562323,10408.02
10447.0,2934613.88,1066244.89,-8248.41,-8201.9,-8357.86,-8434.61,-8524.19,-8568.9,-8673.95,10408.92,86.20495444971722,10408.92
10448.0,2934613.59,1066245.22,-8249.31,-8201.91,-8357.87,-8434.61,-8524.19,-8568.9,-8673.96,10409.81,84.67500115776998,10409.81
10449.0,2934613.29,1066245.54,-8250.21,-8201.91,-8357.87,-8434.62,-8524.2,-8568.9,-8673.96,10410.71,82.51196374501698,10410.71
10450.0,2934613.0,1066245.87,-8251.11,-8201.91,-8357.88,-8434.62,-8524.2,-8568.91,-8673.97,10411.6,85.5507675248846,10411.6
10451.0,2934612.71,1066246.19,-8252.01,-8201.92,-8357.88,-8434.63,-8524.21,-8568.91,-8673.97,10412.5,111.74989872422952,10412.5
10452.0,2934612.41,1066246.52,-8252.91,-8201.92,-8357.88,-8434.63,-8524.21,-8568.92,-8673.97,10413.39,82.51196374501698,10413.39
10453.0,2934612.12,1066246.85,-8253.81,-8201.93,-8357.89,-8434.63,-8524.22,-8568.92,-8673.98,10414.29,65.79854295574499,10414.29
10454.0,2934611.82,1066247.17,-8254.7,-8201.93,-8357.89,-8434.64,-8524.22,-8568.92,-8673.98,10415.18,59.29887931547256,10415.18
10455.0,2934611.53,1066247.5,-8255.6,-8201.93,-8357.9,-8434.64,-8524.22,-8568.93,-8673.99,10416.08,70.90542153024477,10416.08
10456.0,2934611.23,1066247.83,-8256.5,-8201.94,-8357.9,-8434.65,-8524.23,-8568.93,-8673.99,10416.97,93.67534707522516,10416.97
10457.0,2934610.94,1066248.16,-8257.39,-8201.94,-8357.9,-8434.65,-8524.23,-8568.94,-8674.0,10417.86,105.7250481745614,10417.86
10458.0,2934610.64,1066248.49,-8258.29,-8201.95,-8357.91,-8434.65,-8524.24,-8568.94,-8674.0,10418.75,82.51196374501698,10418.75
10459.0,2934610.34,1066248.82,-8259.19,-8201.95,-8357.91,-8434.66,-8524.24,-8568.95,-8674.0,10419.64,64.12087003560974,10419.64
10460.0,2934610.05,1066249.15,-8260.08,-8201.96,-8357.92,-8434.66,-8524.24,-8568.95,-8674.01,10420.53,59.29887931547256,10420.53
10461.0,2934609.75,1066249.48,-8260.98,-8201.96,-8357.92,-8434.67,-8524.25,-8568.95,-8674.01,10421.42,,10421.42
