MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10406.0,3001877.11,1116327.65,-8249.35,-8799.29,-8933.64,-9016.19,-9150.72,-9201.27,-9307.14,10384.08,,10384.08
10407.0,3001877.11,1116327.66,-8250.35,-8799.07,-8933.42,-9015.97,-9150.5,-9201.05,-9306.92,10385.3,,10385.3
10408.0,3001877.12,1116327.67,-8251.35,-8798.85,-8933.2,-9015.75,-9150.28,-9200.83,-9306.7,10386.52,117.09477960493066,10386.52
10409.0,3001877.12,1116327.68,-8252.35,-8798.63,-8932.98,-9015.53,-9150.06,-9200.61,-9306.48,10387.740000000002,,10387.740000000002
10410.0,3001877.12,1116327.68,-8253.35,-8798.41,-8932.76,-9015.31,-9149.84,-9200.38,-9306.26,10388.96,117.85199982917996,10388.96
10411.0,3001877.12,1116327.69,-8254.35,-8798.22,-8932.57,-9015.13,-9149.66,-9200.2,-9306.08,10390.15,,10390.15
10412.0,3001877.12,1116327.7,-8255.35,-8798.04,-8932.39,-9014.95,-9149.48,-9200.02,-9305.9,10391.33,108.86412499352504,10391.33
10413.0,3001877.12,1116327.71,-8256.35,-8797.86,-8932.21,-9014.77,-9149.3,-9199.84,-9305.72,10392.51,,10392.51
10414.0,3001877.13,1116327.71,-8257.35,-8797.68,-8932.03,-9014.59,-9149.12,-9199.66,-9305.54,10393.69,113.01237491767348,10393.69
10415.0,3001877.13,1116327.72,-8258.35,-8797.5,-8931.85,-9014.41,-9148.93,-9199.48,-9305.36,10394.87,,10394.87
10416.0,3001877.13,1116327.73,-8259.35,-8797.32,-8931.67,-9014.23,-9148.75,-9199.3,-9305.18,10396.05,125.32543421633628,10396.05
10417.0,3001877.13,1116327.73,-8260.35,-8797.14,-8931.49,-9014.05,-9148.57,-9199.12,-9305.0,10397.23,,10397.23
10418.0,3001877.13,1116327.74,-8261.35,-8796.96,-8931.31,-9013.87,-9148.39,-9198.94,-9304.82,10398.41,119.83833114206588,10398.41
10419.0,3001877.14,1116327.75,-8262.35,-8796.78,-8931.13,-9013.69,-9148.21,-9198.76,-9304.64,10399.59,117.68738673695188,10399.59
10420.0,3001877.14,1116327.75,-8263.35,-8796.6,-8930.95,-9013.51,-9148.03,-9198.58,-9304.46,10400.77,114.35122806779546,10400.77
10421.0,3001877.14,1116327.76,-8264.35,-8796.44,-8930.79,-9013.35,-9147.87,-9198.42,-9304.29,10401.93,,10401.93
10422.0,3001877.14,1116327.77,-8265.35,-8796.27,-8930.62,-9013.18,-9147.71,-9198.25,-9304.13,10403.1,125.32543421633628,10403.1
10423.0,3001877.15,1116327.77,-8266.35,-8796.11,-8930.46,-9013.02,-9147.54,-9198.09,-9303.97,10404.26,137.78115819493013,10404.26
10424.0,3001877.15,1116327.78,-8267.35,-8795.95,-8930.3,-9012.86,-9147.38,-9197.93,-9303.81,10405.42,,10405.42
10425.0,3001877.15,1116327.79,-8268.35,-8795.79,-8930.14,-9012.69,-9147.22,-9197.77,-9303.64,10406.58,,10406.58
10426.0,3001877.15,1116327.79,-8269.35,-8795.62,-8929.97,-9012.53,-9147.05,-9197.6,-9303.48,10407.75,,10407.75
10427.0,3001877.16,1116327.8,-8270.35,-8795.46,-8929.81,-9012.37,-9146.89,-9197.44,-9303.32,10408.91,129.23225160521682,10408.91
10428.0,3001877.16,1116327.81,-8271.35,-8795.3,-8929.65,-9012.21,-9146.73,-9197.28,-9303.15,10410.070000000002,108.86412499352504,10410.070000000002
10429.0,3001877.16,1116327.81,-8272.35,-8795.13,-8929.48,-9012.04,-9146.57,-9197.11,-9302.99,10411.240000000002,,10411.240000000002
10430.0,3001877.16,1116327.82,-8273.35,-8794.97,-8929.32,-9011.88,-9146.4,-9196.95,-9302.83,10412.4,,10412.4
10431.0,3001877.17,1116327.82,-8274.35,-8794.8,-8929.15,-9011.71,-9146.23,-9196.78,-9302.66,10413.570000000002,136.29964036487712,10413.570000000002
10432.0,3001877.17,1116327.83,-8275.35,-8794.63,-8928.99,-9011.54,-9146.07,-9196.61,-9302.49,10414.73,125.32543421633628,10414.73
10433.0,3001877.17,1116327.84,-8276.35,-8794.47,-8928.82,-9011.38,-9145.9,-9196.45,-9302.32,10415.9,,10415.9
10434.0,3001877.17,1116327.84,-8277.35,-8794.3,-8928.65,-9011.21,-9145.73,-9196.28,-9302.16,10417.070000000002,,10417.070000000002
10435.0,3001877.18,1116327.85,-8278.35,-8794.13,-8928.48,-9011.04,-9145.56,-9196.11,-9301.99,10418.240000000002,114.35122806779546,10418.240000000002
10436.0,3001877.18,1116327.86,-8279.35,-8793.96,-8928.31,-9010.87,-9145.4,-9195.94,-9301.82,10419.41,125.32543421633628,10419.41
10437.0,3001877.18,1116327.86,-8280.35,-8793.8,-8928.15,-9010.7,-9145.23,-9195.78,-9301.65,10420.570000000002,,10420.570000000002
