MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11959.0,2944745.19,1015034.18,-9911.74,-10348.3,-10553.78,-10566.57,-10588.57,-10633.35,-10805.72,11987.96,,11987.96
11960.0,2944745.19,1015034.17,-9912.74,-10348.3,-10553.78,-10566.57,-10588.57,-10633.35,-10805.72,11988.96,90.72193692801748,11988.96
11961.0,2944745.19,1015034.16,-9913.74,-10348.3,-10553.78,-10566.57,-10588.57,-10633.35,-10805.72,11989.96,87.44371833825151,11989.96
11962.0,2944745.18,1015034.15,-9914.74,-10348.3,-10553.78,-10566.57,-10588.57,-10633.35,-10805.72,11990.96,86.42157714874584,11990.96
11963.0,2944745.18,1015034.14,-9915.74,-10348.3,-10553.78,-10566.57,-10588.57,-10633.35,-10805.72,11991.96,88.0054355685204,11991.96
11964.0,2944745.18,1015034.13,-9916.74,-10348.3,-10553.78,-10566.57,-10588.57,-10633.35,-10805.72,11992.96,90.29834688551962,11992.96
11965.0,2944745.18,1015034.12,-9917.74,-10348.3,-10553.78,-10566.57,-10588.57,-10633.35,-10805.72,11993.96,89.54325159237129,11993.96
11966.0,2944745.18,1015034.11,-9918.74,-10348.31,-10553.79,-10566.58,-10588.58,-10633.35,-10805.73,11994.96,87.8765168599341,11994.96
11967.0,2944745.18,1015034.1,-9919.74,-10348.31,-10553.79,-10566.58,-10588.58,-10633.35,-10805.73,11995.96,92.50838188985622,11995.96
11968.0,2944745.18,1015034.09,-9920.74,-10348.31,-10553.79,-10566.58,-10588.58,-10633.35,-10805.73,11996.96,94.01857247615293,11996.96
11969.0,2944745.18,1015034.07,-9921.74,-10348.31,-10553.79,-10566.58,-10588.58,-10633.35,-10805.73,11997.96,99.75545500824332,11997.96
11970.0,2944745.18,1015034.06,-9922.74,-10348.31,-10553.79,-10566.58,-10588.58,-10633.35,-10805.73,11998.96,102.3706630967083,11998.96
11971.0,2944745.18,1015034.05,-9923.74,-10348.31,-10553.79,-10566.58,-10588.58,-10633.35,-10805.73,11999.95,104.56228114267545,11999.95
11972.0,2944745.18,1015034.04,-9924.74,-10348.31,-10553.79,-10566.58,-10588.58,-10633.36,-10805.73,12000.95,107.21432314787936,12000.95
