MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10456.0,2971071.98,1060431.23,-8356.04,-9123.12,-9297.17,-9324.95,-9398.3,-9433.27,-9573.66,10606.18,,10606.18
10457.0,2971071.97,1060431.29,-8357.03,-9122.76,-9296.81,-9324.59,-9397.94,-9432.91,-9573.3,10607.53,109.36830636716974,10607.53
10458.0,2971071.95,1060431.35,-8358.03,-9122.42,-9296.47,-9324.25,-9397.6,-9432.57,-9572.96,10608.88,119.3545257369552,10608.88
10459.0,2971071.93,1060431.41,-8359.03,-9122.07,-9296.12,-9323.9,-9397.25,-9432.22,-9572.61,10610.22,,10610.22
10460.0,2971071.92,1060431.47,-8360.03,-9121.72,-9295.77,-9323.55,-9396.9,-9431.87,-9572.26,10611.570000000002,123.38742202090702,10611.570000000002
10461.0,2971071.9,1060431.53,-8361.03,-9121.37,-9295.42,-9323.2,-9396.55,-9431.52,-9571.91,10612.92,118.01022697563792,10612.92
10462.0,2971071.88,1060431.59,-8362.02,-9121.02,-9295.07,-9322.85,-9396.2,-9431.17,-9571.56,10614.27,117.43409893507338,10614.27
10463.0,2971071.87,1060431.65,-8363.02,-9120.67,-9294.72,-9322.5,-9395.85,-9430.82,-9571.21,10615.61,118.01022697563792,10615.61
10464.0,2971071.85,1060431.7,-8364.02,-9120.32,-9294.37,-9322.15,-9395.5,-9430.47,-9570.86,10616.96,115.41765079309748,10616.96
10465.0,2971071.84,1060431.76,-8365.02,-9119.97,-9294.02,-9321.8,-9395.15,-9430.12,-9570.51,10618.31,114.36141605206248,10618.31
10466.0,2971071.82,1060431.82,-8366.02,-9119.62,-9293.67,-9321.45,-9394.8,-9429.77,-9570.16,10619.66,,10619.66
10467.0,2971071.8,1060431.88,-8367.01,-9119.27,-9293.32,-9321.1,-9394.45,-9429.42,-9569.81,10621.0,121.5630165591193,10621.0
10468.0,2971071.79,1060431.94,-8368.01,-9118.93,-9292.98,-9320.76,-9394.11,-9429.08,-9569.47,10622.35,122.04312325958976,10622.35
10469.0,2971071.77,1060432.0,-8369.01,-9118.58,-9292.63,-9320.41,-9393.76,-9428.73,-9569.12,10623.69,119.3545257369552,10623.69
10470.0,2971071.75,1060432.06,-8370.01,-9118.24,-9292.29,-9320.07,-9393.42,-9428.39,-9568.78,10625.03,122.42720861996612,10625.03
10471.0,2971071.74,1060432.12,-8371.01,-9117.89,-9291.94,-9319.72,-9393.07,-9428.04,-9568.43,10626.37,132.4134279897516,10626.37
10472.0,2971071.72,1060432.18,-8372.01,-9117.55,-9291.6,-9319.38,-9392.73,-9427.7,-9568.09,10627.72,129.43676644683475,10627.72
10473.0,2971071.7,1060432.24,-8373.0,-9117.2,-9291.25,-9319.03,-9392.38,-9427.35,-9567.74,10629.06,,10629.06
