MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11834.0,2998620.5,1077773.53,-9537.66,-9645.59,-9790.27,-9822.36,-9938.13,-9974.51,-10112.11,11747.26,93.8968932043214,11747.26
11835.0,2998620.76,1077773.2,-9538.57,-9645.55,-9790.23,-9822.32,-9938.09,-9974.47,-10112.06,11748.21,94.61790737177064,11748.21
11836.0,2998621.01,1077772.87,-9539.48,-9645.51,-9790.19,-9822.28,-9938.04,-9974.43,-10112.02,11749.16,96.78963679179842,11749.16
11837.0,2998621.27,1077772.54,-9540.38,-9645.46,-9790.14,-9822.23,-9938.0,-9974.38,-10111.98,11750.12,98.9613662118262,11750.12
11838.0,2998621.53,1077772.21,-9541.29,-9645.42,-9790.1,-9822.19,-9937.95,-9974.34,-10111.93,11751.070000000002,105.47655447190957,11751.070000000002
11839.0,2998621.79,1077771.87,-9542.2,-9645.37,-9790.05,-9822.14,-9937.91,-9974.29,-10111.89,11752.02,,11752.02
11840.0,2998622.05,1077771.54,-9543.1,-9645.33,-9790.01,-9822.1,-9937.87,-9974.25,-10111.84,11752.97,122.85038983213184,11752.97
11841.0,2998622.31,1077771.2,-9544.01,-9645.28,-9789.96,-9822.05,-9937.82,-9974.2,-10111.8,11753.92,,11753.92
11842.0,2998622.57,1077770.87,-9544.91,-9645.24,-9789.92,-9822.01,-9937.77,-9974.16,-10111.75,11754.87,90.63929907427972,11754.87
11843.0,2998622.83,1077770.53,-9545.82,-9645.19,-9789.87,-9821.96,-9937.73,-9974.11,-10111.71,11755.820000000002,93.51466882639652,11755.820000000002
11844.0,2998623.1,1077770.19,-9546.72,-9645.15,-9789.83,-9821.92,-9937.68,-9974.07,-10111.66,11756.77,,11756.77
11845.0,2998623.36,1077769.85,-9547.62,-9645.1,-9789.78,-9821.87,-9937.64,-9974.02,-10111.62,11757.72,,11757.72
11846.0,2998623.62,1077769.51,-9548.53,-9645.06,-9789.74,-9821.83,-9937.59,-9973.98,-10111.57,11758.67,97.51933787692776,11758.67
11847.0,2998623.89,1077769.17,-9549.43,-9645.01,-9789.69,-9821.78,-9937.55,-9973.93,-10111.53,11759.62,96.78963679179842,11759.62
11848.0,2998624.15,1077768.83,-9550.33,-9644.96,-9789.64,-9821.73,-9937.5,-9973.89,-10111.48,11760.56,101.3763293268971,11760.56
11849.0,2998624.42,1077768.49,-9551.23,-9644.92,-9789.6,-9821.69,-9937.46,-9973.84,-10111.43,11761.51,,11761.51
11850.0,2998624.68,1077768.15,-9552.13,-9644.87,-9789.55,-9821.64,-9937.41,-9973.79,-10111.39,11762.46,118.87178153464096,11762.46
11851.0,2998624.95,1077767.81,-9553.04,-9644.83,-9789.51,-9821.6,-9937.37,-9973.75,-10111.34,11763.41,,11763.41
11852.0,2998625.22,1077767.47,-9553.94,-9644.78,-9789.46,-9821.55,-9937.32,-9973.7,-10111.3,11764.36,91.2473833118875,11764.36
11853.0,2998625.48,1077767.13,-9554.84,-9644.74,-9789.42,-9821.51,-9937.27,-9973.66,-10111.25,11765.3,95.34760845689996,11765.3
11854.0,2998625.75,1077766.79,-9555.74,-9644.69,-9789.37,-9821.46,-9937.23,-9973.61,-10111.21,11766.25,88.46756965425193,11766.25
11855.0,2998626.02,1077766.45,-9556.64,-9644.64,-9789.32,-9821.41,-9937.18,-9973.57,-10111.16,11767.2,96.78963679179842,11767.2
11856.0,2998626.28,1077766.11,-9557.55,-9644.6,-9789.28,-9821.37,-9937.14,-9973.52,-10111.11,11768.15,106.92726972448811,11768.15
11857.0,2998626.55,1077765.77,-9558.45,-9644.55,-9789.23,-9821.32,-9937.09,-9973.47,-10111.07,11769.09,,11769.09
11858.0,2998626.82,1077765.43,-9559.35,-9644.51,-9789.19,-9821.28,-9937.04,-9973.43,-10111.02,11770.04,,11770.04
11859.0,2998627.09,1077765.09,-9560.25,-9644.46,-9789.14,-9821.23,-9937.0,-9973.38,-10110.98,11770.990000000002,95.70377208178452,11770.990000000002
11860.0,2998627.36,1077764.75,-9561.15,-9644.42,-9789.1,-9821.19,-9936.95,-9973.34,-10110.93,11771.93,114.1634721520207,11771.93
11861.0,2998627.62,1077764.41,-9562.05,-9644.37,-9789.05,-9821.14,-9936.91,-9973.29,-10110.89,11772.88,119.95764624465484,11772.88
11862.0,2998627.89,1077764.07,-9562.95,-9644.32,-9789.0,-9821.09,-9936.86,-9973.24,-10110.84,11773.83,94.3572998413673,11773.83
11863.0,2998628.16,1077763.73,-9563.85,-9644.28,-9788.96,-9821.05,-9936.81,-9973.2,-10110.79,11774.77,97.05893123988186,11774.77
11864.0,2998628.43,1077763.38,-9564.75,-9644.23,-9788.91,-9821.0,-9936.77,-9973.15,-10110.75,11775.72,97.0849919929222,11775.72
11865.0,2998628.7,1077763.04,-9565.65,-9644.19,-9788.87,-9820.96,-9936.72,-9973.11,-10110.7,11776.67,93.57547725015728,11776.67
11866.0,2998628.97,1077762.7,-9566.55,-9644.14,-9788.82,-9820.91,-9936.68,-9973.06,-10110.65,11777.61,104.75554030446034,11777.61
11867.0,2998629.24,1077762.36,-9567.45,-9644.09,-9788.77,-9820.86,-9936.63,-9973.01,-10110.61,11778.56,96.0686226243492,11778.56
