MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10021.0,2996249.89,1121981.57,-7911.91,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9927.92,104.7386288868736,9927.92
10022.0,2996249.88,1121981.55,-7912.91,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9928.92,106.95599198493716,9928.92
10023.0,2996249.87,1121981.53,-7913.91,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9929.92,106.75826533924996,9929.92
10024.0,2996249.87,1121981.52,-7914.91,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9930.92,104.54090224118642,9930.92
10025.0,2996249.86,1121981.5,-7915.91,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9931.92,101.43376923753053,9931.92
10026.0,2996249.85,1121981.49,-7916.91,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9932.92,101.6879892105569,9932.92
10027.0,2996249.84,1121981.47,-7917.91,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9933.92,103.83473564944644,9933.92
10028.0,2996249.83,1121981.46,-7918.91,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9934.92,108.48131182309552,9934.92
10029.0,2996249.82,1121981.44,-7919.91,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9935.92,112.39347474133498,9935.92
10030.0,2996249.81,1121981.43,-7920.91,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9936.92,,9936.92
10031.0,2996249.8,1121981.41,-7921.91,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9937.92,100.09205271322456,9937.92
10032.0,2996249.8,1121981.39,-7922.91,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9938.92,92.2818502085804,9938.92
10033.0,2996249.79,1121981.38,-7923.91,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9939.92,91.08136700262244,9939.92
10034.0,2996249.78,1121981.36,-7924.91,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9940.92,95.55846319425387,9940.92
10035.0,2996249.77,1121981.35,-7925.91,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9941.92,98.43962288855302,9941.92
10036.0,2996249.76,1121981.33,-7926.9,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9942.92,98.8068295162578,9942.92
10037.0,2996249.75,1121981.32,-7927.9,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9943.92,99.13166614845818,9943.92
10038.0,2996249.74,1121981.3,-7928.9,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9944.92,97.9029362788306,9944.92
10039.0,2996249.73,1121981.29,-7929.9,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9945.92,,9945.92
10040.0,2996249.72,1121981.27,-7930.9,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9946.92,105.3883021512744,9946.92
10041.0,2996249.72,1121981.26,-7931.9,-8425.06,-8536.47,-8626.7,-8787.54,-8839.32,-8934.59,9947.92,106.92774532126754,9947.92
10042.0,2996249.71,1121981.24,-7932.9,-8425.06,-8536.47,-8626.7,-8787.54,-8839.31,-8934.59,9948.92,103.24155571238484,9948.92
10043.0,2996249.7,1121981.23,-7933.9,-8425.06,-8536.47,-8626.7,-8787.54,-8839.31,-8934.59,9949.92,100.07792938138977,9949.92
10044.0,2996249.69,1121981.21,-7934.9,-8425.06,-8536.47,-8626.7,-8787.54,-8839.31,-8934.59,9950.92,101.74448253789612,9950.92
