MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10910.0,2990506.76,1095703.26,-8611.0,-8936.42,-9081.46,-9170.41,-9293.11,-9344.82,-9454.52,10650.9,95.94895200630846,10650.9
10911.0,2990506.76,1095703.29,-8612.0,-8936.41,-9081.46,-9170.41,-9293.11,-9344.82,-9454.52,10651.9,,10651.9
10912.0,2990506.77,1095703.32,-8613.0,-8936.41,-9081.46,-9170.41,-9293.11,-9344.82,-9454.52,10652.9,,10652.9
10913.0,2990506.78,1095703.34,-8614.0,-8936.41,-9081.46,-9170.41,-9293.11,-9344.82,-9454.52,10653.9,,10653.9
10914.0,2990506.79,1095703.37,-8615.0,-8936.41,-9081.46,-9170.41,-9293.11,-9344.82,-9454.52,10654.9,,10654.9
10915.0,2990506.79,1095703.39,-8616.0,-8936.41,-9081.46,-9170.41,-9293.11,-9344.81,-9454.52,10655.9,102.39465895490883,10655.9
10916.0,2990506.8,1095703.42,-8617.0,-8936.41,-9081.45,-9170.41,-9293.11,-9344.81,-9454.52,10656.91,106.99873534676624,10656.91
10917.0,2990506.81,1095703.45,-8618.0,-8936.41,-9081.45,-9170.41,-9293.11,-9344.81,-9454.52,10657.91,108.8403659035092,10657.91
10918.0,2990506.82,1095703.47,-8619.0,-8936.41,-9081.45,-9170.41,-9293.11,-9344.81,-9454.52,10658.91,,10658.91
10919.0,2990506.82,1095703.5,-8620.0,-8936.41,-9081.45,-9170.41,-9293.11,-9344.81,-9454.52,10659.91,105.15710479002328,10659.91
10920.0,2990506.83,1095703.52,-8621.0,-8936.41,-9081.45,-9170.41,-9293.11,-9344.81,-9454.52,10660.91,104.2362895116518,10660.91
10921.0,2990506.84,1095703.55,-8622.0,-8936.41,-9081.45,-9170.41,-9293.11,-9344.81,-9454.52,10661.91,,10661.91
10922.0,2990506.85,1095703.57,-8623.0,-8936.41,-9081.45,-9170.4,-9293.11,-9344.81,-9454.52,10662.91,,10662.91
10923.0,2990506.85,1095703.6,-8624.0,-8936.41,-9081.45,-9170.4,-9293.11,-9344.81,-9454.52,10663.91,,10663.91
10924.0,2990506.86,1095703.62,-8625.0,-8936.41,-9081.45,-9170.4,-9293.1,-9344.81,-9454.51,10664.91,106.07792006839476,10664.91
10925.0,2990506.87,1095703.65,-8626.0,-8936.4,-9081.45,-9170.4,-9293.1,-9344.81,-9454.51,10665.91,106.99873534676624,10665.91
10926.0,2990506.88,1095703.67,-8627.0,-8936.4,-9081.45,-9170.4,-9293.1,-9344.81,-9454.51,10666.91,108.8403659035092,10666.91
10927.0,2990506.88,1095703.7,-8628.0,-8936.4,-9081.45,-9170.4,-9293.1,-9344.81,-9454.51,10667.91,113.4444422953666,10667.91
10928.0,2990506.89,1095703.72,-8629.0,-8936.4,-9081.45,-9170.4,-9293.1,-9344.81,-9454.51,10668.91,117.12770340885254,10668.91
10929.0,2990506.9,1095703.75,-8630.0,-8936.4,-9081.44,-9170.4,-9293.1,-9344.8,-9454.51,10669.91,121.73177980070994,10669.91
10930.0,2990506.91,1095703.77,-8631.0,-8936.4,-9081.44,-9170.4,-9293.1,-9344.8,-9454.51,10670.91,122.65259507908142,10670.91
10931.0,2990506.91,1095703.79,-8632.0,-8936.4,-9081.44,-9170.4,-9293.1,-9344.8,-9454.51,10671.91,114.36525757373808,10671.91
10932.0,2990506.92,1095703.82,-8633.0,-8936.4,-9081.44,-9170.4,-9293.1,-9344.8,-9454.51,10672.91,109.76118118188069,10672.91
10933.0,2990506.93,1095703.84,-8634.0,-8936.4,-9081.44,-9170.4,-9293.1,-9344.8,-9454.51,10673.91,108.8403659035092,10673.91
10934.0,2990506.93,1095703.87,-8635.0,-8936.4,-9081.44,-9170.4,-9293.1,-9344.8,-9454.51,10674.91,111.60281173862366,10674.91
10935.0,2990506.94,1095703.89,-8635.99,-8936.4,-9081.44,-9170.39,-9293.1,-9344.8,-9454.51,10675.91,,10675.91
10936.0,2990506.95,1095703.92,-8636.99,-8936.4,-9081.44,-9170.39,-9293.1,-9344.8,-9454.51,10676.91,,10676.91
10937.0,2990506.96,1095703.94,-8637.99,-8936.4,-9081.44,-9170.39,-9293.1,-9344.8,-9454.51,10677.91,114.36525757373808,10677.91
10938.0,2990506.96,1095703.96,-8638.99,-8936.4,-9081.44,-9170.39,-9293.09,-9344.8,-9454.5,10678.91,,10678.91
10939.0,2990506.97,1095703.99,-8639.99,-8936.39,-9081.44,-9170.39,-9293.09,-9344.8,-9454.5,10679.91,115.28607285210958,10679.91
10940.0,2990506.98,1095704.01,-8640.99,-8936.39,-9081.44,-9170.39,-9293.09,-9344.8,-9454.5,10680.91,,10680.91
10941.0,2990506.98,1095704.04,-8641.99,-8936.39,-9081.44,-9170.39,-9293.09,-9344.8,-9454.5,10681.92,116.20688813048106,10681.92
10942.0,2990506.99,1095704.06,-8642.99,-8936.39,-9081.44,-9170.39,-9293.09,-9344.8,-9454.5,10682.92,117.12770340885254,10682.92
10943.0,2990507.0,1095704.08,-8643.99,-8936.39,-9081.43,-9170.39,-9293.09,-9344.79,-9454.5,10683.92,,10683.92
10944.0,2990507.0,1095704.11,-8644.99,-8936.39,-9081.43,-9170.39,-9293.09,-9344.79,-9454.5,10684.92,118.04851868722402,10684.92
10945.0,2990507.01,1095704.13,-8645.99,-8936.39,-9081.43,-9170.39,-9293.09,-9344.79,-9454.5,10685.92,,10685.92
