TVT,GR,Geology
9544.45,123.5,
9544.95,123.4,
9545.45,123.3,
9545.95,123.2,
9546.45,123.10000000000001,
9546.95,123.0,
9547.45,122.9,
9547.95,122.8,
9548.45,122.7,
9548.95,122.60000000000001,
9549.45,122.5,
9549.95,122.4,
9550.45,122.3,
9550.95,122.10000000000001,
9551.45,121.7,
9551.95,121.10000000000001,
9552.45,120.3,
9552.95,119.39,
9553.45,118.57000000000001,
9553.95,117.99000000000001,
9554.45,117.62,
9554.95,117.5,
9555.45,117.5,
9555.95,117.60000000000001,
9556.45,117.9,
9556.95,118.39,
9557.45,119.06,
9557.95,119.84,
9558.45,120.60000000000001,
9558.95,121.26,
9559.45,121.74000000000001,
9559.95,122.01,
9560.45,122.10000000000001,
9560.95,122.10000000000001,
9561.45,122.10000000000001,
9561.95,122.10000000000001,
9562.45,121.96000000000001,
9562.95,121.54,
9563.45,120.83,
9563.95,119.97,
9564.45,119.4,
9564.95,119.54,
9565.45,120.54,
9565.95,122.25,
9566.45,124.11,
9566.95,125.55,
9567.45,126.41,
9567.95,126.7,
9568.45,126.7,
9568.95,126.99000000000001,
9569.45,127.85000000000001,
9569.95,129.29,
9570.45,131.01,
9570.95,132.39,
9571.45,132.79,
9571.95,131.93,
9572.45,130.09,
9572.95,127.74000000000001,
9573.45,125.55,
9573.95,124.17,
9574.45,123.72,
9574.95,124.07000000000001,
9575.45,124.78,
9575.95,125.08,
9576.45,124.49000000000001,
9576.95,123.11,
9577.45,121.44,
9577.95,120.22,
9578.45,120.04,
9578.95,120.79,
9579.45,122.11,
9579.95,123.64,
9580.45,125.09,
9580.95,126.39,
9581.45,127.53,
9581.95,128.51,
9582.45,129.44,
9582.95,130.35999999999999,
9583.45,131.29,
9583.95,132.2,
9584.45,133.1,
9584.95,133.89,
9585.45,134.38,
9585.95,134.38,
9586.45,133.78,
9586.95,132.69,
9587.45,131.29,
9587.95,129.76,
9588.45,128.24,
9588.95,126.7,
9589.45,125.27,
9589.95,124.16,
9590.45,123.55,
9590.95,123.56,
9591.45,124.07000000000001,
9591.95,124.89,
9592.45,125.91,
9592.95,127.16,
9593.45,128.65,
9593.95,130.35999999999999,
9594.45,132.2,
9594.95,133.81,
9595.45,134.96,
9595.95,135.66,
9596.45,135.9,
9596.95,135.78,
9597.45,135.41,
9597.95,134.82999999999998,
9598.45,134.01,
9598.95,133.1,
9599.45,132.16,
9599.95,131.16,
9600.45,130.1,
9600.95,128.97,
9601.45,127.97,
9601.95,127.41,
9602.45,127.29,
9602.95,125.64,
9603.45,122.31,
9603.95,119.16,
9604.45,116.52,
9604.95,116.04,
9605.45,117.36,
9605.95,118.36,
9606.45,117.9,
9606.95,116.3,
9607.45,115.29,
9607.95,115.45,
9608.45,117.0,
9608.95,119.35000000000001,
9609.45,121.55,
9609.95,123.51,
9610.45,125.39,
9610.95,127.21000000000001,
9611.45,128.54999999999998,
9611.95,128.95,
9612.45,128.35,
9612.95,126.13000000000001,
9613.45,122.61,
9613.95,118.79,
9614.45,115.15,
