MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10970.0,2994585.45,1100502.46,-8728.84,-9036.41,-9174.96,-9249.9,-9378.86,-9420.59,-9537.32,11142.98,,11142.98
10971.0,2994585.44,1100502.46,-8729.84,-9036.4,-9174.96,-9249.9,-9378.86,-9420.59,-9537.31,11143.98,,11143.98
10972.0,2994585.43,1100502.47,-8730.84,-9036.4,-9174.96,-9249.9,-9378.86,-9420.59,-9537.31,11144.98,162.24091019394191,11144.98
10973.0,2994585.42,1100502.47,-8731.84,-9036.4,-9174.96,-9249.9,-9378.86,-9420.59,-9537.31,11145.98,,11145.98
10974.0,2994585.42,1100502.47,-8732.84,-9036.4,-9174.95,-9249.89,-9378.85,-9420.58,-9537.31,11146.990000000002,,11146.990000000002
10975.0,2994585.41,1100502.47,-8733.84,-9036.4,-9174.95,-9249.89,-9378.85,-9420.58,-9537.3,11147.990000000002,159.58158948966107,11147.990000000002
10976.0,2994585.4,1100502.47,-8734.84,-9036.39,-9174.95,-9249.89,-9378.85,-9420.58,-9537.3,11148.990000000002,158.88882527257948,11148.990000000002
10977.0,2994585.39,1100502.47,-8735.84,-9036.39,-9174.95,-9249.89,-9378.85,-9420.58,-9537.3,11149.990000000002,,11149.990000000002
10978.0,2994585.38,1100502.47,-8736.84,-9036.39,-9174.94,-9249.89,-9378.84,-9420.57,-9537.3,11150.990000000002,164.91140451462732,11150.990000000002
10979.0,2994585.38,1100502.47,-8737.84,-9036.39,-9174.94,-9249.88,-9378.84,-9420.57,-9537.29,11152.0,170.06244167712094,11152.0
10980.0,2994585.37,1100502.47,-8738.84,-9036.38,-9174.94,-9249.88,-9378.84,-9420.57,-9537.29,11153.0,,11153.0
10981.0,2994585.36,1100502.48,-8739.84,-9036.38,-9174.94,-9249.88,-9378.84,-9420.57,-9537.29,11154.0,,11154.0
10982.0,2994585.35,1100502.48,-8740.84,-9036.38,-9174.93,-9249.88,-9378.83,-9420.57,-9537.29,11155.0,,11155.0
10983.0,2994585.34,1100502.48,-8741.84,-9036.38,-9174.93,-9249.87,-9378.83,-9420.56,-9537.28,11156.01,151.06729378940045,11156.01
10984.0,2994585.34,1100502.48,-8742.84,-9036.37,-9174.93,-9249.87,-9378.83,-9420.56,-9537.28,11157.01,,11157.01
10985.0,2994585.33,1100502.48,-8743.84,-9036.37,-9174.93,-9249.87,-9378.83,-9420.56,-9537.28,11158.01,,11158.01
10986.0,2994585.32,1100502.48,-8744.84,-9036.37,-9174.92,-9249.87,-9378.82,-9420.56,-9537.28,11159.01,,11159.01
10987.0,2994585.31,1100502.48,-8745.84,-9036.37,-9174.92,-9249.86,-9378.82,-9420.55,-9537.27,11160.02,,11160.02
10988.0,2994585.3,1100502.48,-8746.84,-9036.36,-9174.92,-9249.86,-9378.82,-9420.55,-9537.27,11161.02,137.65895410395075,11161.02
10989.0,2994585.3,1100502.48,-8747.84,-9036.36,-9174.92,-9249.86,-9378.82,-9420.55,-9537.27,11162.02,,11162.02
10990.0,2994585.29,1100502.48,-8748.84,-9036.36,-9174.91,-9249.86,-9378.81,-9420.55,-9537.27,11163.02,,11163.02
10991.0,2994585.28,1100502.48,-8749.84,-9036.36,-9174.91,-9249.85,-9378.81,-9420.54,-9537.27,11164.03,144.94415199971175,11164.03
10992.0,2994585.27,1100502.48,-8750.84,-9036.35,-9174.91,-9249.85,-9378.81,-9420.54,-9537.26,11165.03,146.59784722758388,11165.03
10993.0,2994585.26,1100502.48,-8751.84,-9036.35,-9174.91,-9249.85,-9378.81,-9420.54,-9537.26,11166.03,,11166.03
10994.0,2994585.25,1100502.48,-8752.84,-9036.35,-9174.91,-9249.85,-9378.81,-9420.54,-9537.26,11167.03,152.19582904625918,11167.03
10995.0,2994585.24,1100502.48,-8753.84,-9036.35,-9174.9,-9249.84,-9378.8,-9420.53,-9537.26,11168.03,154.4193787107629,11168.03
10996.0,2994585.24,1100502.48,-8754.84,-9036.34,-9174.9,-9249.84,-9378.8,-9420.53,-9537.25,11169.04,,11169.04
10997.0,2994585.23,1100502.48,-8755.84,-9036.34,-9174.9,-9249.84,-9378.8,-9420.53,-9537.25,11170.04,157.0563521822347,11170.04
10998.0,2994585.22,1100502.48,-8756.84,-9036.34,-9174.9,-9249.84,-9378.8,-9420.53,-9537.25,11171.04,162.24091019394191,11171.04
10999.0,2994585.21,1100502.48,-8757.84,-9036.34,-9174.89,-9249.83,-9378.79,-9420.52,-9537.25,11172.04,,11172.04
11000.0,2994585.2,1100502.48,-8758.84,-9036.34,-9174.89,-9249.83,-9378.79,-9420.52,-9537.24,11173.05,,11173.05
11001.0,2994585.19,1100502.48,-8759.84,-9036.33,-9174.89,-9249.83,-9378.79,-9420.52,-9537.24,11174.05,,11174.05
11002.0,2994585.18,1100502.48,-8760.84,-9036.33,-9174.89,-9249.83,-9378.79,-9420.52,-9537.24,11175.05,,11175.05
11003.0,2994585.17,1100502.48,-8761.84,-9036.33,-9174.88,-9249.83,-9378.78,-9420.51,-9537.24,11176.05,135.42423082304245,11176.05
11004.0,2994585.17,1100502.48,-8762.84,-9036.33,-9174.88,-9249.82,-9378.78,-9420.51,-9537.23,11177.06,,11177.06
11005.0,2994585.16,1100502.47,-8763.84,-9036.32,-9174.88,-9249.82,-9378.78,-9420.51,-9537.23,11178.06,,11178.06
11006.0,2994585.15,1100502.47,-8764.84,-9036.32,-9174.88,-9249.82,-9378.78,-9420.51,-9537.23,11179.06,,11179.06
11007.0,2994585.14,1100502.47,-8765.84,-9036.32,-9174.87,-9249.82,-9378.77,-9420.51,-9537.23,11180.06,151.06729378940045,11180.06
11008.0,2994585.13,1100502.47,-8766.84,-9036.32,-9174.87,-9249.81,-9378.77,-9420.5,-9537.22,11181.070000000002,,11181.070000000002
11009.0,2994585.12,1100502.47,-8767.84,-9036.31,-9174.87,-9249.81,-9378.77,-9420.5,-9537.22,11182.070000000002,150.27396702467806,11182.070000000002
11010.0,2994585.11,1100502.47,-8768.84,-9036.31,-9174.87,-9249.81,-9378.77,-9420.5,-9537.22,11183.070000000002,146.59784722758388,11183.070000000002
11011.0,2994585.1,1100502.47,-8769.84,-9036.31,-9174.86,-9249.81,-9378.76,-9420.5,-9537.22,11184.070000000002,,11184.070000000002
